"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2.3763","2.5362","2.5362","2.3485","4.09M","-6.26%"
"Jun 30, 2021","2.5349","2.5435","2.5730","2.3800","6.34M","0.19%"
"Jun 29, 2021","2.5302","2.4798","2.6739","2.4798","8.65M","2.48%"
"Jun 28, 2021","2.4689","2.5185","2.5742","2.3884","13.95M","-1.52%"
"Jun 27, 2021","2.5070","2.3522","2.5070","2.3294","5.13M","6.70%"
"Jun 26, 2021","2.3496","2.3389","2.4277","2.2314","6.46M","0.22%"
"Jun 25, 2021","2.3445","2.7277","2.7746","2.3445","9.47M","-14.02%"
"Jun 24, 2021","2.7269","2.6103","2.7363","2.4693","6.38M","4.22%"
"Jun 23, 2021","2.6165","2.4009","2.7519","2.4009","11.34M","9.28%"
"Jun 22, 2021","2.3944","2.6638","2.8021","2.2656","18.91M","-10.75%"
"Jun 21, 2021","2.6829","3.4011","3.4011","2.6535","20.15M","-21.07%"
"Jun 20, 2021","3.3989","3.0241","3.3989","2.8731","8.97M","12.41%"
"Jun 19, 2021","3.0236","3.1525","3.1769","3.0236","4.85M","-4.01%"
"Jun 18, 2021","3.1500","3.4009","3.4018","3.0895","6.48M","-7.67%"
"Jun 17, 2021","3.4118","3.5912","3.7179","3.3185","11.08M","-5.06%"
"Jun 16, 2021","3.5937","3.7446","3.8552","3.5919","10.17M","-4.04%"
"Jun 15, 2021","3.7449","3.6705","3.7449","3.5841","8.33M","1.66%"
"Jun 14, 2021","3.6838","3.0125","3.6934","2.9595","30.22M","22.52%"
"Jun 13, 2021","3.0067","2.7295","3.0087","2.6565","7.71M","10.34%"
"Jun 12, 2021","2.7250","2.7330","2.7734","2.5867","6.65M","-0.64%"
"Jun 11, 2021","2.7426","3.0171","3.0171","2.6806","6.68M","-8.95%"
"Jun 10, 2021","3.0122","3.1934","3.1934","2.9252","9.37M","-5.57%"
"Jun 09, 2021","3.1900","3.0910","3.1900","2.9233","17.70M","2.91%"
"Jun 08, 2021","3.0999","3.3964","3.3964","2.9255","10.91M","-8.65%"
"Jun 07, 2021","3.3934","3.9087","3.9087","3.3934","7.31M","-12.93%"
"Jun 06, 2021","3.8975","3.6583","3.9913","3.6583","11.97M","5.72%"
"Jun 05, 2021","3.6865","3.3906","3.9569","3.3906","17.72M","9.27%"
"Jun 04, 2021","3.3738","3.4889","3.5595","3.1371","17.21M","-3.45%"
"Jun 03, 2021","3.4944","3.3677","3.5703","3.3677","8.49M","3.53%"
