"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","230.82","250.72","251.99","227.77","253.28K","-7.87%"
"Jun 30, 2021","250.53","236.61","252.36","220.09","16.96K","5.88%"
"Jun 29, 2021","236.61","226.52","252.84","226.43","18.34K","4.45%"
"Jun 28, 2021","226.52","203.04","232.82","200.55","15.15K","11.56%"
"Jun 27, 2021","203.04","186.96","203.04","183.30","16.45K","8.60%"
"Jun 26, 2021","186.96","187.10","193.33","176.46","15.19K","-0.07%"
"Jun 25, 2021","187.10","211.30","214.73","185.11","19.07K","-11.45%"
"Jun 24, 2021","211.30","207.88","217.83","193.19","18.89K","1.65%"
"Jun 23, 2021","207.88","205.90","229.31","197.42","33.82K","0.96%"
"Jun 22, 2021","205.90","212.27","222.72","170.40","60.49K","-3.53%"
"Jun 21, 2021","213.44","272.80","275.43","206.36","37.71K","-21.77%"
"Jun 20, 2021","272.85","254.75","277.06","242.28","17.48K","7.11%"
"Jun 19, 2021","254.75","265.03","269.76","254.67","9.90K","-3.62%"
"Jun 18, 2021","264.31","293.31","293.60","253.13","14.70K","-9.85%"
"Jun 17, 2021","293.18","290.41","305.22","285.36","9.50K","0.95%"
"Jun 16, 2021","290.41","311.91","313.71","287.37","10.89K","-7.07%"
"Jun 15, 2021","312.49","318.16","327.18","307.87","11.80K","-1.78%"
"Jun 14, 2021","318.16","316.37","335.18","309.06","20.61K","0.57%"
"Jun 13, 2021","316.37","278.24","317.94","266.71","15.81K","13.70%"
"Jun 12, 2021","278.24","285.20","289.27","266.20","18.26K","-2.44%"
"Jun 11, 2021","285.20","310.08","314.90","280.66","16.14K","-8.02%"
"Jun 10, 2021","310.08","338.47","339.56","304.78","14.24K","-8.39%"
"Jun 09, 2021","338.47","330.12","342.22","306.23","23.45K","2.53%"
"Jun 08, 2021","330.12","334.78","338.99","297.16","25.96K","-1.43%"
"Jun 07, 2021","334.92","365.29","387.56","331.97","21.86K","-8.31%"
"Jun 06, 2021","365.29","356.64","368.31","354.65","9.15K","2.43%"
"Jun 05, 2021","356.64","372.98","391.40","347.69","21.45K","-4.38%"
"Jun 04, 2021","372.98","398.54","398.79","346.70","25.46K","-6.14%"
"Jun 03, 2021","397.38","384.14","408.81","376.20","23.98K","3.45%"
"Jun 02, 2021","384.14","372.55","401.45","362.24","26.33K","3.11%"
"Jun 01, 2021","372.55","383.00","391.90","361.37","39.09K","-2.73%"
"May 31, 2021","383.00","325.00","385.16","304.89","46.96K","17.85%"
"May 30, 2021","325.00","297.50","338.75","282.51","25.84K","9.24%"
"May 29, 2021","297.50","319.94","335.20","280.67","29.67K","-7.01%"
"May 28, 2021","319.94","369.85","376.20","304.52","49.57K","-13.49%"
"May 27, 2021","369.85","414.19","414.60","366.04","41.55K","-10.71%"
"May 26, 2021","414.19","370.41","414.91","358.99","54.93K","11.82%"
"May 25, 2021","370.41","385.15","402.35","322.46","48.03K","-3.83%"
"May 24, 2021","385.15","293.58","396.97","288.77","45.99K","31.19%"
"May 23, 2021","293.58","334.94","350.37","209.04","68.46K","-12.35%"
"May 22, 2021","334.94","372.91","381.25","311.00","42.95K","-10.18%"
"May 21, 2021","372.91","468.43","493.38","310.45","72.36K","-20.39%"
