"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","5.7440","5.6710","5.9900","5.1770","3.29M","1.29%"
"Jun 30, 2021","5.6710","4.6160","5.8800","4.4430","7.28M","22.86%"
"Jun 29, 2021","4.6160","3.9710","4.8400","3.9620","2.30M","16.24%"
"Jun 28, 2021","3.9710","3.7240","4.0570","3.6610","1.21M","6.63%"
"Jun 27, 2021","3.7240","3.5940","3.7400","3.4700","1.15M","3.62%"
"Jun 26, 2021","3.5940","3.4260","3.6170","3.2520","1.28M","4.90%"
"Jun 25, 2021","3.4260","3.8100","3.9390","3.3840","1.39M","-10.08%"
"Jun 24, 2021","3.8100","3.7080","3.8540","3.4850","1.62M","2.75%"
"Jun 23, 2021","3.7080","3.1830","3.8000","3.0850","2.65M","16.49%"
"Jun 22, 2021","3.1830","3.2000","3.6890","2.8580","3.85M","-0.53%"
"Jun 21, 2021","3.2000","4.2040","4.2230","3.1900","2.27M","-23.88%"
"Jun 20, 2021","4.2040","4.2090","4.2780","3.8110","1.72M","-0.12%"
"Jun 19, 2021","4.2090","4.3830","4.5350","4.1920","1.04M","-3.97%"
"Jun 18, 2021","4.3830","4.7110","5.0000","4.2120","3.81M","-6.96%"
"Jun 17, 2021","4.7110","4.1940","4.7500","4.1640","1.75M","12.33%"
"Jun 16, 2021","4.1940","4.4990","4.8810","4.1510","3.10M","-6.78%"
"Jun 15, 2021","4.4990","4.1800","4.5230","4.0410","1.96M","7.63%"
"Jun 14, 2021","4.1800","3.9860","4.2690","3.8500","2.24M","4.87%"
"Jun 13, 2021","3.9860","3.7880","4.0460","3.6440","1.37M","5.23%"
"Jun 12, 2021","3.7880","4.3180","4.3180","3.7340","2.66M","-12.27%"
"Jun 11, 2021","4.3180","3.9490","5.1380","3.9170","10.92M","9.34%"
"Jun 10, 2021","3.9490","4.0130","4.1980","3.7670","2.20M","-1.59%"
"Jun 09, 2021","4.0130","3.8620","4.1020","3.5460","1.74M","3.91%"
"Jun 08, 2021","3.8620","4.0350","4.1340","3.4120","1.92M","-4.29%"
"Jun 07, 2021","4.0350","4.3690","4.5270","3.9980","1.32M","-7.64%"
"Jun 06, 2021","4.3690","4.1990","4.4140","4.1580","628.19K","4.05%"
"Jun 05, 2021","4.1990","4.3520","4.5000","4.0720","961.07K","-3.52%"
"Jun 04, 2021","4.3520","4.7910","4.8680","4.1380","1.65M","-9.16%"
"Jun 03, 2021","4.7910","4.7060","4.8250","4.5770","1.26M","1.81%"
"Jun 02, 2021","4.7060","4.6940","4.7640","4.4810","1.54M","0.26%"
"Jun 01, 2021","4.6940","4.9430","4.9650","4.5500","2.92M","-5.04%"
"May 31, 2021","4.9430","4.5340","5.2990","4.4840","7.52M","9.02%"
"May 30, 2021","4.5340","4.7470","4.8910","4.1300","6.82M","-4.49%"
"May 29, 2021","4.7470","4.1930","6.0480","4.1860","11.18M","13.21%"
"May 28, 2021","4.1930","4.8120","5.0300","4.0220","2.68M","-12.86%"
"May 27, 2021","4.8120","4.9150","4.9200","4.3000","2.32M","-2.10%"
"May 26, 2021","4.9150","4.1440","4.9150","3.9980","3.14M","18.61%"
"May 25, 2021","4.1440","4.1870","4.3790","3.7070","2.17M","-1.03%"
"May 24, 2021","4.1870","3.3450","4.3000","3.3450","3.68M","25.17%"
"May 23, 2021","3.3450","3.9250","4.0610","2.7300","3.43M","-14.78%"
"May 22, 2021","3.9250","4.3410","4.3690","3.7000","1.75M","-9.58%"
"May 21, 2021","4.3410","4.7050","5.3550","3.6610","4.18M","-7.74%"
"May 20, 2021","4.7050","3.9600","4.9430","3.5380","2.52M","18.81%"
"May 19, 2021","3.9600","6.6040","6.7200","1.8080","4.44M","-40.04%"
"May 18, 2021","6.6040","6.5270","7.1440","6.4000","1.89M","1.18%"
"May 17, 2021","6.5270","6.4000","6.9800","5.8640","2.24M","1.98%"
"May 16, 2021","6.4000","6.5750","7.3320","6.0650","1.70M","-2.66%"
"May 15, 2021","6.5750","7.0720","7.1800","6.3680","1.28M","-7.03%"
"May 14, 2021","7.0720","6.9740","7.4970","6.8600","1.22M","1.41%"
"May 13, 2021","6.9740","6.7960","7.7800","6.2100","3.36M","2.62%"
"May 12, 2021","6.7960","8.0900","9.1990","6.6100","4.11M","-16.00%"
"May 11, 2021","8.0900","7.1800","8.4450","6.9890","1.91M","12.67%"
"May 10, 2021","7.1800","8.0750","8.3010","6.8170","2.48M","-11.08%"
"May 09, 2021","8.0750","8.2630","8.3870","7.6790","1.08M","-2.28%"
"May 08, 2021","8.2630","8.3900","8.9990","8.1870","2.77M","-1.51%"
"May 07, 2021","8.3900","7.8890","9.0100","7.4160","3.07M","6.35%"
"May 06, 2021","7.8890","8.6500","8.6660","7.6730","1.94M","-8.80%"
"May 05, 2021","8.6500","8.0690","8.7920","7.9600","2.18M","7.20%"
"May 04, 2021","8.0690","9.2200","9.6920","8.0460","3.97M","-12.48%"
"May 03, 2021","9.2200","9.3190","9.5930","9.0420","1.93M","-1.06%"
"May 02, 2021","9.3190","9.7480","9.7580","8.8870","1.57M","-4.40%"
"May 01, 2021","9.7480","10.2200","10.3100","9.4610","1.42M","-4.62%"
"Apr 30, 2021","10.2200","10.1400","10.3000","9.4400","1.80M","0.79%"
"Apr 29, 2021","10.1400","10.7400","11.0000","9.3700","3.44M","-5.59%"
"Apr 28, 2021","10.7400","8.5870","10.8800","8.2200","7.45M","30.43%"
"Apr 27, 2021","8.2340","7.5750","9.1440","7.4290","4.36M","8.70%"
"Apr 26, 2021","7.5750","6.5740","7.6600","6.4020","2.52M","15.23%"
"Apr 25, 2021","6.5740","6.5970","7.2000","6.0520","1.91M","-0.35%"
"Apr 24, 2021","6.5970","7.4810","7.4810","6.4630","2.30M","-11.82%"
"Apr 23, 2021","7.4810","8.0930","8.3490","6.0320","6.41M","-7.56%"
"Apr 22, 2021","8.0930","8.1650","10.4000","8.0600","8.43M","-0.88%"
"Apr 21, 2021","8.1650","8.6160","9.3230","7.9900","6.96M","-5.23%"
"Apr 20, 2021","8.6160","8.0440","11.2900","7.9240","24.47M","7.11%"
"Apr 19, 2021","8.0440","6.6690","9.4000","6.4420","13.63M","20.62%"
"Apr 18, 2021","6.6690","7.7280","7.7480","5.6800","3.10M","-13.70%"
"Apr 17, 2021","7.7280","7.4190","8.0610","7.3500","2.61M","4.16%"
"Apr 16, 2021","7.4190","7.9980","8.0320","7.0940","3.01M","-7.24%"
"Apr 15, 2021","7.9980","7.7110","8.1090","7.5000","1.70M","3.72%"
"Apr 14, 2021","7.7110","8.0250","8.0710","7.0100","2.29M","-3.91%"
"Apr 13, 2021","8.0250","7.6130","8.8940","7.6130","3.11M","5.41%"
"Apr 12, 2021","7.6130","7.2180","8.8620","7.1590","7.33M","5.47%"
"Apr 11, 2021","7.2180","7.5710","7.6570","7.0270","1.95M","-4.66%"
"Apr 10, 2021","7.5710","7.9570","8.0420","7.2730","2.65M","-4.85%"
"Apr 09, 2021","7.9570","7.7510","8.8880","7.6530","5.28M","2.66%"
"Apr 08, 2021","7.7510","7.3340","7.9660","7.2900","3.20M","5.69%"
"Apr 07, 2021","7.3340","7.7250","8.0820","6.5530","6.38M","-5.06%"
"Apr 06, 2021","7.7250","9.3090","9.3340","7.3750","8.16M","-17.02%"
"Apr 05, 2021","9.3090","5.8830","11.3000","5.6320","35.07M","58.24%"
"Apr 04, 2021","5.8830","5.0760","6.4490","5.0210","5.94M","15.90%"
"Apr 03, 2021","5.0760","5.6670","5.7890","5.0210","2.08M","-10.43%"
"Apr 02, 2021","5.6670","5.5520","5.9800","5.3150","3.24M","2.07%"
"Apr 01, 2021","5.5520","5.6890","5.9000","5.2990","3.74M","-2.41%"
"Mar 31, 2021","5.6890","6.3500","6.4300","5.6710","4.61M","-10.41%"
"Mar 30, 2021","6.3500","5.6430","7.8270","5.5380","20.36M","12.53%"
"Mar 29, 2021","5.6430","4.9050","5.7370","4.6540","4.46M","15.05%"
"Mar 28, 2021","4.9050","4.3620","5.2000","4.3000","5.43M","12.45%"
"Mar 27, 2021","4.3620","4.5220","4.9480","4.2840","3.87M","-3.54%"
"Mar 26, 2021","4.5220","3.5530","4.6200","3.5500","4.79M","27.27%"
"Mar 25, 2021","3.5530","3.7640","3.8090","3.3570","3.11M","-5.61%"
"Mar 24, 2021","3.7640","3.8460","4.3730","3.6000","4.60M","-2.13%"
"Mar 23, 2021","3.8460","3.9900","4.2710","3.7500","2.94M","-3.61%"
"Mar 22, 2021","3.9900","4.6040","4.6930","3.9600","2.43M","-13.34%"
"Mar 21, 2021","4.6040","4.5290","4.7150","4.3350","2.79M","1.66%"
"Mar 20, 2021","4.5290","5.0430","5.1010","4.4550","2.60M","-10.19%"
"Mar 19, 2021","5.0430","5.0380","5.4350","4.8020","3.09M","0.10%"
"Mar 18, 2021","5.0380","4.9510","5.4130","4.7500","5.38M","1.76%"
"Mar 17, 2021","4.9510","5.4920","5.5200","4.8000","3.88M","-9.85%"
"Mar 16, 2021","5.4920","5.5950","6.0000","5.1800","5.18M","-1.84%"
"Mar 15, 2021","5.5950","5.8390","6.5000","5.3470","6.88M","-4.18%"
"Mar 14, 2021","5.8390","5.1590","6.3600","4.7600","8.61M","13.18%"
"Mar 13, 2021","5.1590","4.9980","5.4000","4.6790","7.81M","3.22%"
"Mar 12, 2021","4.9980","4.6420","5.6890","4.5120","11.74M","7.67%"
"Mar 11, 2021","4.6420","3.8480","4.8320","3.6110","8.20M","20.63%"
"Mar 10, 2021","3.8480","3.4200","4.3800","3.1680","8.80M","12.51%"
"Mar 09, 2021","3.4200","3.6780","4.0330","3.3110","8.69M","-7.01%"
"Mar 08, 2021","3.6780","2.6850","3.7100","2.6850","9.43M","36.98%"
"Mar 07, 2021","2.6850","2.5450","2.8000","2.5300","3.80M","5.50%"
"Mar 06, 2021","2.5450","2.4060","2.6300","2.3510","4.09M","5.78%"
"Mar 05, 2021","2.4060","2.8270","2.8270","2.3500","7.36M","-14.89%"
"Mar 04, 2021","2.8270","2.2000","3.1000","2.1400","22.43M","28.50%"
"Mar 03, 2021","2.2000","1.6830","2.2320","1.6570","5.50M","30.72%"
"Mar 02, 2021","1.6830","1.6580","1.8500","1.5620","3.97M","1.51%"
"Mar 01, 2021","1.6580","1.4000","1.6580","1.3900","3.13M","18.43%"
"Feb 28, 2021","1.4000","1.5870","1.5870","1.3040","2.19M","-11.78%"
"Feb 27, 2021","1.5870","1.5000","1.7440","1.4880","3.08M","5.80%"
"Feb 26, 2021","1.5000","1.4230","1.6000","1.2760","3.12M","5.41%"
"Feb 25, 2021","1.4230","1.3600","1.6500","1.3260","3.58M","4.63%"
"Feb 24, 2021","1.3600","1.3490","1.5560","1.2800","4.01M","0.82%"
"Feb 23, 2021","1.3490","1.6580","1.6690","1.0830","7.04M","-18.64%"
"Feb 22, 2021","1.6580","1.8350","1.8930","1.2810","12.07M","-9.65%"
"Feb 21, 2021","1.8350","1.7830","1.9900","1.7020","3.40M","2.92%"
"Feb 20, 2021","1.7830","1.9780","2.1500","1.6460","4.73M","-9.86%"
"Feb 19, 2021","1.9780","2.1290","2.1900","1.9320","2.89M","-7.09%"
"Feb 18, 2021","2.1290","1.8890","2.2100","1.8890","3.05M","12.71%"
"Feb 17, 2021","1.8890","1.9640","2.0080","1.7800","3.63M","-3.82%"
"Feb 16, 2021","1.9640","2.0460","2.2600","1.8840","4.09M","-4.01%"
"Feb 15, 2021","2.0460","2.1530","2.3700","1.6930","8.21M","-4.97%"
"Feb 14, 2021","2.1530","1.9680","2.3370","1.7400","7.79M","9.40%"
"Feb 13, 2021","1.9680","1.8020","2.1000","1.5710","7.17M","9.21%"
"Feb 12, 2021","1.8020","1.4990","1.8490","1.3880","6.67M","20.21%"
"Feb 11, 2021","1.4990","1.3720","1.5990","1.3320","4.08M","9.26%"
"Feb 10, 2021","1.3720","1.2830","1.4960","1.2000","7.94M","6.94%"
"Feb 09, 2021","1.2830","1.3650","1.3760","1.2010","9.04M","-6.01%"
"Feb 08, 2021","1.3650","1.0010","1.4600","0.9681","10.70M","36.36%"
"Feb 07, 2021","1.0010","0.9586","1.0520","0.9012","5.33M","4.42%"
"Feb 06, 2021","0.9586","1.0790","1.0870","0.9100","5.62M","-11.16%"
"Feb 05, 2021","1.0790","0.9542","1.1590","0.9542","7.58M","13.08%"
"Feb 04, 2021","0.9542","1.0150","1.0190","0.8861","4.23M","-5.99%"
"Feb 03, 2021","1.0150","0.9551","1.0590","0.9482","3.41M","6.27%"
"Feb 02, 2021","0.9551","1.0070","1.0260","0.9105","4.06M","-5.15%"
"Feb 01, 2021","1.0070","0.8053","1.0500","0.7700","10.00M","25.05%"
"Jan 31, 2021","0.8053","0.8407","0.8742","0.7600","3.41M","-4.21%"
"Jan 30, 2021","0.8407","0.8117","0.8800","0.7628","5.48M","3.57%"
"Jan 29, 2021","0.8117","0.8155","0.8380","0.7384","8.22M","-0.47%"
"Jan 28, 2021","0.8155","0.8732","0.9444","0.8076","9.38M","-6.61%"
"Jan 27, 2021","0.8732","0.9467","1.1890","0.8600","12.56M","-7.76%"
"Jan 26, 2021","0.9467","0.8354","0.9960","0.8142","13.58M","13.32%"
"Jan 25, 2021","0.8354","0.7351","0.8784","0.7200","6.95M","13.64%"
"Jan 24, 2021","0.7351","0.6950","0.8222","0.6834","7.85M","5.77%"
"Jan 23, 2021","0.6950","0.6371","0.7491","0.6010","8.64M","9.09%"
