"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","287.63","303.24","303.41","281.40","1.62M","-5.15%"
"Jun 30, 2021","303.25","299.88","304.71","281.84","2.36M","1.12%"
"Jun 29, 2021","299.88","289.85","315.04","289.27","2.43M","3.47%"
"Jun 28, 2021","289.83","290.87","298.93","283.91","2.16M","-0.35%"
"Jun 27, 2021","290.86","279.45","291.08","270.00","1.79M","4.08%"
"Jun 26, 2021","279.45","281.15","290.05","264.47","2.63M","-0.60%"
"Jun 25, 2021","281.13","308.57","314.08","275.62","3.26M","-8.81%"
"Jun 24, 2021","308.31","296.13","316.20","281.74","3.12M","4.11%"
"Jun 23, 2021","296.14","261.47","309.45","251.90","4.07M","13.27%"
"Jun 22, 2021","261.45","271.81","290.65","225.93","6.75M","-3.80%"
"Jun 21, 2021","271.80","339.09","341.52","269.45","4.55M","-19.94%"
"Jun 20, 2021","339.47","334.15","340.38","310.54","1.99M","1.58%"
"Jun 19, 2021","334.19","336.71","344.33","331.88","1.33M","-0.74%"
"Jun 18, 2021","336.67","352.66","357.03","327.39","1.95M","-4.53%"
"Jun 17, 2021","352.64","347.14","362.36","346.18","1.53M","1.58%"
"Jun 16, 2021","347.15","366.77","366.77","343.49","1.89M","-5.35%"
"Jun 15, 2021","366.78","370.08","379.49","363.84","1.90M","-0.89%"
"Jun 14, 2021","370.06","365.83","377.02","355.23","2.42M","1.16%"
"Jun 13, 2021","365.83","343.26","369.00","330.64","2.39M","6.58%"
"Jun 12, 2021","343.23","345.59","348.75","325.63","2.55M","-0.65%"
"Jun 11, 2021","345.46","351.46","365.51","341.53","2.71M","-1.70%"
"Jun 10, 2021","351.43","375.53","376.81","344.96","2.96M","-6.36%"
"Jun 09, 2021","375.29","352.54","378.44","333.69","4.24M","6.42%"
"Jun 08, 2021","352.64","358.05","365.89","320.39","5.99M","-1.52%"
"Jun 07, 2021","358.08","393.23","406.99","354.55","3.60M","-8.93%"
"Jun 06, 2021","393.20","390.09","399.82","382.07","2.27M","0.80%"
"Jun 05, 2021","390.09","390.68","425.57","374.62","4.79M","-0.23%"
"Jun 04, 2021","390.97","428.47","428.71","366.56","5.92M","-8.56%"
"Jun 03, 2021","427.59","401.13","432.58","391.83","5.06M","6.60%"
"Jun 02, 2021","401.12","362.39","417.41","351.19","5.26M","10.69%"
"Jun 01, 2021","362.39","353.63","364.16","340.56","4.42M","2.45%"
"May 31, 2021","353.74","325.60","355.43","307.90","4.97M","8.65%"
"May 30, 2021","325.59","304.81","337.77","291.72","4.52M","6.83%"
"May 29, 2021","304.76","329.31","346.88","296.43","4.57M","-7.45%"
"May 28, 2021","329.31","369.79","373.28","313.42","6.31M","-10.38%"
"May 27, 2021","367.46","379.20","387.17","340.81","5.18M","-3.10%"
"May 26, 2021","379.22","343.76","387.25","337.40","5.82M","10.31%"
"May 25, 2021","343.77","345.44","374.86","307.55","7.93M","-0.36%"
"May 24, 2021","345.02","261.56","349.89","257.97","8.07M","31.90%"
"May 23, 2021","261.57","299.25","312.85","212.41","9.23M","-12.59%"
"May 22, 2021","299.25","326.44","334.69","286.50","5.57M","-8.33%"
"May 21, 2021","326.44","391.12","414.79","276.78","9.21M","-16.86%"
"May 20, 2021","392.64","335.09","423.50","287.48","8.49M","17.16%"
"May 19, 2021","335.12","508.27","515.55","282.30","11.92M","-34.07%"
"May 18, 2021","508.28","511.79","533.45","496.65","2.86M","-0.68%"
"May 17, 2021","511.76","563.37","563.38","484.30","4.24M","-9.17%"
"May 16, 2021","563.41","562.84","606.53","535.01","3.07M","0.10%"
"May 15, 2021","562.85","602.44","610.39","560.58","2.38M","-6.57%"
"May 14, 2021","602.46","571.76","614.69","566.69","2.30M","5.37%"
"May 13, 2021","571.76","585.61","632.91","527.16","5.74M","-2.36%"
"May 12, 2021","585.60","671.61","684.51","585.35","2.92M","-12.89%"
"May 11, 2021","672.26","631.66","672.98","622.87","2.78M","6.42%"
"May 10, 2021","631.68","661.65","690.87","592.52","3.24M","-4.53%"
"May 09, 2021","661.65","646.17","678.27","631.44","2.45M","2.39%"
"May 08, 2021","646.18","624.35","657.77","618.73","2.33M","3.55%"
