"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","3.16700","3.35560","3.35560","3.11500","673.26K","-5.62%"
"Jun 30, 2021","3.35560","3.27872","3.37450","3.13700","1.11M","2.34%"
"Jun 29, 2021","3.27872","3.13393","3.38734","3.12833","2.49M","4.62%"
"Jun 28, 2021","3.13393","3.05898","3.18871","3.01700","1.08M","2.45%"
"Jun 27, 2021","3.05898","2.87300","3.06098","2.83301","605.31K","6.47%"
"Jun 26, 2021","2.87300","2.85700","2.91800","2.71900","1.44M","0.56%"
"Jun 25, 2021","2.85700","3.13600","3.18600","2.83200","1.45M","-8.90%"
"Jun 24, 2021","3.13600","3.09400","3.19200","2.95500","777.15K","1.36%"
"Jun 23, 2021","3.09400","2.92704","3.20194","2.85505","773.04K","5.70%"
"Jun 22, 2021","2.92704","2.96500","3.13799","2.66301","1.08M","-1.28%"
"Jun 21, 2021","2.96500","3.53499","3.54698","2.94200","1.59M","-16.12%"
"Jun 20, 2021","3.53499","3.45900","3.57098","3.27000","968.47K","2.20%"
"Jun 19, 2021","3.45900","3.53100","3.60000","3.43400","887.57K","-1.87%"
"Jun 18, 2021","3.52500","3.78700","3.79900","3.42900","907.21K","-6.92%"
"Jun 17, 2021","3.78700","3.78406","3.93600","3.71800","807.47K","0.08%"
"Jun 16, 2021","3.78406","4.00498","4.02830","3.75509","854.22K","-5.52%"
"Jun 15, 2021","4.00498","4.06200","4.17100","3.97402","760.73K","-1.40%"
"Jun 14, 2021","4.06200","3.95200","4.09500","3.90900","782.66K","2.78%"
"Jun 13, 2021","3.95200","3.73800","3.98400","3.64300","612.88K","5.72%"
"Jun 12, 2021","3.73800","3.79000","3.83700","3.61100","756.57K","-1.37%"
"Jun 11, 2021","3.79000","4.03000","4.07300","3.74600","749.33K","-5.96%"
"Jun 10, 2021","4.03000","4.25701","4.28600","3.98000","994.25K","-5.33%"
"Jun 09, 2021","4.25701","4.10400","4.31896","3.92800","1.37M","3.65%"
"Jun 08, 2021","4.10700","4.17800","4.22100","3.75800","1.13M","-1.70%"
"Jun 07, 2021","4.17800","4.47800","4.64799","4.17300","616.54K","-6.70%"
"Jun 06, 2021","4.47800","4.42600","4.57599","4.40300","750.61K","1.17%"
