"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.58105","0.61478","0.61878","0.56088","10.14M","-5.49%"
"Jun 30, 2021","0.61478","0.58399","0.61478","0.56306","10.28M","5.27%"
"Jun 29, 2021","0.58399","0.55640","0.61846","0.55640","12.25M","4.96%"
"Jun 28, 2021","0.55640","0.54099","0.56887","0.53189","8.46M","2.85%"
"Jun 27, 2021","0.54099","0.51109","0.54249","0.50043","7.97M","6.13%"
"Jun 26, 2021","0.50972","0.51826","0.53017","0.48624","11.53M","-1.65%"
"Jun 25, 2021","0.51826","0.57322","0.59138","0.51065","13.31M","-9.59%"
"Jun 24, 2021","0.57322","0.55011","0.57911","0.52643","10.32M","4.20%"
"Jun 23, 2021","0.55011","0.48313","0.56681","0.46895","15.63M","13.86%"
"Jun 22, 2021","0.48313","0.50994","0.53204","0.42526","36.49M","-5.41%"
"Jun 21, 2021","0.51074","0.60051","0.60400","0.49906","23.60M","-14.95%"
"Jun 20, 2021","0.60051","0.59665","0.60800","0.56016","10.98M","0.65%"
"Jun 19, 2021","0.59665","0.60861","0.62717","0.59204","5.16M","-1.97%"
"Jun 18, 2021","0.60861","0.65752","0.65837","0.58989","13.44M","-7.44%"
"Jun 17, 2021","0.65752","0.65583","0.68881","0.64281","8.35M","0.26%"
"Jun 16, 2021","0.65583","0.69107","0.69114","0.65000","10.32M","-5.10%"
"Jun 15, 2021","0.69107","0.67122","0.72329","0.66669","18.09M","2.96%"
"Jun 14, 2021","0.67122","0.64862","0.67638","0.63867","13.06M","3.48%"
"Jun 13, 2021","0.64862","0.61672","0.65953","0.59745","12.59M","5.17%"
"Jun 12, 2021","0.61672","0.64590","0.64676","0.59310","14.96M","-4.52%"
"Jun 11, 2021","0.64590","0.66434","0.71688","0.63915","17.68M","-2.73%"
"Jun 10, 2021","0.66404","0.70336","0.70760","0.64524","10.04M","-5.59%"
"Jun 09, 2021","0.70336","0.67093","0.70336","0.63662","12.91M","4.83%"
"Jun 08, 2021","0.67093","0.69401","0.70738","0.60622","21.17M","-3.33%"
"Jun 07, 2021","0.69401","0.76219","0.79976","0.68826","14.35M","-8.95%"
"Jun 06, 2021","0.76219","0.75050","0.77377","0.74314","8.59M","1.56%"
"Jun 05, 2021","0.75050","0.75995","0.81790","0.72098","15.96M","-1.24%"
"Jun 04, 2021","0.75995","0.82889","0.83072","0.72189","17.78M","-8.32%"
"Jun 03, 2021","0.82889","0.79630","0.84934","0.78964","13.36M","4.09%"
"Jun 02, 2021","0.79629","0.74733","0.84398","0.73384","21.78M","6.55%"
"Jun 01, 2021","0.74733","0.76750","0.77417","0.72431","12.49M","-2.63%"
"May 31, 2021","0.76750","0.70338","0.76750","0.66922","13.88M","9.01%"
"May 30, 2021","0.70408","0.68038","0.73823","0.63826","14.66M","3.48%"
"May 29, 2021","0.68038","0.74802","0.78726","0.64074","19.57M","-9.04%"
"May 28, 2021","0.74802","0.84072","0.85231","0.70127","26.51M","-11.03%"
"May 27, 2021","0.84072","0.88830","0.92859","0.79373","31.62M","-5.16%"
"May 26, 2021","0.88642","0.73738","0.88642","0.73519","25.52M","20.21%"
"May 25, 2021","0.73738","0.72506","0.77006","0.66200","22.69M","1.70%"
"May 24, 2021","0.72506","0.55876","0.74270","0.55092","37.42M","29.76%"
"May 23, 2021","0.55877","0.68044","0.70780","0.45617","52.03M","-17.88%"
"May 22, 2021","0.68044","0.75699","0.76311","0.65546","27.14M","-10.11%"
"May 21, 2021","0.75699","0.87442","0.91920","0.64875","40.50M","-13.43%"
"May 20, 2021","0.87442","0.74442","0.91454","0.66405","39.38M","17.46%"
"May 19, 2021","0.74443","1.10761","1.11793","0.56590","66.59M","-32.79%"
"May 18, 2021","1.10761","1.05914","1.14156","1.04983","16.03M","4.58%"
"May 17, 2021","1.05914","1.14155","1.14383","1.02108","23.17M","-7.18%"
"May 16, 2021","1.14106","1.13523","1.23688","1.07748","21.73M","0.51%"
"May 15, 2021","1.13523","1.21998","1.22721","1.12648","17.21M","-6.95%"
"May 14, 2021","1.21998","1.19339","1.24880","1.17822","17.07M","2.23%"
"May 13, 2021","1.19339","1.16769","1.25121","1.09599","33.08M","3.73%"
"May 12, 2021","1.15047","1.39393","1.41560","1.15029","25.35M","-17.46%"
"May 11, 2021","1.39392","1.31065","1.39392","1.25993","25.81M","6.13%"
"May 10, 2021","1.31337","1.41338","1.49639","1.25333","36.52M","-7.08%"
"May 09, 2021","1.41338","1.41831","1.46349","1.33648","25.53M","-0.38%"
"May 08, 2021","1.41870","1.40604","1.51467","1.38215","28.28M","0.90%"
"May 07, 2021","1.40604","1.40347","1.59127","1.35243","59.26M","0.18%"
"May 06, 2021","1.40347","1.36247","1.44640","1.32925","43.26M","2.74%"
"May 05, 2021","1.36609","1.17397","1.37151","1.17397","35.07M","16.40%"
"May 04, 2021","1.17360","1.29241","1.29261","1.15400","27.69M","-9.15%"
"May 03, 2021","1.29181","1.25589","1.32148","1.25313","18.92M","2.86%"
"May 02, 2021","1.25590","1.27024","1.29686","1.22439","15.52M","-1.13%"
"May 01, 2021","1.27024","1.26338","1.29977","1.23321","20.87M","0.54%"
"Apr 30, 2021","1.26338","1.18751","1.27716","1.16581","19.95M","6.39%"
"Apr 29, 2021","1.18751","1.20070","1.23420","1.15398","17.09M","-1.10%"
"Apr 28, 2021","1.20070","1.23056","1.27957","1.14947","20.79M","-2.43%"
"Apr 27, 2021","1.23056","1.16396","1.25135","1.13911","19.84M","5.72%"
"Apr 26, 2021","1.16396","1.02429","1.16436","1.01549","22.65M","13.64%"
"Apr 25, 2021","1.02429","1.03341","1.10243","0.97003","14.38M","-0.88%"
"Apr 24, 2021","1.03341","1.17197","1.17343","1.02973","20.28M","-11.82%"
"Apr 23, 2021","1.17197","1.07104","1.17859","0.86660","60.22M","9.42%"
"Apr 22, 2021","1.07104","1.20497","1.25026","1.05259","34.24M","-11.11%"
"Apr 21, 2021","1.20497","1.26579","1.31320","1.19353","26.84M","-4.74%"
"Apr 20, 2021","1.26490","1.31977","1.32824","1.16017","53.46M","-3.78%"
"Apr 19, 2021","1.31462","1.34822","1.46701","1.18081","62.56M","-2.49%"
"Apr 18, 2021","1.34821","1.47391","1.48380","1.12368","52.73M","-8.39%"
"Apr 17, 2021","1.47165","1.52791","1.59938","1.46359","26.54M","-3.68%"
"Apr 16, 2021","1.52791","1.51943","1.56544","1.40453","32.39M","0.56%"
"Apr 15, 2021","1.51943","1.46283","1.59218","1.43823","27.28M","3.66%"
"Apr 14, 2021","1.46579","1.50001","1.56627","1.40089","29.36M","-2.28%"
"Apr 13, 2021","1.50001","1.41689","1.51986","1.39651","25.68M","5.87%"
"Apr 12, 2021","1.41689","1.43694","1.47239","1.39079","19.01M","-1.39%"
"Apr 11, 2021","1.43694","1.46425","1.57066","1.40964","35.85M","-1.87%"
"Apr 10, 2021","1.46425","1.53969","1.61779","1.39362","59.46M","-4.90%"
"Apr 09, 2021","1.53969","1.29084","1.64527","1.26449","120.53M","19.28%"
"Apr 08, 2021","1.29084","1.18620","1.29884","1.17661","24.93M","8.82%"
"Apr 07, 2021","1.18620","1.32698","1.37898","1.15149","50.98M","-10.61%"
"Apr 06, 2021","1.32698","1.27722","1.33636","1.17752","48.32M","3.90%"
"Apr 05, 2021","1.27722","1.17511","1.28248","1.12942","34.46M","8.71%"
"Apr 04, 2021","1.17491","1.11515","1.18409","1.10058","17.72M","5.36%"
"Apr 03, 2021","1.11515","1.19863","1.26243","1.11270","30.61M","-6.96%"
"Apr 02, 2021","1.19863","1.15361","1.27757","1.13442","41.15M","3.90%"
"Apr 01, 2021","1.15361","1.14087","1.18337","1.11749","23.95M","1.12%"
"Mar 31, 2021","1.14087","1.16942","1.18529","1.07875","22.38M","-2.44%"
"Mar 30, 2021","1.16942","1.13953","1.20981","1.12313","33.60M","2.92%"
"Mar 29, 2021","1.13626","1.12077","1.14511","1.07623","25.72M","1.51%"
"Mar 28, 2021","1.11939","1.08166","1.14800","1.05555","36.01M","3.49%"
"Mar 27, 2021","1.08166","1.07410","1.08810","1.01131","23.82M","0.70%"
"Mar 26, 2021","1.07410","0.97348","1.09050","0.97348","33.03M","10.34%"
"Mar 25, 2021","0.97348","0.99107","1.01429","0.93429","25.95M","-1.78%"
"Mar 24, 2021","0.99107","1.05194","1.12291","0.94638","34.67M","-5.79%"
"Mar 23, 2021","1.05194","1.08553","1.11448","1.02801","29.80M","-3.09%"
"Mar 22, 2021","1.08553","1.12432","1.20800","1.07540","61.21M","-3.45%"
"Mar 21, 2021","1.12432","1.08189","1.13707","1.06190","28.32M","3.92%"
"Mar 20, 2021","1.08189","1.18415","1.22688","1.07919","36.44M","-8.64%"
"Mar 19, 2021","1.18415","1.20290","1.24116","1.15069","55.21M","-1.56%"
"Mar 18, 2021","1.20290","1.23327","1.37758","1.19118","133.53M","-2.46%"
"Mar 17, 2021","1.23327","1.02896","1.34496","0.94375","373.53M","19.86%"
"Mar 16, 2021","1.02896","0.76011","1.17479","0.73014","218.22M","35.37%"
"Mar 15, 2021","0.76010","0.76656","0.80713","0.72047","28.49M","-1.04%"
"Mar 14, 2021","0.76806","0.81454","0.85006","0.76806","27.17M","-5.71%"
"Mar 13, 2021","0.81454","0.75556","0.83519","0.72213","37.41M","7.81%"
"Mar 12, 2021","0.75556","0.80174","0.81350","0.73178","34.07M","-5.76%"
"Mar 11, 2021","0.80174","0.81926","0.85765","0.77775","50.20M","-2.14%"
"Mar 10, 2021","0.81927","0.74688","0.87827","0.69408","112.53M","9.81%"
"Mar 09, 2021","0.74609","0.74191","0.76332","0.70298","33.37M","0.56%"
"Mar 08, 2021","0.74191","0.69522","0.74191","0.66457","35.77M","6.72%"
"Mar 07, 2021","0.69521","0.66461","0.72564","0.66183","34.08M","4.60%"
"Mar 06, 2021","0.66461","0.67879","0.69727","0.63418","25.58M","-2.09%"
"Mar 05, 2021","0.67879","0.69147","0.72227","0.63399","54.83M","-1.83%"
