"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","27,367.67","28,623.82","28,623.82","26,830.21","-","-4.42%"
"Jun 30, 2021","28,633.85","29,342.96","29,501.44","27,846.85","-","-2.35%"
"Jun 29, 2021","29,321.92","28,196.38","29,986.85","28,047.95","-","3.80%"
"Jun 28, 2021","28,248.71","30,569.49","30,804.30","27,707.32","-","-7.36%"
"Jun 27, 2021","30,494.63","27,319.37","30,533.84","27,131.18","-","12.02%"
"Jun 26, 2021","27,221.72","26,187.78","27,221.72","25,177.34","-","3.82%"
"Jun 25, 2021","26,219.64","29,845.29","30,694.00","25,750.16","-","-12.24%"
"Jun 24, 2021","29,875.48","28,527.76","30,044.57","27,475.71","-","4.66%"
"Jun 23, 2021","28,545.79","27,344.29","29,116.15","26,735.13","-","4.43%"
"Jun 22, 2021","27,335.39","27,306.53","29,549.18","25,737.35","-","-0.21%"
"Jun 21, 2021","27,392.46","29,982.19","30,067.88","26,935.13","-","-8.80%"
"Jun 20, 2021","30,035.69","28,900.53","30,396.71","27,857.41","-","3.78%"
"Jun 19, 2021","28,940.84","32,379.74","32,874.23","28,826.35","-","-10.52%"
"Jun 18, 2021","32,345.01","34,436.29","34,528.22","31,848.64","-","-6.07%"
"Jun 17, 2021","34,436.29","34,736.39","35,782.70","33,911.05","-","-0.83%"
"Jun 16, 2021","34,723.07","36,392.61","36,665.05","34,564.86","-","-4.70%"
"Jun 15, 2021","36,436.50","34,806.36","36,661.65","34,077.66","-","4.56%"
"Jun 14, 2021","34,848.66","33,624.51","35,193.54","33,350.72","-","3.68%"
"Jun 13, 2021","33,611.37","30,552.42","33,836.15","29,975.07","-","10.01%"
"Jun 12, 2021","30,552.42","30,424.57","31,128.66","28,556.78","-","0.50%"
"Jun 11, 2021","30,401.87","32,669.67","33,046.43","29,872.44","-","-6.74%"
"Jun 10, 2021","32,597.84","34,287.50","36,855.53","32,597.84","-","-4.68%"
"Jun 09, 2021","34,197.95","30,498.16","34,365.02","29,686.71","-","11.97%"
"Jun 08, 2021","30,541.83","30,663.76","32,969.20","28,780.03","-","-0.71%"
