"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","47.55","50.39","52.09","46.06","124.94K","-5.64%"
"Jun 30, 2021","50.39","47.75","54.24","46.93","184.64K","5.54%"
"Jun 29, 2021","47.75","42.26","51.95","42.07","174.10K","12.98%"
"Jun 28, 2021","42.26","40.84","43.06","39.11","131.23K","3.48%"
"Jun 27, 2021","40.84","38.24","40.91","37.70","127.53K","6.80%"
"Jun 26, 2021","38.24","38.46","39.32","35.58","157.57K","-0.58%"
"Jun 25, 2021","38.46","41.16","44.69","37.19","175.01K","-6.56%"
"Jun 24, 2021","41.16","36.81","44.51","35.24","197.30K","11.68%"
"Jun 23, 2021","36.85","34.22","38.65","31.94","166.40K","7.70%"
"Jun 22, 2021","34.22","37.33","40.92","29.28","281.44K","-8.33%"
"Jun 21, 2021","37.33","51.73","51.89","35.98","205.60K","-27.84%"
"Jun 20, 2021","51.73","52.36","52.58","46.59","129.57K","-1.21%"
"Jun 19, 2021","52.36","54.14","54.53","51.94","87.94K","-3.30%"
"Jun 18, 2021","54.15","57.68","57.77","52.56","97.10K","-6.12%"
"Jun 17, 2021","57.68","54.79","61.25","54.67","144.14K","5.22%"
"Jun 16, 2021","54.81","58.59","58.65","54.56","106.81K","-6.44%"
"Jun 15, 2021","58.59","60.07","60.36","58.15","104.30K","-2.47%"
"Jun 14, 2021","60.07","58.89","60.95","56.78","122.69K","2.00%"
"Jun 13, 2021","58.89","55.90","60.76","53.31","136.56K","5.66%"
"Jun 12, 2021","55.74","57.51","58.16","51.56","191.87K","-3.07%"
"Jun 11, 2021","57.51","69.27","69.64","57.02","188.62K","-17.19%"
"Jun 10, 2021","69.44","71.23","80.52","67.32","290.10K","-2.51%"
"Jun 09, 2021","71.23","52.71","81.88","48.83","489.06K","35.15%"
"Jun 08, 2021","52.71","50.92","57.18","47.22","249.28K","3.52%"
"Jun 07, 2021","50.92","56.60","57.99","50.33","98.89K","-10.08%"
"Jun 06, 2021","56.62","55.30","63.20","55.29","102.60K","2.39%"
"Jun 05, 2021","55.30","57.37","58.85","54.34","99.24K","-3.62%"
"Jun 04, 2021","57.37","61.90","62.05","55.11","105.24K","-7.31%"
"Jun 03, 2021","61.90","59.17","62.48","58.26","84.19K","4.68%"
"Jun 02, 2021","59.13","57.85","59.97","56.57","75.43K","2.24%"
"Jun 01, 2021","57.83","60.17","60.70","56.46","101.69K","-3.89%"
"May 31, 2021","60.17","56.95","60.29","54.08","113.45K","5.67%"
"May 30, 2021","56.94","56.33","57.95","51.29","133.91K","1.09%"
"May 29, 2021","56.33","58.56","62.79","52.73","157.74K","-3.81%"
"May 28, 2021","58.56","66.53","67.78","55.90","181.98K","-11.99%"
"May 27, 2021","66.53","66.49","69.83","61.27","151.30K","0.06%"
"May 26, 2021","66.49","62.83","67.41","60.63","129.86K","5.82%"
"May 25, 2021","62.83","61.91","66.92","56.62","238.36K","1.49%"
"May 24, 2021","61.91","49.99","63.46","45.75","244.81K","23.84%"
"May 23, 2021","49.99","55.45","62.93","41.59","438.46K","-9.84%"
"May 22, 2021","55.45","61.14","61.76","51.17","237.28K","-9.25%"
"May 21, 2021","61.10","68.58","73.22","52.36","270.68K","-10.90%"
"May 20, 2021","68.58","58.29","72.82","50.33","302.81K","17.65%"
"May 19, 2021","58.29","87.31","88.28","41.74","438.17K","-33.24%"
"May 18, 2021","87.31","86.47","91.61","84.55","130.96K","0.97%"
"May 17, 2021","86.47","94.80","96.01","80.14","216.62K","-8.79%"
"May 16, 2021","94.80","95.41","101.26","87.73","139.11K","-0.64%"
"May 15, 2021","95.41","102.26","109.28","93.22","158.52K","-6.58%"
"May 14, 2021","102.14","93.60","105.58","92.89","159.47K","9.35%"
"May 13, 2021","93.40","91.46","99.45","85.62","244.04K","2.10%"
"May 12, 2021","91.48","119.32","120.57","90.75","150.12K","-23.12%"
"May 11, 2021","118.99","110.82","118.99","104.52","172.80K","7.44%"
"May 10, 2021","110.75","125.55","130.83","109.00","141.52K","-11.95%"
"May 09, 2021","125.77","131.53","131.56","117.01","124.70K","-4.37%"
"May 08, 2021","131.53","129.95","138.16","124.06","181.28K","1.21%"
"May 07, 2021","129.95","140.50","141.92","120.21","270.02K","-7.25%"
"May 06, 2021","140.11","133.20","166.56","133.11","418.27K","5.20%"
"May 05, 2021","133.19","106.45","137.01","105.27","251.26K","25.11%"
"May 04, 2021","106.45","95.64","107.23","95.64","258.84K","11.30%"
"May 03, 2021","95.64","92.83","97.47","92.06","97.24K","3.03%"
"May 02, 2021","92.83","95.30","95.52","90.37","93.49K","-2.59%"
"May 01, 2021","95.30","93.38","96.59","92.03","102.36K","2.14%"
"Apr 30, 2021","93.31","87.94","94.22","86.21","103.08K","6.10%"
"Apr 29, 2021","87.94","91.19","91.97","85.05","103.68K","-3.52%"
"Apr 28, 2021","91.16","89.64","97.70","86.08","158.86K","1.63%"
"Apr 27, 2021","89.69","86.97","93.98","85.01","145.12K","3.15%"
