"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","145.66","146.95","151.65","137.69","810.20K","-0.92%"
"Jun 30, 2021","147.01","152.16","154.49","137.43","970.49K","-3.40%"
"Jun 29, 2021","152.18","153.73","166.66","148.33","1.37M","-0.89%"
"Jun 28, 2021","153.54","130.79","172.44","129.78","1.73M","17.31%"
"Jun 27, 2021","130.88","125.88","131.74","125.33","702.68K","4.02%"
"Jun 26, 2021","125.83","121.53","125.83","116.90","730.17K","3.42%"
"Jun 25, 2021","121.66","131.90","134.73","120.81","863.60K","-7.72%"
"Jun 24, 2021","131.85","128.60","134.24","123.10","598.33K","2.54%"
"Jun 23, 2021","128.58","119.07","131.06","114.80","661.58K","8.02%"
"Jun 22, 2021","119.03","123.59","126.72","105.76","1.34M","-3.72%"
"Jun 21, 2021","123.62","152.87","153.77","120.12","1.16M","-19.14%"
"Jun 20, 2021","152.89","154.94","155.30","144.99","493.54K","-1.35%"
"Jun 19, 2021","154.98","157.20","159.32","154.82","378.29K","-1.37%"
"Jun 18, 2021","157.13","162.98","164.46","152.33","504.21K","-3.62%"
"Jun 17, 2021","163.03","164.03","167.93","160.60","381.16K","-0.61%"
"Jun 16, 2021","164.03","169.58","169.58","160.92","459.06K","-3.32%"
"Jun 15, 2021","169.67","174.09","174.86","167.16","478.20K","-2.57%"
"Jun 14, 2021","174.14","171.02","175.53","168.58","588.26K","1.80%"
"Jun 13, 2021","171.05","161.98","172.94","159.38","544.20K","5.67%"
"Jun 12, 2021","161.88","164.39","164.40","156.11","597.89K","-1.50%"
"Jun 11, 2021","164.35","164.70","173.82","161.41","791.50K","-0.18%"
"Jun 10, 2021","164.65","173.10","173.97","163.67","552.49K","-4.88%"
"Jun 09, 2021","173.10","162.12","174.44","157.45","852.77K","6.78%"
"Jun 08, 2021","162.10","166.13","168.15","150.75","1.04M","-2.38%"
"Jun 07, 2021","166.06","178.29","179.66","165.06","675.19K","-6.86%"
"Jun 06, 2021","178.30","177.59","181.52","173.56","751.48K","0.39%"
"Jun 05, 2021","177.60","173.79","177.91","166.59","801.98K","2.19%"
"Jun 04, 2021","173.79","189.40","189.61","168.32","912.16K","-8.06%"
"Jun 03, 2021","189.03","182.32","191.76","178.16","768.66K","3.69%"
"Jun 02, 2021","182.31","175.95","188.45","171.25","862.08K","3.62%"
"Jun 01, 2021","175.94","174.68","176.57","165.86","855.89K","0.60%"
"May 31, 2021","174.88","166.08","175.21","161.06","749.66K","5.24%"
"May 30, 2021","166.18","164.30","169.52","154.96","754.23K","1.19%"
"May 29, 2021","164.22","168.10","179.42","159.18","1.10M","-2.31%"
"May 28, 2021","168.10","182.96","184.65","159.71","1.37M","-8.08%"
"May 27, 2021","182.89","181.66","190.63","170.04","1.08M","0.69%"
"May 26, 2021","181.63","175.15","186.27","171.36","1.14M","3.74%"
"May 25, 2021","175.09","178.90","185.87","160.87","1.48M","-2.12%"
"May 24, 2021","178.87","148.85","179.97","146.19","1.56M","19.99%"
"May 23, 2021","149.07","168.77","173.23","128.50","2.17M","-11.64%"
"May 22, 2021","168.70","174.70","176.62","158.04","1.37M","-3.45%"
"May 21, 2021","174.72","201.39","207.12","153.04","2.06M","-13.05%"
"May 20, 2021","200.96","174.35","202.29","159.36","2.10M","15.10%"
"May 19, 2021","174.59","286.96","290.04","129.40","4.25M","-39.16%"
"May 18, 2021","286.99","286.70","302.22","275.38","1.15M","0.12%"
"May 17, 2021","286.64","315.24","316.56","254.62","1.73M","-9.02%"
"May 16, 2021","315.06","310.43","330.22","288.24","1.19M","1.55%"
"May 15, 2021","310.26","335.38","340.48","306.64","1.06M","-7.57%"
"May 14, 2021","335.66","316.49","352.66","310.76","1.06M","6.08%"
"May 13, 2021","316.43","299.37","335.88","288.63","2.03M","5.76%"
"May 12, 2021","299.20","391.39","405.93","286.89","1.79M","-23.58%"
"May 11, 2021","391.49","342.15","396.94","329.63","1.79M","14.64%"
"May 10, 2021","341.50","359.06","414.74","302.75","2.76M","-4.91%"
"May 09, 2021","359.13","368.04","377.79","332.60","1.33M","-2.55%"
"May 08, 2021","368.51","378.78","397.98","336.41","1.45M","-2.71%"
"May 07, 2021","378.80","419.30","430.69","363.42","1.70M","-9.69%"
"May 06, 2021","419.44","423.59","459.92","384.69","2.13M","-0.99%"
"May 05, 2021","423.64","332.99","447.92","332.55","2.27M","27.05%"
"May 04, 2021","333.43","368.94","374.57","323.33","1.83M","-9.61%"
"May 03, 2021","368.90","331.43","376.87","330.21","1.38M","11.30%"
"May 02, 2021","331.44","332.78","345.10","311.57","1.01M","-0.40%"
"May 01, 2021","332.77","323.60","339.73","308.30","1.06M","2.84%"
"Apr 30, 2021","323.59","281.78","328.16","277.14","1.15M","14.84%"
"Apr 29, 2021","281.78","289.84","292.30","271.45","818.07K","-2.78%"
"Apr 28, 2021","289.85","288.00","297.75","270.18","1.33M","0.65%"
"Apr 27, 2021","287.98","263.51","289.26","258.48","1.14M","9.28%"
"Apr 26, 2021","263.53","236.58","266.48","234.06","1.14M","11.54%"
"Apr 25, 2021","236.27","233.60","253.92","227.81","919.97K","1.10%"
"Apr 24, 2021","233.71","250.50","250.53","228.54","934.19K","-6.68%"
"Apr 23, 2021","250.43","281.77","291.99","203.09","2.75M","-11.12%"
"Apr 22, 2021","281.77","296.76","310.87","277.91","1.21M","-4.91%"
"Apr 21, 2021","296.30","303.21","320.30","289.07","1.24M","-2.48%"
"Apr 20, 2021","303.83","295.49","312.72","271.54","1.72M","2.76%"
"Apr 19, 2021","295.65","334.73","340.00","286.11","1.68M","-11.69%"
"Apr 18, 2021","334.78","372.80","380.69","275.41","3.18M","-10.21%"
"Apr 17, 2021","372.83","440.32","448.19","368.02","2.25M","-15.31%"
"Apr 16, 2021","440.25","364.04","493.44","325.74","2.83M","20.93%"
"Apr 15, 2021","364.05","326.87","377.70","317.85","1.83M","11.23%"
"Apr 14, 2021","327.29","298.67","346.66","284.47","2.44M","9.59%"
"Apr 13, 2021","298.64","260.39","300.98","259.42","1.41M","14.67%"
"Apr 12, 2021","260.45","275.85","277.33","252.06","972.25K","-5.58%"
"Apr 11, 2021","275.83","272.49","288.87","265.65","1.04M","1.12%"
"Apr 10, 2021","272.77","259.19","280.98","253.98","1.23M","5.25%"
"Apr 09, 2021","259.16","249.41","271.85","243.46","1.18M","3.90%"
"Apr 08, 2021","249.44","238.95","250.89","235.21","970.81K","4.39%"
"Apr 07, 2021","238.96","261.12","274.37","227.93","1.80M","-8.42%"
"Apr 06, 2021","260.92","247.57","279.08","233.42","2.34M","5.40%"
"Apr 05, 2021","247.55","228.97","249.63","227.15","1.43M","8.13%"
"Apr 04, 2021","228.94","218.61","232.39","216.64","949.69K","4.75%"
"Apr 03, 2021","218.56","246.90","254.45","215.97","1.54M","-11.47%"
"Apr 02, 2021","246.87","228.13","267.46","225.27","1.85M","8.29%"
"Apr 01, 2021","227.98","217.24","237.43","213.65","1.30M","4.95%"
"Mar 31, 2021","217.22","208.81","218.90","199.62","1.32M","4.07%"
"Mar 30, 2021","208.74","207.02","210.60","204.44","496.42K","0.82%"
"Mar 29, 2021","207.04","198.54","211.59","197.11","731.27K","4.28%"
"Mar 28, 2021","198.55","200.07","202.43","196.09","440.92K","-0.76%"
"Mar 27, 2021","200.06","202.84","204.11","194.93","528.18K","-1.37%"
"Mar 26, 2021","202.84","192.60","204.35","191.61","699.78K","5.29%"
"Mar 25, 2021","192.65","193.41","196.32","186.89","882.12K","-0.39%"
"Mar 24, 2021","193.40","213.34","221.26","183.44","1.06M","-9.35%"
"Mar 23, 2021","213.36","203.04","225.60","202.44","1.38M","5.08%"
"Mar 22, 2021","203.04","201.28","222.76","195.38","1.24M","0.91%"
"Mar 21, 2021","201.21","205.07","208.62","197.86","684.84K","-1.90%"
"Mar 20, 2021","205.10","213.57","219.72","204.46","908.19K","-3.83%"
"Mar 19, 2021","213.26","203.15","231.54","197.24","1.63M","5.05%"
"Mar 18, 2021","203.00","195.44","207.41","190.81","896.61K","3.96%"
"Mar 17, 2021","195.26","194.85","196.27","188.20","607.15K","0.21%"
"Mar 16, 2021","194.85","191.20","199.53","185.70","1.00M","1.93%"
"Mar 15, 2021","191.15","198.12","202.03","185.19","1.31M","-3.59%"
"Mar 14, 2021","198.27","217.88","225.08","198.27","1.34M","-8.97%"
"Mar 13, 2021","217.80","185.86","235.11","185.68","2.17M","17.34%"
"Mar 12, 2021","185.61","187.21","189.96","177.93","767.59K","-0.86%"
"Mar 11, 2021","187.21","187.63","190.31","183.78","581.57K","-0.26%"
"Mar 10, 2021","187.70","189.78","194.90","183.97","707.41K","-1.11%"
"Mar 09, 2021","189.80","185.78","189.89","184.42","521.00K","2.19%"
"Mar 08, 2021","185.74","184.96","187.70","178.79","627.70K","0.40%"
"Mar 07, 2021","185.00","181.73","185.82","180.87","504.40K","1.94%"
"Mar 06, 2021","181.48","180.79","182.63","175.38","646.38K","0.46%"
"Mar 05, 2021","180.65","181.58","181.83","175.68","598.25K","-0.50%"
"Mar 04, 2021","181.56","188.38","191.34","179.39","668.33K","-3.65%"
"Mar 03, 2021","188.43","185.38","194.22","183.65","680.93K","1.61%"
"Mar 02, 2021","185.46","185.64","191.75","180.43","704.65K","1.31%"
"Mar 01, 2021","183.07","177.28","189.08","175.59","682.06K","3.27%"
"Feb 28, 2021","177.27","184.45","185.10","170.85","813.50K","-3.90%"
"Feb 27, 2021","184.46","180.61","195.97","180.07","793.10K","2.12%"
"Feb 26, 2021","180.63","184.57","188.29","170.82","1.11M","-2.15%"
"Feb 25, 2021","184.60","194.49","201.14","182.34","1.03M","-5.09%"
"Feb 24, 2021","194.49","189.02","208.10","183.05","1.42M","2.87%"
"Feb 23, 2021","189.06","214.93","215.23","169.08","2.12M","-12.03%"
"Feb 22, 2021","214.93","242.17","244.28","173.95","2.01M","-11.24%"
