"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.04","1.03","1.04","1.03","-","0.00%"
"Jun 30, 2021","1.03","1.07","1.08","1.03","-","-3.74%"
"Jun 29, 2021","1.07","1.04","1.08","1.03","-","3.74%"
"Jun 28, 2021","1.04","1.06","1.06","1.02","-","-1.94%"
"Jun 27, 2021","1.06","1.05","1.06","1.04","-","0.64%"
"Jun 26, 2021","1.05","1.07","1.08","1.04","-","-1.57%"
"Jun 25, 2021","1.07","1.10","1.13","1.06","-","-2.76%"
"Jun 24, 2021","1.10","1.05","1.10","1.04","-","4.02%"
"Jun 23, 2021","1.05","1.05","1.10","1.05","-","0.00%"
"Jun 22, 2021","1.05","1.14","1.14","0.97","-","-7.30%"
"Jun 21, 2021","1.14","1.26","1.26","1.11","-","-10.03%"
"Jun 20, 2021","1.26","1.29","1.29","1.26","-","-2.08%"
"Jun 19, 2021","1.29","1.29","1.29","1.29","-","0.00%"
"Jun 18, 2021","1.29","1.31","1.32","1.29","-","-1.82%"
"Jun 17, 2021","1.31","1.33","1.33","1.31","-","-1.40%"
"Jun 16, 2021","1.33","1.33","1.35","1.32","-","0.00%"
"Jun 15, 2021","1.33","1.31","1.34","1.30","-","1.66%"
"Jun 14, 2021","1.31","1.28","1.32","1.28","-","1.92%"
"Jun 13, 2021","1.28","1.28","1.29","1.27","-","0.00%"
"Jun 12, 2021","1.28","1.28","1.29","1.27","-","0.66%"
"Jun 11, 2021","1.28","1.28","1.29","1.27","-","-0.63%"
"Jun 10, 2021","1.28","1.28","1.30","1.28","-","0.00%"
"Jun 09, 2021","1.28","1.26","1.29","1.26","-","1.18%"
"Jun 08, 2021","1.27","1.32","1.32","1.25","-","-3.57%"
"Jun 07, 2021","1.32","1.36","1.36","1.31","-","-3.13%"
"Jun 06, 2021","1.36","1.36","1.36","1.36","-","0.00%"
"Jun 05, 2021","1.36","1.38","1.38","1.36","-","-1.68%"
"Jun 04, 2021","1.38","1.40","1.41","1.37","-","-0.89%"
"Jun 03, 2021","1.40","1.38","1.51","1.38","-","0.97%"
"Jun 02, 2021","1.38","1.39","1.40","1.37","-","0.00%"
"Jun 01, 2021","1.39","1.39","1.41","1.38","-","0.00%"
"May 31, 2021","1.39","1.38","1.44","1.38","-","0.48%"
"May 30, 2021","1.38","1.36","1.40","1.36","-","1.41%"
"May 29, 2021","1.36","1.37","1.39","1.35","-","0.00%"
"May 28, 2021","1.36","1.43","1.44","1.36","-","-4.73%"
"May 27, 2021","1.43","1.46","1.47","1.43","-","-2.14%"
"May 26, 2021","1.46","1.41","1.47","1.41","-","3.48%"
"May 25, 2021","1.41","1.39","1.43","1.37","-","1.35%"
"May 24, 2021","1.39","1.25","1.42","1.25","-","10.36%"
"May 23, 2021","1.26","1.47","1.47","1.22","-","-13.68%"
"May 22, 2021","1.46","1.50","1.55","1.44","-","-2.64%"
"May 21, 2021","1.50","1.60","1.65","1.45","-","-6.22%"
"May 20, 2021","1.60","1.50","1.61","1.46","-","6.97%"
"May 19, 2021","1.50","1.78","1.78","1.40","-","-15.60%"
"May 18, 2021","1.78","1.74","1.80","1.74","-","1.88%"
"May 17, 2021","1.74","1.84","1.84","1.73","-","-5.30%"
"May 16, 2021","1.84","1.90","1.94","1.79","-","-3.39%"
"May 15, 2021","1.90","2.03","2.04","1.90","-","-6.21%"
"May 14, 2021","2.03","1.80","2.03","1.79","-","12.91%"
"May 13, 2021","1.80","1.94","1.94","1.59","-","-7.17%"
"May 12, 2021","1.94","2.10","2.10","1.93","-","-7.81%"
"May 11, 2021","2.10","2.19","2.20","2.07","-","-3.83%"
"May 10, 2021","2.18","2.27","2.27","2.10","-","-3.95%"
"May 09, 2021","2.27","2.31","2.32","2.27","-","-1.71%"
