"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","3.3921","3.0893","3.3921","2.8294","5.83M","9.80%"
"Jun 30, 2021","3.0893","3.2795","3.2795","3.0893","3.12M","-5.80%"
"Jun 29, 2021","3.2795","3.4026","3.4156","3.2795","3.28M","-3.61%"
"Jun 28, 2021","3.4023","3.4690","3.7313","3.3822","7.99M","-1.85%"
"Jun 27, 2021","3.4666","4.3752","4.3752","3.4568","13.20M","-20.57%"
"Jun 26, 2021","4.3643","2.9998","4.3643","2.9998","22.13M","45.54%"
"Jun 25, 2021","2.9987","2.5935","2.9987","2.5935","13.08M","15.62%"
"Jun 24, 2021","2.5935","2.2654","2.5935","2.2654","4.20M","14.48%"
"Jun 23, 2021","2.2654","2.2696","2.2696","2.1464","5.18M","-0.18%"
"Jun 22, 2021","2.2695","1.9243","2.2695","1.9015","8.83M","17.94%"
"Jun 21, 2021","1.9243","2.3227","2.3227","1.9243","3.00M","-17.15%"
"Jun 20, 2021","2.3227","2.3731","2.3731","2.2458","2.05M","-2.12%"
"Jun 19, 2021","2.3731","2.4328","2.4574","2.3731","1.18M","-2.45%"
"Jun 18, 2021","2.4328","2.5938","2.6434","2.4328","5.40M","-6.21%"
"Jun 17, 2021","2.5938","2.3458","2.5938","2.3369","2.76M","10.57%"
"Jun 16, 2021","2.3458","2.5533","2.5533","2.3458","1.43M","-8.21%"
"Jun 15, 2021","2.5556","2.5267","2.5604","2.5141","1.74M","1.14%"
"Jun 14, 2021","2.5267","2.5857","2.5857","2.5267","3.02M","-2.51%"
"Jun 13, 2021","2.5917","2.4914","2.6029","2.4914","1.53M","4.11%"
"Jun 12, 2021","2.4895","2.6069","2.6674","2.4895","1.97M","-4.50%"
"Jun 11, 2021","2.6069","2.8023","2.8023","2.6069","1.51M","-6.97%"
"Jun 10, 2021","2.8023","3.0237","3.0237","2.8023","1.28M","-7.32%"
"Jun 09, 2021","3.0237","2.9291","3.0314","2.9291","2.31M","3.23%"
"Jun 08, 2021","2.9291","2.8587","2.9291","2.8587","2.86M","2.51%"
"Jun 07, 2021","2.8575","3.2392","3.2392","2.8575","965.31K","-11.78%"
"Jun 06, 2021","3.2392","3.2150","3.2392","3.1956","435.61K","0.74%"
"Jun 05, 2021","3.2155","3.2999","3.3617","3.2101","803.49K","-2.56%"
"Jun 04, 2021","3.2999","3.4834","3.4896","3.2999","1.00M","-5.26%"
"Jun 03, 2021","3.4830","3.4836","3.5328","3.4830","957.54K","-0.02%"
"Jun 02, 2021","3.4836","3.4004","3.5253","3.4004","1.56M","2.45%"
"Jun 01, 2021","3.4004","3.4932","3.4932","3.3191","1.22M","-2.72%"
"May 31, 2021","3.4953","3.4075","3.4953","3.3691","1.01M","2.58%"
"May 30, 2021","3.4075","3.4239","3.4239","3.3885","1.63M","-0.48%"
"May 29, 2021","3.4239","3.4053","3.4682","3.3818","2.72M","0.60%"
"May 28, 2021","3.4035","3.6127","3.6127","3.4035","1.47M","-5.59%"
"May 27, 2021","3.6050","3.8057","3.8057","3.6050","1.54M","-5.27%"
"May 26, 2021","3.8057","3.5472","3.8057","3.5472","3.24M","7.55%"
"May 25, 2021","3.5387","3.1010","3.5387","2.9357","7.18M","14.34%"
"May 24, 2021","3.0948","2.6406","3.0948","2.6346","3.67M","17.20%"
"May 23, 2021","2.6406","3.0151","3.0151","2.6270","2.87M","-12.42%"
"May 22, 2021","3.0151","3.1589","3.1589","2.9917","4.08M","-4.55%"
"May 21, 2021","3.1589","4.1708","4.1708","3.1589","5.47M","-24.26%"
"May 20, 2021","4.1708","3.9997","4.2328","3.7982","3.91M","3.88%"
"May 19, 2021","4.0150","5.4221","5.4221","4.0150","4.99M","-25.97%"
"May 18, 2021","5.4234","6.3385","6.3385","5.3526","6.57M","-14.44%"
"May 17, 2021","6.3385","4.6006","6.3385","4.6006","14.77M","37.70%"
"May 16, 2021","4.6031","4.5071","4.6710","4.5071","1.88M","1.89%"
"May 15, 2021","4.5175","5.1000","5.1000","4.5175","1.05M","-11.34%"
"May 14, 2021","5.0954","4.3298","5.0954","4.3298","1.62M","17.68%"
"May 13, 2021","4.3298","4.4601","4.5576","4.3298","2.24M","-2.83%"
"May 12, 2021","4.4560","5.1892","5.2514","4.4560","2.14M","-14.12%"
