"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","5.9349","6.3334","6.3334","5.8028","-","-6.19%"
"Jun 30, 2021","6.3265","6.1963","6.3649","5.9795","-","2.31%"
"Jun 29, 2021","6.1836","5.9520","6.2997","5.9520","-","3.81%"
"Jun 28, 2021","5.9564","5.2432","6.1443","5.1991","-","13.86%"
"Jun 27, 2021","5.2314","4.8599","5.2797","4.7639","-","6.92%"
"Jun 26, 2021","4.8927","5.4373","5.6147","4.8343","-","-10.52%"
"Jun 25, 2021","5.4681","5.7049","5.9301","5.3076","-","-4.10%"
"Jun 24, 2021","5.7021","5.7210","5.9595","5.5398","-","-0.49%"
"Jun 23, 2021","5.7305","5.3522","5.8352","5.2428","-","6.76%"
"Jun 22, 2021","5.3674","5.4386","5.7713","4.9572","-","-1.08%"
"Jun 21, 2021","5.4258","6.2000","6.2156","5.2006","-","-12.99%"
"Jun 20, 2021","6.2357","6.1887","6.4440","5.9596","-","0.72%"
"Jun 19, 2021","6.1913","6.3620","6.6604","6.1365","-","-2.60%"
"Jun 18, 2021","6.3568","6.8120","6.8127","6.1264","-","-6.53%"
"Jun 17, 2021","6.8007","6.6253","6.8188","6.6035","-","2.45%"
"Jun 16, 2021","6.6379","6.7784","6.8537","6.5843","-","-2.11%"
"Jun 15, 2021","6.7808","6.9312","6.9855","6.7529","-","-2.24%"
"Jun 14, 2021","6.9359","6.9788","7.0663","6.7176","-","-0.99%"
"Jun 13, 2021","7.0056","6.9396","7.1478","6.7440","-","0.73%"
"Jun 12, 2021","6.9545","7.2352","7.2403","6.7220","-","-3.42%"
"Jun 11, 2021","7.2012","7.2424","7.2486","6.8917","-","-0.33%"
"Jun 10, 2021","7.2251","7.2399","7.4680","6.9930","-","0.11%"
"Jun 09, 2021","7.2168","7.0625","7.3053","6.8023","-","1.76%"
"Jun 08, 2021","7.0923","7.4106","7.5376","6.7952","-","-4.78%"
"Jun 07, 2021","7.4483","7.6699","7.7571","7.4394","-","-3.14%"
"Jun 06, 2021","7.6895","7.7721","7.8471","7.5697","-","-0.82%"
"Jun 05, 2021","7.7530","7.6674","7.9373","7.4888","-","1.04%"
"Jun 04, 2021","7.6729","8.0023","8.0023","7.4590","-","-3.94%"
"Jun 03, 2021","7.9876","7.4950","7.9921","7.4035","-","6.62%"
"Jun 02, 2021","7.4913","7.2040","7.4922","7.0467","-","3.87%"
"Jun 01, 2021","7.2122","7.2541","7.3503","7.0085","-","-1.24%"
"May 31, 2021","7.3025","7.2054","7.4150","6.8630","-","1.81%"
"May 30, 2021","7.1726","6.9610","7.3185","6.7654","-","3.30%"
"May 29, 2021","6.9437","6.9043","7.1230","6.7322","-","0.92%"
"May 28, 2021","6.8803","6.6686","7.0308","6.4965","-","3.24%"
"May 27, 2021","6.6645","6.8161","7.0490","6.5707","-","-2.15%"
"May 26, 2021","6.8110","6.9019","7.1961","6.6979","-","-1.42%"
"May 25, 2021","6.9088","6.8741","7.0100","6.4117","-","0.80%"
"May 24, 2021","6.8536","6.2360","6.9707","6.1302","-","9.53%"
"May 23, 2021","6.2573","6.5748","6.7200","5.5465","-","-4.96%"
"May 22, 2021","6.5840","6.2968","6.8546","6.0735","-","4.82%"
"May 21, 2021","6.2812","6.5551","7.0614","5.5085","-","-4.37%"
"May 20, 2021","6.5685","6.0734","6.9639","5.4171","-","6.59%"
"May 19, 2021","6.1626","6.9734","7.0875","5.0922","-","-11.27%"
"May 18, 2021","6.9450","6.8852","7.2424","6.6641","-","0.63%"
"May 17, 2021","6.9012","6.9386","7.1520","6.3102","-","-0.66%"
"May 16, 2021","6.9468","6.8825","7.0662","6.2865","-","1.13%"
"May 15, 2021","6.8695","7.3055","7.3323","6.8695","-","-5.83%"
"May 14, 2021","7.2949","6.8696","7.4566","6.8438","-","6.10%"
"May 13, 2021","6.8754","6.9183","7.3335","6.6282","-","-0.19%"
"May 12, 2021","6.8884","7.1628","7.3758","6.7871","-","-3.58%"
"May 11, 2021","7.1443","10.6291","11.0075","6.9239","-","-33.04%"
"May 10, 2021","10.6694","10.6078","11.3514","9.9081","-","0.64%"
"May 09, 2021","10.6011","10.5481","10.7420","10.1039","-","0.65%"
"May 08, 2021","10.5329","9.3914","10.6686","9.3214","-","12.08%"
"May 07, 2021","9.3976","9.4318","9.6752","9.0830","-","-0.22%"
"May 06, 2021","9.4186","9.5236","9.7264","9.1359","-","-0.97%"
"May 05, 2021","9.5109","8.8412","9.5472","8.7127","-","6.81%"
