"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.1122","0.1156","0.1166","0.1109","33.22M","-2.95%"
"Jun 30, 2021","0.1156","0.1155","0.1165","0.1095","44.16M","0.06%"
"Jun 29, 2021","0.1155","0.1087","0.1188","0.1087","39.83M","6.26%"
"Jun 28, 2021","0.1087","0.1058","0.1094","0.1037","31.32M","2.79%"
"Jun 27, 2021","0.1058","0.0955","0.1059","0.0951","46.08M","10.75%"
"Jun 26, 2021","0.0955","0.0942","0.0969","0.0898","62.01M","1.37%"
"Jun 25, 2021","0.0942","0.1006","0.1033","0.0936","53.69M","-6.41%"
"Jun 24, 2021","0.1006","0.0962","0.1019","0.0927","41.19M","4.59%"
"Jun 23, 2021","0.0962","0.0883","0.0963","0.0865","55.97M","9.02%"
"Jun 22, 2021","0.0883","0.0910","0.0948","0.0808","94.53M","-2.95%"
"Jun 21, 2021","0.0910","0.1074","0.1080","0.0906","69.22M","-15.32%"
"Jun 20, 2021","0.1074","0.1079","0.1083","0.1006","27.60M","-0.45%"
"Jun 19, 2021","0.1079","0.1059","0.1110","0.1033","21.46M","2.00%"
"Jun 18, 2021","0.1058","0.1140","0.1143","0.1037","29.62M","-7.19%"
"Jun 17, 2021","0.1140","0.1138","0.1167","0.1119","21.57M","0.26%"
"Jun 16, 2021","0.1137","0.1176","0.1229","0.1132","47.49M","-3.34%"
"Jun 15, 2021","0.1176","0.1194","0.1199","0.1153","23.84M","-1.49%"
"Jun 14, 2021","0.1194","0.1201","0.1223","0.1161","34.05M","-0.61%"
"Jun 13, 2021","0.1201","0.1122","0.1220","0.1107","22.58M","7.05%"
"Jun 12, 2021","0.1122","0.1177","0.1181","0.1100","33.33M","-4.55%"
"Jun 11, 2021","0.1176","0.1173","0.1213","0.1151","30.28M","0.25%"
"Jun 10, 2021","0.1173","0.1227","0.1244","0.1148","37.67M","-4.40%"
"Jun 09, 2021","0.1227","0.1138","0.1231","0.1104","33.58M","7.81%"
"Jun 08, 2021","0.1138","0.1156","0.1169","0.1072","39.69M","-1.59%"
"Jun 07, 2021","0.1156","0.1238","0.1284","0.1150","37.65M","-6.66%"
"Jun 06, 2021","0.1239","0.1189","0.1245","0.1186","21.62M","4.20%"
"Jun 05, 2021","0.1189","0.1211","0.1264","0.1163","29.48M","-1.83%"
"Jun 04, 2021","0.1211","0.1332","0.1333","0.1183","40.37M","-9.11%"
"Jun 03, 2021","0.1332","0.1302","0.1356","0.1291","25.15M","2.39%"
"Jun 02, 2021","0.1301","0.1230","0.1317","0.1208","44.89M","5.78%"
"Jun 01, 2021","0.1230","0.1252","0.1274","0.1190","51.42M","-1.73%"
