"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.00050","1.00063","1.00440","0.99988","78.49K","-0.01%"
"Jun 30, 2021","1.00063","0.99985","1.00154","0.99940","36.32K","0.08%"
"Jun 29, 2021","0.99985","0.99984","1.00167","0.99893","254.70K","0.00%"
"Jun 28, 2021","0.99984","1.00102","1.00250","0.99907","150.83K","-0.12%"
"Jun 27, 2021","1.00102","1.00184","1.00381","0.99995","101.42K","-0.08%"
"Jun 26, 2021","1.00184","1.00039","1.00284","0.99962","177.75K","0.14%"
"Jun 25, 2021","1.00039","0.99967","1.00143","0.99770","301.51K","0.07%"
"Jun 24, 2021","0.99967","1.00073","1.00188","0.99930","91.16K","-0.11%"
"Jun 23, 2021","1.00073","1.00050","1.00207","0.99984","480.36K","0.02%"
"Jun 22, 2021","1.00050","1.00460","1.04742","0.99832","1.36M","-0.41%"
"Jun 21, 2021","1.00460","1.00218","1.00478","1.00185","355.39K","0.24%"
"Jun 20, 2021","1.00218","1.00241","1.00323","1.00161","112.68K","-0.02%"
"Jun 19, 2021","1.00241","1.00126","1.00241","1.00068","225.34K","0.11%"
"Jun 18, 2021","1.00126","1.00060","1.00167","0.99773","265.81K","0.07%"
"Jun 17, 2021","1.00060","1.00061","1.00274","1.00007","101.60K","-0.00%"
"Jun 16, 2021","1.00061","0.99970","1.00147","0.99918","142.56K","0.09%"
"Jun 15, 2021","0.99970","0.99974","1.00185","0.99477","150.70K","-0.00%"
"Jun 14, 2021","0.99974","1.00118","1.00133","0.99912","49.35K","-0.14%"
"Jun 13, 2021","1.00118","1.00140","1.00335","1.00101","170.53K","-0.02%"
"Jun 12, 2021","1.00140","0.99970","1.00570","0.99612","230.93K","0.17%"
"Jun 11, 2021","0.99970","1.00034","1.00228","0.99939","88.78K","-0.06%"
"Jun 10, 2021","1.00034","1.00007","1.00135","0.99882","349.70K","0.03%"
"Jun 09, 2021","1.00007","1.00090","1.00287","0.99829","1.47M","-0.08%"
"Jun 08, 2021","1.00090","0.99901","1.00404","0.99846","579.44K","0.19%"
"Jun 07, 2021","0.99901","1.00103","1.00280","0.99876","208.74K","-0.20%"
