"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","138.29","145.37","145.65","133.10","276.69K","-4.82%"
"Jun 30, 2021","145.29","140.11","146.50","134.46","403.10K","3.72%"
"Jun 29, 2021","140.08","132.06","147.93","130.52","419.20K","6.10%"
"Jun 28, 2021","132.03","127.06","134.05","124.76","315.41K","3.87%"
"Jun 27, 2021","127.10","124.32","127.34","118.32","353.37K","2.26%"
"Jun 26, 2021","124.29","120.49","126.13","115.29","457.13K","3.19%"
"Jun 25, 2021","120.45","131.35","134.35","119.17","370.25K","-8.21%"
"Jun 24, 2021","131.23","127.44","134.57","120.58","350.44K","2.93%"
"Jun 23, 2021","127.49","119.22","131.47","114.14","463.99K","6.99%"
"Jun 22, 2021","119.16","123.25","131.21","102.13","935.45K","-3.40%"
"Jun 21, 2021","123.36","153.24","154.15","122.88","604.50K","-19.49%"
"Jun 20, 2021","153.23","151.08","155.33","141.46","301.14K","0.98%"
"Jun 19, 2021","151.74","154.61","160.63","151.22","90.27K","-1.92%"
"Jun 18, 2021","154.71","163.85","164.77","151.01","67.24K","-5.49%"
"Jun 17, 2021","163.70","164.41","173.93","160.71","280.73K","-0.42%"
"Jun 16, 2021","164.38","172.09","174.88","163.45","292.49K","-4.51%"
"Jun 15, 2021","172.14","177.85","179.11","169.85","242.19K","-3.19%"
"Jun 14, 2021","177.81","172.75","177.86","167.95","309.22K","2.93%"
"Jun 13, 2021","172.75","163.52","172.93","157.25","284.60K","5.68%"
"Jun 12, 2021","163.46","165.73","165.81","154.44","281.82K","-1.34%"
"Jun 11, 2021","165.68","169.72","173.99","163.57","286.52K","-2.45%"
"Jun 10, 2021","169.83","176.69","179.60","164.93","277.43K","-3.83%"
"Jun 09, 2021","176.60","166.27","177.53","158.22","500.55K","6.18%"
"Jun 08, 2021","166.32","172.04","174.89","153.27","534.78K","-3.25%"
"Jun 07, 2021","171.91","185.39","193.31","170.20","346.92K","-7.30%"
"Jun 06, 2021","185.44","185.22","193.16","182.17","284.27K","0.13%"
"Jun 05, 2021","185.20","191.38","198.36","179.33","362.45K","-3.28%"
"Jun 04, 2021","191.49","210.24","210.31","180.72","531.39K","-8.91%"
"Jun 03, 2021","210.22","202.39","215.77","198.48","464.94K","3.89%"
"Jun 02, 2021","202.35","191.52","209.00","187.01","492.96K","5.66%"
"Jun 01, 2021","191.52","197.83","201.24","184.61","427.41K","-3.17%"
