"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.5512","0.5789","0.5960","0.5228","2.77M","-4.64%"
"Jun 30, 2021","0.5781","0.5476","0.5814","0.5164","3.93M","5.43%"
"Jun 29, 2021","0.5483","0.5057","0.5624","0.5045","2.55M","8.41%"
"Jun 28, 2021","0.5057","0.4944","0.5157","0.4854","2.54M","2.30%"
"Jun 27, 2021","0.4944","0.4700","0.4963","0.4548","2.56M","5.18%"
"Jun 26, 2021","0.4700","0.4761","0.4884","0.4366","3.22M","-1.29%"
"Jun 25, 2021","0.4761","0.5271","0.5447","0.4661","4.38M","-9.66%"
"Jun 24, 2021","0.5271","0.5033","0.5509","0.4687","3.79M","4.73%"
"Jun 23, 2021","0.5033","0.4372","0.5096","0.4158","5.43M","15.12%"
"Jun 22, 2021","0.4372","0.4646","0.5085","0.3719","8.79M","-5.99%"
"Jun 21, 2021","0.4650","0.6220","0.6253","0.4620","8.27M","-25.24%"
"Jun 20, 2021","0.6220","0.6312","0.6357","0.5782","4.25M","-1.47%"
"Jun 19, 2021","0.6312","0.6419","0.6541","0.6207","3.66M","-1.66%"
"Jun 18, 2021","0.6419","0.6894","0.6894","0.6153","3.95M","-6.89%"
"Jun 17, 2021","0.6894","0.7073","0.7311","0.6665","3.80M","-2.46%"
"Jun 16, 2021","0.7068","0.7147","0.7579","0.6886","6.35M","-1.11%"
"Jun 15, 2021","0.7147","0.7147","0.7395","0.6959","3.57M","0.00%"
"Jun 14, 2021","0.7147","0.6915","0.7169","0.6737","5.04M","3.35%"
"Jun 13, 2021","0.6915","0.6567","0.6968","0.6392","10.29M","5.50%"
"Jun 12, 2021","0.6555","0.6934","0.6943","0.6278","17.38M","-5.47%"
"Jun 11, 2021","0.6935","0.6956","0.7869","0.6735","31.06M","-0.34%"
"Jun 10, 2021","0.6958","0.7373","0.7406","0.6771","13.13M","-5.63%"
"Jun 09, 2021","0.7373","0.7113","0.7391","0.6637","45.41M","3.43%"
"Jun 08, 2021","0.7129","0.7432","0.7570","0.6287","21.41M","-4.06%"
"Jun 07, 2021","0.7430","0.8246","0.8357","0.7354","12.08M","-9.90%"
"Jun 06, 2021","0.8247","0.8172","0.8311","0.8026","7.73M","0.92%"
"Jun 05, 2021","0.8172","0.8149","0.8884","0.7890","20.09M","0.28%"
"Jun 04, 2021","0.8149","0.8900","0.8999","0.7711","20.57M","-8.41%"
"Jun 03, 2021","0.8897","0.8577","0.9034","0.8400","13.42M","3.89%"
"Jun 02, 2021","0.8565","0.8298","0.8747","0.8087","13.88M","3.22%"
"Jun 01, 2021","0.8298","0.8496","0.8678","0.7997","35.43M","-2.37%"
"May 31, 2021","0.8499","0.7813","0.8558","0.7402","16.32M","8.77%"
"May 30, 2021","0.7814","0.7454","0.8317","0.6920","17.21M","4.83%"
"May 29, 2021","0.7454","0.8145","0.8425","0.6958","19.34M","-8.48%"
"May 28, 2021","0.8145","0.8968","0.9451","0.7746","28.39M","-9.18%"
"May 27, 2021","0.8968","1.0060","1.0143","0.8569","34.32M","-10.86%"
"May 26, 2021","1.0060","0.7852","1.0081","0.7614","47.89M","28.12%"
"May 25, 2021","0.7853","0.7780","0.8457","0.7179","33.26M","0.93%"
"May 24, 2021","0.7780","0.6206","0.7830","0.5879","51.86M","25.21%"
"May 23, 2021","0.6213","0.7581","0.8014","0.4915","53.54M","-18.04%"
"May 22, 2021","0.7581","0.8167","0.8226","0.6986","32.45M","-7.16%"
"May 21, 2021","0.8166","0.9555","1.0033","0.7040","38.47M","-14.67%"
"May 20, 2021","0.9570","0.7704","1.0082","0.6883","56.68M","24.22%"
"May 19, 2021","0.7704","1.1247","1.1613","0.4899","88.08M","-31.56%"
"May 18, 2021","1.1256","1.0620","1.2609","1.0492","35.23M","5.99%"
"May 17, 2021","1.0621","1.1808","1.1816","1.0139","34.16M","-10.06%"
"May 16, 2021","1.1808","1.2029","1.2908","1.1031","20.69M","-1.92%"
"May 15, 2021","1.2039","1.2953","1.3097","1.2007","14.68M","-7.14%"
"May 14, 2021","1.2964","1.2527","1.3301","1.2413","12.80M","3.49%"
"May 13, 2021","1.2527","1.2302","1.3137","1.1624","25.90M","1.83%"
"May 12, 2021","1.2302","1.4324","1.4508","1.2141","17.62M","-14.00%"
"May 11, 2021","1.4304","1.3273","1.4318","1.3024","19.52M","7.69%"
"May 10, 2021","1.3283","1.4889","1.5114","1.2317","31.03M","-10.73%"
"May 09, 2021","1.4878","1.4445","1.5163","1.3566","23.00M","3.01%"
"May 08, 2021","1.4443","1.4633","1.5111","1.4137","16.36M","-1.24%"
"May 07, 2021","1.4625","1.5666","1.5979","1.4141","36.20M","-6.64%"
"May 06, 2021","1.5666","1.4178","1.5691","1.3467","32.77M","10.50%"
"May 05, 2021","1.4177","1.3059","1.4227","1.2905","22.90M","8.68%"
"May 04, 2021","1.3045","1.4045","1.4057","1.2544","29.27M","-7.12%"
"May 03, 2021","1.4045","1.4059","1.4752","1.3904","20.24M","-0.10%"
"May 02, 2021","1.4059","1.4600","1.4638","1.3796","13.78M","-3.70%"
"May 01, 2021","1.4600","1.4864","1.4991","1.4177","16.90M","-1.82%"
"Apr 30, 2021","1.4871","1.4573","1.5022","1.3981","20.92M","2.05%"
"Apr 29, 2021","1.4573","1.5489","1.5521","1.3657","42.12M","-5.92%"
"Apr 28, 2021","1.5489","1.3100","1.5509","1.2843","63.86M","18.32%"
"Apr 27, 2021","1.3092","1.2273","1.3270","1.2128","24.12M","6.67%"
"Apr 26, 2021","1.2273","1.0943","1.2466","1.0827","26.89M","12.15%"
"Apr 25, 2021","1.0943","1.1050","1.1857","1.0285","68.45M","-0.98%"
"Apr 24, 2021","1.1052","1.2368","1.2395","1.0962","23.20M","-10.64%"
"Apr 23, 2021","1.2368","1.2451","1.2680","0.9602","59.84M","-0.71%"
"Apr 22, 2021","1.2456","1.3352","1.4083","1.1800","48.03M","-6.69%"
"Apr 21, 2021","1.3350","1.4050","1.4616","1.3051","44.91M","-5.17%"
"Apr 20, 2021","1.4078","1.3136","1.4779","1.1538","131.40M","7.04%"
"Apr 19, 2021","1.3152","1.3480","1.4117","1.1602","53.15M","-2.44%"
"Apr 18, 2021","1.3480","1.5199","1.5330","1.0802","86.85M","-11.31%"
"Apr 17, 2021","1.5199","1.3033","1.6265","1.2406","117.71M","16.63%"
"Apr 16, 2021","1.3033","1.2387","1.3466","1.1167","72.67M","5.23%"
"Apr 15, 2021","1.2385","1.0926","1.2740","1.0710","57.70M","13.35%"
