"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.243534","0.253113","0.259426","0.237295","3.48B","-3.80%"
"Jun 30, 2021","0.253155","0.261972","0.262796","0.237309","2.62B","-3.36%"
"Jun 29, 2021","0.261960","0.255102","0.273184","0.250805","3.01B","2.69%"
"Jun 28, 2021","0.255086","0.264244","0.266409","0.249685","2.76B","-3.32%"
"Jun 27, 2021","0.263852","0.245715","0.266204","0.240106","3.12B","7.84%"
"Jun 26, 2021","0.244672","0.237536","0.254761","0.230747","4.13B","2.99%"
"Jun 25, 2021","0.237565","0.262855","0.288556","0.229007","9.17B","-9.61%"
"Jun 24, 2021","0.262808","0.234948","0.268676","0.222169","5.72B","11.86%"
"Jun 23, 2021","0.234934","0.190350","0.247364","0.181047","9.45B","23.42%"
"Jun 22, 2021","0.190348","0.179103","0.216312","0.164609","12.28B","6.12%"
"Jun 21, 2021","0.179371","0.279146","0.280051","0.167640","12.11B","-35.72%"
"Jun 20, 2021","0.279030","0.281178","0.288347","0.254218","2.67B","-0.78%"
"Jun 19, 2021","0.281223","0.291253","0.295581","0.281212","1.13B","-3.44%"
"Jun 18, 2021","0.291253","0.302532","0.303863","0.278563","2.23B","-3.73%"
"Jun 17, 2021","0.302527","0.304353","0.310874","0.299627","1.17B","-0.60%"
"Jun 16, 2021","0.304355","0.318170","0.319177","0.302738","1.58B","-4.35%"
"Jun 15, 2021","0.318183","0.326036","0.328690","0.314971","1.69B","-2.41%"
"Jun 14, 2021","0.326031","0.321525","0.335614","0.317576","2.12B","1.41%"
"Jun 13, 2021","0.321496","0.309628","0.326631","0.303964","1.66B","3.84%"
"Jun 12, 2021","0.309604","0.316841","0.316841","0.299227","1.99B","-2.28%"
"Jun 11, 2021","0.316842","0.325036","0.331803","0.310883","2.01B","-2.48%"
"Jun 10, 2021","0.324914","0.342524","0.344416","0.321813","2.26B","-5.15%"
"Jun 09, 2021","0.342546","0.326036","0.352889","0.312234","3.51B","5.07%"
"Jun 08, 2021","0.326014","0.330335","0.340160","0.296348","4.84B","-1.11%"
"Jun 07, 2021","0.329668","0.369419","0.377236","0.326892","3.31B","-10.73%"
"Jun 06, 2021","0.369287","0.371029","0.375676","0.365641","1.81B","-0.48%"
"Jun 05, 2021","0.371083","0.375948","0.392679","0.359655","3.84B","-1.29%"
"Jun 04, 2021","0.375950","0.399356","0.399609","0.349920","6.71B","-5.86%"
"Jun 03, 2021","0.399332","0.423221","0.440261","0.377310","7.34B","-5.62%"
"Jun 02, 2021","0.423130","0.369067","0.444100","0.351944","12.20B","14.65%"
"Jun 01, 2021","0.369066","0.323958","0.381584","0.310439","6.84B","13.93%"
"May 31, 2021","0.323951","0.300772","0.327625","0.293505","2.89B","7.55%"
"May 30, 2021","0.301199","0.302124","0.310034","0.286698","2.35B","-0.31%"
"May 29, 2021","0.302128","0.310742","0.317036","0.279573","3.10B","-2.77%"
"May 28, 2021","0.310730","0.332085","0.344428","0.300120","4.16B","-6.42%"
"May 27, 2021","0.332046","0.350464","0.350524","0.325240","2.96B","-5.26%"
"May 26, 2021","0.350483","0.345548","0.364539","0.336194","3.83B","1.45%"
"May 25, 2021","0.345477","0.364394","0.379504","0.323238","6.50B","-5.20%"
"May 24, 2021","0.364433","0.305975","0.369911","0.295792","8.16B","19.10%"
"May 23, 2021","0.305984","0.341509","0.349669","0.249235","9.45B","-10.40%"
"May 22, 2021","0.341484","0.358377","0.359675","0.317692","6.33B","-4.72%"
