"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","3.9272","4.1384","4.2064","3.8565","70.22M","-5.06%"
"Jun 30, 2021","4.1367","4.1245","4.2992","3.8374","75.79M","0.30%"
"Jun 29, 2021","4.1245","3.8499","4.2887","3.8409","89.46M","7.20%"
"Jun 28, 2021","3.8473","3.7738","3.9425","3.6879","58.44M","2.06%"
"Jun 27, 2021","3.7698","3.5701","3.7748","3.4894","54.04M","5.59%"
"Jun 26, 2021","3.5701","3.5397","3.6544","3.3535","68.88M","0.85%"
"Jun 25, 2021","3.5401","3.9198","4.0206","3.5104","88.96M","-9.67%"
"Jun 24, 2021","3.9192","3.6687","3.9249","3.5208","67.40M","6.89%"
"Jun 23, 2021","3.6667","3.3854","3.8013","3.2549","66.35M","8.34%"
"Jun 22, 2021","3.3844","3.5220","3.7597","3.0446","101.02M","-4.02%"
"Jun 21, 2021","3.5260","4.5054","4.5210","3.5069","83.64M","-21.73%"
"Jun 20, 2021","4.5048","4.4612","4.5314","4.1096","59.45M","0.91%"
"Jun 19, 2021","4.4642","4.5644","4.6976","4.4552","50.06M","-2.02%"
"Jun 18, 2021","4.5564","4.8735","4.8853","4.4170","57.87M","-6.47%"
"Jun 17, 2021","4.8714","4.8645","5.0804","4.7560","49.26M","0.16%"
"Jun 16, 2021","4.8637","5.1837","5.2320","4.8253","62.38M","-6.20%"
"Jun 15, 2021","5.1852","5.2972","5.3934","5.1123","67.42M","-2.12%"
"Jun 14, 2021","5.2976","5.0897","5.3219","4.9578","69.66M","4.09%"
"Jun 13, 2021","5.0896","4.8260","5.1087","4.6662","60.59M","5.52%"
"Jun 12, 2021","4.8235","4.9188","4.9188","4.5889","72.00M","-1.94%"
"Jun 11, 2021","4.9188","5.0790","5.3768","4.8610","77.24M","-3.15%"
"Jun 10, 2021","5.0788","5.3321","5.4419","4.9341","87.72M","-4.75%"
"Jun 09, 2021","5.3318","5.0501","5.3811","4.7766","120.45M","5.62%"
"Jun 08, 2021","5.0479","5.1887","5.2525","4.5093","152.80M","-2.76%"
"Jun 07, 2021","5.1914","5.8452","5.9672","5.0977","158.95M","-11.16%"
"Jun 06, 2021","5.8437","5.7768","5.9458","5.7153","135.74M","1.17%"
"Jun 05, 2021","5.7763","6.0183","6.2192","5.6488","147.31M","-4.06%"
"Jun 04, 2021","6.0206","6.5313","6.5395","5.7922","160.78M","-7.82%"
"Jun 03, 2021","6.5316","6.3713","6.6960","6.2346","157.31M","2.50%"
"Jun 02, 2021","6.3723","6.3046","6.5456","6.1296","161.62M","1.08%"
"Jun 01, 2021","6.3043","6.6326","6.7467","6.0833","172.32M","-5.00%"
"May 31, 2021","6.6359","6.0299","6.6704","5.7499","191.36M","9.88%"
"May 30, 2021","6.0390","6.0197","6.3572","5.5561","194.78M","0.35%"
"May 29, 2021","6.0177","6.1138","6.7953","5.7571","246.60M","-1.60%"
"May 28, 2021","6.1156","7.0001","7.0558","5.8378","276.30M","-12.59%"
"May 27, 2021","6.9967","6.4326","7.6334","6.0812","292.26M","8.80%"
"May 26, 2021","6.4306","5.6960","6.4959","5.5454","215.78M","12.87%"
"May 25, 2021","5.6974","5.6377","5.9935","5.0660","241.11M","1.23%"
