"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.146","1.163","1.242","1.082","41.53M","-1.44%"
"Jun 30, 2021","1.163","1.088","1.163","1.037","31.05M","6.85%"
"Jun 29, 2021","1.088","1.026","1.133","1.026","21.63M","6.09%"
"Jun 28, 2021","1.026","1.004","1.038","0.978","15.83M","2.59%"
"Jun 27, 2021","1.000","0.953","1.002","0.930","11.91M","5.11%"
"Jun 26, 2021","0.951","0.944","0.985","0.892","15.02M","0.72%"
"Jun 25, 2021","0.944","1.073","1.109","0.933","22.17M","-11.98%"
"Jun 24, 2021","1.073","1.049","1.079","0.976","21.28M","2.25%"
"Jun 23, 2021","1.049","0.912","1.084","0.880","31.98M","15.01%"
"Jun 22, 2021","0.912","0.941","1.008","0.766","50.59M","-3.02%"
"Jun 21, 2021","0.941","1.250","1.262","0.932","38.99M","-24.73%"
"Jun 20, 2021","1.250","1.239","1.269","1.139","16.18M","0.91%"
"Jun 19, 2021","1.239","1.276","1.298","1.236","10.42M","-2.89%"
"Jun 18, 2021","1.276","1.399","1.400","1.227","18.39M","-8.79%"
"Jun 17, 2021","1.399","1.398","1.495","1.375","21.88M","0.00%"
"Jun 16, 2021","1.398","1.404","1.530","1.352","45.12M","-0.43%"
"Jun 15, 2021","1.404","1.427","1.483","1.370","25.86M","-1.63%"
"Jun 14, 2021","1.427","1.306","1.476","1.272","38.19M","9.26%"
"Jun 13, 2021","1.306","1.237","1.324","1.198","18.58M","6.07%"
"Jun 12, 2021","1.232","1.300","1.331","1.155","32.03M","-5.26%"
"Jun 11, 2021","1.300","1.292","1.567","1.246","61.56M","0.77%"
"Jun 10, 2021","1.290","1.372","1.380","1.250","15.45M","-6.01%"
"Jun 09, 2021","1.372","1.331","1.372","1.237","22.35M","3.11%"
"Jun 08, 2021","1.331","1.336","1.369","1.152","26.92M","-0.37%"
"Jun 07, 2021","1.336","1.479","1.522","1.323","17.14M","-9.64%"
"Jun 06, 2021","1.479","1.454","1.517","1.441","11.05M","1.71%"
"Jun 05, 2021","1.454","1.499","1.595","1.405","22.79M","-3.04%"
"Jun 04, 2021","1.499","1.649","1.704","1.421","33.52M","-9.05%"
"Jun 03, 2021","1.649","1.578","1.692","1.540","27.36M","4.50%"
"Jun 02, 2021","1.578","1.570","1.645","1.529","24.78M","0.46%"
"Jun 01, 2021","1.570","1.629","1.714","1.545","34.59M","-3.59%"
"May 31, 2021","1.629","1.518","1.651","1.431","62.04M","6.65%"
"May 30, 2021","1.527","1.350","1.745","1.247","106.46M","13.13%"
"May 29, 2021","1.350","1.429","1.476","1.230","43.58M","-5.54%"
"May 28, 2021","1.429","1.714","1.745","1.330","73.25M","-16.61%"
"May 27, 2021","1.714","1.933","2.001","1.659","91.26M","-10.92%"
"May 26, 2021","1.924","1.237","2.054","1.204","129.45M","55.53%"
"May 25, 2021","1.237","1.261","1.310","1.090","38.91M","-1.90%"
"May 24, 2021","1.261","0.944","1.326","0.918","68.08M","33.58%"
"May 23, 2021","0.944","1.185","1.220","0.741","56.60M","-20.29%"
"May 22, 2021","1.184","1.280","1.294","1.116","27.59M","-7.52%"
"May 21, 2021","1.280","1.483","1.592","1.057","45.77M","-13.69%"
"May 20, 2021","1.483","1.198","1.563","1.037","55.94M","23.82%"
"May 19, 2021","1.198","1.889","1.935","0.867","68.66M","-36.57%"
"May 18, 2021","1.889","1.800","2.016","1.775","26.17M","4.93%"
"May 17, 2021","1.800","1.967","1.989","1.722","31.87M","-8.50%"
"May 16, 2021","1.967","1.951","2.153","1.817","32.21M","0.98%"
"May 15, 2021","1.948","2.127","2.146","1.938","27.93M","-8.42%"
"May 14, 2021","2.127","2.053","2.177","2.041","19.89M","3.58%"
"May 13, 2021","2.053","2.020","2.178","1.873","30.59M","3.05%"
"May 12, 2021","1.993","2.334","2.599","1.993","42.79M","-14.62%"
"May 11, 2021","2.334","2.200","2.348","2.142","21.35M","6.10%"
"May 10, 2021","2.200","2.432","2.502","2.043","23.68M","-9.55%"
"May 09, 2021","2.432","2.467","2.480","2.324","16.43M","-1.42%"
"May 08, 2021","2.467","2.490","2.590","2.427","20.09M","-0.90%"
"May 07, 2021","2.490","2.475","2.716","2.402","37.45M","0.59%"
"May 06, 2021","2.475","2.586","2.589","2.403","25.29M","-4.43%"
"May 05, 2021","2.590","2.311","2.616","2.311","28.55M","12.04%"
"May 04, 2021","2.311","2.618","2.626","2.311","32.77M","-11.70%"
"May 03, 2021","2.618","2.627","2.739","2.591","25.07M","-0.35%"
"May 02, 2021","2.627","2.718","2.725","2.591","19.25M","-3.36%"
"May 01, 2021","2.718","2.765","2.824","2.658","22.59M","-1.71%"
"Apr 30, 2021","2.765","2.642","2.800","2.565","30.86M","4.68%"
"Apr 29, 2021","2.642","2.729","2.848","2.522","44.74M","-3.20%"
"Apr 28, 2021","2.729","2.600","2.775","2.360","52.12M","4.97%"
"Apr 27, 2021","2.600","2.538","2.649","2.470","29.34M","2.43%"
"Apr 26, 2021","2.538","2.033","2.551","2.011","44.67M","24.85%"
"Apr 25, 2021","2.033","2.015","2.233","1.922","19.93M","0.90%"
"Apr 24, 2021","2.015","2.239","2.253","1.993","22.35M","-10.04%"
"Apr 23, 2021","2.239","2.215","2.255","1.728","58.27M","1.12%"
"Apr 22, 2021","2.215","2.474","2.570","2.183","37.09M","-10.49%"
"Apr 21, 2021","2.474","2.564","2.791","2.464","38.54M","-3.50%"
"Apr 20, 2021","2.564","2.404","2.619","2.167","34.96M","6.62%"
"Apr 19, 2021","2.405","2.690","2.766","2.380","26.74M","-10.60%"
"Apr 18, 2021","2.690","2.963","2.985","2.194","39.03M","-9.12%"
"Apr 17, 2021","2.960","3.014","3.153","2.937","29.45M","-1.79%"
"Apr 16, 2021","3.014","3.167","3.190","2.837","35.90M","-4.85%"
"Apr 15, 2021","3.167","2.908","3.266","2.867","40.96M","8.82%"
"Apr 14, 2021","2.911","3.075","3.091","2.791","33.44M","-5.36%"
"Apr 13, 2021","3.075","3.001","3.225","2.963","40.62M","2.47%"
"Apr 12, 2021","3.001","3.118","3.151","2.910","37.56M","-3.74%"
"Apr 11, 2021","3.118","3.220","3.293","2.998","55.87M","-3.17%"
"Apr 10, 2021","3.220","3.424","3.562","3.144","100.07M","-6.69%"
"Apr 09, 2021","3.450","3.242","3.983","3.122","216.05M","6.42%"
"Apr 08, 2021","3.242","2.843","3.469","2.585","222.62M","14.04%"
"Apr 07, 2021","2.843","2.322","2.856","2.029","155.74M","22.45%"
