"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","53.1337","57.5411","58.2616","52.4066","22.62M","-7.62%"
"Jun 30, 2021","57.5143","56.3138","62.3675","51.8284","45.70M","2.13%"
"Jun 29, 2021","56.3138","43.3521","58.5553","43.1681","31.54M","29.98%"
"Jun 28, 2021","43.3250","42.3187","44.5044","41.0986","20.45M","2.47%"
"Jun 27, 2021","42.2821","40.5122","42.4637","39.3882","18.63M","4.38%"
"Jun 26, 2021","40.5082","39.4154","40.9193","37.5647","19.65M","2.73%"
"Jun 25, 2021","39.4328","43.1115","45.3277","38.9797","24.52M","-8.52%"
"Jun 24, 2021","43.1038","40.7679","43.5199","38.7570","23.14M","5.67%"
"Jun 23, 2021","40.7898","36.5400","42.8284","34.6997","25.28M","11.70%"
"Jun 22, 2021","36.5187","39.5258","42.6476","32.2691","27.52M","-7.62%"
"Jun 21, 2021","39.5292","50.9585","51.4131","38.5687","26.51M","-22.48%"
"Jun 20, 2021","50.9923","50.9326","51.4967","47.0007","21.21M","0.16%"
"Jun 19, 2021","50.9095","52.5732","53.2330","50.8732","20.69M","-3.07%"
"Jun 18, 2021","52.5194","55.5572","55.5618","50.5810","21.93M","-5.48%"
"Jun 17, 2021","55.5663","55.3529","57.2465","54.3289","21.88M","0.38%"
"Jun 16, 2021","55.3585","58.1663","58.3123","54.8953","22.95M","-4.86%"
"Jun 15, 2021","58.1887","59.2584","60.1731","57.3573","25.00M","-1.80%"
"Jun 14, 2021","59.2574","59.2131","60.4187","56.4350","25.49M","0.12%"
"Jun 13, 2021","59.1840","55.2115","60.6222","53.7796","25.64M","7.23%"
"Jun 12, 2021","55.1917","56.9248","57.0143","53.1420","26.19M","-3.05%"
"Jun 11, 2021","56.9305","57.9005","60.7142","56.1139","28.48M","-1.68%"
"Jun 10, 2021","57.9004","62.2749","63.3460","57.1304","39.75M","-6.98%"
"Jun 09, 2021","62.2445","56.7050","62.5487","53.5506","54.51M","9.77%"
"Jun 08, 2021","56.7068","58.0392","59.1164","49.6996","52.58M","-2.19%"
"Jun 07, 2021","57.9774","64.0481","65.1304","57.3886","49.11M","-9.46%"
"Jun 06, 2021","64.0355","63.1042","65.6032","62.7556","48.14M","1.46%"
"Jun 05, 2021","63.1124","64.7559","67.3849","61.7030","52.56M","-2.53%"
"Jun 04, 2021","64.7535","69.8705","69.9084","61.4907","54.62M","-7.29%"
"Jun 03, 2021","69.8471","68.3850","72.6050","67.1795","52.00M","2.15%"
"Jun 02, 2021","68.3801","67.7817","70.2483","65.8336","51.72M","0.88%"
"Jun 01, 2021","67.7820","70.0970","71.7846","65.7552","53.77M","-3.37%"
"May 31, 2021","70.1495","66.0566","70.6039","61.9379","55.59M","5.96%"
"May 30, 2021","66.2010","64.3093","68.2254","59.8800","56.52M","2.99%"
"May 29, 2021","64.2769","68.1937","70.8663","61.0124","61.36M","-5.79%"
"May 28, 2021","68.2287","74.6338","79.3402","63.6570","76.97M","-8.40%"
"May 27, 2021","74.4887","79.8279","79.8505","71.1911","72.08M","-6.65%"
"May 26, 2021","79.7978","78.3382","83.1994","74.0249","76.84M","1.80%"
"May 25, 2021","78.3835","73.4944","82.9155","70.1271","93.43M","6.64%"
"May 24, 2021","73.5054","51.5416","74.7373","48.9110","74.95M","42.64%"
"May 23, 2021","51.5337","58.5320","62.5506","40.0060","88.25M","-11.92%"
"May 22, 2021","58.5067","64.1978","64.7593","54.2814","372.14M","-8.96%"
"May 21, 2021","64.2677","73.7796","78.1060","54.6682","700.66M","-12.94%"
"May 20, 2021","73.8199","59.3726","79.0219","54.5274","762.95M","23.71%"
"May 19, 2021","59.6707","88.6051","90.2152","39.8758","832.61M","-32.68%"
"May 18, 2021","88.6406","89.5877","95.5691","86.0009","761.92M","-1.22%"
"May 17, 2021","89.7338","93.7068","94.3161","80.4819","859.67M","-4.36%"
"May 16, 2021","93.8290","94.9685","103.2633","87.0287","859.25M","-1.23%"
"May 15, 2021","94.9933","103.3899","114.6325","94.7659","1.04B","-8.04%"
"May 14, 2021","103.2998","88.2417","109.4408","86.5548","1.03B","17.07%"
"May 13, 2021","88.2403","84.9866","94.8217","76.9054","982.53M","4.94%"
"May 12, 2021","84.0866","111.1690","114.1692","81.8903","1.09B","-24.32%"
"May 11, 2021","111.1127","105.0895","117.6309","102.2644","1.24B","5.76%"
"May 10, 2021","105.0571","117.9117","129.5448","91.3245","1.26B","-10.90%"
"May 09, 2021","117.9116","127.3868","129.6396","113.1061","1.20B","-7.43%"
"May 08, 2021","127.3800","119.6205","134.3130","110.3032","1.15B","6.57%"
"May 07, 2021","119.5318","133.8445","148.6524","108.6036","1.43B","-10.69%"
"May 06, 2021","133.8455","94.1013","177.0757","87.4623","1.49B","42.24%"
"May 05, 2021","94.1017","71.0335","99.5209","71.0335","865.45M","35.07%"
"May 04, 2021","69.6714","52.0681","71.4893","49.2236","615.10M","33.81%"
"May 03, 2021","52.0689","44.8908","52.3503","44.2694","424.44M","16.01%"
"May 02, 2021","44.8828","44.7439","46.6133","42.0257","390.23M","0.43%"
"May 01, 2021","44.6899","36.3485","46.5065","36.2460","343.76M","22.95%"
"Apr 30, 2021","36.3485","34.5088","36.7474","33.7592","262.89M","5.33%"
"Apr 29, 2021","34.5089","35.0792","35.3485","33.6272","262.87M","-1.66%"
"Apr 28, 2021","35.0916","33.8116","36.3571","32.3113","293.29M","3.82%"
"Apr 27, 2021","33.8000","32.8099","34.3606","31.9413","283.14M","2.87%"
"Apr 26, 2021","32.8585","29.2812","32.9112","28.9495","311.59M","12.44%"
"Apr 25, 2021","29.2230","29.6555","31.8273","27.8556","275.49M","-1.53%"
"Apr 24, 2021","29.6785","32.5645","32.8469","29.3193","300.77M","-8.86%"
"Apr 23, 2021","32.5651","33.5833","34.5012","25.1224","349.73M","-3.03%"
"Apr 22, 2021","33.5838","31.9666","39.4982","31.5780","379.50M","5.02%"
"Apr 21, 2021","31.9787","33.7748","35.5026","31.6304","303.26M","-5.37%"
"Apr 20, 2021","33.7925","33.4438","35.2618","30.0577","309.21M","1.04%"
"Apr 19, 2021","33.4453","37.1051","38.3290","32.1901","321.22M","-9.95%"
"Apr 18, 2021","37.1390","37.7159","39.1133","31.2875","425.48M","-1.98%"
"Apr 17, 2021","37.8910","38.3103","49.6314","37.3025","482.59M","-1.11%"
"Apr 16, 2021","38.3147","28.5805","45.4272","28.5805","326.10M","34.06%"
"Apr 15, 2021","28.5804","21.9017","29.7795","21.4590","198.47M","30.50%"
"Apr 14, 2021","21.9005","21.2169","22.6945","20.1505","167.60M","3.18%"
"Apr 13, 2021","21.2249","19.5325","22.0162","19.4223","161.39M","8.60%"
"Apr 12, 2021","19.5433","20.3683","20.5641","18.9901","153.87M","-4.13%"
"Apr 11, 2021","20.3856","20.4444","21.5128","19.8413","160.58M","-0.29%"
"Apr 10, 2021","20.4450","18.7756","21.2129","18.3207","156.16M","8.96%"
"Apr 09, 2021","18.7646","19.6048","20.0969","18.5705","150.50M","-4.28%"
"Apr 08, 2021","19.6044","19.1577","19.8366","18.0078","149.75M","2.48%"
"Apr 07, 2021","19.1301","17.7649","20.7839","16.9903","156.88M","7.92%"
"Apr 06, 2021","17.7260","16.0881","18.5929","15.9730","143.52M","10.18%"
"Apr 05, 2021","16.0880","14.5478","16.1007","14.3202","126.16M","10.59%"
"Apr 04, 2021","14.5478","13.5698","14.5727","13.3588","114.16M","7.21%"
"Apr 03, 2021","13.5699","15.2506","15.3411","13.5134","118.73M","-11.05%"
"Apr 02, 2021","15.2565","14.3170","15.6205","14.1048","117.84M","6.49%"
"Apr 01, 2021","14.3270","14.1109","14.4873","13.5713","113.54M","1.65%"
"Mar 31, 2021","14.0939","13.0222","14.3485","12.6143","107.08M","8.18%"
"Mar 30, 2021","13.0279","12.6398","13.0548","12.3487","94.11M","3.04%"
"Mar 29, 2021","12.6437","11.8668","12.7532","11.7319","94.11M","6.55%"
"Mar 28, 2021","11.8668","11.7887","12.0548","11.7127","89.11M","0.67%"
"Mar 27, 2021","11.7884","11.7547","11.9733","11.4362","88.73M","0.28%"
"Mar 26, 2021","11.7553","11.0835","11.7582","11.0762","88.23M","6.10%"
"Mar 25, 2021","11.0794","11.2983","11.4618","10.7661","91.35M","-1.95%"
"Mar 24, 2021","11.2992","12.2359","12.6239","11.0964","97.40M","-7.62%"
"Mar 23, 2021","12.2312","11.6571","12.6649","11.6136","105.65M","4.93%"
"Mar 22, 2021","11.6568","11.9810","12.3902","11.5800","96.07M","-2.73%"
"Mar 21, 2021","11.9835","12.3113","12.4588","11.9319","89.77M","-2.67%"
"Mar 20, 2021","12.3122","12.2613","12.8669","12.2192","90.44M","0.40%"
"Mar 19, 2021","12.2628","12.1638","12.4299","11.9214","92.02M","0.83%"
"Mar 18, 2021","12.1625","12.5765","12.6642","12.1064","97.13M","-3.32%"
"Mar 17, 2021","12.5801","12.4208","12.5830","11.7654","96.28M","1.23%"
