"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","56.70","60.32","60.42","55.29","2.17M","-5.99%"
"Jun 30, 2021","60.31","64.29","65.33","56.59","3.83M","-6.18%"
"Jun 29, 2021","64.29","56.41","66.10","56.23","3.64M","13.97%"
"Jun 28, 2021","56.41","56.17","57.69","54.98","2.48M","0.43%"
"Jun 27, 2021","56.17","52.98","56.44","52.74","2.15M","6.02%"
"Jun 26, 2021","52.98","52.12","53.27","50.04","2.29M","1.64%"
"Jun 25, 2021","52.12","57.08","57.84","50.44","3.26M","-8.69%"
"Jun 24, 2021","57.08","58.82","59.16","54.39","2.97M","-2.95%"
"Jun 23, 2021","58.82","49.31","58.87","47.51","4.26M","19.31%"
"Jun 22, 2021","49.30","46.36","52.05","42.88","6.10M","6.34%"
"Jun 21, 2021","46.36","63.17","63.64","45.19","5.35M","-26.61%"
"Jun 20, 2021","63.17","64.73","64.94","60.02","2.37M","-2.42%"
"Jun 19, 2021","64.73","65.59","66.82","64.37","1.18M","-1.30%"
"Jun 18, 2021","65.59","68.86","68.93","63.63","1.53M","-4.75%"
"Jun 17, 2021","68.86","69.64","72.03","67.07","1.28M","-1.12%"
"Jun 16, 2021","69.64","72.61","72.61","68.67","1.52M","-4.10%"
"Jun 15, 2021","72.62","74.89","75.83","71.85","1.62M","-3.07%"
"Jun 14, 2021","74.92","73.13","77.24","71.94","1.84M","2.44%"
"Jun 13, 2021","73.13","69.59","73.68","68.65","1.41M","5.10%"
"Jun 12, 2021","69.59","70.78","71.28","66.25","2.04M","-1.64%"
"Jun 11, 2021","70.75","73.26","74.05","69.80","1.72M","-3.43%"
"Jun 10, 2021","73.26","77.77","78.92","71.81","2.57M","-5.80%"
"Jun 09, 2021","77.77","76.02","78.34","71.04","3.55M","2.29%"
"Jun 08, 2021","76.02","82.10","83.74","70.70","5.33M","-7.40%"
"Jun 07, 2021","82.10","87.01","92.01","80.22","3.20M","-5.64%"
"Jun 06, 2021","87.01","88.13","89.01","86.02","1.58M","-1.28%"
"Jun 05, 2021","88.13","87.78","92.77","85.98","3.27M","0.40%"
"Jun 04, 2021","87.78","89.43","97.61","84.97","7.42M","-1.84%"
"Jun 03, 2021","89.43","70.09","93.90","69.51","6.00M","27.69%"
"Jun 02, 2021","70.04","69.20","71.91","68.20","1.51M","1.21%"
