"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.9958","0.9984","0.9999","0.9921","5.10M","-0.26%"
"Jun 30, 2021","0.9984","0.9958","1.0016","0.9919","7.47M","0.26%"
"Jun 29, 2021","0.9958","0.9989","0.9999","0.9839","7.13M","-0.32%"
"Jun 28, 2021","0.9989","0.9954","0.9990","0.9904","6.35M","0.36%"
"Jun 27, 2021","0.9954","0.9970","1.0043","0.9889","6.73M","-0.15%"
"Jun 26, 2021","0.9969","0.9949","1.0005","0.9897","8.17M","0.20%"
"Jun 25, 2021","0.9949","0.9940","0.9986","0.9865","8.00M","0.09%"
"Jun 24, 2021","0.9940","0.9964","0.9969","0.9905","7.87M","-0.24%"
"Jun 23, 2021","0.9964","0.9951","0.9982","0.9900","7.39M","0.13%"
"Jun 22, 2021","0.9951","0.9951","1.0025","0.9877","9.33M","0.00%"
"Jun 21, 2021","0.9951","1.0000","1.0015","0.9890","10.91M","-0.49%"
"Jun 20, 2021","1.0000","0.9974","1.0009","0.9915","8.51M","0.25%"
"Jun 19, 2021","0.9975","1.0027","1.0036","0.9910","7.22M","-0.52%"
"Jun 18, 2021","1.0027","0.9986","1.0153","0.9879","7.63M","0.41%"
"Jun 17, 2021","0.9986","0.9984","1.0057","0.9931","11.05M","0.01%"
"Jun 16, 2021","0.9985","1.0041","1.0121","0.9915","7.41M","-0.56%"
"Jun 15, 2021","1.0041","1.0068","1.0130","0.9984","8.97M","-0.26%"
"Jun 14, 2021","1.0067","1.0067","1.0137","0.9975","8.98M","0.01%"
"Jun 13, 2021","1.0066","1.0081","1.0131","1.0014","7.19M","-0.13%"
"Jun 12, 2021","1.0079","1.0079","1.0081","1.0026","6.79M","0.00%"
"Jun 11, 2021","1.0079","1.0124","1.0154","1.0013","7.84M","-0.43%"
"Jun 10, 2021","1.0123","1.0054","1.0234","1.0006","9.71M","0.68%"
"Jun 09, 2021","1.0055","1.0035","1.0127","0.9966","9.06M","0.19%"
"Jun 08, 2021","1.0036","0.9978","1.0161","0.9934","8.46M","0.58%"
"Jun 07, 2021","0.9978","0.9949","1.0000","0.9915","10.11M","0.29%"
"Jun 06, 2021","0.9949","0.9972","1.0080","0.9936","11.33M","-0.24%"
"Jun 05, 2021","0.9973","0.9972","0.9975","0.9938","10.82M","0.01%"
"Jun 04, 2021","0.9972","0.9965","0.9974","0.9913","12.99M","0.07%"
"Jun 03, 2021","0.9965","0.9969","1.0018","0.9487","11.00M","-0.04%"
"Jun 02, 2021","0.9969","0.9986","1.0018","0.9914","10.87M","-0.17%"
"Jun 01, 2021","0.9986","1.0016","1.0083","0.9935","13.20M","-0.29%"
"May 31, 2021","1.0015","0.9999","1.0025","0.9949","6.85M","0.15%"
"May 30, 2021","1.0000","1.0000","1.0010","0.9921","8.52M","0.00%"
"May 29, 2021","1.0000","0.9985","1.0011","0.9908","8.52M","0.14%"
"May 28, 2021","0.9986","1.0013","1.0016","0.9919","9.63M","-0.29%"
"May 27, 2021","1.0015","0.9997","1.0025","0.9914","3.09M","0.18%"
"May 26, 2021","0.9997","0.9998","1.0000","0.9903","6.51M","-0.01%"
"May 25, 2021","0.9998","0.9979","1.0000","0.9901","8.34M","0.18%"
"May 24, 2021","0.9980","0.9998","0.9998","0.9891","7.87M","-0.18%"
"May 23, 2021","0.9998","0.9946","1.0008","0.9903","7.60M","0.51%"
"May 22, 2021","0.9947","0.9993","1.0036","0.9890","7.87M","-0.46%"
"May 21, 2021","0.9993","0.9951","0.9995","0.9892","6.56M","0.42%"
"May 20, 2021","0.9951","0.9966","1.0028","0.9876","5.12M","-0.15%"
"May 19, 2021","0.9966","0.9957","1.1068","0.5519","3.26M","0.09%"
"May 18, 2021","0.9957","0.9966","0.9988","0.9939","4.75M","-0.09%"
"May 17, 2021","0.9966","0.9971","1.0006","0.9939","3.73M","-0.04%"
"May 16, 2021","0.9970","0.9965","1.0025","0.9857","5.02M","0.04%"
"May 15, 2021","0.9966","0.9939","1.0020","0.9857","6.18M","0.26%"
"May 14, 2021","0.9940","0.9978","1.0033","0.9879","5.32M","-0.38%"
"May 13, 2021","0.9978","0.9949","1.0036","0.9888","3.52M","0.29%"
"May 12, 2021","0.9949","0.9958","0.9961","0.9860","3.08M","-0.09%"
"May 11, 2021","0.9958","0.9939","1.0023","0.9870","4.93M","0.19%"
"May 10, 2021","0.9939","0.9989","1.0038","0.9863","3.24M","-0.49%"
"May 09, 2021","0.9988","0.9972","1.0040","0.9884","4.64M","0.16%"
"May 08, 2021","0.9972","0.9972","0.9975","0.9871","2.76M","-0.01%"
"May 07, 2021","0.9973","0.9946","1.0018","0.9884","3.31M","0.29%"
"May 06, 2021","0.9944","1.0001","1.0048","0.9862","1.58M","-0.58%"
"May 05, 2021","1.0002","0.9949","1.0063","0.9931","4.33M","0.53%"
"May 04, 2021","0.9949","0.9981","0.9998","0.9924","5.34M","-0.32%"
"May 03, 2021","0.9981","0.9957","1.0051","0.9929","3.96M","0.24%"
"May 02, 2021","0.9957","0.9969","1.0015","0.9955","2.18M","-0.12%"
"May 01, 2021","0.9969","0.9998","1.0007","0.9902","4.61M","-0.29%"
"Apr 30, 2021","0.9998","1.0004","1.0061","0.9923","4.26M","-0.07%"
"Apr 29, 2021","1.0005","0.9993","1.0061","0.9921","7.69M","0.14%"
"Apr 28, 2021","0.9992","0.9994","1.0032","0.9922","6.29M","0.21%"
"Apr 27, 2021","0.9970","0.9970","1.0002","0.9966","5.02M","0.01%"
"Apr 26, 2021","0.9970","0.9989","1.0002","0.9967","5.87M","-0.19%"
"Apr 25, 2021","0.9989","0.9996","0.9997","0.9934","5.44M","-0.07%"
