"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","163.63","172.10","173.08","162.85","0.34K","-4.92%"
"Jun 30, 2021","172.10","164.80","173.28","161.93","0.35K","4.43%"
"Jun 29, 2021","164.80","157.11","166.99","157.08","0.37K","4.89%"
"Jun 28, 2021","157.11","145.00","158.44","143.91","0.41K","8.35%"
"Jun 27, 2021","145.00","133.03","145.00","130.26","0.34K","9.00%"
"Jun 26, 2021","133.03","131.81","139.78","123.88","0.11K","0.93%"
"Jun 25, 2021","131.81","148.76","148.76","131.75","0.40K","-11.39%"
"Jun 24, 2021","148.76","148.17","151.46","146.11","0.41K","0.40%"
"Jun 23, 2021","148.17","137.29","150.88","137.29","0.44K","7.92%"
"Jun 22, 2021","137.29","137.26","149.89","127.68","0.63K","0.02%"
"Jun 21, 2021","137.26","163.24","163.86","135.45","1.34K","-15.92%"
"Jun 20, 2021","163.24","161.73","165.69","151.91","0.50K","0.93%"
"Jun 19, 2021","161.73","162.13","166.97","160.54","0.36K","-0.25%"
"Jun 18, 2021","162.13","170.56","171.78","160.26","0.27K","-4.94%"
"Jun 17, 2021","170.56","172.52","174.15","170.56","0.09K","-1.14%"
"Jun 16, 2021","172.52","184.73","184.73","172.52","0.45K","-6.61%"
"Jun 15, 2021","184.73","180.71","185.22","180.63","0.19K","2.22%"
"Jun 14, 2021","180.71","176.65","182.73","172.74","0.32K","2.30%"
"Jun 13, 2021","176.65","171.33","176.78","167.66","0.66K","3.11%"
"Jun 12, 2021","171.33","169.78","172.02","163.97","0.38K","0.91%"
"Jun 11, 2021","169.78","176.99","176.99","169.69","0.28K","-4.07%"
"Jun 10, 2021","176.99","178.65","180.63","175.55","0.23K","-0.93%"
"Jun 09, 2021","178.65","172.93","180.15","170.02","0.48K","3.31%"
"Jun 08, 2021","172.93","184.51","184.53","165.29","1.06K","-6.28%"
"Jun 07, 2021","184.51","186.94","193.79","184.51","0.35K","-1.30%"
"Jun 06, 2021","186.94","180.60","190.49","180.60","0.20K","3.51%"
"Jun 05, 2021","180.60","184.33","192.58","180.60","0.39K","-2.02%"
"Jun 04, 2021","184.33","194.61","194.61","181.13","0.55K","-5.28%"
"Jun 03, 2021","194.61","189.23","194.61","187.62","0.34K","2.84%"
"Jun 02, 2021","189.23","180.20","189.96","178.36","0.43K","5.01%"
"Jun 01, 2021","180.20","187.49","189.53","178.41","0.48K","-3.89%"
"May 31, 2021","187.49","169.61","190.69","163.87","0.87K","10.54%"
"May 30, 2021","169.61","160.85","171.17","158.28","0.50K","5.45%"
"May 29, 2021","160.85","169.51","178.23","157.24","0.82K","-5.11%"
"May 28, 2021","169.51","193.87","195.22","167.04","0.80K","-12.57%"
"May 27, 2021","193.87","197.92","198.28","190.58","0.36K","-2.05%"
"May 26, 2021","197.92","191.03","204.41","190.10","0.86K","3.61%"
"May 25, 2021","191.03","177.75","193.31","167.88","1.57K","7.47%"
"May 24, 2021","177.75","139.88","180.56","136.29","1.70K","27.07%"
"May 23, 2021","139.88","153.91","156.81","116.71","1.19K","-9.12%"
"May 22, 2021","153.91","160.75","165.90","150.33","1.41K","-4.26%"
"May 21, 2021","160.75","187.93","195.19","152.04","2.28K","-14.46%"
"May 20, 2021","187.93","168.02","201.26","157.51","1.48K","11.85%"
"May 19, 2021","168.02","236.72","237.21","151.00","3.25K","-29.02%"
"May 18, 2021","236.72","212.18","245.53","211.99","1.71K","11.57%"
"May 17, 2021","212.18","223.65","229.22","207.86","1.60K","-5.13%"
"May 16, 2021","223.65","242.97","244.99","217.25","0.91K","-7.95%"
"May 15, 2021","242.97","255.85","257.40","241.47","0.41K","-5.03%"
"May 14, 2021","255.85","243.84","264.04","242.86","1.26K","4.93%"
"May 13, 2021","243.84","261.61","266.31","242.04","2.21K","-6.79%"
"May 12, 2021","261.61","263.80","285.47","261.38","3.23K","-0.83%"
"May 11, 2021","263.80","273.89","274.40","247.96","13.24K","-3.68%"
"May 10, 2021","273.89","275.91","289.02","268.81","2.60K","-0.73%"
"May 09, 2021","275.91","295.26","306.02","267.62","2.97K","-6.55%"
"May 08, 2021","295.26","255.71","301.90","254.48","2.95K","15.47%"
"May 07, 2021","255.71","256.38","260.00","250.03","0.44K","-0.26%"
"May 06, 2021","256.38","254.78","259.99","251.25","0.45K","0.63%"
"May 05, 2021","254.78","247.08","256.12","239.25","0.76K","3.11%"
"May 04, 2021","247.09","248.38","261.30","240.76","1.61K","-0.52%"
"May 03, 2021","248.38","225.56","248.38","224.47","0.89K","10.12%"
"May 02, 2021","225.56","227.50","227.83","224.07","0.17K","-0.85%"
"May 01, 2021","227.50","220.17","229.15","220.17","0.66K","3.33%"
"Apr 30, 2021","220.17","220.57","225.00","218.51","0.46K","-0.18%"
"Apr 29, 2021","220.57","214.70","221.44","213.18","0.49K","2.73%"
"Apr 28, 2021","214.70","201.84","215.16","201.80","1.35K","6.37%"
"Apr 27, 2021","201.84","191.37","203.32","189.99","0.78K","5.47%"
"Apr 26, 2021","191.37","175.60","192.67","175.60","0.85K","8.98%"
"Apr 25, 2021","175.60","173.77","181.54","171.32","0.80K","1.05%"
"Apr 24, 2021","173.77","183.89","184.95","167.95","1.14K","-5.50%"
"Apr 23, 2021","183.89","188.82","189.05","171.12","1.85K","-2.61%"
"Apr 22, 2021","188.82","182.61","205.62","178.00","2.66K","3.40%"
"Apr 21, 2021","182.61","175.70","185.09","172.61","1.07K","3.93%"
"Apr 20, 2021","175.70","166.20","179.62","162.29","1.06K","5.72%"
"Apr 19, 2021","166.20","168.67","173.10","162.92","0.76K","-1.46%"
"Apr 18, 2021","168.67","180.19","181.50","162.86","2.04K","-6.39%"
