"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.30438","0.29958","0.35549","0.28482","3.14M","1.60%"
"Jun 30, 2021","0.29958","0.28214","0.30145","0.26918","1.97M","6.18%"
"Jun 29, 2021","0.28214","0.25999","0.28241","0.25826","1.15M","8.52%"
"Jun 28, 2021","0.25999","0.25002","0.26898","0.24452","918.82K","3.99%"
"Jun 27, 2021","0.25002","0.23208","0.25383","0.22634","706.64K","7.73%"
"Jun 26, 2021","0.23208","0.23095","0.23496","0.21505","530.31K","0.49%"
"Jun 25, 2021","0.23095","0.24623","0.25715","0.22544","709.61K","-4.36%"
"Jun 24, 2021","0.24149","0.22198","0.24255","0.21307","487.32K","8.79%"
"Jun 23, 2021","0.22198","0.20649","0.22755","0.20037","1.39M","7.55%"
"Jun 22, 2021","0.20640","0.20822","0.23896","0.16489","3.38M","-0.88%"
"Jun 21, 2021","0.20822","0.26733","0.26751","0.20811","835.51K","-22.11%"
"Jun 20, 2021","0.26733","0.25933","0.26988","0.23944","675.65K","3.09%"
"Jun 19, 2021","0.25933","0.26282","0.26822","0.25370","313.76K","-1.33%"
"Jun 18, 2021","0.26282","0.27699","0.27700","0.25180","349.96K","-5.12%"
"Jun 17, 2021","0.27699","0.28930","0.30934","0.27062","1.03M","-4.25%"
"Jun 16, 2021","0.28930","0.29496","0.29721","0.28083","306.69K","-1.92%"
"Jun 15, 2021","0.29496","0.29355","0.29955","0.28603","269.97K","0.48%"
"Jun 14, 2021","0.29355","0.28450","0.29825","0.27650","459.43K","3.18%"
"Jun 13, 2021","0.28450","0.25861","0.28911","0.24745","1.06M","9.74%"
"Jun 12, 2021","0.25926","0.27122","0.27401","0.24812","601.64K","-4.41%"
"Jun 11, 2021","0.27122","0.29729","0.29881","0.27120","523.36K","-8.77%"
"Jun 10, 2021","0.29729","0.29930","0.30215","0.28588","484.00K","-0.67%"
"Jun 09, 2021","0.29930","0.28141","0.30694","0.28067","3.20M","6.36%"
"Jun 08, 2021","0.28141","0.28993","0.29450","0.25800","382.59K","-2.94%"
