"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.21162","0.19512","0.21162","0.18279","203.38M","8.19%"
"Jun 30, 2021","0.19560","0.19083","0.19560","0.17774","86.66M","3.22%"
"Jun 29, 2021","0.18950","0.18286","0.19343","0.18229","90.72M","3.86%"
"Jun 28, 2021","0.18245","0.18231","0.18367","0.17650","77.51M","-0.03%"
"Jun 27, 2021","0.18251","0.17910","0.18251","0.17266","65.23M","1.95%"
"Jun 26, 2021","0.17902","0.16495","0.18575","0.16495","190.86M","8.43%"
"Jun 25, 2021","0.16510","0.19237","0.19326","0.16510","133.46M","-14.05%"
"Jun 24, 2021","0.19208","0.18208","0.19225","0.17788","75.18M","5.30%"
"Jun 23, 2021","0.18242","0.16671","0.18605","0.16671","125.83M","9.70%"
"Jun 22, 2021","0.16629","0.17428","0.17428","0.14403","252.91M","-4.63%"
"Jun 21, 2021","0.17437","0.19361","0.19361","0.16654","209.14M","-9.69%"
"Jun 20, 2021","0.19307","0.19539","0.19698","0.18431","72.88M","-1.29%"
"Jun 19, 2021","0.19560","0.20646","0.21000","0.19560","65.84M","-5.25%"
"Jun 18, 2021","0.20644","0.20797","0.22576","0.19936","167.02M","-0.85%"
"Jun 17, 2021","0.20822","0.20499","0.21268","0.20020","91.66M","1.31%"
"Jun 16, 2021","0.20553","0.21178","0.21178","0.19841","96.23M","-3.09%"
"Jun 15, 2021","0.21209","0.20492","0.21606","0.20439","98.99M","3.64%"
"Jun 14, 2021","0.20464","0.19733","0.20566","0.19488","120.46M","4.09%"
"Jun 13, 2021","0.19660","0.19005","0.19705","0.18194","68.82M","3.86%"
"Jun 12, 2021","0.18930","0.20000","0.20000","0.18353","111.30M","-5.56%"
"Jun 11, 2021","0.20044","0.20562","0.21000","0.19605","73.88M","-2.37%"
"Jun 10, 2021","0.20530","0.21811","0.21811","0.20525","93.11M","-5.77%"
"Jun 09, 2021","0.21786","0.21571","0.21786","0.20318","110.14M","0.81%"
"Jun 08, 2021","0.21610","0.20871","0.21969","0.19782","142.53M","4.15%"
"Jun 07, 2021","0.20749","0.22900","0.23260","0.20749","79.07M","-9.27%"
"Jun 06, 2021","0.22868","0.22150","0.23019","0.22150","48.97M","2.93%"
"Jun 05, 2021","0.22218","0.23306","0.23786","0.22090","92.64M","-4.24%"
"Jun 04, 2021","0.23201","0.25731","0.25731","0.22379","146.97M","-9.78%"
"Jun 03, 2021","0.25715","0.23093","0.25875","0.23093","148.73M","11.01%"
"Jun 02, 2021","0.23164","0.22779","0.24216","0.22133","99.26M","2.39%"
"Jun 01, 2021","0.22624","0.23222","0.23686","0.22120","85.31M","-3.27%"
"May 31, 2021","0.23390","0.21770","0.23390","0.20856","124.62M","7.38%"
"May 30, 2021","0.21782","0.20893","0.22567","0.20040","98.21M","4.22%"
"May 29, 2021","0.20901","0.21863","0.22130","0.20012","133.27M","-4.13%"
"May 28, 2021","0.21801","0.25297","0.25297","0.21210","226.89M","-14.05%"
"May 27, 2021","0.25366","0.27330","0.27330","0.25100","144.82M","-7.25%"
"May 26, 2021","0.27348","0.25427","0.27385","0.25220","203.82M","8.13%"
"May 25, 2021","0.25292","0.25503","0.25570","0.23741","198.08M","-0.39%"
"May 24, 2021","0.25390","0.23377","0.25938","0.22230","256.71M","9.36%"
"May 23, 2021","0.23217","0.26889","0.26889","0.20427","369.99M","-13.65%"
"May 22, 2021","0.26887","0.23584","0.27733","0.21134","497.78M","13.23%"
"May 21, 2021","0.23746","0.27310","0.28182","0.21752","322.11M","-12.64%"
"May 20, 2021","0.27181","0.21868","0.28637","0.20862","363.84M","26.58%"
"May 19, 2021","0.21474","0.34170","0.34170","0.21293","599.95M","-35.90%"
"May 18, 2021","0.33499","0.29335","0.33499","0.28670","291.75M","14.73%"
"May 17, 2021","0.29199","0.32822","0.32822","0.28854","313.84M","-11.30%"
"May 16, 2021","0.32919","0.32329","0.35537","0.30500","445.98M","5.45%"
"May 15, 2021","0.31217","0.33396","0.33396","0.30501","333.23M","-7.25%"
"May 14, 2021","0.33658","0.33034","0.36768","0.32441","789.13M","0.78%"
"May 13, 2021","0.33396","0.23968","0.35581","0.23968","964.29M","42.33%"
"May 12, 2021","0.23464","0.28295","0.28460","0.23464","118.82M","-17.18%"
"May 11, 2021","0.28330","0.26419","0.28330","0.26419","104.30M","7.19%"
"May 10, 2021","0.26429","0.29229","0.29763","0.25900","155.54M","-9.48%"
"May 09, 2021","0.29198","0.29845","0.29845","0.27698","103.67M","-1.90%"
"May 08, 2021","0.29762","0.30551","0.30551","0.29716","96.56M","-2.55%"
"May 07, 2021","0.30540","0.29860","0.31927","0.28835","135.83M","2.33%"
"May 06, 2021","0.29844","0.31533","0.31533","0.29844","148.78M","-5.29%"
"May 05, 2021","0.31512","0.28400","0.31512","0.28400","133.76M","12.00%"
"May 04, 2021","0.28136","0.32239","0.32239","0.28136","173.81M","-12.65%"
"May 03, 2021","0.32209","0.32894","0.33707","0.31970","123.56M","-2.08%"
"May 02, 2021","0.32893","0.32766","0.33829","0.30305","160.52M","0.78%"
"May 01, 2021","0.32637","0.29950","0.32807","0.29151","166.91M","8.79%"
"Apr 30, 2021","0.29999","0.28617","0.30220","0.28225","99.69M","4.83%"
"Apr 29, 2021","0.28618","0.28758","0.30155","0.27757","153.22M","-0.36%"
"Apr 28, 2021","0.28720","0.30440","0.30509","0.28406","104.19M","-5.39%"
"Apr 27, 2021","0.30356","0.28406","0.30604","0.28178","138.49M","6.45%"
"Apr 26, 2021","0.28516","0.24697","0.28639","0.24697","152.48M","15.92%"
"Apr 25, 2021","0.24600","0.24527","0.26184","0.24005","105.68M","0.69%"
"Apr 24, 2021","0.24431","0.26883","0.26883","0.24220","108.59M","-9.13%"
"Apr 23, 2021","0.26887","0.25696","0.26887","0.22700","280.07M","3.99%"
"Apr 22, 2021","0.25855","0.29313","0.29962","0.25855","169.47M","-11.35%"
"Apr 21, 2021","0.29166","0.32404","0.32404","0.29166","181.66M","-9.63%"
"Apr 20, 2021","0.32275","0.28921","0.33292","0.27467","310.81M","11.93%"
"Apr 19, 2021","0.28834","0.31146","0.31451","0.27734","217.86M","-6.91%"
"Apr 18, 2021","0.30974","0.34394","0.34394","0.25629","233.23M","-9.48%"
"Apr 17, 2021","0.34218","0.35179","0.36392","0.34218","154.76M","-2.18%"
"Apr 16, 2021","0.34981","0.38163","0.38163","0.34511","208.82M","-7.96%"
"Apr 15, 2021","0.38007","0.37436","0.38096","0.36890","184.48M","1.16%"
"Apr 14, 2021","0.37570","0.40884","0.40884","0.36897","297.54M","-8.03%"
"Apr 13, 2021","0.40850","0.36052","0.40850","0.33892","189.87M","14.34%"
"Apr 12, 2021","0.35727","0.34883","0.35727","0.33155","156.76M","2.54%"
"Apr 11, 2021","0.34842","0.33229","0.36421","0.33229","239.02M","5.55%"
"Apr 10, 2021","0.33011","0.33928","0.33928","0.32612","121.19M","-2.37%"
"Apr 09, 2021","0.33812","0.32824","0.35979","0.32824","185.32M","3.18%"
"Apr 08, 2021","0.32771","0.29926","0.32771","0.29926","114.62M","9.40%"
"Apr 07, 2021","0.29955","0.32623","0.32623","0.29461","142.61M","-8.08%"
"Apr 06, 2021","0.32588","0.31831","0.32885","0.31255","211.05M","2.69%"
"Apr 05, 2021","0.31734","0.32477","0.32477","0.30829","152.92M","-2.41%"
"Apr 04, 2021","0.32519","0.31001","0.32569","0.31001","85.25M","4.44%"
"Apr 03, 2021","0.31136","0.35330","0.35330","0.31136","127.57M","-11.67%"
"Apr 02, 2021","0.35251","0.34547","0.35251","0.33760","99.55M","2.10%"
"Apr 01, 2021","0.34527","0.36150","0.36150","0.34209","126.48M","-4.35%"
"Mar 31, 2021","0.36098","0.38567","0.38567","0.35020","160.41M","-6.61%"
"Mar 30, 2021","0.38652","0.37005","0.39915","0.36435","228.44M","4.29%"
"Mar 29, 2021","0.37063","0.33840","0.43438","0.33840","368.13M","9.79%"
"Mar 28, 2021","0.33758","0.33865","0.33949","0.33127","64.95M","-0.15%"
"Mar 27, 2021","0.33808","0.34519","0.34519","0.32675","96.99M","-1.85%"
"Mar 26, 2021","0.34445","0.30200","0.34445","0.30200","92.81M","14.15%"
"Mar 25, 2021","0.30176","0.29700","0.31023","0.28758","103.65M","1.05%"
"Mar 24, 2021","0.29861","0.31932","0.33313","0.29861","127.36M","-6.56%"
"Mar 23, 2021","0.31957","0.31455","0.32618","0.30057","116.57M","1.59%"
"Mar 22, 2021","0.31456","0.34159","0.35200","0.31456","154.63M","-7.88%"
"Mar 21, 2021","0.34146","0.31645","0.35322","0.31313","149.77M","8.06%"
"Mar 20, 2021","0.31598","0.34413","0.34877","0.31598","113.15M","-8.20%"
"Mar 19, 2021","0.34421","0.34352","0.35941","0.33581","120.07M","-0.06%"
"Mar 18, 2021","0.34441","0.36062","0.36900","0.34441","166.95M","-4.21%"
"Mar 17, 2021","0.35955","0.34438","0.36446","0.30165","453.34M","4.67%"
"Mar 16, 2021","0.34350","0.40101","0.40101","0.33608","334.40M","-14.55%"
"Mar 15, 2021","0.40197","0.36212","0.44075","0.36212","512.10M","10.25%"
"Mar 14, 2021","0.36460","0.27756","0.37377","0.27756","706.23M","31.40%"
"Mar 13, 2021","0.27748","0.27096","0.27748","0.25889","198.53M","2.16%"
"Mar 12, 2021","0.27162","0.26924","0.27162","0.25272","299.04M","1.52%"
"Mar 11, 2021","0.26756","0.22054","0.26947","0.21581","527.53M","20.95%"
"Mar 10, 2021","0.22122","0.21245","0.23047","0.19001","368.10M","5.50%"
"Mar 09, 2021","0.20968","0.17385","0.20968","0.16901","368.57M","20.60%"
"Mar 08, 2021","0.17387","0.15259","0.17690","0.14896","287.88M","14.46%"
"Mar 07, 2021","0.15190","0.14570","0.15351","0.14570","124.41M","4.79%"
"Mar 06, 2021","0.14495","0.14925","0.14925","0.14085","119.12M","-2.49%"
"Mar 05, 2021","0.14865","0.15801","0.15801","0.14617","211.02M","-6.32%"
"Mar 04, 2021","0.15868","0.12848","0.17125","0.12848","647.46M","23.76%"
"Mar 03, 2021","0.12822","0.12262","0.12906","0.12189","99.98M","4.64%"
"Mar 02, 2021","0.12253","0.12462","0.12612","0.11862","88.93M","-1.62%"
"Mar 01, 2021","0.12455","0.11496","0.12495","0.11496","357.16M","8.62%"
"Feb 28, 2021","0.11467","0.11853","0.11932","0.10514","101.38M","-3.26%"
"Feb 27, 2021","0.11854","0.11808","0.12250","0.11808","69.18M","0.40%"
"Feb 26, 2021","0.11807","0.11725","0.12162","0.11090","148.33M","0.72%"
"Feb 25, 2021","0.11723","0.12859","0.13450","0.11723","215.31M","-8.81%"
"Feb 24, 2021","0.12855","0.11916","0.13434","0.11639","248.25M","7.81%"
"Feb 23, 2021","0.11924","0.13591","0.13759","0.10514","254.50M","-12.83%"
"Feb 22, 2021","0.13679","0.14571","0.14571","0.12906","166.26M","-6.13%"
"Feb 21, 2021","0.14573","0.13997","0.14882","0.13712","100.16M","4.08%"
"Feb 20, 2021","0.14002","0.15239","0.15239","0.14002","139.94M","-8.06%"
"Feb 19, 2021","0.15229","0.14952","0.15229","0.13933","147.24M","2.28%"
"Feb 18, 2021","0.14890","0.13870","0.14890","0.13870","119.73M","7.30%"
