"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","12.87","12.76","13.20","12.41","487.48K","1.08%"
"Jun 30, 2021","12.73","12.81","13.01","12.19","441.55K","0.19%"
"Jun 29, 2021","12.71","12.22","13.29","12.21","565.52K","4.35%"
"Jun 28, 2021","12.18","11.55","12.48","11.32","591.61K","5.06%"
"Jun 27, 2021","11.59","11.11","11.59","10.75","377.69K","4.34%"
"Jun 26, 2021","11.11","11.43","11.43","10.70","436.16K","-3.09%"
"Jun 25, 2021","11.46","12.38","12.38","11.20","660.72K","-7.34%"
"Jun 24, 2021","12.37","11.99","12.44","11.51","608.28K","3.13%"
"Jun 23, 2021","11.99","10.08","12.20","10.08","1.16M","18.94%"
"Jun 22, 2021","10.09","10.61","11.25","9.23","1.07M","-4.94%"
"Jun 21, 2021","10.61","12.62","12.85","10.61","787.06K","-15.86%"
"Jun 20, 2021","12.61","12.54","12.89","12.20","365.95K","0.46%"
"Jun 19, 2021","12.55","12.76","12.94","12.55","168.12K","-1.46%"
"Jun 18, 2021","12.74","14.05","14.05","12.70","1.32M","-9.18%"
"Jun 17, 2021","14.02","13.20","14.02","13.09","1.08M","6.21%"
"Jun 16, 2021","13.20","13.41","13.41","12.94","319.82K","-1.81%"
"Jun 15, 2021","13.45","13.38","13.74","13.24","370.09K","0.47%"
"Jun 14, 2021","13.39","13.33","13.66","13.19","281.84K","0.55%"
"Jun 13, 2021","13.31","12.34","13.31","12.34","208.80K","7.85%"
"Jun 12, 2021","12.34","13.47","13.47","12.31","371.39K","-8.05%"
"Jun 11, 2021","13.43","13.18","13.78","12.84","363.65K","2.24%"
"Jun 10, 2021","13.13","13.85","13.96","13.12","463.74K","-5.38%"
"Jun 09, 2021","13.88","13.75","14.52","13.41","1.00M","-0.27%"
"Jun 08, 2021","13.92","12.84","14.08","12.20","1.13M","8.29%"
"Jun 07, 2021","12.85","14.67","14.67","12.85","421.46K","-12.29%"
"Jun 06, 2021","14.65","14.07","14.65","13.99","208.61K","3.64%"
"Jun 05, 2021","14.14","14.88","14.98","13.95","368.62K","-4.92%"
"Jun 04, 2021","14.87","15.57","15.57","14.30","670.49K","-5.00%"
"Jun 03, 2021","15.65","15.58","16.09","15.17","807.84K","0.43%"
"Jun 02, 2021","15.58","15.29","15.96","14.86","802.86K","2.26%"
"Jun 01, 2021","15.24","16.17","16.47","15.15","617.64K","-6.02%"
"May 31, 2021","16.22","15.64","16.22","15.33","875.57K","3.40%"
"May 30, 2021","15.68","16.20","16.67","15.11","1.52M","-3.23%"
"May 29, 2021","16.20","19.31","19.31","15.29","2.80M","-17.31%"
"May 28, 2021","19.60","17.76","20.41","15.41","5.18M","9.32%"
"May 27, 2021","17.93","15.49","17.93","14.10","1.03M","15.70%"
"May 26, 2021","15.49","14.01","15.49","14.01","777.31K","10.42%"
"May 25, 2021","14.03","13.46","14.29","13.02","831.46K","3.62%"
"May 24, 2021","13.54","11.30","14.56","11.30","1.48M","18.80%"
"May 23, 2021","11.40","12.08","12.32","9.07","978.25K","-5.58%"
"May 22, 2021","12.07","13.87","13.87","11.97","1.31M","-13.42%"
"May 21, 2021","13.95","13.39","16.20","13.37","1.98M","4.15%"
"May 20, 2021","13.39","12.49","13.47","11.52","1.02M","8.78%"
"May 19, 2021","12.31","16.74","16.74","9.60","1.90M","-26.08%"
"May 18, 2021","16.65","14.32","17.03","14.32","1.32M","16.27%"
"May 17, 2021","14.32","14.19","14.63","13.15","518.83K","0.91%"
"May 16, 2021","14.19","14.43","15.40","13.47","410.66K","-1.67%"
"May 15, 2021","14.43","15.56","15.62","14.40","388.96K","-7.30%"
"May 14, 2021","15.57","15.04","15.77","14.99","459.59K","3.48%"
"May 13, 2021","15.05","14.40","16.21","14.40","803.17K","3.59%"
"May 12, 2021","14.52","17.02","17.24","14.52","406.16K","-14.71%"
"May 11, 2021","17.03","16.05","17.09","15.90","441.47K","5.59%"
"May 10, 2021","16.13","16.79","18.26","16.08","1.07M","-4.01%"
"May 09, 2021","16.80","17.23","17.23","16.53","563.48K","-2.39%"
"May 08, 2021","17.21","17.52","18.27","17.21","484.05K","-1.71%"
"May 07, 2021","17.51","17.40","17.99","16.90","441.40K","0.66%"
"May 06, 2021","17.40","18.29","18.69","17.40","739.80K","-4.98%"
"May 05, 2021","18.31","17.29","18.31","17.29","678.79K","6.34%"
"May 04, 2021","17.22","18.24","18.66","17.03","830.01K","-5.73%"
"May 03, 2021","18.26","18.41","19.21","18.19","628.88K","-1.24%"
"May 02, 2021","18.49","17.12","19.15","16.82","1.33M","8.41%"
"May 01, 2021","17.06","16.98","17.14","16.51","399.11K","0.34%"
"Apr 30, 2021","17.00","16.48","17.33","16.48","452.90K","2.93%"
"Apr 29, 2021","16.51","17.20","17.20","16.33","623.30K","-3.80%"
"Apr 28, 2021","17.17","17.83","18.29","17.17","1.04M","-3.61%"
"Apr 27, 2021","17.81","15.09","17.81","15.09","1.11M","18.12%"
"Apr 26, 2021","15.08","13.48","15.08","13.48","901.50K","12.19%"
"Apr 25, 2021","13.44","12.91","13.68","12.82","555.76K","4.75%"
"Apr 24, 2021","12.83","14.15","14.15","12.69","868.93K","-9.73%"
"Apr 23, 2021","14.22","12.15","14.38","11.44","1.97M","17.48%"
