"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.005877","0.006125","0.006151","0.005771","5.58B","-4.02%"
"Jun 30, 2021","0.006123","0.006238","0.006331","0.005764","6.17B","-1.80%"
"Jun 29, 2021","0.006235","0.005947","0.006588","0.005936","7.69B","4.85%"
"Jun 28, 2021","0.005947","0.005915","0.006054","0.005813","5.16B","0.58%"
"Jun 27, 2021","0.005912","0.005647","0.005926","0.005577","5.43B","4.70%"
"Jun 26, 2021","0.005647","0.005567","0.005748","0.005319","5.53B","1.37%"
"Jun 25, 2021","0.005570","0.006094","0.006260","0.005424","7.27B","-8.59%"
"Jun 24, 2021","0.006094","0.005926","0.006196","0.005687","5.38B","2.84%"
"Jun 23, 2021","0.005925","0.005437","0.006199","0.005218","9.40B","8.99%"
"Jun 22, 2021","0.005437","0.005964","0.006345","0.004808","16.72B","-9.03%"
"Jun 21, 2021","0.005976","0.007433","0.007452","0.005912","10.88B","-19.47%"
"Jun 20, 2021","0.007422","0.007014","0.007600","0.006636","7.06B","5.78%"
"Jun 19, 2021","0.007016","0.007196","0.007320","0.006972","5.35B","-2.45%"
"Jun 18, 2021","0.007193","0.007692","0.007692","0.006929","5.33B","-6.50%"
"Jun 17, 2021","0.007692","0.007656","0.007976","0.007543","5.19B","0.44%"
"Jun 16, 2021","0.007659","0.008065","0.008101","0.007620","5.04B","-5.03%"
"Jun 15, 2021","0.008065","0.008293","0.008497","0.007978","5.87B","-2.75%"
"Jun 14, 2021","0.008293","0.008211","0.008454","0.007972","7.97B","0.99%"
"Jun 13, 2021","0.008212","0.007360","0.008639","0.007274","8.20B","11.58%"
"Jun 12, 2021","0.007360","0.007520","0.007600","0.007143","4.95B","-2.14%"
"Jun 11, 2021","0.007521","0.007844","0.008056","0.007389","5.49B","-4.07%"
"Jun 10, 2021","0.007840","0.008233","0.008300","0.007748","6.17B","-4.77%"
"Jun 09, 2021","0.008233","0.007975","0.008354","0.007576","8.40B","3.26%"
"Jun 08, 2021","0.007973","0.007784","0.008191","0.007019","10.90B","2.44%"
"Jun 07, 2021","0.007783","0.008563","0.008747","0.007675","8.33B","-9.17%"
"Jun 06, 2021","0.008568","0.008353","0.008644","0.008276","5.47B","2.56%"
"Jun 05, 2021","0.008354","0.008529","0.009128","0.008070","8.86B","-2.06%"
"Jun 04, 2021","0.008530","0.009269","0.009283","0.008030","11.05B","-7.98%"
"Jun 03, 2021","0.009269","0.008713","0.009781","0.008683","12.50B","6.37%"
"Jun 02, 2021","0.008714","0.008547","0.009257","0.008184","7.95B","1.95%"
"Jun 01, 2021","0.008547","0.009016","0.009137","0.008385","8.36B","-5.19%"
"May 31, 2021","0.009015","0.008631","0.009192","0.008360","9.74B","4.36%"
"May 30, 2021","0.008638","0.008172","0.008894","0.007767","9.81B","5.74%"
"May 29, 2021","0.008169","0.008388","0.008971","0.007578","12.44B","-2.66%"
"May 28, 2021","0.008392","0.009525","0.010080","0.007992","17.83B","-11.87%"
