"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","62.0960","68.1200","68.1500","61.1220","-","-8.84%"
"Jun 30, 2021","68.1200","66.5160","72.3019","61.7458","-","2.41%"
"Jun 29, 2021","66.5160","62.0977","70.3213","62.0808","-","7.11%"
"Jun 28, 2021","62.0977","59.5639","64.1611","58.5290","-","4.25%"
"Jun 27, 2021","59.5639","56.2180","59.7230","54.8611","-","5.95%"
"Jun 26, 2021","56.2180","56.9707","58.9063","52.3329","-","-1.32%"
"Jun 25, 2021","56.9707","64.2495","66.9303","55.7520","-","-11.33%"
"Jun 24, 2021","64.2495","67.9611","68.0602","62.5104","-","-5.46%"
"Jun 23, 2021","67.9611","55.0379","68.2074","52.7838","-","23.48%"
"Jun 22, 2021","55.0379","56.6297","63.9499","48.5284","-","-2.81%"
"Jun 21, 2021","56.6297","78.5550","78.9736","56.0244","-","-27.91%"
"Jun 20, 2021","78.5550","79.9009","80.7178","72.7170","-","-1.68%"
"Jun 19, 2021","79.9009","80.9834","83.9313","78.1846","-","-1.34%"
"Jun 18, 2021","80.9834","85.6388","85.7174","78.0962","-","-5.44%"
"Jun 17, 2021","85.6388","89.0535","92.5131","83.3154","-","-3.83%"
"Jun 16, 2021","89.0535","85.7754","92.3883","81.6764","-","3.82%"
"Jun 15, 2021","85.7754","84.6329","87.3899","81.0191","-","1.35%"
"Jun 14, 2021","84.6329","83.8835","85.3894","81.1513","-","0.89%"
"Jun 13, 2021","83.8835","78.5382","84.4618","76.5170","-","6.86%"
"Jun 12, 2021","78.4964","79.3373","83.6146","72.3166","-","-1.06%"
"Jun 11, 2021","79.3373","86.9251","87.8740","78.3237","-","-8.73%"
"Jun 10, 2021","86.9251","92.4485","93.3274","84.8782","-","-5.97%"
"Jun 09, 2021","92.4485","83.1876","92.4485","77.0578","-","11.13%"
"Jun 08, 2021","83.1876","86.5784","88.9202","73.5889","-","-3.92%"
"Jun 07, 2021","86.5784","96.6540","99.6487","86.1453","-","-10.42%"
"Jun 06, 2021","96.6540","98.8226","99.9401","94.2546","-","-2.19%"
"Jun 05, 2021","98.8226","103.4821","107.5389","94.2313","-","-4.50%"
"Jun 04, 2021","103.4821","112.8447","113.0819","99.7683","-","-8.30%"
"Jun 03, 2021","112.8447","109.1670","116.7675","108.9065","-","3.37%"
"Jun 02, 2021","109.1670","105.3763","114.7922","103.1540","-","3.60%"
"Jun 01, 2021","105.3763","107.3515","111.2105","103.3565","-","-1.84%"
"May 31, 2021","107.3515","105.8676","108.5427","100.1314","-","1.40%"
"May 30, 2021","105.8676","119.8691","123.0346","105.4271","-","-11.68%"
"May 29, 2021","119.8691","98.6868","122.7623","97.1711","-","21.46%"
"May 28, 2021","98.6868","102.7597","104.8057","87.3221","-","-3.96%"
"May 27, 2021","102.7597","108.5416","108.8248","95.4295","-","-5.33%"
"May 26, 2021","108.5416","99.6796","108.5416","95.4718","-","8.89%"
"May 25, 2021","99.6796","106.2416","111.6489","86.6790","-","-6.18%"
"May 24, 2021","106.2416","72.6481","109.6517","71.2027","-","46.24%"
"May 23, 2021","72.6481","91.2814","95.0615","60.1109","-","-20.41%"
"May 22, 2021","91.2814","100.8333","107.6089","86.7278","-","-9.47%"
"May 21, 2021","100.8333","84.7463","109.0020","77.8716","-","18.98%"
"May 20, 2021","84.7463","73.1860","90.8827","64.4033","-","15.80%"
"May 19, 2021","73.1860","115.3605","117.5739","57.3201","-","-36.56%"
"May 18, 2021","115.3605","114.5982","122.8833","110.4288","-","0.67%"
"May 17, 2021","114.5982","126.0002","126.0422","109.8809","-","-9.05%"
"May 16, 2021","126.0002","127.3588","136.9256","118.0909","-","-1.07%"
"May 15, 2021","127.3588","147.6471","149.2096","126.3912","-","-13.74%"
"May 14, 2021","147.6471","137.5858","149.7451","132.9226","-","7.31%"
"May 13, 2021","137.5858","130.7114","158.1217","125.3540","-","5.26%"
"May 12, 2021","130.7114","146.3522","158.3599","130.7114","-","-10.69%"
"May 11, 2021","146.3522","128.8802","146.6665","124.7105","-","13.56%"
"May 10, 2021","128.8802","144.9816","146.3233","120.9305","-","-11.11%"
"May 09, 2021","144.9816","143.0653","147.3402","135.5361","-","1.34%"
"May 08, 2021","143.0653","142.9492","164.7589","137.3562","-","0.08%"
"May 07, 2021","142.9492","127.1889","142.9492","117.9123","-","12.39%"
"May 06, 2021","127.1889","118.3313","128.2451","112.7330","-","7.49%"
"May 05, 2021","118.3313","109.5938","118.9434","109.5938","-","7.74%"
"May 04, 2021","109.8278","116.7513","116.8645","106.7342","-","-5.93%"
"May 03, 2021","116.7513","119.4553","124.9850","115.1949","-","-2.26%"
"May 02, 2021","119.4553","125.4466","126.6490","117.8277","-","-4.78%"
"May 01, 2021","125.4466","120.0236","127.1105","118.6147","-","4.52%"
"Apr 30, 2021","120.0236","119.7349","122.1596","116.4515","-","0.24%"
"Apr 29, 2021","119.7349","123.4649","123.5694","112.6089","-","-3.02%"
"Apr 28, 2021","123.4649","127.7174","128.1851","116.2527","-","-3.66%"
"Apr 27, 2021","128.1601","132.1445","137.0281","123.1776","-","-2.96%"
"Apr 26, 2021","132.0730","110.3020","133.9752","110.3020","-","19.55%"
