"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","10.4299","10.7972","10.8527","10.2669","2.67M","-3.40%"
"Jun 30, 2021","10.7972","10.8931","10.9901","10.2425","4.03M","-0.88%"
"Jun 29, 2021","10.8931","10.3685","11.3152","10.3491","5.83M","5.06%"
"Jun 28, 2021","10.3685","10.1767","10.5608","9.9275","4.97M","1.88%"
"Jun 27, 2021","10.1767","9.8000","10.2003","9.5745","4.06M","3.85%"
"Jun 26, 2021","9.7997","9.8505","10.1335","9.3600","6.30M","-0.52%"
"Jun 25, 2021","9.8505","10.9444","11.1611","9.8000","6.62M","-10.00%"
"Jun 24, 2021","10.9444","10.0647","11.2403","9.6288","10.50M","8.74%"
"Jun 23, 2021","10.0647","9.1872","10.3540","8.9081","9.47M","9.59%"
"Jun 22, 2021","9.1837","9.3095","9.8541","8.4620","14.06M","-1.35%"
"Jun 21, 2021","9.3095","11.9405","12.0244","9.3030","16.44M","-22.03%"
"Jun 20, 2021","11.9405","12.1802","12.2581","11.1999","5.36M","-2.11%"
"Jun 19, 2021","12.1976","12.5190","12.6831","12.1353","3.32M","-2.57%"
"Jun 18, 2021","12.5190","13.1200","13.1598","12.1619","3.94M","-4.58%"
"Jun 17, 2021","13.1200","13.2404","13.7252","12.8386","3.72M","-0.88%"
"Jun 16, 2021","13.2369","14.1858","14.1919","13.1040","5.06M","-6.69%"
"Jun 15, 2021","14.1858","14.7809","14.8313","13.9827","4.26M","-3.97%"
"Jun 14, 2021","14.7721","13.7912","14.8405","13.6184","4.96M","7.12%"
"Jun 13, 2021","13.7901","13.0312","13.8607","12.8558","4.27M","5.82%"
"Jun 12, 2021","13.0312","13.7453","13.7651","12.7740","5.37M","-5.20%"
"Jun 11, 2021","13.7453","14.3245","14.4203","13.4508","4.57M","-4.04%"
"Jun 10, 2021","14.3245","14.5005","15.3178","14.1108","7.22M","-1.21%"
"Jun 09, 2021","14.5005","13.8087","14.5172","13.3767","7.54M","5.01%"
"Jun 08, 2021","13.8087","14.4650","14.6963","12.8450","9.92M","-4.54%"
"Jun 07, 2021","14.4650","15.3790","15.8568","14.3971","6.63M","-5.94%"
"Jun 06, 2021","15.3790","15.7318","15.8887","15.2817","4.96M","-2.22%"
"Jun 05, 2021","15.7279","15.9809","16.6777","15.5180","7.48M","-1.58%"
"Jun 04, 2021","15.9809","17.2106","17.2280","15.7500","10.92M","-7.06%"
"Jun 03, 2021","17.1954","16.8721","17.5106","16.3348","10.76M","1.90%"
"Jun 02, 2021","16.8755","15.7216","17.6486","15.3157","15.00M","7.34%"
"Jun 01, 2021","15.7216","15.3807","15.9264","14.7006","10.50M","2.10%"
"May 31, 2021","15.3979","14.6651","15.4630","14.1966","10.84M","5.00%"
"May 30, 2021","14.6651","14.8705","15.1058","14.0311","8.93M","-1.38%"
"May 29, 2021","14.8705","14.6550","15.9765","14.3993","14.47M","1.47%"
"May 28, 2021","14.6550","16.1307","16.3495","14.0774","16.66M","-9.15%"
"May 27, 2021","16.1307","16.9785","16.9854","15.2764","14.13M","-4.99%"
"May 26, 2021","16.9785","16.8621","17.1668","15.8992","16.61M","0.73%"
"May 25, 2021","16.8552","16.4204","17.2906","14.1957","32.61M","2.65%"
"May 24, 2021","16.4204","12.7286","16.8616","12.4303","37.80M","29.00%"
"May 23, 2021","12.7286","14.9383","15.4069","10.8173","46.54M","-14.79%"
"May 22, 2021","14.9380","17.1501","17.4600","14.6175","35.06M","-12.90%"
"May 21, 2021","17.1501","24.0233","25.8063","15.4275","42.93M","-29.01%"
"May 20, 2021","24.1570","20.7349","24.9262","19.0001","28.73M","16.55%"
"May 19, 2021","20.7262","27.8671","28.3012","16.0000","35.79M","-25.62%"
"May 18, 2021","27.8640","28.5576","29.4591","26.5481","10.62M","-2.43%"
"May 17, 2021","28.5576","29.3297","29.3800","25.3318","16.29M","-2.63%"
"May 16, 2021","29.3297","30.5442","32.4249","27.3374","10.86M","-3.97%"
"May 15, 2021","30.5428","34.2270","34.5260","30.2710","10.50M","-10.76%"
"May 14, 2021","34.2270","33.2506","36.5000","32.8200","13.52M","2.94%"
"May 13, 2021","33.2506","34.7535","36.1637","31.8000","28.58M","-4.32%"
"May 12, 2021","34.7535","33.7000","39.9000","33.5806","30.22M","3.13%"
"May 11, 2021","33.7000","29.0729","34.9780","27.8725","29.16M","15.92%"
"May 10, 2021","29.0729","27.9786","31.7270","27.6994","27.07M","3.91%"
"May 09, 2021","27.9786","26.0379","27.9786","24.9100","15.19M","7.45%"
"May 08, 2021","26.0396","26.0798","27.4416","25.6512","11.99M","-0.15%"
"May 07, 2021","26.0798","23.7393","27.3776","23.2879","25.67M","9.86%"
"May 06, 2021","23.7393","25.2253","25.2470","23.0800","11.02M","-5.89%"
"May 05, 2021","25.2253","24.1049","25.6000","23.5912","14.85M","4.65%"
"May 04, 2021","24.1049","27.1500","27.2897","23.0992","18.01M","-11.22%"
"May 03, 2021","27.1500","27.6644","28.8505","26.2519","16.83M","-1.67%"
"May 02, 2021","27.6106","28.4654","28.4654","26.1780","20.38M","-2.91%"
"May 01, 2021","28.4385","23.8281","29.5123","22.9886","32.76M","19.35%"
"Apr 30, 2021","23.8281","21.6631","24.1506","21.5681","21.31M","9.99%"
"Apr 29, 2021","21.6631","18.5740","21.6631","18.0643","20.03M","16.63%"
"Apr 28, 2021","18.5740","18.8663","19.3734","17.8731","8.32M","-1.53%"
"Apr 27, 2021","18.8628","18.3705","18.9326","18.1540","6.85M","2.68%"
"Apr 26, 2021","18.3705","17.2773","18.4276","17.1917","8.51M","6.43%"
