"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.80516","0.83708","0.84360","0.77532","34.68M","-3.78%"
"Jun 30, 2021","0.83682","0.81702","0.84373","0.75622","40.33M","2.80%"
"Jun 29, 2021","0.81405","0.76202","0.84350","0.76029","38.87M","6.85%"
"Jun 28, 2021","0.76189","0.73807","0.77130","0.71970","41.52M","3.24%"
"Jun 27, 2021","0.73798","0.72331","0.74698","0.68652","33.23M","2.16%"
"Jun 26, 2021","0.72236","0.72581","0.75009","0.67582","39.51M","-0.48%"
"Jun 25, 2021","0.72584","0.80996","0.82795","0.71524","41.22M","-10.37%"
"Jun 24, 2021","0.80980","0.78615","0.82524","0.73223","33.78M","3.01%"
"Jun 23, 2021","0.78615","0.70964","0.80838","0.68451","46.98M","10.79%"
"Jun 22, 2021","0.70961","0.74634","0.86216","0.63371","70.56M","-4.92%"
"Jun 21, 2021","0.74634","0.95974","0.96364","0.74240","52.19M","-22.24%"
"Jun 20, 2021","0.95974","0.95564","0.98678","0.87194","36.60M","0.41%"
"Jun 19, 2021","0.95578","0.98437","1.03470","0.94096","36.74M","-2.90%"
"Jun 18, 2021","0.98437","1.07511","1.10759","0.94189","47.01M","-8.45%"
"Jun 17, 2021","1.07520","1.01015","1.15907","1.00758","50.65M","6.44%"
"Jun 16, 2021","1.01015","1.10742","1.10745","0.99615","49.98M","-8.79%"
"Jun 15, 2021","1.10751","0.98617","1.17374","0.97235","74.13M","12.30%"
"Jun 14, 2021","0.98622","0.94329","0.98926","0.91584","36.88M","4.55%"
"Jun 13, 2021","0.94329","0.89979","0.94537","0.85656","33.03M","4.83%"
"Jun 12, 2021","0.89979","0.90442","0.91756","0.84124","40.79M","-0.51%"
"Jun 11, 2021","0.90442","0.98591","0.99790","0.87768","38.09M","-8.33%"
"Jun 10, 2021","0.98660","1.04309","1.05160","0.95872","36.78M","-5.42%"
"Jun 09, 2021","1.04309","1.00846","1.06162","0.95054","53.21M","3.43%"
"Jun 08, 2021","1.00846","1.03801","1.06232","0.87937","51.41M","-2.85%"
"Jun 07, 2021","1.03801","1.15223","1.23295","1.03748","36.17M","-9.92%"
"Jun 06, 2021","1.15234","1.10725","1.16667","1.09611","22.89M","4.14%"
"Jun 05, 2021","1.10658","1.14830","1.21412","1.06649","28.91M","-3.61%"
"Jun 04, 2021","1.14804","1.25423","1.25598","1.08999","31.98M","-8.47%"
"Jun 03, 2021","1.25423","1.21601","1.33874","1.20781","34.83M","3.14%"
"Jun 02, 2021","1.21601","1.14213","1.29629","1.11299","40.07M","6.55%"
"Jun 01, 2021","1.14122","1.13679","1.15543","1.07692","38.31M","0.39%"
"May 31, 2021","1.13679","1.05830","1.15569","1.00419","32.61M","7.43%"
"May 30, 2021","1.05820","1.01310","1.10598","0.95079","31.36M","4.45%"
"May 29, 2021","1.01310","1.07788","1.15640","0.95484","39.69M","-6.05%"
"May 28, 2021","1.07831","1.22676","1.24600","1.03991","43.30M","-12.10%"
"May 27, 2021","1.22671","1.33548","1.33607","1.18231","40.84M","-8.14%"
"May 26, 2021","1.33546","1.13748","1.33633","1.11761","53.76M","17.41%"
"May 25, 2021","1.13748","1.17327","1.22068","1.03389","44.66M","-3.05%"
"May 24, 2021","1.17327","0.97689","1.18800","0.94215","46.69M","20.10%"
"May 23, 2021","0.97689","1.13613","1.22669","0.80195","71.98M","-13.96%"
"May 22, 2021","1.13538","1.26982","1.27249","1.08955","44.12M","-10.55%"
"May 21, 2021","1.26922","1.38781","1.47319","1.07471","57.60M","-8.60%"
"May 20, 2021","1.38860","1.18727","1.47493","1.04958","56.03M","16.91%"
"May 19, 2021","1.18772","1.90897","1.95920","0.89156","86.85M","-37.78%"
"May 18, 2021","1.90897","1.85729","2.02092","1.82773","32.83M","2.78%"
"May 17, 2021","1.85729","1.98604","1.98604","1.76132","42.20M","-6.48%"
"May 16, 2021","1.98604","2.01515","2.23984","1.87029","40.58M","-1.50%"
"May 15, 2021","2.01628","2.13594","2.15281","1.94715","38.21M","-5.60%"
"May 14, 2021","2.13594","2.09780","2.27401","2.06460","40.22M","1.80%"
"May 13, 2021","2.09810","2.01435","2.26198","1.92125","49.84M","4.16%"
"May 12, 2021","2.01435","2.50871","2.57224","2.00806","43.95M","-19.71%"
"May 11, 2021","2.50871","2.29909","2.54000","2.15154","61.48M","9.12%"
