"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.79522","0.85763","0.85872","0.76948","29.68M","-7.27%"
"Jun 30, 2021","0.85753","0.83676","0.86649","0.78097","35.87M","2.68%"
"Jun 29, 2021","0.83518","0.81027","0.88462","0.80971","37.21M","3.13%"
"Jun 28, 2021","0.80984","0.78931","0.82915","0.77858","28.99M","2.56%"
"Jun 27, 2021","0.78962","0.77757","0.79213","0.73674","28.31M","1.55%"
"Jun 26, 2021","0.77757","0.76451","0.78900","0.72361","35.52M","1.72%"
"Jun 25, 2021","0.76439","0.82918","0.84983","0.74875","44.58M","-7.80%"
"Jun 24, 2021","0.82906","0.78553","0.83782","0.73921","35.71M","5.55%"
"Jun 23, 2021","0.78549","0.70757","0.82709","0.67897","54.76M","10.96%"
"Jun 22, 2021","0.70793","0.74374","0.79483","0.61407","109.25M","-4.81%"
"Jun 21, 2021","0.74374","0.95214","0.95636","0.73617","74.81M","-21.89%"
"Jun 20, 2021","0.95217","0.95506","0.97253","0.86967","42.75M","-0.30%"
"Jun 19, 2021","0.95506","0.99890","1.01385","0.95407","32.51M","-4.39%"
"Jun 18, 2021","0.99890","1.08643","1.08890","0.98095","28.65M","-8.06%"
"Jun 17, 2021","1.08643","1.05345","1.10558","1.05058","23.26M","3.13%"
"Jun 16, 2021","1.05345","1.10827","1.11837","1.04252","29.71M","-4.97%"
"Jun 15, 2021","1.10855","1.11861","1.16136","1.08344","29.68M","-0.90%"
"Jun 14, 2021","1.11861","1.08502","1.13326","1.05425","30.99M","3.03%"
"Jun 13, 2021","1.08567","1.00872","1.09723","0.99231","38.19M","7.63%"
"Jun 12, 2021","1.00872","1.02639","1.05685","0.96801","44.13M","-1.70%"
"Jun 11, 2021","1.02615","1.09744","1.14776","1.00945","43.92M","-6.50%"
"Jun 10, 2021","1.09744","1.16783","1.17384","1.07345","46.05M","-6.03%"
"Jun 09, 2021","1.16787","1.13893","1.19678","1.05875","68.96M","2.54%"
"Jun 08, 2021","1.13893","1.08764","1.14153","1.01429","87.79M","4.69%"
"Jun 07, 2021","1.08790","1.24310","1.31615","1.07977","64.30M","-12.48%"
"Jun 06, 2021","1.24310","1.20524","1.26033","1.19814","34.03M","3.14%"
"Jun 05, 2021","1.20528","1.24483","1.35601","1.16691","64.03M","-3.18%"
