"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.019269","0.019089","0.019347","0.017934","-","0.91%"
"Jun 30, 2021","0.019096","0.020280","0.020316","0.018372","-","-5.77%"
"Jun 29, 2021","0.020265","0.021207","0.021942","0.019597","-","-3.62%"
"Jun 28, 2021","0.021027","0.016157","0.022719","0.015739","-","30.46%"
"Jun 27, 2021","0.016118","0.015524","0.016140","0.015112","-","3.12%"
"Jun 26, 2021","0.015630","0.015003","0.015630","0.013771","-","4.05%"
"Jun 25, 2021","0.015022","0.016487","0.016862","0.014664","-","-8.73%"
"Jun 24, 2021","0.016459","0.015982","0.016737","0.015117","-","2.91%"
"Jun 23, 2021","0.015993","0.015132","0.016741","0.014439","-","5.73%"
"Jun 22, 2021","0.015127","0.015382","0.016274","0.013016","-","-1.97%"
"Jun 21, 2021","0.015431","0.020484","0.020543","0.015363","-","-23.47%"
"Jun 20, 2021","0.020164","0.020463","0.020766","0.018896","-","-1.60%"
"Jun 19, 2021","0.020492","0.020580","0.021535","0.020070","-","-0.32%"
"Jun 18, 2021","0.020558","0.022252","0.022538","0.020035","-","-7.61%"
"Jun 17, 2021","0.022252","0.022397","0.023197","0.021797","-","-0.80%"
"Jun 16, 2021","0.022431","0.023857","0.024070","0.022039","-","-6.09%"
"Jun 15, 2021","0.023886","0.025293","0.025834","0.023132","-","-5.68%"
"Jun 14, 2021","0.025324","0.023260","0.026029","0.022461","-","8.92%"
"Jun 13, 2021","0.023251","0.022210","0.023407","0.021511","-","4.69%"
"Jun 12, 2021","0.022210","0.023152","0.023152","0.021362","-","-3.99%"
"Jun 11, 2021","0.023134","0.024789","0.025712","0.022366","-","-6.47%"
"Jun 10, 2021","0.024734","0.027871","0.028714","0.024430","-","-11.02%"
"Jun 09, 2021","0.027799","0.023897","0.028288","0.022518","-","16.17%"
"Jun 08, 2021","0.023929","0.023443","0.024254","0.021283","-","2.50%"
"Jun 07, 2021","0.023346","0.025930","0.028452","0.023213","-","-10.06%"
"Jun 06, 2021","0.025958","0.025409","0.027246","0.025355","-","2.12%"
"Jun 05, 2021","0.025418","0.025986","0.027473","0.024948","-","-2.11%"
"Jun 04, 2021","0.025967","0.028465","0.028499","0.024534","-","-8.56%"
"Jun 03, 2021","0.028398","0.026829","0.028812","0.026629","-","5.69%"
"Jun 02, 2021","0.026870","0.026248","0.028151","0.025581","-","2.52%"
"Jun 01, 2021","0.026210","0.027415","0.027830","0.025581","-","-4.43%"
"May 31, 2021","0.027425","0.026522","0.027882","0.025130","-","3.37%"
"May 30, 2021","0.026531","0.026270","0.028151","0.024806","-","0.96%"
"May 29, 2021","0.026279","0.028352","0.029834","0.024677","-","-7.34%"
"May 28, 2021","0.028362","0.032475","0.032571","0.027250","-","-12.63%"
"May 27, 2021","0.032463","0.035546","0.035700","0.031085","-","-8.71%"
"May 26, 2021","0.035560","0.033999","0.036836","0.033510","-","4.59%"
"May 25, 2021","0.033999","0.035091","0.037807","0.031592","-","-4.02%"
"May 24, 2021","0.035424","0.032612","0.037390","0.030742","-","8.50%"
"May 23, 2021","0.032650","0.031379","0.034579","0.025275","-","4.09%"
"May 22, 2021","0.031367","0.031612","0.034289","0.029612","-","-0.59%"
"May 21, 2021","0.031553","0.032697","0.040090","0.028956","-","-3.45%"
"May 20, 2021","0.032680","0.028964","0.036518","0.026382","-","13.50%"
"May 19, 2021","0.028793","0.040860","0.042117","0.020833","-","-29.01%"
"May 18, 2021","0.040558","0.039554","0.043072","0.039046","-","2.90%"
"May 17, 2021","0.039416","0.047341","0.047674","0.038199","-","-16.62%"
"May 16, 2021","0.047275","0.042349","0.048339","0.042270","-","11.58%"
"May 15, 2021","0.042369","0.045182","0.046646","0.042250","-","-6.27%"
"May 14, 2021","0.045205","0.042495","0.047514","0.042229","-","6.27%"
"May 13, 2021","0.042537","0.042716","0.045617","0.040104","-","0.71%"
"May 12, 2021","0.042236","0.050766","0.052978","0.042236","-","-16.80%"
"May 11, 2021","0.050766","0.048855","0.051362","0.046200","-","3.85%"
"May 10, 2021","0.048883","0.052831","0.057018","0.048248","-","-7.31%"
"May 09, 2021","0.052739","0.053298","0.053487","0.049744","-","-0.87%"
"May 08, 2021","0.053204","0.053612","0.055687","0.052342","-","-0.82%"
"May 07, 2021","0.053643","0.052795","0.057581","0.050749","-","1.61%"
"May 06, 2021","0.052795","0.057217","0.057217","0.051446","-","-7.68%"
"May 05, 2021","0.057184","0.055946","0.058840","0.053533","-","2.05%"
"May 04, 2021","0.056037","0.061464","0.061464","0.053686","-","-8.73%"
"May 03, 2021","0.061393","0.063950","0.067274","0.060615","-","-3.57%"
"May 02, 2021","0.063667","0.066147","0.066147","0.060495","-","-3.75%"
"May 01, 2021","0.066147","0.078098","0.078098","0.064931","-","-15.97%"
"Apr 30, 2021","0.078720","0.051687","0.084759","0.051687","-","52.30%"
"Apr 29, 2021","0.051687","0.049149","0.053395","0.048556","-","5.34%"
"Apr 28, 2021","0.049068","0.051458","0.051657","0.045038","-","-4.59%"
"Apr 27, 2021","0.051430","0.044102","0.052501","0.042673","-","16.68%"
"Apr 26, 2021","0.044078","0.033611","0.045307","0.033480","-","31.27%"
"Apr 25, 2021","0.033578","0.035356","0.037102","0.031591","-","-5.03%"
"Apr 24, 2021","0.035356","0.038107","0.038808","0.035303","-","-7.13%"
"Apr 23, 2021","0.038068","0.038063","0.040335","0.031697","-","-0.04%"
"Apr 22, 2021","0.038083","0.040657","0.042990","0.037779","-","-6.38%"
"Apr 21, 2021","0.040679","0.043196","0.044764","0.040613","-","-5.77%"
"Apr 20, 2021","0.043172","0.043684","0.045687","0.039495","-","-1.28%"
"Apr 19, 2021","0.043733","0.042953","0.047197","0.041002","-","1.76%"
"Apr 18, 2021","0.042978","0.049460","0.049729","0.039559","-","-13.11%"
"Apr 17, 2021","0.049460","0.049050","0.052713","0.048803","-","0.78%"
"Apr 16, 2021","0.049080","0.052182","0.052248","0.047289","-","-5.95%"
"Apr 15, 2021","0.052182","0.047514","0.054063","0.047276","-","9.82%"
"Apr 14, 2021","0.047514","0.047332","0.050417","0.046343","-","0.51%"
"Apr 13, 2021","0.047272","0.048861","0.049185","0.045766","-","-3.14%"
"Apr 12, 2021","0.048802","0.050150","0.051630","0.048686","-","-2.69%"
"Apr 11, 2021","0.050150","0.049940","0.051796","0.048454","-","0.42%"
"Apr 10, 2021","0.049940","0.052586","0.054882","0.048615","-","-5.09%"
"Apr 09, 2021","0.052616","0.049099","0.054710","0.048406","-","7.35%"
"Apr 08, 2021","0.049014","0.046141","0.050116","0.045607","-","6.11%"
"Apr 07, 2021","0.046193","0.052494","0.052647","0.044052","-","-12.00%"
"Apr 06, 2021","0.052494","0.049263","0.053887","0.049110","-","5.55%"
"Apr 05, 2021","0.049735","0.050991","0.052834","0.048607","-","-2.41%"
"Apr 04, 2021","0.050961","0.051626","0.056164","0.050174","-","-0.68%"
"Apr 03, 2021","0.051311","0.050413","0.056532","0.049147","-","1.72%"
"Apr 02, 2021","0.050442","0.048529","0.053614","0.048274","-","4.76%"
"Apr 01, 2021","0.048150","0.045535","0.049764","0.043798","-","5.68%"
"Mar 31, 2021","0.045561","0.048529","0.048587","0.043789","-","-6.12%"
"Mar 30, 2021","0.048529","0.042436","0.049706","0.042000","-","14.49%"
"Mar 29, 2021","0.042388","0.041574","0.043946","0.040407","-","2.01%"
"Mar 28, 2021","0.041550","0.041084","0.043220","0.039989","-","1.19%"
"Mar 27, 2021","0.041061","0.040429","0.041292","0.038628","-","1.56%"
"Mar 26, 2021","0.040429","0.036704","0.040953","0.036700","-","9.98%"
"Mar 25, 2021","0.036761","0.036911","0.038421","0.035678","-","-0.51%"
"Mar 24, 2021","0.036950","0.038817","0.042571","0.036529","-","-5.12%"
"Mar 23, 2021","0.038943","0.040065","0.041736","0.037520","-","-2.19%"
"Mar 22, 2021","0.039816","0.043341","0.044798","0.039794","-","-8.03%"
"Mar 21, 2021","0.043291","0.044451","0.044789","0.042202","-","-2.50%"
"Mar 20, 2021","0.044399","0.046194","0.049300","0.043998","-","-3.94%"
"Mar 19, 2021","0.046221","0.045167","0.051110","0.043637","-","2.16%"
"Mar 18, 2021","0.045245","0.045133","0.049444","0.044031","-","0.49%"
"Mar 17, 2021","0.045026","0.043020","0.048922","0.039639","-","4.84%"
"Mar 16, 2021","0.042947","0.045429","0.045684","0.040563","-","-5.57%"
"Mar 15, 2021","0.045480","0.049379","0.055224","0.044290","-","-7.73%"
"Mar 14, 2021","0.049292","0.044370","0.055891","0.040450","-","10.96%"
"Mar 13, 2021","0.044424","0.034670","0.046800","0.033446","-","28.21%"
"Mar 12, 2021","0.034651","0.037971","0.041880","0.033578","-","-8.53%"
"Mar 11, 2021","0.037883","0.035634","0.039244","0.034004","-","6.43%"
"Mar 10, 2021","0.035594","0.034928","0.043802","0.030376","-","2.02%"
"Mar 09, 2021","0.034890","0.028055","0.034890","0.027836","-","24.63%"
"Mar 08, 2021","0.027996","0.026772","0.029676","0.026355","-","4.30%"
"Mar 07, 2021","0.026840","0.027615","0.028180","0.026158","-","-2.76%"
"Mar 06, 2021","0.027601","0.028076","0.028297","0.026378","-","-1.93%"
"Mar 05, 2021","0.028145","0.027308","0.028946","0.025683","-","2.82%"
"Mar 04, 2021","0.027374","0.030433","0.032101","0.026416","-","-10.28%"
"Mar 03, 2021","0.030509","0.024939","0.032216","0.024831","-","22.27%"
"Mar 02, 2021","0.024952","0.025520","0.026841","0.023404","-","-2.28%"
"Mar 01, 2021","0.025533","0.020626","0.028634","0.020532","-","23.96%"
"Feb 28, 2021","0.020598","0.023336","0.023576","0.019281","-","-11.70%"
"Feb 27, 2021","0.023326","0.019685","0.025732","0.019685","-","18.49%"
"Feb 26, 2021","0.019685","0.021432","0.021811","0.019197","-","-7.80%"
"Feb 25, 2021","0.021351","0.022139","0.023664","0.021313","-","-3.41%"
"Feb 24, 2021","0.022106","0.021750","0.023858","0.020451","-","1.64%"
"Feb 23, 2021","0.021750","0.026742","0.026742","0.019283","-","-18.67%"
"Feb 22, 2021","0.026742","0.027858","0.031480","0.020531","-","-3.89%"
"Feb 21, 2021","0.027826","0.024846","0.029157","0.024667","-","11.80%"
"Feb 20, 2021","0.024888","0.024846","0.027826","0.023717","-","0.17%"
"Feb 19, 2021","0.024846","0.026058","0.026207","0.024073","-","-4.65%"
"Feb 18, 2021","0.026058","0.025587","0.026357","0.023785","-","2.05%"
"Feb 17, 2021","0.025534","0.024865","0.027778","0.023726","-","2.84%"
"Feb 16, 2021","0.024828","0.022249","0.028775","0.021442","-","13.83%"
"Feb 15, 2021","0.021812","0.025535","0.025572","0.020948","-","-14.58%"
"Feb 14, 2021","0.025535","0.027123","0.029441","0.024976","-","-5.76%"
"Feb 13, 2021","0.027097","0.029147","0.029833","0.024803","-","-6.40%"
