"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","3.9551","4.2265","4.2265","3.8007","3.74M","-6.12%"
"Jun 30, 2021","4.2131","4.0244","4.3279","3.9573","7.41M","5.72%"
"Jun 29, 2021","3.9850","3.6347","4.1239","3.6347","4.49M","9.97%"
"Jun 28, 2021","3.6236","3.5457","3.6295","3.4826","3.64M","2.59%"
"Jun 27, 2021","3.5320","3.4537","3.5320","3.3504","2.91M","2.23%"
"Jun 26, 2021","3.4549","3.2513","3.4549","3.1933","4.46M","6.18%"
"Jun 25, 2021","3.2537","3.5618","3.6216","3.2537","4.51M","-8.27%"
"Jun 24, 2021","3.5470","3.3938","3.5973","3.2528","11.87M","4.67%"
"Jun 23, 2021","3.3886","3.2150","3.5195","3.2150","19.85M","5.64%"
"Jun 22, 2021","3.2077","3.0854","3.3242","2.7299","22.36M","3.45%"
"Jun 21, 2021","3.1007","4.0599","4.0599","3.1007","21.41M","-23.43%"
"Jun 20, 2021","4.0495","3.8441","4.0579","3.6143","3.75M","5.38%"
"Jun 19, 2021","3.8426","3.7544","3.9607","3.6596","2.54M","2.38%"
"Jun 18, 2021","3.7534","4.1595","4.1600","3.7217","9.70M","-10.07%"
"Jun 17, 2021","4.1737","4.1349","4.2363","3.9945","11.95M","0.96%"
"Jun 16, 2021","4.1340","4.0581","4.4356","3.9385","19.32M","1.95%"
"Jun 15, 2021","4.0548","4.0130","4.0548","3.9065","15.53M","1.34%"
"Jun 14, 2021","4.0013","3.8682","4.0094","3.8105","17.73M","3.68%"
"Jun 13, 2021","3.8591","3.6405","3.8591","3.5228","9.11M","6.50%"
"Jun 12, 2021","3.6236","3.5509","3.7249","3.3469","4.08M","1.44%"
"Jun 11, 2021","3.5721","3.8686","3.8686","3.5373","2.98M","-7.59%"
"Jun 10, 2021","3.8655","4.1362","4.1539","3.8655","4.04M","-6.58%"
"Jun 09, 2021","4.1378","4.0935","4.1378","3.8349","4.31M","0.76%"
"Jun 08, 2021","4.1065","4.1425","4.1425","3.8256","5.19M","-0.79%"
"Jun 07, 2021","4.1393","4.6918","4.7556","4.1393","4.17M","-11.74%"
"Jun 06, 2021","4.6899","4.7431","4.7555","4.5681","3.71M","-1.36%"
"Jun 05, 2021","4.7544","4.6710","5.2515","4.6710","9.11M","2.15%"
"Jun 04, 2021","4.6544","5.0348","5.0414","4.5061","8.10M","-7.88%"
"Jun 03, 2021","5.0528","4.7413","5.5109","4.5375","28.53M","5.80%"
"Jun 02, 2021","4.7758","3.5444","5.0083","3.5444","37.30M","34.80%"
"Jun 01, 2021","3.5428","3.5681","3.6242","3.4721","11.06M","-1.66%"
"May 31, 2021","3.6026","3.2441","3.6026","3.1208","3.41M","10.16%"
"May 30, 2021","3.2704","3.1397","3.3872","2.9946","10.43M","4.15%"
"May 29, 2021","3.1402","3.2972","3.4129","3.0467","17.20M","-4.88%"
"May 28, 2021","3.3012","4.0093","4.0338","3.2793","17.81M","-17.91%"
"May 27, 2021","4.0212","3.7827","4.0543","3.4542","16.90M","6.31%"
"May 26, 2021","3.7826","3.4606","3.7826","3.4184","15.31M","10.07%"
"May 25, 2021","3.4366","3.2012","3.4442","2.9594","19.75M","7.40%"
"May 24, 2021","3.1999","2.7553","3.2422","2.6853","21.20M","16.73%"
"May 23, 2021","2.7413","3.1690","3.4153","2.4564","17.16M","-13.41%"
"May 22, 2021","3.1660","3.4654","3.5204","3.1412","19.66M","-8.79%"
"May 21, 2021","3.4710","3.9795","4.1292","3.3296","15.31M","-12.61%"
"May 20, 2021","3.9719","3.2004","3.9887","3.0982","19.56M","26.35%"
"May 19, 2021","3.1435","5.0700","5.0700","2.7715","18.77M","-37.73%"
"May 18, 2021","5.0481","4.6517","5.0481","4.6444","3.03M","9.24%"
"May 17, 2021","4.6213","5.0614","5.0614","4.5344","4.09M","-8.72%"
"May 16, 2021","5.0630","5.1345","5.4443","4.7799","3.85M","-0.96%"
"May 15, 2021","5.1120","5.6145","5.7105","5.1120","3.42M","-8.92%"
"May 14, 2021","5.6126","5.3491","5.7674","5.3491","2.32M","5.13%"
"May 13, 2021","5.3386","5.0901","5.6018","5.0000","4.95M","6.80%"
"May 12, 2021","4.9988","6.0685","6.3740","4.9988","4.92M","-17.54%"
"May 11, 2021","6.0624","5.6807","6.0624","5.5470","4.33M","6.47%"
"May 10, 2021","5.6941","6.1386","6.6903","5.5805","9.54M","-7.26%"
"May 09, 2021","6.1396","6.2910","6.2910","5.9941","3.28M","-2.38%"
"May 08, 2021","6.2891","6.5053","6.6232","6.2891","4.33M","-3.36%"
"May 07, 2021","6.5080","6.2586","6.8700","6.0301","8.62M","4.15%"
"May 06, 2021","6.2487","6.2071","6.5971","6.2008","6.32M","0.88%"
"May 05, 2021","6.1943","5.8293","6.3099","5.8293","4.04M","4.66%"
"May 04, 2021","5.9184","6.3384","6.3384","5.7095","6.60M","-6.59%"
"May 03, 2021","6.3360","5.7174","6.7350","5.7174","10.28M","11.50%"
"May 02, 2021","5.6827","5.7804","5.7804","5.4600","2.24M","-1.73%"
"May 01, 2021","5.7826","5.5935","5.8380","5.5502","3.92M","3.22%"
"Apr 30, 2021","5.6022","5.1325","5.6022","5.0956","5.21M","9.33%"
"Apr 29, 2021","5.1243","5.0814","5.2685","4.9391","4.34M","1.03%"
"Apr 28, 2021","5.0721","5.3299","5.3299","4.9542","3.63M","-4.68%"
"Apr 27, 2021","5.3212","4.9820","5.3212","4.9820","3.88M","8.96%"
"Apr 26, 2021","4.8838","4.1815","4.8838","4.1815","5.96M","17.26%"
"Apr 25, 2021","4.1651","4.1243","4.4708","3.9902","4.23M","1.23%"
"Apr 24, 2021","4.1146","4.5326","4.5326","4.1003","4.60M","-9.37%"
"Apr 23, 2021","4.5398","4.4309","4.5434","4.1137","9.70M","2.11%"
"Apr 22, 2021","4.4462","4.9530","5.0906","4.4462","5.22M","-10.47%"
"Apr 21, 2021","4.9662","5.2147","5.4121","4.9662","5.09M","-4.63%"
"Apr 20, 2021","5.2071","4.9546","5.3694","4.5471","8.78M","5.32%"
"Apr 19, 2021","4.9442","5.5212","5.6083","4.9145","4.47M","-9.53%"
"Apr 18, 2021","5.4648","6.4581","6.4581","4.7529","8.00M","-15.38%"
"Apr 17, 2021","6.4582","6.5942","6.8870","6.4582","4.31M","-1.54%"
"Apr 16, 2021","6.5593","6.9171","6.9171","6.4642","3.71M","-4.65%"
"Apr 15, 2021","6.8789","6.5543","7.0490","6.4191","4.84M","5.56%"
"Apr 14, 2021","6.5166","6.4959","6.6198","6.2140","3.38M","0.39%"
"Apr 13, 2021","6.4915","6.6346","6.7153","6.3056","2.71M","-1.25%"
"Apr 12, 2021","6.5735","7.0023","7.0023","6.5125","2.60M","-5.97%"
"Apr 11, 2021","6.9910","7.0233","7.2243","6.6425","2.64M","-0.26%"
"Apr 10, 2021","7.0094","7.0154","7.2608","6.8534","3.12M","0.07%"
"Apr 09, 2021","7.0046","7.2858","7.3236","7.0046","2.89M","-3.73%"
