"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","7.084","7.418","7.418","6.960","954.21K","-4.53%"
"Jun 30, 2021","7.420","7.366","7.420","7.150","960.87K","0.79%"
"Jun 29, 2021","7.362","7.230","7.533","7.230","1.13M","1.78%"
"Jun 28, 2021","7.233","7.250","7.441","7.233","1.22M","-0.23%"
"Jun 27, 2021","7.250","6.720","7.250","6.720","1.29M","7.89%"
"Jun 26, 2021","6.720","6.540","6.720","6.250","1.08M","2.75%"
"Jun 25, 2021","6.540","6.992","6.999","6.540","1.09M","-6.44%"
"Jun 24, 2021","6.990","6.767","7.039","6.485","1.02M","3.14%"
"Jun 23, 2021","6.777","6.216","6.786","6.216","1.69M","9.15%"
"Jun 22, 2021","6.209","6.213","6.489","6.209","2.86M","-0.27%"
"Jun 21, 2021","6.226","7.935","7.935","6.216","2.25M","-21.54%"
"Jun 20, 2021","7.935","8.017","8.017","7.669","1.66M","-1.07%"
"Jun 19, 2021","8.021","8.198","8.221","8.021","1.09M","-2.09%"
"Jun 18, 2021","8.192","8.898","8.898","8.192","2.06M","-7.93%"
"Jun 17, 2021","8.898","8.649","9.124","8.649","1.60M","2.88%"
"Jun 16, 2021","8.649","8.739","8.834","8.614","1.11M","-1.03%"
"Jun 15, 2021","8.739","8.696","8.782","8.696","973.90K","0.45%"
"Jun 14, 2021","8.700","8.652","8.700","8.550","1.05M","0.49%"
"Jun 13, 2021","8.658","8.020","8.658","7.929","881.39K","7.96%"
"Jun 12, 2021","8.020","7.940","8.051","7.740","911.92K","1.01%"
"Jun 11, 2021","7.940","8.098","8.176","7.930","1.05M","-1.98%"
"Jun 10, 2021","8.100","8.499","8.500","7.957","1.44M","-4.64%"
"Jun 09, 2021","8.494","8.075","8.494","8.075","1.61M","5.21%"
"Jun 08, 2021","8.073","7.811","8.073","7.544","2.16M","3.24%"
"Jun 07, 2021","7.820","8.563","8.609","7.820","1.50M","-8.62%"
"Jun 06, 2021","8.558","8.367","8.558","8.367","1.01M","2.19%"
"Jun 05, 2021","8.375","8.592","8.972","8.375","2.08M","-2.47%"
"Jun 04, 2021","8.587","9.525","9.525","8.512","2.77M","-9.80%"
"Jun 03, 2021","9.520","8.258","9.520","8.258","2.97M","15.18%"
"Jun 02, 2021","8.265","7.398","8.265","7.398","1.80M","11.67%"
"Jun 01, 2021","7.401","7.562","7.562","7.386","1.38M","-2.30%"
"May 31, 2021","7.575","6.850","7.575","6.663","1.51M","10.45%"
"May 30, 2021","6.858","6.479","6.858","6.479","1.28M","5.83%"
"May 29, 2021","6.480","6.735","7.057","6.389","1.49M","-3.57%"
"May 28, 2021","6.720","7.612","7.612","6.670","1.99M","-11.53%"
"May 27, 2021","7.596","7.485","7.670","7.031","2.06M","1.48%"
"May 26, 2021","7.485","6.943","7.485","6.943","2.33M","7.82%"
"May 25, 2021","6.942","7.185","7.185","6.610","2.18M","-3.26%"
"May 24, 2021","7.176","5.918","7.176","5.918","3.25M","21.24%"
"May 23, 2021","5.919","6.936","6.936","4.898","4.46M","-14.76%"
"May 22, 2021","6.944","7.050","7.050","6.387","2.18M","-1.67%"
"May 21, 2021","7.062","8.053","8.495","6.927","4.74M","-12.14%"
"May 20, 2021","8.038","6.390","8.038","6.390","4.93M","25.79%"
"May 19, 2021","6.390","10.545","10.545","5.269","10.59M","-39.37%"
"May 18, 2021","10.539","10.226","10.886","10.226","1.78M","3.28%"
