"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.56948","1.68118","1.68562","1.51233","7.27M","-6.66%"
"Jun 30, 2021","1.68139","1.53137","1.71601","1.45463","11.07M","9.80%"
"Jun 29, 2021","1.53137","1.39975","1.55272","1.39975","6.48M","9.41%"
"Jun 28, 2021","1.39970","1.35918","1.42324","1.31079","6.34M","2.96%"
"Jun 27, 2021","1.35945","1.34768","1.36890","1.24307","7.48M","0.92%"
"Jun 26, 2021","1.34710","1.23674","1.34759","1.16278","9.04M","8.79%"
"Jun 25, 2021","1.23828","1.41400","1.44551","1.22902","8.38M","-12.43%"
"Jun 24, 2021","1.41400","1.33208","1.42748","1.26648","6.74M","6.15%"
"Jun 23, 2021","1.33208","1.21662","1.43604","1.16754","7.08M","9.51%"
"Jun 22, 2021","1.21636","1.31153","1.40277","1.08732","11.03M","-7.19%"
"Jun 21, 2021","1.31057","1.73773","1.74695","1.30638","7.90M","-24.65%"
"Jun 20, 2021","1.73929","1.75603","1.79723","1.58569","5.12M","-0.95%"
"Jun 19, 2021","1.75603","1.79183","1.81797","1.75101","4.82M","-2.00%"
"Jun 18, 2021","1.79183","1.94304","1.94400","1.73455","6.11M","-7.78%"
"Jun 17, 2021","1.94305","2.06690","2.06714","1.91084","7.14M","-5.99%"
"Jun 16, 2021","2.06690","1.86291","2.10820","1.76333","11.64M","10.93%"
"Jun 15, 2021","1.86331","1.90143","1.94073","1.83394","6.17M","-2.01%"
"Jun 14, 2021","1.90151","1.90629","2.04186","1.86540","10.05M","-0.25%"
"Jun 13, 2021","1.90619","1.68578","1.95215","1.59818","7.61M","13.11%"
"Jun 12, 2021","1.68518","1.77120","1.77259","1.60037","6.43M","-4.84%"
"Jun 11, 2021","1.77083","1.90507","1.91603","1.70730","7.31M","-7.05%"
"Jun 10, 2021","1.90507","2.08191","2.09052","1.89427","8.17M","-8.50%"
"Jun 09, 2021","2.08203","1.98968","2.14458","1.85822","7.68M","4.64%"
"Jun 08, 2021","1.98968","2.08805","2.12160","1.82319","10.54M","-4.71%"
"Jun 07, 2021","2.08805","2.39927","2.40203","2.05952","9.60M","-13.02%"
"Jun 06, 2021","2.40062","2.08659","2.40327","2.07856","9.25M","15.05%"
"Jun 05, 2021","2.08659","2.18515","2.33597","2.02942","7.08M","-4.70%"
"Jun 04, 2021","2.18951","2.41617","2.41967","2.09903","8.86M","-9.37%"
"Jun 03, 2021","2.41593","2.62752","2.86077","2.39059","12.29M","-8.05%"
"Jun 02, 2021","2.62747","2.31176","3.88671","2.07086","34.44M","13.66%"
"Jun 01, 2021","2.31176","1.71862","2.39913","1.58016","12.53M","34.58%"
"May 31, 2021","1.71779","1.60138","1.71931","1.49068","5.64M","7.26%"
"May 30, 2021","1.60154","1.54636","1.67970","1.44775","5.11M","3.59%"
"May 29, 2021","1.54604","1.62392","1.69613","1.44103","7.22M","-4.81%"
"May 28, 2021","1.62423","1.89076","1.91842","1.56128","6.94M","-14.02%"
"May 27, 2021","1.88907","2.03922","2.11904","1.81645","7.08M","-7.34%"
"May 26, 2021","2.03868","1.74350","2.08543","1.71467","8.27M","16.93%"
"May 25, 2021","1.74346","1.75708","1.80741","1.52073","6.88M","-0.58%"
"May 24, 2021","1.75359","1.45496","1.76683","1.40965","6.91M","20.52%"
"May 23, 2021","1.45496","1.72530","1.81155","1.21065","8.65M","-15.67%"
"May 22, 2021","1.72523","1.93497","1.94774","1.67611","7.89M","-10.84%"
"May 21, 2021","1.93488","2.12420","2.23706","1.69895","9.40M","-8.94%"
"May 20, 2021","2.12479","1.89531","2.26894","1.73653","7.38M","12.22%"
"May 19, 2021","1.89342","2.82202","2.92498","1.41683","11.73M","-32.92%"
"May 18, 2021","2.82279","2.48123","2.92971","2.44767","5.62M","13.77%"
"May 17, 2021","2.48123","2.71935","2.76449","2.42129","5.59M","-8.76%"
"May 16, 2021","2.71939","2.80999","3.03232","2.54573","4.92M","-3.22%"
"May 15, 2021","2.80999","3.14633","3.18033","2.78454","4.58M","-10.69%"
"May 14, 2021","3.14634","2.99279","3.24980","2.94525","4.71M","5.13%"
"May 13, 2021","2.99280","2.93606","3.17643","2.75504","6.59M","3.12%"
"May 12, 2021","2.90212","3.38925","3.63387","2.90212","6.69M","-14.37%"
"May 11, 2021","3.38925","3.30156","3.42150","3.08026","5.54M","2.66%"
"May 10, 2021","3.30156","3.35744","3.84440","3.12475","8.63M","-1.67%"
"May 09, 2021","3.35777","3.43080","3.44852","3.18034","4.95M","-2.18%"
"May 08, 2021","3.43243","3.53557","3.67622","3.39600","5.41M","-2.92%"
"May 07, 2021","3.53557","3.53929","4.21502","3.39922","9.70M","-0.10%"
"May 06, 2021","3.53929","3.24293","3.57638","3.12898","6.63M","9.14%"
"May 05, 2021","3.24293","3.00595","3.32115","3.00595","4.44M","7.22%"
"May 04, 2021","3.02469","3.41027","3.41148","3.01015","5.66M","-11.26%"
"May 03, 2021","3.40835","3.18681","3.46950","3.17944","6.04M","6.98%"
"May 02, 2021","3.18605","3.31565","3.32576","3.10021","4.77M","-3.89%"
"May 01, 2021","3.31487","3.27821","3.34712","3.13091","4.96M","1.12%"
"Apr 30, 2021","3.27821","3.08249","3.30626","3.02759","4.54M","6.41%"
"Apr 29, 2021","3.08063","3.08956","3.34216","3.00176","6.21M","-0.28%"
"Apr 28, 2021","3.08928","3.23588","3.26454","2.89282","6.34M","-4.55%"
"Apr 27, 2021","3.23666","2.77875","3.32432","2.72708","8.20M","16.36%"
"Apr 26, 2021","2.78161","2.40914","2.80119","2.38812","5.42M","15.44%"
"Apr 25, 2021","2.40962","2.36156","2.66349","2.26098","5.90M","1.95%"
"Apr 24, 2021","2.36345","2.53292","2.55366","2.29815","5.23M","-6.69%"
"Apr 23, 2021","2.53301","2.63684","2.68437","2.23635","8.74M","-3.94%"
"Apr 22, 2021","2.63684","3.03029","3.13407","2.59950","7.02M","-12.98%"
"Apr 21, 2021","3.03014","2.98331","3.40213","2.89636","9.51M","1.57%"
"Apr 20, 2021","2.98327","2.80992","3.05975","2.44469","8.29M","6.22%"
"Apr 19, 2021","2.80847","3.01187","3.13558","2.68921","6.32M","-6.77%"
"Apr 18, 2021","3.01255","3.36162","3.39092","2.61940","7.51M","-10.46%"
"Apr 17, 2021","3.36452","3.53302","3.60749","3.31522","5.10M","-4.84%"
"Apr 16, 2021","3.53568","3.53588","3.59368","3.20852","6.29M","-0.05%"
"Apr 15, 2021","3.53757","3.43047","3.65881","3.34712","4.99M","3.01%"
"Apr 14, 2021","3.43403","3.56891","3.61341","3.18112","5.66M","-3.78%"
"Apr 13, 2021","3.56891","3.54370","3.65731","3.37568","5.64M","0.68%"
"Apr 12, 2021","3.54498","3.66797","3.91993","3.45123","6.73M","-3.48%"
"Apr 11, 2021","3.67289","3.76889","3.80068","3.49671","7.12M","-2.61%"
"Apr 10, 2021","3.77114","3.35983","4.33489","3.31004","14.65M","12.25%"
"Apr 09, 2021","3.35954","3.31027","3.50193","3.18555","6.57M","1.40%"
"Apr 08, 2021","3.31330","3.09362","3.37802","3.06612","6.50M","7.08%"
"Apr 07, 2021","3.09431","3.41422","3.44053","2.88534","8.47M","-9.37%"
"Apr 06, 2021","3.41422","3.30997","3.56000","3.24194","7.28M","3.09%"
"Apr 05, 2021","3.31198","3.37437","3.53966","3.12318","7.96M","-1.85%"
"Apr 04, 2021","3.37437","3.27173","3.48396","3.23659","7.37M","3.14%"
"Apr 03, 2021","3.27173","3.05144","3.73509","3.04266","15.02M","7.22%"
"Apr 02, 2021","3.05144","2.88682","3.10718","2.78511","7.40M","5.70%"
"Apr 01, 2021","2.88675","2.68420","2.91637","2.64633","7.13M","7.54%"
"Mar 31, 2021","2.68447","2.78832","2.85946","2.60770","6.77M","-3.73%"
"Mar 30, 2021","2.78859","2.78968","2.84074","2.65270","6.78M","-0.04%"
"Mar 29, 2021","2.78968","2.65275","2.80117","2.59710","7.10M","5.15%"
"Mar 28, 2021","2.65302","2.47955","2.65567","2.46352","7.11M","6.97%"
"Mar 27, 2021","2.48024","2.44307","2.63277","2.42940","8.12M","1.52%"
"Mar 26, 2021","2.44307","2.27392","2.51649","2.27161","6.74M","7.44%"
"Mar 25, 2021","2.27392","2.38808","2.40296","2.15860","8.87M","-5.14%"
"Mar 24, 2021","2.39703","2.62148","2.81787","2.30475","8.98M","-8.56%"
"Mar 23, 2021","2.62148","2.86016","2.97646","2.58209","10.09M","-8.37%"
