"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2.5506","2.6789","2.7549","2.3769","1.89M","-4.69%"
"Jun 30, 2021","2.6760","2.4746","2.7000","2.3131","2.79M","8.14%"
"Jun 29, 2021","2.4746","2.1975","2.6884","2.1975","4.22M","12.61%"
"Jun 28, 2021","2.1974","2.0094","2.2023","1.9598","1.20M","9.35%"
"Jun 27, 2021","2.0096","1.9523","2.0119","1.8906","1.20M","2.93%"
"Jun 26, 2021","1.9523","1.8799","2.0270","1.8186","1.53M","3.89%"
"Jun 25, 2021","1.8791","2.1010","2.1685","1.8432","1.60M","-10.56%"
"Jun 24, 2021","2.1010","1.9791","2.1048","1.8841","1.09M","6.16%"
"Jun 23, 2021","1.9791","1.8624","2.1281","1.7872","1.59M","6.26%"
"Jun 22, 2021","1.8624","1.9577","2.0522","1.5153","3.36M","-4.86%"
"Jun 21, 2021","1.9577","2.4798","2.5460","1.9264","2.44M","-21.06%"
"Jun 20, 2021","2.4798","2.5520","2.5592","2.2965","1.79M","-2.83%"
"Jun 19, 2021","2.5520","2.6096","2.6940","2.5427","793.53K","-2.21%"
"Jun 18, 2021","2.6096","2.8122","2.8214","2.5069","1.40M","-7.20%"
"Jun 17, 2021","2.8122","2.8557","2.9703","2.7464","1.34M","-1.52%"
"Jun 16, 2021","2.8557","3.0396","3.1627","2.8308","1.63M","-6.05%"
"Jun 15, 2021","3.0396","3.0856","3.1317","2.9556","1.37M","-1.49%"
"Jun 14, 2021","3.0856","2.9135","3.1723","2.8493","2.07M","5.91%"
"Jun 13, 2021","2.9135","2.7051","2.9582","2.6110","1.83M","7.72%"
"Jun 12, 2021","2.7046","2.8280","2.8889","2.5781","1.99M","-4.36%"
"Jun 11, 2021","2.8280","3.1098","3.1498","2.8002","1.20M","-9.06%"
"Jun 10, 2021","3.1098","3.2434","3.2609","3.0022","1.30M","-4.12%"
"Jun 09, 2021","3.2434","3.1290","3.2597","2.9688","2.22M","3.66%"
"Jun 08, 2021","3.1290","3.2282","3.3259","2.7364","2.63M","-3.43%"
"Jun 07, 2021","3.2401","3.5104","3.7695","3.2071","2.36M","-7.70%"
"Jun 06, 2021","3.5104","3.3788","3.6584","3.3240","1.36M","3.89%"
"Jun 05, 2021","3.3788","3.5402","3.6689","3.2784","1.83M","-4.56%"
"Jun 04, 2021","3.5402","3.9656","3.9708","3.3570","2.74M","-10.73%"
"Jun 03, 2021","3.9656","3.8511","4.0962","3.7107","1.40M","2.97%"
"Jun 02, 2021","3.8511","3.6140","3.9747","3.5500","2.41M","6.56%"
"Jun 01, 2021","3.6140","3.5796","3.6360","3.3860","1.50M","0.96%"
"May 31, 2021","3.5796","3.3700","3.5920","3.1482","1.68M","6.22%"
"May 30, 2021","3.3700","3.2765","3.4571","3.0845","1.62M","2.85%"
"May 29, 2021","3.2765","3.5357","3.6199","3.0717","1.95M","-7.33%"
"May 28, 2021","3.5357","4.2001","4.2625","3.1001","8.50M","-15.82%"
"May 27, 2021","4.2001","4.5404","4.5413","4.0540","1.81M","-7.49%"
"May 26, 2021","4.5404","4.3314","4.6092","4.1230","3.92M","4.83%"
"May 25, 2021","4.3314","3.8540","4.6406","3.7774","7.43M","12.39%"
"May 24, 2021","3.8540","3.1686","3.8997","2.9377","4.89M","21.63%"
"May 23, 2021","3.1686","3.9885","4.1544","2.6202","5.87M","-20.80%"
"May 22, 2021","4.0008","4.4205","4.4880","3.8043","2.99M","-9.49%"
"May 21, 2021","4.4205","5.0461","5.3847","3.5602","5.10M","-12.40%"
"May 20, 2021","5.0461","3.9672","5.0953","3.5685","5.49M","27.18%"
"May 19, 2021","3.9677","6.2227","6.5199","3.0326","8.17M","-36.24%"
"May 18, 2021","6.2228","5.8199","6.6415","5.7318","3.76M","6.93%"
"May 17, 2021","5.8197","6.3250","6.3250","5.2847","4.78M","-7.99%"
"May 16, 2021","6.3250","6.5793","6.8001","5.9154","4.02M","-4.12%"
"May 15, 2021","6.5965","7.4700","7.5965","6.5212","2.91M","-11.69%"
"May 14, 2021","7.4700","7.1000","7.5698","6.7035","3.38M","5.21%"
"May 13, 2021","7.1000","6.9590","7.4500","6.2934","6.09M","2.03%"
"May 12, 2021","6.9590","9.3370","9.3370","6.9590","3.99M","-25.47%"
"May 11, 2021","9.3370","8.6478","9.4342","7.8441","6.18M","7.97%"
"May 10, 2021","8.6474","8.2551","10.7595","7.7967","11.69M","4.75%"
"May 09, 2021","8.2551","8.4193","9.0399","7.7128","4.29M","-1.95%"
"May 08, 2021","8.4193","9.0443","9.5233","8.1389","6.53M","-6.91%"
"May 07, 2021","9.0442","6.9251","11.4807","6.9251","41.92M","30.60%"
"May 06, 2021","6.9251","6.1876","7.1349","6.0153","4.72M","11.92%"
"May 05, 2021","6.1876","5.3012","6.3376","5.3000","3.01M","9.58%"
"May 04, 2021","5.6468","5.9332","6.3707","5.3656","2.96M","-4.83%"
"May 03, 2021","5.9332","5.6489","6.3675","5.5861","3.15M","5.03%"
"May 02, 2021","5.6489","5.5103","5.7185","5.1881","1.68M","2.52%"
"May 01, 2021","5.5103","5.4399","5.6256","5.2500","1.13M","1.29%"
"Apr 30, 2021","5.4399","5.2901","5.5110","5.0848","1.46M","2.83%"
"Apr 29, 2021","5.2901","5.6495","5.6495","5.0186","2.49M","-5.53%"
"Apr 28, 2021","5.6000","4.8799","6.0236","4.4102","6.12M","14.75%"
"Apr 27, 2021","4.8799","4.5788","4.9318","4.5024","1.40M","6.58%"
"Apr 26, 2021","4.5788","3.8487","4.8348","3.7865","2.35M","19.72%"
"Apr 25, 2021","3.8245","3.7127","4.4096","3.4943","1.94M","3.01%"
"Apr 24, 2021","3.7127","4.1197","4.1197","3.6301","2.18M","-9.88%"
"Apr 23, 2021","4.1197","4.3299","4.4199","3.1634","4.01M","-4.86%"
"Apr 22, 2021","4.3300","5.1484","5.2658","4.2777","3.79M","-15.90%"
"Apr 21, 2021","5.1484","5.4229","5.6371","5.0459","1.25M","-5.06%"
"Apr 20, 2021","5.4229","5.3511","5.6157","4.7094","1.93M","1.34%"
"Apr 19, 2021","5.3511","5.6958","5.8496","5.1228","1.35M","-6.05%"
"Apr 18, 2021","5.6958","6.4801","6.6253","4.9739","2.37M","-12.10%"
"Apr 17, 2021","6.4802","6.9785","7.0024","6.3970","1.62M","-7.14%"
"Apr 16, 2021","6.9785","6.5195","7.2540","6.2500","2.76M","7.04%"
"Apr 15, 2021","6.5195","6.1825","6.5259","6.1302","1.14M","5.53%"
"Apr 14, 2021","6.1779","6.4281","6.4569","5.8566","1.22M","-3.94%"
"Apr 13, 2021","6.4313","6.4666","6.7083","6.0066","2.30M","-0.55%"
"Apr 12, 2021","6.4666","6.8002","6.8313","6.2976","1.04M","-4.91%"
"Apr 11, 2021","6.8002","7.2460","7.2460","6.5402","1.13M","-6.15%"
"Apr 10, 2021","7.2460","7.0852","7.5180","6.7979","1.82M","2.42%"
"Apr 09, 2021","7.0747","6.8374","7.1894","6.5902","2.62M","3.47%"
"Apr 08, 2021","6.8374","6.1777","6.8499","5.8477","1.96M","10.68%"
"Apr 07, 2021","6.1777","6.1699","6.8799","5.4035","3.27M","0.13%"
"Apr 06, 2021","6.1699","6.2451","6.3983","5.7704","1.11M","-1.20%"
"Apr 05, 2021","6.2451","6.3137","6.3718","5.8282","1.30M","-1.09%"
"Apr 04, 2021","6.3137","5.7626","6.5264","5.7626","1.94M","9.56%"
"Apr 03, 2021","5.7626","5.9866","6.6982","5.6515","3.42M","-3.74%"
"Apr 02, 2021","5.9866","5.9251","6.0359","5.6745","1.07M","1.04%"
"Apr 01, 2021","5.9251","6.2547","6.2882","5.7946","1.90M","-5.27%"
"Mar 31, 2021","6.2547","5.9129","6.2599","5.5543","1.88M","5.78%"
"Mar 30, 2021","5.9128","5.4559","6.1761","5.3507","3.12M","8.37%"
"Mar 29, 2021","5.4559","4.8718","5.5243","4.6893","2.26M","11.99%"
"Mar 28, 2021","4.8718","4.5193","5.6326","4.4686","4.44M","7.80%"
"Mar 27, 2021","4.5193","4.4799","4.5375","4.2193","1.37M","0.88%"
"Mar 26, 2021","4.4799","3.8993","4.4879","3.8753","2.11M","14.89%"
"Mar 25, 2021","3.8993","4.2577","4.3778","3.8351","2.17M","-8.42%"
"Mar 24, 2021","4.2577","4.9949","5.1402","4.0756","4.38M","-14.76%"
"Mar 23, 2021","4.9949","4.0310","5.1943","3.9521","8.95M","23.91%"
"Mar 22, 2021","4.0310","3.9175","4.5611","3.7587","3.35M","2.90%"
"Mar 21, 2021","3.9175","3.9577","4.0882","3.5902","2.40M","-1.02%"
"Mar 20, 2021","3.9577","3.7860","4.6112","3.7253","3.30M","4.54%"
"Mar 19, 2021","3.7860","3.7458","3.8969","3.6002","948.88K","1.07%"
"Mar 18, 2021","3.7458","3.9097","3.9964","3.6321","2.11M","-4.19%"
"Mar 17, 2021","3.9096","3.3599","4.0191","3.2358","3.86M","16.36%"
"Mar 16, 2021","3.3599","3.2555","3.3800","3.0600","1.19M","3.21%"
"Mar 15, 2021","3.2555","3.4172","3.4742","3.1054","1.61M","-5.11%"
"Mar 14, 2021","3.4309","3.3108","3.6341","3.2095","2.84M","3.56%"
"Mar 13, 2021","3.3128","3.1501","3.6589","2.9989","2.20M","5.17%"
"Mar 12, 2021","3.1501","3.2362","3.2898","3.0453","1.10M","-2.66%"
"Mar 11, 2021","3.2362","3.2272","3.3255","3.0985","1.14M","0.28%"
"Mar 10, 2021","3.2272","3.3834","3.3920","3.1251","1.17M","-4.67%"
"Mar 09, 2021","3.3854","3.2459","3.4171","3.1800","1.42M","4.30%"
"Mar 08, 2021","3.2459","3.2524","3.2818","3.0833","784.48K","-0.20%"
"Mar 07, 2021","3.2524","3.2155","3.2524","3.1336","695.35K","1.15%"
"Mar 06, 2021","3.2155","3.0877","3.2625","3.0005","1.00M","4.01%"
"Mar 05, 2021","3.0915","3.1177","3.1177","2.8719","883.07K","-0.84%"
"Mar 04, 2021","3.1177","3.2425","3.3213","2.9266","1.06M","-3.85%"
"Mar 03, 2021","3.2425","3.1677","3.2899","3.0946","1.57M","2.36%"
"Mar 02, 2021","3.1677","3.0967","3.6828","2.9639","2.96M","2.29%"
"Mar 01, 2021","3.0967","2.8976","3.0993","2.8110","1.13M","6.87%"
"Feb 28, 2021","2.8976","3.0869","3.0869","2.5532","1.27M","-6.13%"
"Feb 27, 2021","3.0869","3.0220","3.1903","2.9394","1.18M","2.15%"
"Feb 26, 2021","3.0220","3.0230","3.2717","2.8000","2.69M","-0.03%"
"Feb 25, 2021","3.0230","2.8180","4.2998","2.8180","9.05M","7.28%"
"Feb 24, 2021","2.8180","2.6518","3.1792","2.4609","2.94M","6.27%"
"Feb 23, 2021","2.6518","3.3999","3.3999","2.1632","4.11M","-22.00%"
"Feb 22, 2021","3.3999","3.8488","3.8997","2.7053","3.45M","-11.66%"
"Feb 21, 2021","3.8488","3.6638","3.9798","3.5924","1.40M","5.05%"
"Feb 20, 2021","3.6638","3.8685","4.3498","3.3853","4.67M","-5.29%"
"Feb 19, 2021","3.8685","3.7752","3.9724","3.4456","2.52M","2.47%"
"Feb 18, 2021","3.7752","3.4090","3.8311","3.2998","2.21M","10.74%"
"Feb 17, 2021","3.4090","3.2422","3.5028","2.9420","1.95M","5.15%"
"Feb 16, 2021","3.2422","3.2908","3.5429","2.9828","3.21M","-1.48%"
"Feb 15, 2021","3.2908","3.8207","4.0491","2.8085","5.44M","-13.87%"
