"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.25014","0.26793","0.26992","0.24557","32.92M","-6.66%"
"Jun 30, 2021","0.26798","0.27787","0.28267","0.25632","47.62M","-3.37%"
"Jun 29, 2021","0.27732","0.27968","0.29703","0.27652","81.79M","-0.81%"
"Jun 28, 2021","0.27957","0.27726","0.30002","0.26589","218.74M","0.89%"
"Jun 27, 2021","0.27711","0.21086","0.31870","0.20870","380.03M","31.43%"
"Jun 26, 2021","0.21084","0.20620","0.21224","0.19734","40.70M","2.19%"
"Jun 25, 2021","0.20632","0.22351","0.23299","0.20513","45.83M","-7.69%"
"Jun 24, 2021","0.22351","0.21717","0.22690","0.20437","36.62M","2.92%"
"Jun 23, 2021","0.21717","0.19927","0.22302","0.19371","40.48M","8.98%"
"Jun 22, 2021","0.19927","0.21369","0.22218","0.17442","61.69M","-6.77%"
"Jun 21, 2021","0.21375","0.27056","0.27224","0.21267","49.95M","-21.00%"
"Jun 20, 2021","0.27056","0.26842","0.27183","0.24579","29.42M","0.77%"
"Jun 19, 2021","0.26848","0.26999","0.27420","0.25869","19.74M","-0.55%"
"Jun 18, 2021","0.26996","0.29184","0.29719","0.26032","31.50M","-7.49%"
"Jun 17, 2021","0.29181","0.28930","0.29941","0.28399","25.22M","0.87%"
"Jun 16, 2021","0.28930","0.30639","0.31148","0.28503","41.53M","-5.57%"
"Jun 15, 2021","0.30637","0.31321","0.32093","0.30254","29.54M","-2.18%"
"Jun 14, 2021","0.31321","0.30557","0.31964","0.29914","30.93M","2.50%"
"Jun 13, 2021","0.30557","0.29044","0.31490","0.28382","25.55M","5.20%"
"Jun 12, 2021","0.29046","0.29209","0.30756","0.27932","30.21M","-0.47%"
"Jun 11, 2021","0.29182","0.31209","0.31713","0.28726","20.67M","-6.49%"
"Jun 10, 2021","0.31209","0.33205","0.34240","0.30769","27.65M","-6.01%"
"Jun 09, 2021","0.33205","0.31924","0.33571","0.30757","38.31M","4.01%"
