"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","10.7000","11.2400","11.7900","10.3000","56.48K","-4.80%"
"Jun 30, 2021","11.2400","11.2800","13.7800","10.2800","102.67K","-0.35%"
"Jun 29, 2021","11.2800","10.8100","11.8200","10.7500","42.08K","4.35%"
"Jun 28, 2021","10.8100","10.9100","11.3800","10.7800","37.17K","-0.92%"
"Jun 27, 2021","10.9100","10.0700","12.0000","9.8100","60.07K","8.34%"
"Jun 26, 2021","10.0700","10.3900","10.8000","9.2400","63.42K","-3.08%"
"Jun 25, 2021","10.3900","11.9800","12.4900","10.1300","102.92K","-13.27%"
"Jun 24, 2021","11.9800","10.2100","14.3900","9.3800","107.61K","17.34%"
"Jun 23, 2021","10.2100","9.2300","10.7000","8.3200","72.82K","10.62%"
"Jun 22, 2021","9.2300","9.8200","10.1900","8.2000","84.25K","-6.01%"
"Jun 21, 2021","9.8200","12.4800","12.5400","9.7000","60.93K","-21.31%"
"Jun 20, 2021","12.4800","13.0500","13.5600","10.9200","78.16K","-4.37%"
"Jun 19, 2021","13.0500","12.7600","13.5500","12.4000","52.54K","2.19%"
"Jun 18, 2021","12.7700","13.9700","14.3100","12.4100","57.88K","-8.59%"
"Jun 17, 2021","13.9700","14.1400","14.8100","13.3200","50.11K","-1.27%"
"Jun 16, 2021","14.1500","14.3268","14.8000","13.9800","38.02K","-1.23%"
"Jun 15, 2021","14.3268","14.2675","14.9360","13.1569","51.06K","0.35%"
"Jun 14, 2021","14.2775","15.0761","15.4961","13.5678","63.49K","-5.30%"
"Jun 13, 2021","15.0761","13.2562","15.0761","12.6254","40.98K","13.73%"
"Jun 12, 2021","13.2562","13.3398","13.9300","12.0099","65.42K","-0.63%"
"Jun 11, 2021","13.3398","13.8200","14.7200","12.9000","61.77K","-3.47%"
"Jun 10, 2021","13.8200","15.8385","15.9986","13.5700","81.58K","-12.74%"
"Jun 09, 2021","15.8385","12.7300","18.8000","11.5300","165.10K","24.42%"
"Jun 08, 2021","12.7300","14.5100","14.8100","11.6600","59.15K","-12.27%"
"Jun 07, 2021","14.5100","17.2400","17.6600","14.5000","76.34K","-15.84%"
"Jun 06, 2021","17.2400","18.5500","19.0400","16.5100","62.90K","-7.06%"
"Jun 05, 2021","18.5500","20.6200","21.8000","18.3000","88.49K","-10.04%"
