"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.008043","0.006130","0.010866","0.005789","-","31.17%"
"Jun 30, 2021","0.006132","0.006281","0.006315","0.005963","-","-2.31%"
"Jun 29, 2021","0.006277","0.006724","0.008571","0.006199","-","-6.62%"
"Jun 28, 2021","0.006722","0.006428","0.008972","0.006355","-","4.82%"
"Jun 27, 2021","0.006412","0.006307","0.009548","0.006012","-","2.04%"
"Jun 26, 2021","0.006284","0.004738","0.007472","0.004393","-","32.47%"
"Jun 25, 2021","0.004744","0.005727","0.006816","0.004699","-","-17.03%"
"Jun 24, 2021","0.005717","0.007739","0.007866","0.005301","-","-26.17%"
"Jun 23, 2021","0.007744","0.008135","0.008573","0.007541","-","-4.78%"
"Jun 22, 2021","0.008133","0.008563","0.008988","0.007478","-","-5.33%"
"Jun 21, 2021","0.008591","0.009263","0.009368","0.008480","-","-7.42%"
"Jun 20, 2021","0.009279","0.006940","0.009390","0.006873","-","33.52%"
"Jun 19, 2021","0.006949","0.010379","0.010542","0.006920","-","-32.97%"
"Jun 18, 2021","0.010368","0.011411","0.011442","0.009856","-","-9.14%"
"Jun 17, 2021","0.011411","0.012443","0.013631","0.010534","-","-8.43%"
"Jun 16, 2021","0.012462","0.009623","0.013147","0.009524","-","29.34%"
"Jun 15, 2021","0.009635","0.008701","0.013872","0.007655","-","10.60%"
"Jun 14, 2021","0.008712","0.010164","0.010638","0.008471","-","-14.26%"
"Jun 13, 2021","0.010160","0.009240","0.010228","0.009066","-","9.96%"
"Jun 12, 2021","0.009240","0.010642","0.010666","0.009031","-","-13.12%"
"Jun 11, 2021","0.010634","0.011568","0.015666","0.010490","-","-7.87%"
"Jun 10, 2021","0.011543","0.015152","0.015499","0.011543","-","-23.62%"
"Jun 09, 2021","0.015112","0.013536","0.015186","0.013154","-","11.49%"
"Jun 08, 2021","0.013554","0.014401","0.014626","0.012256","-","-6.16%"
"Jun 07, 2021","0.014444","0.014306","0.015346","0.014144","-","0.86%"
"Jun 06, 2021","0.014322","0.013504","0.014378","0.013475","-","6.02%"
"Jun 05, 2021","0.013509","0.010689","0.013788","0.010638","-","26.47%"
"Jun 04, 2021","0.010681","0.015312","0.015312","0.010140","-","-30.08%"
"Jun 03, 2021","0.015276","0.016135","0.016575","0.015023","-","-5.47%"
"Jun 02, 2021","0.016159","0.015786","0.016431","0.015468","-","2.52%"
"Jun 01, 2021","0.015762","0.016039","0.016282","0.015379","-","-1.76%"
"May 31, 2021","0.016045","0.015486","0.016177","0.014563","-","3.57%"
"May 30, 2021","0.015491","0.014863","0.015801","0.014381","-","4.19%"
"May 29, 2021","0.014869","0.015692","0.016406","0.014478","-","-5.28%"
"May 28, 2021","0.015697","0.016526","0.016706","0.014957","-","-4.98%"
"May 27, 2021","0.016519","0.016104","0.017367","0.015385","-","2.54%"
"May 26, 2021","0.016110","0.015751","0.016586","0.015524","-","2.28%"
"May 25, 2021","0.015751","0.014541","0.016603","0.011368","-","8.49%"
"May 24, 2021","0.014518","0.010464","0.014940","0.010359","-","39.32%"
"May 23, 2021","0.010420","0.012401","0.013229","0.008912","-","-15.94%"
"May 22, 2021","0.012397","0.012159","0.018757","0.007988","-","2.15%"
"May 21, 2021","0.012136","0.013404","0.013895","0.010943","-","-9.97%"
"May 20, 2021","0.013480","0.012254","0.013959","0.011567","-","10.66%"
"May 19, 2021","0.012182","0.013734","0.013913","0.009860","-","-11.42%"
"May 18, 2021","0.013752","0.013937","0.014645","0.013542","-","-1.03%"
"May 17, 2021","0.013895","0.014226","0.014686","0.012913","-","-2.19%"
"May 16, 2021","0.014206","0.014272","0.015189","0.013448","-","-0.51%"
"May 15, 2021","0.014279","0.014478","0.015007","0.013909","-","-1.43%"
"May 14, 2021","0.014486","0.013916","0.014933","0.013699","-","3.99%"
"May 13, 2021","0.013930","0.013333","0.019451","0.012635","-","5.66%"
"May 12, 2021","0.013184","0.016166","0.016522","0.013184","-","-18.45%"
"May 11, 2021","0.016166","0.015075","0.021886","0.014706","-","7.17%"
"May 10, 2021","0.015084","0.016637","0.016985","0.014555","-","-9.18%"
"May 09, 2021","0.016608","0.024735","0.025163","0.014077","-","-32.74%"
"May 08, 2021","0.024691","0.026089","0.027043","0.017363","-","-5.41%"
"May 07, 2021","0.026104","0.025409","0.027051","0.017389","-","2.74%"
"May 06, 2021","0.025409","0.025877","0.025982","0.017077","-","-1.75%"
"May 05, 2021","0.025862","0.025946","0.026134","0.016842","-","-0.48%"
"May 04, 2021","0.025988","0.025443","0.027597","0.024771","-","0.01%"
"May 03, 2021","0.025985","0.027448","0.028169","0.025200","-","-5.33%"
"May 02, 2021","0.027448","0.028018","0.028067","0.023580","-","-2.04%"
"May 01, 2021","0.028018","0.028818","0.029155","0.027460","-","-2.83%"
"Apr 30, 2021","0.028835","0.025977","0.028852","0.025327","-","11.00%"
"Apr 29, 2021","0.025977","0.028556","0.028698","0.024581","-","-7.99%"
"Apr 28, 2021","0.028235","0.027243","0.030641","0.026800","-","3.70%"
"Apr 27, 2021","0.027228","0.024351","0.029169","0.024194","-","11.88%"
"Apr 26, 2021","0.024337","0.014230","0.026174","0.014174","-","71.20%"
