"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2,505.21","2,676.53","2,856.97","2,482.46","8.20K","-6.40%"
"Jun 30, 2021","2,676.53","2,413.33","2,676.53","2,270.87","3.86K","10.91%"
"Jun 29, 2021","2,413.33","2,212.36","2,493.96","2,206.76","3.71K","9.08%"
"Jun 28, 2021","2,212.36","2,128.99","2,288.59","2,084.60","3.45K","3.93%"
"Jun 27, 2021","2,128.74","2,007.58","2,132.78","1,957.78","2.46K","6.04%"
"Jun 26, 2021","2,007.58","1,972.18","2,042.66","1,896.23","3.45K","1.79%"
"Jun 25, 2021","1,972.18","2,239.72","2,274.38","1,959.42","4.26K","-11.91%"
"Jun 24, 2021","2,238.83","2,314.12","2,328.02","2,068.07","4.84K","-3.25%"
"Jun 23, 2021","2,314.12","2,264.43","2,474.73","2,218.11","4.14K","2.33%"
"Jun 22, 2021","2,261.50","2,102.67","2,394.90","1,925.39","7.01K","7.55%"
"Jun 21, 2021","2,102.67","2,701.93","2,725.88","2,075.59","3.98K","-22.18%"
"Jun 20, 2021","2,701.93","2,581.81","2,743.37","2,444.48","1.75K","4.65%"
"Jun 19, 2021","2,581.81","2,685.63","2,712.97","2,577.48","1.73K","-3.86%"
"Jun 18, 2021","2,685.53","2,907.83","2,910.16","2,572.08","2.61K","-7.64%"
"Jun 17, 2021","2,907.83","2,945.65","3,067.18","2,851.85","1.59K","-1.28%"
"Jun 16, 2021","2,945.65","3,154.09","3,154.09","2,923.87","1.65K","-6.61%"
"Jun 15, 2021","3,154.09","3,197.69","3,275.34","3,104.54","1.48K","-1.37%"
"Jun 14, 2021","3,197.94","3,144.78","3,265.95","3,088.67","1.70K","1.69%"
"Jun 13, 2021","3,144.76","2,934.92","3,187.84","2,864.97","1.50K","7.19%"
"Jun 12, 2021","2,933.89","2,925.85","3,053.24","2,777.51","1.72K","0.27%"
"Jun 11, 2021","2,925.85","3,111.79","3,144.68","2,877.49","1.83K","-5.92%"
"Jun 10, 2021","3,109.91","3,329.08","3,338.67","3,047.01","2.26K","-6.57%"
"Jun 09, 2021","3,328.67","3,245.00","3,341.46","3,037.35","3.53K","2.58%"
"Jun 08, 2021","3,245.00","3,307.96","3,365.57","2,891.16","5.69K","-1.92%"
"Jun 07, 2021","3,308.41","3,613.90","3,807.21","3,280.72","3.57K","-8.53%"
"Jun 06, 2021","3,616.76","3,561.13","3,639.70","3,517.05","1.70K","1.56%"
"Jun 05, 2021","3,561.13","3,728.09","3,912.44","3,418.93","4.28K","-4.48%"
"Jun 04, 2021","3,728.09","3,657.98","3,966.26","3,446.06","9.07K","1.92%"
"Jun 03, 2021","3,657.98","3,561.71","3,716.86","3,534.78","3.43K","2.72%"
"Jun 02, 2021","3,561.02","3,594.59","3,723.62","3,509.73","2.92K","-0.93%"
"Jun 01, 2021","3,594.59","3,597.04","3,697.01","3,483.59","4.23K","-0.07%"
"May 31, 2021","3,597.04","3,306.39","3,609.12","3,166.27","4.00K","8.77%"
"May 30, 2021","3,306.99","3,057.62","3,445.88","2,848.45","4.51K","8.16%"
"May 29, 2021","3,057.62","3,247.90","3,442.40","2,869.70","4.71K","-5.86%"
"May 28, 2021","3,247.90","3,701.05","3,777.14","3,123.29","5.66K","-12.24%"
"May 27, 2021","3,701.05","3,963.04","3,963.04","3,577.84","5.11K","-6.63%"
"May 26, 2021","3,963.79","3,859.77","4,032.47","3,669.65","7.17K","2.68%"
"May 25, 2021","3,860.52","4,159.50","4,329.92","3,298.36","13.45K","-7.19%"
"May 24, 2021","4,159.50","2,723.30","4,239.96","2,723.17","27.72K","52.73%"
"May 23, 2021","2,723.39","2,764.67","2,879.03","1,835.38","19.21K","-1.49%"
"May 22, 2021","2,764.67","3,113.24","3,209.98","2,546.25","11.25K","-11.19%"
"May 21, 2021","3,113.18","3,933.35","4,174.41","2,715.08","9.47K","-20.85%"
"May 20, 2021","3,933.35","3,487.81","4,208.44","3,049.26","11.34K","12.77%"
"May 19, 2021","3,487.81","4,649.58","4,734.73","2,610.08","17.40K","-24.99%"
"May 18, 2021","4,649.58","4,258.30","5,029.46","4,203.37","7.16K","9.19%"
"May 17, 2021","4,258.30","4,549.45","4,780.83","4,135.17","7.91K","-6.40%"
"May 16, 2021","4,549.45","4,595.81","4,916.10","4,205.22","5.81K","-1.01%"
"May 15, 2021","4,595.81","5,006.78","5,128.70","4,584.37","5.59K","-8.21%"
"May 14, 2021","5,006.78","4,754.79","5,348.37","4,719.02","5.49K","5.30%"
"May 13, 2021","4,754.79","4,919.98","5,304.63","4,450.87","12.14K","-3.36%"
"May 12, 2021","4,919.98","5,366.66","6,091.29","4,853.26","10.82K","-8.43%"
"May 11, 2021","5,373.01","4,988.03","5,406.66","4,738.12","4.28K","7.72%"
"May 10, 2021","4,988.03","5,273.14","5,443.70","4,703.36","4.80K","-5.41%"
"May 09, 2021","5,273.14","5,633.74","5,678.59","5,051.94","4.06K","-6.40%"
"May 08, 2021","5,633.74","5,087.58","5,844.87","5,007.88","8.11K","10.74%"
"May 07, 2021","5,087.58","5,052.67","5,356.86","4,869.45","4.76K","0.69%"
"May 06, 2021","5,052.67","5,413.21","5,434.66","4,894.80","7.43K","-6.51%"
"May 05, 2021","5,404.50","5,262.25","5,497.59","5,114.85","9.27K","1.18%"
"May 04, 2021","5,341.52","5,995.45","6,008.82","5,167.44","17.21K","-10.76%"
"May 03, 2021","5,985.48","4,904.84","6,334.84","4,904.84","16.84K","22.03%"
"May 02, 2021","4,904.84","4,785.74","5,097.16","4,525.02","6.68K","2.49%"
"May 01, 2021","4,785.74","4,357.09","4,995.35","4,295.76","7.76K","9.90%"
"Apr 30, 2021","4,354.74","4,257.29","4,359.74","4,081.58","4.32K","2.29%"
"Apr 29, 2021","4,257.29","4,405.04","4,405.89","4,070.97","5.72K","-3.45%"
"Apr 28, 2021","4,409.24","4,548.43","4,650.45","4,140.50","4.53K","-3.21%"
"Apr 27, 2021","4,555.64","4,015.73","4,595.45","4,001.12","6.47K","13.44%"
"Apr 26, 2021","4,015.73","3,821.28","4,143.36","3,746.47","5.66K","5.09%"
"Apr 25, 2021","3,821.28","4,005.08","4,122.95","3,577.55","7.59K","-4.59%"
"Apr 24, 2021","4,005.08","4,053.94","4,158.07","3,608.29","7.63K","-1.20%"
"Apr 23, 2021","4,053.87","4,021.39","4,568.37","3,313.64","25.40K","0.80%"
"Apr 22, 2021","4,021.72","4,035.44","4,957.53","3,831.32","30.31K","-0.34%"
