"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.050820","0.048600","0.051480","0.046210","677.57K","4.12%"
"Jun 30, 2021","0.048810","0.050430","0.050430","0.044480","569.14K","-3.17%"
"Jun 29, 2021","0.050410","0.046310","0.056210","0.046310","1.57M","8.85%"
"Jun 28, 2021","0.046310","0.033410","0.046310","0.033410","1.14M","38.65%"
"Jun 27, 2021","0.033400","0.031300","0.033400","0.030010","769.08K","6.71%"
"Jun 26, 2021","0.031300","0.029940","0.032660","0.029630","774.39K","4.54%"
"Jun 25, 2021","0.029940","0.032950","0.034040","0.029940","1.29M","-9.14%"
"Jun 24, 2021","0.032950","0.024960","0.032950","0.024960","782.11K","32.06%"
"Jun 23, 2021","0.024950","0.022200","0.026060","0.022120","985.05K","12.39%"
"Jun 22, 2021","0.022200","0.028240","0.028240","0.019730","1.93M","-21.39%"
"Jun 21, 2021","0.028240","0.035220","0.036720","0.028050","1.30M","-19.84%"
"Jun 20, 2021","0.035230","0.037270","0.037270","0.034130","1.06M","-5.47%"
"Jun 19, 2021","0.037270","0.041440","0.041440","0.037270","769.29K","-10.06%"
"Jun 18, 2021","0.041440","0.045300","0.045300","0.040970","731.54K","-8.52%"
"Jun 17, 2021","0.045300","0.047030","0.047150","0.044580","704.71K","-3.68%"
"Jun 16, 2021","0.047030","0.051360","0.051360","0.046430","806.32K","-8.43%"
"Jun 15, 2021","0.051360","0.049740","0.051380","0.048530","775.11K","3.28%"
"Jun 14, 2021","0.049730","0.048150","0.049840","0.047460","896.11K","3.84%"
"Jun 13, 2021","0.047890","0.047070","0.047890","0.042930","981.79K","1.74%"
"Jun 12, 2021","0.047070","0.052110","0.052110","0.043350","1.21M","-9.67%"
"Jun 11, 2021","0.052110","0.058780","0.063820","0.052110","1.05M","-11.35%"
"Jun 10, 2021","0.058780","0.058860","0.061050","0.057840","949.12K","-0.14%"
"Jun 09, 2021","0.058860","0.058220","0.058860","0.053830","621.50K","1.10%"
"Jun 08, 2021","0.058220","0.061840","0.061840","0.054700","874.08K","-5.85%"
"Jun 07, 2021","0.061840","0.068900","0.069400","0.061840","752.90K","-10.29%"
"Jun 06, 2021","0.068930","0.067710","0.068930","0.067340","447.56K","1.80%"
"Jun 05, 2021","0.067710","0.071960","0.071960","0.066210","512.94K","-6.04%"
"Jun 04, 2021","0.072060","0.070910","0.073300","0.067310","1.43M","1.62%"
"Jun 03, 2021","0.070910","0.068800","0.070910","0.068040","1.33M","3.07%"
"Jun 02, 2021","0.068800","0.067200","0.068800","0.066230","727.35K","2.35%"
"Jun 01, 2021","0.067220","0.069220","0.069220","0.065200","562.47K","-2.82%"
"May 31, 2021","0.069170","0.066580","0.069170","0.063370","1.46M","4.25%"
"May 30, 2021","0.066350","0.065290","0.066350","0.063290","911.75K","1.56%"
"May 29, 2021","0.065330","0.070850","0.070850","0.064190","1.43M","-7.74%"
"May 28, 2021","0.070810","0.077600","0.077600","0.068280","698.08K","-8.84%"
"May 27, 2021","0.077680","0.080000","0.080000","0.075620","718.03K","-1.58%"
"May 26, 2021","0.078930","0.074860","0.078930","0.073240","981.86K","5.44%"
"May 25, 2021","0.074860","0.079170","0.079170","0.068450","937.96K","-7.71%"
"May 24, 2021","0.081110","0.073500","0.081110","0.064870","1.16M","9.61%"
"May 23, 2021","0.074000","0.093480","0.093480","0.063630","1.36M","-20.94%"
"May 22, 2021","0.093600","0.080290","0.093600","0.078910","1.90M","15.76%"
"May 21, 2021","0.080860","0.073480","0.080860","0.072240","2.12M","9.80%"
"May 20, 2021","0.073640","0.064790","0.073640","0.058470","1.37M","13.27%"
"May 19, 2021","0.065010","0.090900","0.090900","0.065010","1.76M","-27.09%"
"May 18, 2021","0.089170","0.083540","0.089910","0.083540","1.65M","7.06%"
"May 17, 2021","0.083290","0.093600","0.093600","0.079140","1.08M","-11.42%"
"May 16, 2021","0.094030","0.096380","0.099710","0.092700","695.47K","-2.53%"
"May 15, 2021","0.096470","0.104990","0.104990","0.094710","860.37K","-8.12%"
"May 14, 2021","0.104990","0.099930","0.104990","0.099320","1.68M","4.98%"
"May 13, 2021","0.100010","0.096360","0.102020","0.090800","1.47M","4.11%"
"May 12, 2021","0.096060","0.114600","0.121780","0.096060","1.56M","-16.18%"
"May 11, 2021","0.114600","0.105470","0.114600","0.105470","1.73M","8.93%"
"May 10, 2021","0.105210","0.118220","0.118220","0.098220","1.80M","-10.85%"
"May 09, 2021","0.118010","0.121630","0.121630","0.107700","1.53M","-2.98%"
"May 08, 2021","0.121630","0.122930","0.127600","0.118740","843.38K","-1.06%"
"May 07, 2021","0.122930","0.125660","0.125660","0.115720","954.13K","-2.17%"
"May 06, 2021","0.125660","0.131920","0.131920","0.122790","742.60K","-4.75%"
"May 05, 2021","0.131920","0.121220","0.131920","0.120690","618.44K","3.30%"
"May 04, 2021","0.127700","0.145090","0.145090","0.123070","1.24M","-11.99%"
"May 03, 2021","0.145090","0.148290","0.148290","0.145070","793.42K","-1.34%"
"May 02, 2021","0.147060","0.138660","0.148410","0.138660","771.31K","6.06%"
"May 01, 2021","0.138660","0.135050","0.138660","0.130390","521.34K","1.83%"
"Apr 30, 2021","0.136170","0.132110","0.136170","0.128200","746.40K","3.07%"
"Apr 29, 2021","0.132110","0.125430","0.132150","0.124920","669.80K","5.17%"
"Apr 28, 2021","0.125618","0.133610","0.133610","0.122674","888.92K","-6.02%"
"Apr 27, 2021","0.133664","0.124879","0.133664","0.124879","1.51M","6.95%"
"Apr 26, 2021","0.124979","0.101671","0.124979","0.101671","1.26M","22.93%"
