"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","206.079","222.827","223.146","203.378","137.06K","-7.32%"
"Jun 30, 2021","222.349","217.068","223.646","209.094","135.94K","2.44%"
"Jun 29, 2021","217.062","212.896","227.036","212.452","145.37K","2.06%"
"Jun 28, 2021","212.677","211.676","217.138","205.948","127.82K","0.56%"
"Jun 27, 2021","211.502","202.669","211.839","195.475","116.69K","4.36%"
"Jun 26, 2021","202.669","195.506","202.781","185.467","171.38K","3.46%"
"Jun 25, 2021","195.891","225.630","227.509","192.922","193.17K","-13.18%"
"Jun 24, 2021","225.627","218.504","226.760","204.319","161.05K","3.26%"
"Jun 23, 2021","218.509","201.327","223.757","193.113","231.95K","8.55%"
"Jun 22, 2021","201.304","203.543","225.664","180.513","322.81K","-1.10%"
"Jun 21, 2021","203.543","264.483","265.587","200.313","267.01K","-23.07%"
"Jun 20, 2021","264.591","268.162","271.094","248.099","150.64K","-1.43%"
"Jun 19, 2021","268.421","264.835","281.758","263.458","165.62K","1.35%"
"Jun 18, 2021","264.835","276.901","279.814","261.043","173.11K","-4.36%"
"Jun 17, 2021","276.901","262.127","281.441","261.964","129.79K","5.64%"
"Jun 16, 2021","262.127","278.681","288.469","259.803","145.91K","-6.22%"
"Jun 15, 2021","279.502","275.404","285.374","272.379","157.04K","1.49%"
"Jun 14, 2021","275.408","261.122","275.424","258.648","148.08K","5.47%"
"Jun 13, 2021","261.122","242.767","261.866","237.874","117.90K","7.56%"
"Jun 12, 2021","242.767","242.795","251.588","232.076","125.56K","-0.01%"
"Jun 11, 2021","242.795","255.261","258.278","240.496","155.21K","-4.88%"
"Jun 10, 2021","255.261","274.501","282.544","254.709","190.52K","-7.01%"
"Jun 09, 2021","274.501","253.137","275.130","237.348","260.92K","8.44%"
"Jun 08, 2021","253.137","249.033","255.665","222.781","227.14K","1.65%"
"Jun 07, 2021","249.033","272.230","281.014","247.250","157.21K","-8.52%"
"Jun 06, 2021","272.230","263.984","276.764","262.618","148.69K","3.07%"
"Jun 05, 2021","264.122","287.265","294.993","257.522","216.03K","-8.09%"
"Jun 04, 2021","287.356","309.324","311.366","268.690","234.36K","-6.99%"
"Jun 03, 2021","308.956","294.461","315.580","285.999","208.95K","4.92%"
"Jun 02, 2021","294.461","266.083","294.922","262.624","177.90K","10.72%"
"Jun 01, 2021","265.945","272.609","275.729","253.032","188.90K","-2.48%"
"May 31, 2021","272.702","261.603","275.468","242.439","168.09K","4.12%"
"May 30, 2021","261.920","242.856","267.624","226.317","214.10K","7.92%"
"May 29, 2021","242.689","262.476","296.716","229.338","400.71K","-7.54%"
"May 28, 2021","262.476","250.433","266.359","219.151","288.57K","4.81%"
"May 27, 2021","250.427","268.580","268.852","243.451","191.48K","-6.70%"
"May 26, 2021","268.398","246.871","271.435","243.223","218.04K","8.72%"
"May 25, 2021","246.871","256.151","265.125","227.191","267.12K","-3.50%"
"May 24, 2021","255.824","226.163","256.550","214.891","298.53K","13.11%"
"May 23, 2021","226.163","231.973","261.072","176.615","494.55K","-2.49%"
"May 22, 2021","231.945","257.451","263.036","223.378","443.69K","-9.91%"
"May 21, 2021","257.451","282.223","329.983","228.579","655.74K","-8.78%"
"May 20, 2021","282.223","199.746","290.935","183.280","364.84K","40.80%"
"May 19, 2021","200.436","342.352","345.931","152.490","460.97K","-41.46%"
"May 18, 2021","342.368","340.459","361.577","327.231","202.17K","0.55%"
"May 17, 2021","340.503","391.899","391.899","333.632","212.77K","-13.11%"
"May 16, 2021","391.899","383.332","405.447","372.972","203.57K","2.24%"
"May 15, 2021","383.319","413.645","442.774","382.900","236.18K","-7.33%"
"May 14, 2021","413.645","402.974","422.918","398.274","168.32K","2.65%"
"May 13, 2021","402.971","395.690","421.263","371.279","195.52K","2.68%"
"May 12, 2021","392.452","453.541","478.034","391.218","205.65K","-13.47%"
"May 11, 2021","453.541","441.585","454.793","420.656","179.23K","2.71%"
"May 10, 2021","441.585","483.687","497.210","424.205","182.33K","-8.70%"
"May 09, 2021","483.687","476.893","487.075","447.555","153.31K","1.42%"
"May 08, 2021","476.893","456.033","488.594","452.469","236.78K","4.55%"
"May 07, 2021","456.150","423.067","520.164","423.067","475.37K","7.82%"
"May 06, 2021","423.067","417.756","436.440","404.961","194.08K","1.27%"
"May 05, 2021","417.756","378.833","418.296","378.833","160.78K","9.02%"
"May 04, 2021","383.195","411.807","412.196","383.195","169.82K","-6.97%"
"May 03, 2021","411.904","405.174","425.957","401.211","129.89K","1.57%"
"May 02, 2021","405.523","427.301","427.918","401.036","114.04K","-5.07%"
"May 01, 2021","427.177","422.461","435.190","416.155","126.81K","1.06%"
"Apr 30, 2021","422.699","408.105","423.549","403.733","130.82K","3.65%"
"Apr 29, 2021","407.815","413.671","425.648","400.147","158.57K","-1.42%"
"Apr 28, 2021","413.671","402.339","439.466","400.269","252.21K","2.73%"
"Apr 27, 2021","402.663","405.122","412.479","385.078","168.31K","-0.61%"
"Apr 26, 2021","405.122","356.159","405.122","342.458","228.05K","13.86%"
"Apr 25, 2021","355.808","381.440","405.274","335.874","250.77K","-6.76%"
"Apr 24, 2021","381.601","354.452","396.622","338.842","247.78K","7.58%"
"Apr 23, 2021","354.725","347.243","354.728","313.765","329.28K","2.05%"
"Apr 22, 2021","347.591","375.652","390.540","344.527","240.04K","-7.48%"
"Apr 21, 2021","375.693","405.494","425.023","373.987","412.88K","-7.35%"
"Apr 20, 2021","405.494","357.969","414.338","328.085","475.85K","13.28%"
"Apr 19, 2021","357.969","338.439","365.315","306.048","308.36K","5.77%"
"Apr 18, 2021","338.439","363.717","375.399","286.990","322.25K","-6.89%"
"Apr 17, 2021","363.482","340.698","374.672","340.698","233.93K","6.74%"
"Apr 16, 2021","340.531","344.225","347.139","313.637","180.59K","-1.04%"
"Apr 15, 2021","344.112","320.512","347.769","318.396","154.65K","7.28%"
"Apr 14, 2021","320.756","327.352","330.712","308.743","153.09K","-2.01%"
"Apr 13, 2021","327.353","314.182","330.950","307.191","189.09K","4.01%"
"Apr 12, 2021","314.717","328.777","344.024","314.717","242.58K","-4.11%"
"Apr 11, 2021","328.191","292.179","328.909","291.646","211.49K","12.31%"
"Apr 10, 2021","292.212","273.351","298.703","273.351","200.52K","6.88%"
"Apr 09, 2021","273.393","269.409","290.116","265.931","152.24K","1.48%"
"Apr 08, 2021","269.409","257.286","271.714","251.392","166.89K","4.77%"
"Apr 07, 2021","257.137","270.329","279.740","252.711","210.09K","-4.88%"
"Apr 06, 2021","270.329","265.466","277.129","261.843","159.72K","1.84%"
"Apr 05, 2021","265.454","263.582","268.942","259.956","143.96K","0.71%"
"Apr 04, 2021","263.582","257.027","272.502","247.183","182.38K","2.55%"
"Apr 03, 2021","257.027","257.620","266.952","253.032","151.19K","-0.24%"
"Apr 02, 2021","257.652","250.320","260.935","249.010","132.27K","2.91%"
"Apr 01, 2021","250.358","246.141","255.029","244.510","279.85K","1.72%"
"Mar 31, 2021","246.130","244.082","263.284","242.401","264.54K","0.84%"
"Mar 30, 2021","244.082","234.399","246.987","232.353","119.48K","4.12%"
"Mar 29, 2021","234.429","232.299","241.761","230.829","141.45K","0.93%"
"Mar 28, 2021","232.278","221.055","232.756","217.660","131.99K","5.08%"
"Mar 27, 2021","221.039","221.409","223.509","214.027","178.96K","-0.17%"
"Mar 26, 2021","221.409","214.246","225.401","214.175","99.53K","3.34%"
