"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","4.8380","5.1667","5.1704","4.6678","2.71M","-6.36%"
"Jun 30, 2021","5.1667","5.2418","5.3411","4.7969","3.99M","-1.27%"
"Jun 29, 2021","5.2332","4.8773","5.5283","4.8103","4.51M","7.30%"
"Jun 28, 2021","4.8773","4.9041","5.0048","4.6948","3.56M","-0.47%"
"Jun 27, 2021","4.9003","4.6090","4.9201","4.4249","2.88M","6.43%"
"Jun 26, 2021","4.6044","4.5845","4.7391","4.2668","4.63M","0.43%"
"Jun 25, 2021","4.5849","5.0124","5.5875","4.5745","6.99M","-8.54%"
"Jun 24, 2021","5.0127","4.6428","5.0945","4.3713","3.46M","7.93%"
"Jun 23, 2021","4.6446","4.2848","4.9062","4.1103","3.97M","8.43%"
"Jun 22, 2021","4.2835","4.6133","4.9806","3.7183","8.47M","-7.27%"
"Jun 21, 2021","4.6192","5.8431","5.8753","4.5999","5.44M","-20.95%"
"Jun 20, 2021","5.8431","5.7439","5.9331","5.3388","2.93M","1.73%"
"Jun 19, 2021","5.7439","5.9318","6.0460","5.7143","2.24M","-3.17%"
"Jun 18, 2021","5.9318","6.0331","6.0738","5.6186","3.09M","-1.64%"
"Jun 17, 2021","6.0305","6.0550","6.2794","5.9389","2.27M","-0.38%"
"Jun 16, 2021","6.0537","6.4296","6.5237","6.0157","2.18M","-5.85%"
"Jun 15, 2021","6.4296","6.9371","6.9603","6.3453","2.83M","-7.31%"
"Jun 14, 2021","6.9364","6.5291","6.9748","6.3427","2.94M","6.24%"
"Jun 13, 2021","6.5291","6.0767","6.5960","5.9230","2.62M","7.43%"
"Jun 12, 2021","6.0774","6.0828","6.3700","5.7530","3.18M","-0.09%"
"Jun 11, 2021","6.0828","6.4870","6.7296","6.0366","3.39M","-6.29%"
"Jun 10, 2021","6.4910","7.1409","7.1925","6.4886","3.32M","-9.10%"
"Jun 09, 2021","7.1409","6.9655","7.2149","6.5472","6.26M","2.52%"
"Jun 08, 2021","6.9655","6.8497","7.1977","6.1974","4.85M","1.68%"
"Jun 07, 2021","6.8502","7.5609","7.8274","6.7501","4.22M","-9.40%"
"Jun 06, 2021","7.5609","7.5033","7.7611","7.4734","3.29M","0.77%"
"Jun 05, 2021","7.5033","7.8143","8.4035","7.3289","6.80M","-4.00%"
"Jun 04, 2021","7.8157","8.9450","9.3715","7.7052","16.07M","-12.63%"
"Jun 03, 2021","8.9450","7.3870","9.1969","7.2603","6.77M","21.10%"
"Jun 02, 2021","7.3862","7.1456","7.5198","6.9846","2.44M","3.37%"
"Jun 01, 2021","7.1456","7.3337","7.6138","7.0114","4.57M","-2.57%"
"May 31, 2021","7.3341","6.8712","7.4717","6.5216","3.38M","6.75%"
"May 30, 2021","6.8701","6.6224","7.1595","6.1864","2.91M","3.75%"
"May 29, 2021","6.6218","6.9571","7.3075","6.2133","3.60M","-4.82%"
"May 28, 2021","6.9571","8.1535","8.2336","6.7098","5.20M","-14.67%"
"May 27, 2021","8.1535","8.1957","8.8704","7.4975","6.60M","-0.52%"
"May 26, 2021","8.1957","7.2234","8.4457","7.0521","6.37M","13.51%"
"May 25, 2021","7.2201","7.4172","7.6432","6.4733","5.79M","-2.59%"
"May 24, 2021","7.4122","5.7617","7.7853","5.5340","10.14M","28.64%"
"May 23, 2021","5.7618","6.6121","6.8821","4.6610","9.35M","-12.86%"
"May 22, 2021","6.6118","7.4790","7.7431","6.3767","6.62M","-11.59%"
"May 21, 2021","7.4790","8.8946","9.3530","6.2125","12.25M","-15.94%"
"May 20, 2021","8.8976","6.5035","10.1686","5.8953","20.58M","36.23%"
"May 19, 2021","6.5315","10.3038","10.4846","5.1397","17.13M","-36.61%"
"May 18, 2021","10.3038","10.0741","11.6757","9.9393","11.01M","2.33%"
"May 17, 2021","10.0690","10.5002","11.0561","9.2331","9.21M","-4.14%"
"May 16, 2021","10.5043","10.9342","11.8429","9.7426","8.83M","-3.97%"
"May 15, 2021","10.9386","12.8652","13.0118","10.8159","12.38M","-14.98%"
"May 14, 2021","12.8652","11.5850","14.6145","10.7780","33.75M","11.06%"
"May 13, 2021","11.5843","10.2179","17.8173","9.3134","113.10M","17.52%"
"May 12, 2021","9.8577","8.9631","14.0638","8.0053","21.86M","9.98%"
"May 11, 2021","8.9631","8.5351","9.1766","8.1933","5.77M","5.01%"
"May 10, 2021","8.5350","9.6242","9.9446","8.3147","6.14M","-11.32%"
"May 09, 2021","9.6242","10.0899","10.2316","9.5160","4.53M","-4.58%"
"May 08, 2021","10.0857","10.1676","10.5503","9.9852","4.98M","-0.83%"
"May 07, 2021","10.1697","10.1311","11.0168","9.5793","8.71M","0.43%"
"May 06, 2021","10.1263","10.0164","10.5252","9.5666","7.11M","1.10%"
"May 05, 2021","10.0164","9.3936","10.6717","9.2845","8.53M","5.95%"
"May 04, 2021","9.4539","10.5757","10.5834","9.3436","9.40M","-10.62%"
"May 03, 2021","10.5777","10.3147","10.9848","10.2757","9.89M","2.23%"
"May 02, 2021","10.3468","10.4302","12.0042","10.0349","24.40M","-0.80%"
"May 01, 2021","10.4304","9.0029","11.5225","8.8010","19.63M","15.86%"
"Apr 30, 2021","9.0029","8.6497","9.1983","8.5792","5.71M","4.05%"
"Apr 29, 2021","8.6527","8.8242","8.9507","8.4147","4.90M","-1.93%"
"Apr 28, 2021","8.8231","9.1322","9.3272","8.4946","5.32M","-3.38%"
"Apr 27, 2021","9.1313","9.5919","9.9014","8.9910","6.21M","-4.82%"
"Apr 26, 2021","9.5933","8.4473","9.6823","8.2555","8.62M","13.55%"
