"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","34.1628","36.5546","36.6578","33.4287","3.27M","-6.49%"
"Jun 30, 2021","36.5357","34.9945","37.7680","33.4877","5.03M","4.55%"
"Jun 29, 2021","34.9444","33.1601","36.8941","33.0211","4.33M","5.48%"
"Jun 28, 2021","33.1285","31.9518","33.3405","30.5648","3.79M","3.67%"
"Jun 27, 2021","31.9546","31.1498","32.3639","29.5834","3.92M","2.58%"
"Jun 26, 2021","31.1498","31.3580","32.6313","29.3224","3.79M","-0.69%"
"Jun 25, 2021","31.3672","35.0400","35.8945","30.6890","3.99M","-10.43%"
"Jun 24, 2021","35.0208","33.4925","35.4567","31.5657","3.50M","4.52%"
"Jun 23, 2021","33.5062","30.0556","34.9897","28.6837","5.23M","11.53%"
"Jun 22, 2021","30.0418","32.0605","34.3166","26.0028","7.82M","-6.39%"
"Jun 21, 2021","32.0914","44.6737","44.9025","31.9199","5.47M","-28.16%"
"Jun 20, 2021","44.6705","44.4619","45.1475","40.7905","3.22M","0.49%"
"Jun 19, 2021","44.4529","45.3610","46.5329","44.3374","2.81M","-2.00%"
"Jun 18, 2021","45.3609","48.6428","48.6563","44.1925","3.04M","-6.75%"
"Jun 17, 2021","48.6429","48.6798","50.6558","47.7214","3.10M","-0.02%"
"Jun 16, 2021","48.6541","50.1593","51.1646","47.5432","4.12M","-3.00%"
"Jun 15, 2021","50.1608","50.7634","51.9571","49.1622","3.82M","-1.19%"
"Jun 14, 2021","50.7634","49.2006","51.7376","48.4119","3.63M","3.00%"
"Jun 13, 2021","49.2836","46.2662","49.5372","44.6661","3.65M","6.52%"
"Jun 12, 2021","46.2660","47.5313","47.5313","43.9501","4.14M","-2.62%"
"Jun 11, 2021","47.5084","50.6780","51.0260","46.6879","3.17M","-6.22%"
"Jun 10, 2021","50.6577","51.3700","55.1509","49.7955","4.88M","-1.38%"
"Jun 09, 2021","51.3652","48.7943","51.3786","45.9553","8.65M","5.21%"
"Jun 08, 2021","48.8238","51.0706","51.9691","44.8343","8.44M","-4.40%"
"Jun 07, 2021","51.0706","56.6902","58.3325","50.7290","8.73M","-9.91%"
"Jun 06, 2021","56.6902","55.6056","57.6902","55.0768","9.18M","1.94%"
"Jun 05, 2021","55.6125","56.2671","60.6041","54.0550","10.44M","-1.16%"
"Jun 04, 2021","56.2672","61.3457","62.5358","53.3531","11.63M","-8.26%"
"Jun 03, 2021","61.3318","57.7649","62.6727","57.5169","9.92M","6.26%"
"Jun 02, 2021","57.7169","53.9330","60.2130","52.5563","9.78M","7.03%"
"Jun 01, 2021","53.9256","55.9090","56.7359","52.3410","10.42M","-3.61%"
"May 31, 2021","55.9440","51.5256","55.9810","49.4339","7.88M","8.54%"
"May 30, 2021","51.5402","50.1182","53.5174","46.9106","7.98M","2.82%"
"May 29, 2021","50.1248","54.4019","56.8535","48.0423","8.24M","-7.86%"
"May 28, 2021","54.4019","62.7591","63.1839","52.5036","10.13M","-12.80%"
"May 27, 2021","62.3861","62.4679","66.3240","56.7717","10.88M","-0.14%"
"May 26, 2021","62.4712","56.4990","63.4484","55.1863","11.09M","10.79%"
"May 25, 2021","56.3885","54.0546","59.4603","51.0807","20.74M","4.47%"
"May 24, 2021","53.9736","43.1369","54.4459","41.3911","13.26M","25.12%"
"May 23, 2021","43.1361","51.4485","54.4295","35.7804","21.14M","-16.08%"
"May 22, 2021","51.4001","57.9078","58.3398","49.2071","78.85M","-11.24%"
"May 21, 2021","57.9078","71.2271","72.3726","50.0323","107.97M","-18.70%"
"May 20, 2021","71.2271","55.0172","71.8926","49.5498","98.85M","28.93%"
"May 19, 2021","55.2441","87.5710","89.0656","40.9261","126.24M","-36.95%"
"May 18, 2021","87.6166","85.6910","92.1991","84.2817","78.15M","2.23%"
"May 17, 2021","85.7036","92.8503","92.8503","79.8251","92.68M","-7.65%"
"May 16, 2021","92.7988","92.5962","101.3059","86.9086","98.10M","0.22%"
"May 15, 2021","92.5964","100.9505","102.0291","91.4290","107.99M","-8.28%"
"May 14, 2021","100.9515","96.5880","103.6431","95.0721","113.32M","4.61%"
"May 13, 2021","96.4983","93.7306","102.0721","89.0804","121.86M","2.95%"
"May 12, 2021","93.7306","115.4849","116.4345","92.9262","121.66M","-18.84%"
"May 11, 2021","115.4849","104.8054","116.6242","100.3413","139.55M","10.19%"
"May 10, 2021","104.8054","119.3459","121.8056","97.3786","141.96M","-12.18%"
"May 09, 2021","119.3459","116.4593","122.4555","110.3760","138.59M","2.54%"
"May 08, 2021","116.3865","117.7740","121.3954","111.7067","138.03M","-1.27%"
"May 07, 2021","117.8888","122.8045","140.7605","111.3815","195.57M","-4.02%"
"May 06, 2021","122.8233","115.1700","127.9892","109.8838","159.46M","6.64%"
"May 05, 2021","115.1778","97.1949","116.7305","97.1949","127.62M","19.64%"
