"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.36","1.47","1.48","1.29","273.32K","-6.88%"
"Jun 30, 2021","1.47","1.47","1.49","1.41","256.66K","0.00%"
"Jun 29, 2021","1.47","1.37","1.51","1.35","299.06K","6.98%"
"Jun 28, 2021","1.37","1.25","1.41","1.25","319.55K","9.40%"
"Jun 27, 2021","1.25","1.20","1.26","1.19","299.22K","4.77%"
"Jun 26, 2021","1.20","1.39","1.43","1.03","315.79K","-13.70%"
"Jun 25, 2021","1.39","1.56","1.58","1.36","291.29K","-10.85%"
"Jun 24, 2021","1.56","1.48","1.58","1.41","167.59K","5.42%"
"Jun 23, 2021","1.48","1.35","1.56","1.33","290.01K","9.32%"
"Jun 22, 2021","1.35","1.31","1.49","1.08","677.28K","2.79%"
"Jun 21, 2021","1.31","1.64","1.64","1.31","498.33K","-19.83%"
"Jun 20, 2021","1.64","1.70","1.73","1.52","247.62K","-3.72%"
"Jun 19, 2021","1.70","1.78","1.79","1.66","156.21K","-4.32%"
"Jun 18, 2021","1.78","1.85","1.85","1.65","217.17K","-3.66%"
"Jun 17, 2021","1.85","1.74","1.95","1.74","193.94K","5.81%"
"Jun 16, 2021","1.74","1.86","1.87","1.68","257.21K","-6.13%"
"Jun 15, 2021","1.86","1.94","1.97","1.84","147.98K","-4.33%"
"Jun 14, 2021","1.94","1.93","1.97","1.86","424.22K","0.85%"
"Jun 13, 2021","1.93","1.86","2.01","1.76","176.19K","3.31%"
"Jun 12, 2021","1.86","1.91","1.97","1.81","205.38K","-2.56%"
"Jun 11, 2021","1.91","2.05","2.12","1.91","143.80K","-6.48%"
"Jun 10, 2021","2.05","2.18","2.19","2.01","182.52K","-6.23%"
"Jun 09, 2021","2.18","1.97","2.20","1.88","227.16K","10.90%"
"Jun 08, 2021","1.97","2.24","2.27","1.80","399.43K","-12.23%"
"Jun 07, 2021","2.24","2.23","2.54","2.06","238.09K","0.75%"
"Jun 06, 2021","2.23","2.10","2.34","2.09","150.63K","6.21%"
"Jun 05, 2021","2.10","2.13","2.27","2.04","164.26K","-1.87%"
"Jun 04, 2021","2.13","2.27","2.27","1.96","219.12K","-6.13%"
"Jun 03, 2021","2.27","2.16","2.28","2.06","204.04K","5.34%"
"Jun 02, 2021","2.16","1.97","2.23","1.93","139.73K","9.86%"
"Jun 01, 2021","1.97","2.02","2.09","1.79","197.07K","-2.76%"
"May 31, 2021","2.02","1.90","2.07","1.72","263.11K","6.12%"
"May 30, 2021","1.90","1.78","2.17","1.56","104.45K","7.27%"
"May 29, 2021","1.78","1.82","1.94","1.75","13.76K","-2.71%"
"May 28, 2021","1.82","2.19","2.19","1.79","15.75K","-16.62%"
"May 27, 2021","2.19","2.48","2.56","2.19","31.37K","-11.83%"
"May 26, 2021","2.48","1.84","2.85","1.84","168.66K","34.62%"
"May 25, 2021","1.84","2.03","2.17","1.62","9.55K","-9.21%"
"May 24, 2021","2.03","1.46","2.21","1.37","13.83K","38.93%"
"May 23, 2021","1.46","1.87","1.97","1.05","117.65K","-21.70%"
"May 22, 2021","1.87","2.01","2.05","1.58","-","-7.10%"
"May 21, 2021","2.01","2.49","2.57","1.55","-","-18.83%"
"May 20, 2021","2.48","2.11","2.56","1.79","-","17.21%"
"May 19, 2021","2.11","3.15","3.16","1.62","-","-32.89%"
"May 18, 2021","3.15","3.11","3.31","2.91","-","1.23%"
"May 17, 2021","3.11","3.40","3.47","2.86","-","-8.68%"
"May 16, 2021","3.40","3.40","3.61","3.18","-","0.25%"
"May 15, 2021","3.40","3.92","3.99","3.37","-","-13.38%"
"May 14, 2021","3.92","3.54","3.95","3.52","-","10.75%"
"May 13, 2021","3.54","3.57","3.81","3.38","-","-0.72%"
"May 12, 2021","3.57","3.92","4.09","3.57","-","-9.11%"
"May 11, 2021","3.92","3.82","3.93","3.71","-","2.64%"
"May 10, 2021","3.82","3.91","4.02","3.71","-","-2.32%"
"May 09, 2021","3.91","4.63","4.72","3.77","-","-15.44%"
"May 08, 2021","4.63","4.13","4.69","4.10","-","12.08%"
"May 07, 2021","4.13","4.14","4.25","3.99","-","-0.22%"
"May 06, 2021","4.14","4.18","4.27","4.01","-","-0.97%"
"May 05, 2021","4.18","3.92","4.20","3.83","-","6.73%"
"May 04, 2021","3.92","4.06","4.17","3.79","-","-3.63%"
"May 03, 2021","4.06","3.50","4.09","3.50","-","16.03%"
"May 02, 2021","3.50","3.49","3.54","3.39","-","0.27%"
"May 01, 2021","3.49","3.29","3.50","3.27","-","6.22%"
"Apr 30, 2021","3.29","3.55","3.55","3.24","-","-7.37%"
"Apr 29, 2021","3.55","3.67","3.72","3.01","159.42K","-3.40%"
"Apr 28, 2021","3.67","3.65","3.73","3.56","141.85K","0.78%"
"Apr 27, 2021","3.65","3.52","3.68","3.42","132.89K","3.65%"
"Apr 26, 2021","3.52","3.31","3.60","3.31","300.41K","6.36%"
"Apr 25, 2021","3.31","3.33","3.42","3.19","143.17K","-0.61%"
"Apr 24, 2021","3.33","3.41","3.45","3.22","65.61K","-2.54%"
"Apr 23, 2021","3.41","3.48","3.69","3.00","199.91K","-1.77%"
"Apr 22, 2021","3.48","3.55","3.71","3.39","249.67K","-2.18%"
"Apr 21, 2021","3.55","3.54","3.83","3.51","129.46K","0.31%"
"Apr 20, 2021","3.54","3.40","3.55","3.14","122.41K","4.13%"
"Apr 19, 2021","3.40","3.54","3.62","3.27","89.19K","-4.00%"
"Apr 18, 2021","3.54","3.62","3.62","3.05","195.90K","-2.04%"
"Apr 17, 2021","3.62","3.69","3.82","3.53","80.86K","-1.94%"
"Apr 16, 2021","3.69","3.79","3.83","3.55","175.66K","-2.54%"
"Apr 15, 2021","3.79","3.74","3.83","3.70","112.89K","1.18%"
"Apr 14, 2021","3.74","3.43","3.75","3.19","177.53K","9.21%"
"Apr 13, 2021","3.43","3.10","3.52","3.06","262.42K","10.52%"
"Apr 12, 2021","3.10","2.94","3.25","2.84","187.71K","5.50%"
"Apr 11, 2021","2.94","2.87","2.95","2.84","150.22K","2.39%"
"Apr 10, 2021","2.87","2.78","2.96","2.77","64.57K","3.14%"
"Apr 09, 2021","2.78","2.81","2.84","2.72","-","-0.90%"
"Apr 08, 2021","2.81","2.70","2.81","2.69","-","3.86%"
"Apr 07, 2021","2.70","2.88","2.88","2.63","194.44K","-6.09%"
"Apr 06, 2021","2.88","2.85","3.00","2.67","218.06K","1.04%"
