"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","10.4500","10.9420","10.9420","10.3280","18.82M","-4.58%"
"Jun 30, 2021","10.9520","10.7810","10.9730","10.3900","18.10M","1.59%"
"Jun 29, 2021","10.7810","10.3240","11.1380","10.3240","23.16M","4.44%"
"Jun 28, 2021","10.3230","9.9440","10.3790","9.7200","17.04M","3.93%"
"Jun 27, 2021","9.9330","9.6980","9.9330","9.6030","18.53M","2.33%"
"Jun 26, 2021","9.7070","9.7570","9.7570","9.3230","30.56M","-0.78%"
"Jun 25, 2021","9.7830","10.4840","10.6540","9.5030","29.39M","-6.67%"
"Jun 24, 2021","10.4820","9.9300","10.4990","9.5850","25.26M","5.56%"
"Jun 23, 2021","9.9300","9.0730","10.0510","9.0730","27.61M","9.52%"
"Jun 22, 2021","9.0670","10.1840","10.3550","8.9080","39.02M","-11.09%"
"Jun 21, 2021","10.1980","12.6130","12.6130","10.1980","36.45M","-18.93%"
"Jun 20, 2021","12.5800","12.4980","12.6580","12.0820","20.74M","0.79%"
"Jun 19, 2021","12.4810","13.0160","13.0160","12.4810","14.39M","-3.97%"
"Jun 18, 2021","12.9970","13.2770","13.2770","12.8740","16.23M","-1.98%"
"Jun 17, 2021","13.2590","13.5010","13.9380","13.0000","17.01M","-1.73%"
"Jun 16, 2021","13.4930","14.5720","14.5720","13.4600","23.31M","-7.41%"
"Jun 15, 2021","14.5730","14.5910","14.6350","14.3170","16.00M","-0.08%"
"Jun 14, 2021","14.5840","13.8470","14.5840","13.7410","19.12M","5.25%"
"Jun 13, 2021","13.8560","13.1660","13.8820","13.0880","14.22M","5.31%"
"Jun 12, 2021","13.1570","13.8520","13.8520","13.0600","18.55M","-5.01%"
"Jun 11, 2021","13.8510","14.2200","14.2200","13.8020","16.68M","-2.58%"
"Jun 10, 2021","14.2180","14.8060","14.8060","14.1130","23.78M","-3.86%"
"Jun 09, 2021","14.7890","14.3440","14.7890","13.8320","26.21M","3.10%"
"Jun 08, 2021","14.3450","14.7350","14.7350","13.6840","30.35M","-2.68%"
"Jun 07, 2021","14.7400","16.2750","16.5250","14.7400","13.26M","-9.34%"
"Jun 06, 2021","16.2580","16.1900","16.3830","16.0860","10.98M","0.35%"
"Jun 05, 2021","16.2020","16.1580","16.8930","16.1580","21.32M","0.27%"
"Jun 04, 2021","16.1580","18.1130","18.1130","16.1580","24.48M","-10.40%"
"Jun 03, 2021","18.0330","17.9100","18.0770","17.0550","33.16M","0.63%"
"Jun 02, 2021","17.9200","13.3910","17.9200","13.2050","33.99M","33.89%"
"Jun 01, 2021","13.3840","13.7640","13.7640","13.1110","26.61M","-2.70%"
"May 31, 2021","13.7560","13.1050","13.7560","12.9960","32.86M","4.47%"
"May 30, 2021","13.1670","12.9320","13.3000","12.2600","39.63M","1.83%"
"May 29, 2021","12.9310","13.2750","13.8810","12.3980","48.06M","-2.56%"
"May 28, 2021","13.2710","14.4890","14.4890","12.9010","48.79M","-8.39%"
"May 27, 2021","14.4870","14.8410","14.8410","14.0450","40.29M","-2.54%"
"May 26, 2021","14.8640","14.5740","15.2410","14.5740","42.25M","2.24%"
"May 25, 2021","14.5390","15.1990","15.1990","13.3300","51.10M","-4.06%"
"May 24, 2021","15.1540","12.1200","15.1540","12.0960","46.66M","24.85%"
"May 23, 2021","12.1380","13.4870","13.4870","11.2590","64.59M","-9.95%"
"May 22, 2021","13.4790","14.4460","14.4460","13.4320","52.83M","-7.04%"
"May 21, 2021","14.5000","21.0730","22.6420","14.5000","59.86M","-30.78%"
"May 20, 2021","20.9470","17.8390","21.5360","17.8390","79.26M","17.85%"
"May 19, 2021","17.7740","26.9210","26.9210","17.1660","102.93M","-33.95%"
"May 18, 2021","26.9090","27.7090","29.0380","26.4920","34.11M","-2.94%"
"May 17, 2021","27.7230","30.7540","30.7540","27.7230","34.87M","-9.72%"
"May 16, 2021","30.7090","32.6510","33.5340","30.4400","24.92M","-5.32%"
"May 15, 2021","32.4340","34.0260","34.7810","31.8440","24.54M","-4.67%"
"May 14, 2021","34.0240","34.9820","35.1170","33.8770","23.34M","-2.49%"
"May 13, 2021","34.8920","33.1990","37.5550","33.0750","44.95M","6.48%"
"May 12, 2021","32.7690","34.4840","37.5130","32.7690","30.29M","-4.99%"
