"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","4.1633","4.3711","4.4508","4.0550","11.75M","-4.70%"
"Jun 30, 2021","4.3685","4.2155","4.5061","4.0100","16.45M","3.89%"
"Jun 29, 2021","4.2051","3.8607","4.3686","3.8540","12.21M","9.03%"
"Jun 28, 2021","3.8567","3.7155","3.8817","3.6254","10.18M","4.08%"
"Jun 27, 2021","3.7056","3.5462","3.7205","3.4265","10.58M","4.49%"
"Jun 26, 2021","3.5462","3.5378","3.6642","3.3260","13.06M","0.14%"
"Jun 25, 2021","3.5412","3.8986","3.9908","3.4942","14.98M","-9.20%"
"Jun 24, 2021","3.8998","3.7191","4.0500","3.5230","12.18M","4.93%"
"Jun 23, 2021","3.7166","3.3131","3.8507","3.1700","16.17M","12.21%"
"Jun 22, 2021","3.3121","3.4668","3.7151","2.9066","24.65M","-4.46%"
"Jun 21, 2021","3.4667","4.5809","4.6123","3.4514","16.47M","-24.30%"
"Jun 20, 2021","4.5793","4.4795","4.6425","4.1651","8.50M","2.21%"
"Jun 19, 2021","4.4804","4.6192","4.7571","4.4673","7.43M","-3.00%"
"Jun 18, 2021","4.6190","5.0401","5.0764","4.5272","10.19M","-8.35%"
"Jun 17, 2021","5.0399","5.0540","5.4016","4.9460","8.16M","-0.26%"
"Jun 16, 2021","5.0531","5.1953","5.3603","5.0015","10.00M","-2.75%"
"Jun 15, 2021","5.1962","5.2054","5.4754","5.0858","11.74M","-0.17%"
"Jun 14, 2021","5.2048","5.0457","5.2268","4.9138","11.21M","3.12%"
"Jun 13, 2021","5.0473","4.6438","5.1132","4.4658","11.63M","8.82%"
"Jun 12, 2021","4.6381","4.7681","4.8620","4.3582","11.63M","-2.72%"
"Jun 11, 2021","4.7681","5.0723","5.2531","4.6648","10.28M","-5.75%"
"Jun 10, 2021","5.0591","5.5207","5.5685","4.9657","11.44M","-8.36%"
"Jun 09, 2021","5.5204","5.3681","5.5210","5.0745","14.53M","2.85%"
"Jun 08, 2021","5.3676","5.3616","5.4787","4.7442","16.45M","0.16%"
"Jun 07, 2021","5.3590","6.0213","6.1803","5.3182","9.86M","-11.00%"
"Jun 06, 2021","6.0214","5.8827","6.0692","5.8035","9.18M","2.37%"
"Jun 05, 2021","5.8822","6.2051","6.4497","5.6795","13.80M","-5.22%"
"Jun 04, 2021","6.2064","6.7107","6.8583","5.7925","18.29M","-7.52%"
"Jun 03, 2021","6.7107","6.4621","7.0546","6.3737","13.97M","3.84%"
"Jun 02, 2021","6.4623","6.3316","6.7683","6.1438","14.09M","2.06%"
"Jun 01, 2021","6.3316","6.6190","6.7006","6.1630","14.77M","-4.38%"
"May 31, 2021","6.6218","6.0840","6.6236","5.8604","14.75M","8.73%"
"May 30, 2021","6.0901","5.8475","6.5176","5.4600","15.52M","4.19%"
"May 29, 2021","5.8454","6.2685","6.7088","5.4680","18.52M","-6.75%"
"May 28, 2021","6.2683","7.2108","7.3052","5.9559","26.28M","-13.07%"
"May 27, 2021","7.2105","7.2429","7.9635","7.0964","24.23M","-0.45%"
"May 26, 2021","7.2431","6.1423","7.6734","6.1408","28.50M","17.93%"
"May 25, 2021","6.1420","6.2550","6.5254","5.5017","23.73M","-1.70%"
"May 24, 2021","6.2480","4.2928","6.9587","4.2642","55.57M","45.45%"
"May 23, 2021","4.2956","5.1726","5.4748","3.3917","28.92M","-16.96%"
"May 22, 2021","5.1732","5.6681","5.7025","4.8274","19.15M","-8.75%"
"May 21, 2021","5.6691","6.6420","7.2589","4.8294","27.79M","-14.62%"
"May 20, 2021","6.6401","5.4527","6.9630","4.9210","26.77M","21.64%"
"May 19, 2021","5.4587","8.6741","8.8431","4.3048","40.99M","-37.08%"
"May 18, 2021","8.6763","8.4843","9.2414","8.3992","16.98M","2.25%"
"May 17, 2021","8.4857","9.3282","9.3282","7.9790","21.40M","-9.02%"
"May 16, 2021","9.3268","9.3416","10.5356","8.7351","19.75M","-0.14%"
"May 15, 2021","9.3403","10.2346","10.5102","9.3009","14.99M","-8.77%"
"May 14, 2021","10.2377","9.6622","10.8884","9.6106","18.61M","5.96%"
"May 13, 2021","9.6620","9.5566","10.4545","9.0342","23.43M","1.12%"
"May 12, 2021","9.5548","12.3235","12.3492","9.4980","25.07M","-22.46%"
"May 11, 2021","12.3223","10.0711","12.5060","9.5752","37.42M","22.34%"
"May 10, 2021","10.0721","11.6056","12.1798","9.4559","20.43M","-13.25%"
