"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.7026","0.7484","0.7486","0.6831","38.67M","-6.11%"
"Jun 30, 2021","0.7483","0.7167","0.7624","0.6817","70.96M","4.37%"
"Jun 29, 2021","0.7170","0.6534","0.7299","0.6510","45.51M","9.84%"
"Jun 28, 2021","0.6528","0.6262","0.6585","0.6227","35.21M","4.22%"
"Jun 27, 2021","0.6263","0.6076","0.6273","0.5885","25.73M","3.10%"
"Jun 26, 2021","0.6075","0.6025","0.6267","0.5691","44.07M","0.81%"
"Jun 25, 2021","0.6026","0.6592","0.6745","0.5865","60.37M","-8.59%"
"Jun 24, 2021","0.6592","0.6266","0.6713","0.6021","50.10M","5.16%"
"Jun 23, 2021","0.6269","0.5807","0.6533","0.5559","63.13M","7.89%"
"Jun 22, 2021","0.5810","0.6220","0.6645","0.5103","99.51M","-6.72%"
"Jun 21, 2021","0.6229","0.8312","0.8376","0.6197","69.15M","-25.05%"
"Jun 20, 2021","0.8311","0.8371","0.8458","0.7726","29.38M","-0.75%"
"Jun 19, 2021","0.8374","0.8471","0.8718","0.8326","26.00M","-1.13%"
"Jun 18, 2021","0.8470","0.9084","0.9084","0.8208","31.45M","-6.72%"
"Jun 17, 2021","0.9080","0.9162","0.9554","0.8904","25.10M","-0.91%"
"Jun 16, 2021","0.9163","0.9624","0.9624","0.8991","32.61M","-4.80%"
"Jun 15, 2021","0.9624","0.9635","0.9880","0.9299","34.10M","-0.13%"
"Jun 14, 2021","0.9637","0.9513","0.9738","0.9249","33.15M","1.31%"
"Jun 13, 2021","0.9513","0.8982","0.9569","0.8621","38.36M","5.98%"
"Jun 12, 2021","0.8976","0.9266","0.9267","0.8508","44.85M","-3.09%"
"Jun 11, 2021","0.9262","0.9712","0.9964","0.9111","43.32M","-4.61%"
"Jun 10, 2021","0.9710","1.0107","1.0508","0.9577","52.05M","-3.90%"
"Jun 09, 2021","1.0104","0.9641","1.0104","0.9157","60.64M","4.69%"
"Jun 08, 2021","0.9651","0.9877","1.0036","0.8677","73.53M","-2.28%"
"Jun 07, 2021","0.9876","1.1043","1.1290","0.9789","47.39M","-10.56%"
"Jun 06, 2021","1.1042","1.0601","1.1405","1.0498","45.33M","4.16%"
"Jun 05, 2021","1.0602","1.1137","1.1569","1.0297","55.34M","-4.81%"
"Jun 04, 2021","1.1137","1.2282","1.2347","1.0633","67.43M","-9.32%"
"Jun 03, 2021","1.2282","1.1757","1.2640","1.1579","70.39M","4.64%"
"Jun 02, 2021","1.1738","1.1141","1.1882","1.0896","53.78M","5.32%"
"Jun 01, 2021","1.1145","1.1453","1.1548","1.0706","63.08M","-2.73%"
"May 31, 2021","1.1458","1.0554","1.1492","1.0009","73.97M","8.57%"
"May 30, 2021","1.0554","1.0228","1.0996","0.9608","72.73M","3.19%"
"May 29, 2021","1.0227","1.0878","1.1319","0.9611","103.49M","-5.96%"
"May 28, 2021","1.0875","1.2274","1.2709","1.0290","131.83M","-11.38%"
"May 27, 2021","1.2272","1.3035","1.3151","1.1477","83.58M","-5.78%"
"May 26, 2021","1.3025","1.1554","1.3025","1.1248","105.24M","12.71%"
"May 25, 2021","1.1556","1.1370","1.2321","1.0271","140.63M","1.61%"
"May 24, 2021","1.1372","0.9172","1.1492","0.8775","159.53M","23.90%"
"May 23, 2021","0.9179","1.1246","1.2038","0.7405","270.29M","-18.42%"
"May 22, 2021","1.1251","1.2772","1.2854","1.0813","124.68M","-11.86%"
"May 21, 2021","1.2764","1.6476","1.6863","1.0684","265.47M","-22.63%"
"May 20, 2021","1.6497","1.1313","1.7945","0.9946","263.55M","45.67%"
"May 19, 2021","1.1325","1.8717","1.9009","0.7772","379.81M","-39.44%"
"May 18, 2021","1.8699","1.8164","1.9497","1.7922","79.13M","3.07%"
"May 17, 2021","1.8143","1.9752","1.9756","1.6955","103.26M","-8.15%"
"May 16, 2021","1.9753","1.9686","2.1823","1.8612","87.65M","0.35%"
"May 15, 2021","1.9684","2.1765","2.1989","1.9650","84.83M","-9.57%"
"May 14, 2021","2.1766","2.1241","2.2642","2.0899","84.25M","2.45%"
"May 13, 2021","2.1246","2.0867","2.2826","1.9413","133.51M","1.77%"
"May 12, 2021","2.0877","2.5536","2.6437","2.0573","113.14M","-18.22%"
"May 11, 2021","2.5527","2.3159","2.5580","2.2063","115.40M","10.17%"
"May 10, 2021","2.3171","2.6901","2.7272","2.1233","124.16M","-13.87%"
"May 09, 2021","2.6904","2.4411","2.7848","2.3661","159.42M","10.22%"
"May 08, 2021","2.4410","2.4558","2.6110","2.3153","109.57M","-0.63%"
"May 07, 2021","2.4565","2.6646","2.9420","2.3075","220.00M","-7.85%"
"May 06, 2021","2.6659","2.1382","2.8086","2.0629","254.90M","24.63%"
"May 05, 2021","2.1391","1.7941","2.1600","1.7941","119.51M","19.28%"
"May 04, 2021","1.7933","1.9335","1.9356","1.7534","127.93M","-7.27%"
"May 03, 2021","1.9339","1.8745","2.0568","1.8595","137.80M","3.16%"
"May 02, 2021","1.8747","1.7991","1.8771","1.7323","82.89M","4.20%"
"May 01, 2021","1.7990","1.8344","1.8601","1.7551","71.44M","-1.97%"
"Apr 30, 2021","1.8352","1.6718","1.8411","1.6622","85.45M","9.81%"
"Apr 29, 2021","1.6713","1.7026","1.7415","1.6036","74.77M","-1.84%"
"Apr 28, 2021","1.7027","1.7480","1.7975","1.5841","94.63M","-2.65%"
"Apr 27, 2021","1.7490","1.5730","1.7565","1.5604","115.41M","11.20%"
"Apr 26, 2021","1.5729","1.3352","1.5759","1.3207","129.06M","17.91%"
"Apr 25, 2021","1.3340","1.3447","1.4812","1.2485","102.33M","-0.79%"
"Apr 24, 2021","1.3446","1.5168","1.5209","1.3367","117.02M","-11.35%"
"Apr 23, 2021","1.5167","1.6522","1.7023","1.2813","265.34M","-8.22%"
"Apr 22, 2021","1.6525","1.8751","1.9661","1.6275","127.15M","-11.85%"
"Apr 21, 2021","1.8746","2.0969","2.1506","1.8567","75.45M","-10.61%"
"Apr 20, 2021","2.0971","2.1173","2.1936","1.8889","159.05M","-1.04%"
"Apr 19, 2021","2.1192","2.3616","2.5396","2.0433","274.28M","-9.97%"
"Apr 18, 2021","2.3537","2.2736","2.3537","1.5565","269.54M","3.53%"
"Apr 17, 2021","2.2735","2.3414","2.5843","2.2311","118.18M","-3.18%"
"Apr 16, 2021","2.3483","2.0472","2.4160","1.9675","173.60M","14.71%"
"Apr 15, 2021","2.0471","1.9008","2.0614","1.8794","73.48M","7.69%"
"Apr 14, 2021","1.9010","1.9266","2.0225","1.8118","92.80M","-1.35%"
"Apr 13, 2021","1.9270","1.8659","1.9378","1.7832","68.79M","3.30%"
"Apr 12, 2021","1.8655","1.9702","1.9707","1.8078","62.77M","-5.31%"
"Apr 11, 2021","1.9700","1.9704","2.0268","1.9114","61.51M","0.04%"
"Apr 10, 2021","1.9693","2.0018","2.0835","1.8843","83.40M","-1.62%"
"Apr 09, 2021","2.0016","1.9384","2.0891","1.8703","84.96M","3.31%"
