"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.006533","0.006655","0.006875","0.006474","-","-1.87%"
"Jun 30, 2021","0.006657","0.007179","0.007218","0.006395","-","-7.20%"
"Jun 29, 2021","0.007174","0.007069","0.007307","0.006733","-","1.52%"
"Jun 28, 2021","0.007067","0.006428","0.007158","0.005938","-","10.20%"
"Jun 27, 2021","0.006412","0.005336","0.006421","0.005299","-","20.59%"
"Jun 26, 2021","0.005317","0.005212","0.005317","0.004683","-","1.90%"
"Jun 25, 2021","0.005218","0.005717","0.005857","0.004882","-","-8.82%"
"Jun 24, 2021","0.005723","0.005888","0.005908","0.005343","-","-2.87%"
"Jun 23, 2021","0.005892","0.005207","0.005975","0.005091","-","13.21%"
"Jun 22, 2021","0.005205","0.005867","0.006158","0.004627","-","-11.57%"
"Jun 21, 2021","0.005886","0.006769","0.006788","0.005810","-","-13.20%"
"Jun 20, 2021","0.006781","0.006762","0.006862","0.006355","-","0.14%"
"Jun 19, 2021","0.006771","0.006800","0.007088","0.006563","-","-0.32%"
"Jun 18, 2021","0.006793","0.007417","0.007437","0.006709","-","-8.42%"
"Jun 17, 2021","0.007417","0.006902","0.007623","0.006764","-","7.51%"
"Jun 16, 2021","0.006899","0.007025","0.007292","0.006868","-","-1.91%"
"Jun 15, 2021","0.007034","0.007487","0.007542","0.006920","-","-6.17%"
"Jun 14, 2021","0.007496","0.007623","0.008388","0.007217","-","-1.63%"
"Jun 13, 2021","0.007620","0.007463","0.008389","0.006769","-","2.11%"
"Jun 12, 2021","0.007463","0.007655","0.007767","0.007121","-","-2.44%"
"Jun 11, 2021","0.007649","0.007528","0.008010","0.007366","-","1.83%"
"Jun 10, 2021","0.007512","0.008230","0.008264","0.007331","-","-8.49%"
"Jun 09, 2021","0.008209","0.007186","0.008608","0.007022","-","14.09%"
"Jun 08, 2021","0.007195","0.007870","0.007993","0.006722","-","-8.85%"
"Jun 07, 2021","0.007894","0.008584","0.008820","0.007849","-","-8.14%"
"Jun 06, 2021","0.008593","0.008529","0.008877","0.008469","-","0.72%"
"Jun 05, 2021","0.008532","0.008662","0.008890","0.008142","-","-1.43%"
"Jun 04, 2021","0.008656","0.009205","0.009227","0.008372","-","-5.97%"
"Jun 03, 2021","0.009205","0.007880","0.009219","0.007573","-","16.64%"
"Jun 02, 2021","0.007892","0.007893","0.008275","0.007850","-","0.13%"
"Jun 01, 2021","0.007881","0.008392","0.008519","0.007573","-","-6.13%"
"May 31, 2021","0.008396","0.007832","0.008440","0.007388","-","7.16%"
"May 30, 2021","0.007835","0.007777","0.008170","0.007525","-","0.70%"
"May 29, 2021","0.007780","0.008559","0.008949","0.007643","-","-9.14%"
"May 28, 2021","0.008562","0.009032","0.009130","0.008260","-","-5.16%"
"May 27, 2021","0.009028","0.009627","0.010097","0.009000","-","-6.18%"
"May 26, 2021","0.009623","0.009412","0.010212","0.009007","-","2.24%"
"May 25, 2021","0.009412","0.009098","0.009740","0.008583","-","3.69%"
"May 24, 2021","0.009077","0.007294","0.009320","0.006561","-","24.09%"
"May 23, 2021","0.007315","0.009019","0.009202","0.006175","-","-18.87%"
"May 22, 2021","0.009016","0.009166","0.009362","0.008700","-","-1.45%"
"May 21, 2021","0.009149","0.010008","0.010316","0.008144","-","-8.10%"
"May 20, 2021","0.009955","0.009098","0.010200","0.008763","-","10.08%"
"May 19, 2021","0.009044","0.010944","0.011087","0.007171","-","-17.47%"
"May 18, 2021","0.010958","0.011106","0.011670","0.008821","-","-1.03%"
"May 17, 2021","0.011073","0.011427","0.011703","0.010373","-","-2.97%"
"May 16, 2021","0.011411","0.011933","0.012643","0.010802","-","-4.41%"
"May 15, 2021","0.011938","0.011233","0.012858","0.011078","-","6.22%"
"May 14, 2021","0.011239","0.011431","0.012214","0.010924","-","0.40%"
"May 13, 2021","0.011194","0.010742","0.012885","0.009893","-","2.43%"
"May 12, 2021","0.010929","0.011344","0.011768","0.010335","-","-3.66%"
"May 11, 2021","0.011344","0.009492","0.011377","0.009356","-","19.45%"
"May 10, 2021","0.009497","0.012551","0.012813","0.009481","-","-24.20%"
"May 09, 2021","0.012529","0.013251","0.013321","0.012106","-","-5.28%"
"May 08, 2021","0.013228","0.013475","0.013963","0.012647","-","-1.89%"
"May 07, 2021","0.013482","0.013834","0.014211","0.013352","-","-2.43%"
"May 06, 2021","0.013818","0.013514","0.013905","0.012777","-","2.31%"
"May 05, 2021","0.013506","0.012703","0.013592","0.012156","-","6.15%"
"May 04, 2021","0.012723","0.013436","0.013436","0.012019","-","-3.14%"
"May 03, 2021","0.013135","0.013016","0.014252","0.013016","-","0.91%"
"May 02, 2021","0.013016","0.013287","0.013801","0.012683","-","-2.04%"
"May 01, 2021","0.013287","0.012392","0.013568","0.012356","-","7.16%"
"Apr 30, 2021","0.012399","0.010712","0.012421","0.010621","-","15.75%"
"Apr 29, 2021","0.010712","0.011239","0.011313","0.010247","-","-4.63%"
"Apr 28, 2021","0.011233","0.010732","0.011556","0.010518","-","4.73%"
"Apr 27, 2021","0.010726","0.011093","0.011111","0.010411","-","-3.26%"
"Apr 26, 2021","0.011087","0.010550","0.011105","0.009878","-","5.20%"
"Apr 25, 2021","0.010539","0.010281","0.010576","0.009886","-","2.51%"
"Apr 24, 2021","0.010281","0.010230","0.010886","0.009706","-","0.60%"
"Apr 23, 2021","0.010220","0.011134","0.011574","0.009761","-","-8.26%"
"Apr 22, 2021","0.011140","0.011309","0.012209","0.010807","-","-1.54%"
"Apr 21, 2021","0.011315","0.011293","0.011706","0.010821","-","0.25%"
