"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.9998","0.9997","1.0018","0.9984","4.94M","0.01%"
"Jun 30, 2021","0.9997","0.9997","1.0003","0.9979","6.20M","-0.05%"
"Jun 29, 2021","1.0002","0.9996","1.0006","0.9969","4.72M","0.11%"
"Jun 28, 2021","0.9991","0.9996","1.0006","0.9975","4.72M","0.08%"
"Jun 27, 2021","0.9984","0.9997","1.0008","0.9971","6.07M","-0.17%"
"Jun 26, 2021","1.0001","0.9993","1.0011","0.9974","5.34M","0.05%"
"Jun 25, 2021","0.9996","0.9998","1.0010","0.9984","7.54M","-0.02%"
"Jun 24, 2021","0.9998","0.9999","1.0010","0.9982","6.64M","0.00%"
"Jun 23, 2021","0.9998","0.9995","1.0003","0.9984","8.99M","0.03%"
"Jun 22, 2021","0.9995","1.0004","1.0006","0.9975","12.23M","-0.08%"
"Jun 21, 2021","1.0003","0.9991","1.0009","0.9952","10.08M","0.09%"
"Jun 20, 2021","0.9994","0.9984","1.0019","0.9953","11.47M","0.09%"
"Jun 19, 2021","0.9984","0.9998","1.0011","0.9956","14.04M","-0.14%"
"Jun 18, 2021","0.9998","0.9989","1.0017","0.9950","11.58M","0.09%"
"Jun 17, 2021","0.9989","0.9989","1.0004","0.9935","12.54M","0.01%"
"Jun 16, 2021","0.9988","0.9982","1.0000","0.9936","14.23M","0.07%"
"Jun 15, 2021","0.9981","0.9984","1.0002","0.9905","13.43M","-0.03%"
"Jun 14, 2021","0.9985","0.9976","0.9996","0.9928","17.03M","0.07%"
"Jun 13, 2021","0.9978","0.9982","0.9997","0.9927","13.62M","-0.04%"
"Jun 12, 2021","0.9982","0.9988","0.9998","0.9934","15.01M","-0.04%"
"Jun 11, 2021","0.9986","0.9982","0.9997","0.9930","14.06M","0.02%"
"Jun 10, 2021","0.9984","0.9986","1.0025","0.9955","13.69M","0.00%"
"Jun 09, 2021","0.9984","0.9961","0.9996","0.9954","16.09M","0.23%"
"Jun 08, 2021","0.9961","0.9981","0.9997","0.9952","18.97M","-0.25%"
