"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","15.200","16.400","16.400","15.041","-","-7.17%"
"Jun 30, 2021","16.374","16.295","16.495","15.254","-","1.01%"
"Jun 29, 2021","16.210","15.830","16.950","15.830","-","2.93%"
"Jun 28, 2021","15.749","15.029","15.990","14.751","-","5.06%"
"Jun 27, 2021","14.991","14.523","14.991","14.154","-","3.35%"
"Jun 26, 2021","14.505","14.423","14.807","13.806","-","0.41%"
"Jun 25, 2021","14.446","16.251","16.383","14.446","-","-10.95%"
"Jun 24, 2021","16.223","15.780","16.504","14.912","-","2.76%"
"Jun 23, 2021","15.787","14.643","16.373","14.643","-","7.88%"
"Jun 22, 2021","14.634","15.795","16.603","13.782","-","-7.33%"
"Jun 21, 2021","15.791","20.649","20.649","15.791","-","-23.36%"
"Jun 20, 2021","20.605","20.253","20.929","19.322","-","1.78%"
"Jun 19, 2021","20.244","21.387","21.588","20.244","-","-5.22%"
"Jun 18, 2021","21.359","22.533","22.533","20.593","-","-5.08%"
"Jun 17, 2021","22.503","23.022","23.876","22.158","-","-2.22%"
"Jun 16, 2021","23.015","23.884","24.345","22.918","-","-3.91%"
"Jun 15, 2021","23.952","25.870","25.870","23.952","-","-7.36%"
"Jun 14, 2021","25.856","22.162","25.856","21.514","-","17.26%"
"Jun 13, 2021","22.050","20.742","22.163","20.217","-","6.47%"
"Jun 12, 2021","20.710","20.837","21.021","19.890","-","-1.16%"
"Jun 11, 2021","20.952","22.683","22.897","20.660","-","-7.37%"
"Jun 10, 2021","22.618","23.284","24.173","22.581","-","-2.45%"
"Jun 09, 2021","23.187","21.619","23.187","20.652","-","6.95%"
"Jun 08, 2021","21.680","21.662","21.820","20.258","-","0.16%"
"Jun 07, 2021","21.645","24.191","25.179","21.645","-","-10.50%"
"Jun 06, 2021","24.185","23.707","24.381","23.707","-","1.69%"
"Jun 05, 2021","23.782","25.092","26.110","23.630","-","-4.87%"
"Jun 04, 2021","25.000","26.891","26.923","23.935","-","-7.31%"
"Jun 03, 2021","26.971","25.837","27.961","25.837","-","4.05%"
"Jun 02, 2021","25.921","22.907","26.665","22.907","-","13.48%"
"Jun 01, 2021","22.841","23.227","23.500","22.189","-","-2.32%"
"May 31, 2021","23.384","20.314","23.384","19.481","-","14.30%"
"May 30, 2021","20.458","19.880","20.995","18.966","-","2.92%"
"May 29, 2021","19.877","21.380","22.078","19.106","-","-6.84%"
"May 28, 2021","21.337","23.820","24.675","20.676","-","-10.93%"
"May 27, 2021","23.954","24.486","24.486","22.180","-","-2.20%"
"May 26, 2021","24.492","22.229","24.492","22.229","-","10.50%"
"May 25, 2021","22.164","23.119","23.119","20.410","-","-4.46%"
"May 24, 2021","23.199","18.030","23.326","17.795","-","29.83%"
"May 23, 2021","17.869","22.030","22.956","15.000","-","-18.83%"
"May 22, 2021","22.014","24.245","24.305","20.849","-","-9.79%"
"May 21, 2021","24.404","29.032","30.447","22.016","-","-15.64%"
"May 20, 2021","28.927","25.320","30.180","24.212","-","15.70%"
"May 19, 2021","25.001","40.765","40.765","24.065","-","-38.44%"
"May 18, 2021","40.612","38.714","41.363","37.881","-","4.90%"
"May 17, 2021","38.716","42.353","42.353","37.334","-","-8.74%"
"May 16, 2021","42.426","43.619","46.269","40.062","-","-2.51%"
"May 15, 2021","43.517","47.919","49.469","43.313","-","-9.27%"
"May 14, 2021","47.962","39.982","47.962","39.982","-","19.94%"
"May 13, 2021","39.988","34.975","40.239","34.975","-","15.95%"
"May 12, 2021","34.488","38.635","41.683","34.488","-","-10.78%"
"May 11, 2021","38.653","36.335","38.653","35.796","-","5.96%"
"May 10, 2021","36.480","40.345","41.435","35.237","-","-9.51%"
"May 09, 2021","40.312","39.896","40.440","38.586","-","1.11%"
"May 08, 2021","39.869","39.807","40.257","39.447","-","-0.00%"
"May 07, 2021","39.870","41.626","41.734","39.870","-","-4.08%"
"May 06, 2021","41.565","40.517","42.417","39.142","-","2.72%"
"May 05, 2021","40.466","36.148","40.466","36.103","-","12.04%"
"May 04, 2021","36.119","37.250","37.250","35.772","-","-3.01%"
"May 03, 2021","37.239","36.601","37.875","36.601","-","1.58%"
"May 02, 2021","36.659","36.896","37.107","35.847","-","-0.61%"
"May 01, 2021","36.885","36.401","37.153","36.198","-","1.01%"
"Apr 30, 2021","36.516","35.980","36.516","35.668","-","1.49%"
"Apr 29, 2021","35.981","33.986","35.981","33.263","-","5.99%"
"Apr 28, 2021","33.946","34.831","34.860","33.177","-","-2.68%"
"Apr 27, 2021","34.882","33.420","34.882","33.420","-","4.43%"
"Apr 26, 2021","33.402","29.840","33.402","29.840","-","12.26%"
"Apr 25, 2021","29.753","29.071","30.877","28.676","-","2.59%"
"Apr 24, 2021","29.001","32.275","32.275","29.001","-","-10.07%"
"Apr 23, 2021","32.249","32.893","32.893","28.876","-","-2.14%"
"Apr 22, 2021","32.955","33.783","35.895","32.955","-","-2.47%"
"Apr 21, 2021","33.791","35.504","35.934","33.791","-","-4.75%"
"Apr 20, 2021","35.477","34.859","35.477","32.955","-","2.09%"
"Apr 19, 2021","34.749","37.360","38.276","34.630","-","-7.00%"
"Apr 18, 2021","37.363","42.168","42.168","34.202","-","-11.35%"
"Apr 17, 2021","42.148","41.412","46.910","41.412","-","1.80%"
"Apr 16, 2021","41.404","43.444","43.444","41.335","-","-4.82%"
"Apr 15, 2021","43.501","42.620","43.572","41.780","-","2.23%"
"Apr 14, 2021","42.554","43.116","43.903","41.216","-","-0.92%"
"Apr 13, 2021","42.948","40.530","42.948","40.307","-","6.18%"
"Apr 12, 2021","40.450","41.377","41.377","40.069","-","-2.11%"
"Apr 11, 2021","41.320","41.727","41.727","40.273","-","-0.64%"
"Apr 10, 2021","41.587","40.832","42.447","40.717","-","2.00%"
"Apr 09, 2021","40.771","41.339","41.512","40.560","-","-1.31%"
"Apr 08, 2021","41.313","39.613","41.313","39.613","-","4.56%"
"Apr 07, 2021","39.509","43.407","43.407","38.341","-","-8.81%"
"Apr 06, 2021","43.325","45.800","45.800","42.312","-","-5.20%"
"Apr 05, 2021","45.700","44.480","45.700","42.306","-","3.29%"
"Apr 04, 2021","44.243","41.030","44.707","41.030","-","6.88%"
"Apr 03, 2021","41.393","41.105","45.393","41.105","-","0.90%"
"Apr 02, 2021","41.026","37.465","41.026","37.071","-","9.68%"
"Apr 01, 2021","37.405","37.009","38.347","36.431","-","1.02%"
"Mar 31, 2021","37.027","33.994","37.171","33.623","-","8.95%"
"Mar 30, 2021","33.985","34.369","34.437","33.558","-","-1.11%"
"Mar 29, 2021","34.368","32.233","34.648","32.035","-","6.64%"
"Mar 28, 2021","32.228","32.715","32.830","31.583","-","-1.15%"
"Mar 27, 2021","32.602","33.195","33.218","31.733","-","-1.68%"
"Mar 26, 2021","33.160","29.871","33.160","29.871","-","11.25%"
"Mar 25, 2021","29.807","30.282","30.762","29.205","-","-1.76%"
"Mar 24, 2021","30.342","34.156","36.114","30.327","-","-11.34%"
"Mar 23, 2021","34.223","35.352","35.867","34.223","-","-2.91%"
"Mar 22, 2021","35.250","36.728","37.595","35.250","-","-3.97%"
"Mar 21, 2021","36.709","37.217","38.014","36.496","-","-1.44%"
"Mar 20, 2021","37.247","38.170","39.854","37.247","-","-2.37%"
"Mar 19, 2021","38.152","35.314","38.315","35.239","-","8.01%"
"Mar 18, 2021","35.323","36.210","36.627","35.323","-","-2.22%"
"Mar 17, 2021","36.125","35.434","36.183","34.651","-","2.11%"
"Mar 16, 2021","35.378","34.213","35.378","33.238","-","3.27%"
"Mar 15, 2021","34.257","36.516","38.010","34.257","-","-6.35%"
"Mar 14, 2021","36.581","37.172","37.805","36.581","-","-1.49%"
"Mar 13, 2021","37.134","35.974","37.972","35.118","-","3.18%"
"Mar 12, 2021","35.989","36.964","36.964","34.947","-","-2.45%"
"Mar 11, 2021","36.892","37.679","37.902","36.150","-","-1.73%"
"Mar 10, 2021","37.541","38.211","39.250","37.108","-","-1.62%"
"Mar 09, 2021","38.161","35.001","38.223","35.001","-","9.29%"
"Mar 08, 2021","34.918","35.113","35.515","33.625","-","-0.55%"
"Mar 07, 2021","35.111","33.433","35.111","33.433","-","5.21%"
"Mar 06, 2021","33.373","33.619","33.700","32.686","-","-0.81%"
"Mar 05, 2021","33.646","35.240","35.240","32.603","-","-4.60%"
"Mar 04, 2021","35.266","37.037","38.033","34.775","-","-4.94%"
"Mar 03, 2021","37.098","36.134","38.527","36.134","-","2.76%"
"Mar 02, 2021","36.103","35.800","37.251","35.085","-","1.30%"
"Mar 01, 2021","35.639","33.886","35.639","33.231","-","5.60%"
"Feb 28, 2021","33.749","33.271","33.749","30.461","-","0.80%"
"Feb 27, 2021","33.480","31.522","35.096","31.522","-","6.43%"
"Feb 26, 2021","31.459","31.235","32.541","28.295","-","1.62%"
"Feb 25, 2021","30.957","33.659","34.359","30.957","-","-8.04%"
"Feb 24, 2021","33.663","34.565","36.667","32.705","-","-2.62%"
"Feb 23, 2021","34.570","37.685","37.685","30.307","-","-8.17%"
"Feb 22, 2021","37.646","39.627","39.627","34.963","-","-4.74%"
"Feb 21, 2021","39.520","38.982","40.252","38.113","-","1.52%"
"Feb 20, 2021","38.927","35.077","41.249","35.077","-","11.79%"
"Feb 19, 2021","34.820","31.200","34.820","30.059","-","12.08%"
"Feb 18, 2021","31.067","31.973","32.170","31.067","-","-2.88%"
"Feb 17, 2021","31.989","30.108","32.207","30.105","-","6.20%"
"Feb 16, 2021","30.122","27.843","30.428","27.283","-","8.45%"
"Feb 15, 2021","27.774","27.021","29.299","23.891","-","3.28%"
"Feb 14, 2021","26.890","28.048","28.577","26.663","-","-3.86%"
"Feb 13, 2021","27.971","28.766","29.852","27.880","-","-2.38%"
"Feb 12, 2021","28.653","25.054","29.664","24.800","-","14.13%"
"Feb 11, 2021","25.106","23.624","25.306","23.624","-","6.52%"
"Feb 10, 2021","23.570","23.140","24.358","22.993","-","2.22%"
"Feb 09, 2021","23.057","23.074","23.644","22.599","-","0.21%"
"Feb 08, 2021","23.010","19.749","23.010","19.547","-","16.32%"
