"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.073","1.167","1.167","1.062","170.07M","-8.04%"
"Jun 30, 2021","1.167","1.172","1.181","1.083","237.38M","0.00%"
"Jun 29, 2021","1.167","1.120","1.248","1.116","304.60M","4.18%"
"Jun 28, 2021","1.120","1.113","1.165","1.088","236.66M","0.61%"
"Jun 27, 2021","1.113","1.077","1.113","1.035","229.40M","3.70%"
"Jun 26, 2021","1.074","1.041","1.101","1.009","261.12M","3.16%"
"Jun 25, 2021","1.041","1.203","1.234","1.041","332.66M","-13.50%"
"Jun 24, 2021","1.203","1.176","1.239","1.135","283.91M","2.31%"
"Jun 23, 2021","1.176","1.073","1.248","1.030","463.48M","9.62%"
"Jun 22, 2021","1.073","1.103","1.236","0.930","906.94M","-2.73%"
"Jun 21, 2021","1.103","1.396","1.409","1.093","506.77M","-20.97%"
"Jun 20, 2021","1.396","1.360","1.433","1.286","277.95M","2.64%"
"Jun 19, 2021","1.360","1.375","1.431","1.350","251.29M","-1.09%"
"Jun 18, 2021","1.375","1.502","1.514","1.306","341.00M","-8.47%"
"Jun 17, 2021","1.502","1.480","1.555","1.455","284.19M","1.50%"
"Jun 16, 2021","1.480","1.628","1.637","1.453","377.02M","-9.11%"
"Jun 15, 2021","1.628","1.549","1.706","1.534","526.95M","5.07%"
"Jun 14, 2021","1.549","1.467","1.596","1.414","392.92M","5.64%"
"Jun 13, 2021","1.467","1.340","1.489","1.315","412.30M","9.48%"
"Jun 12, 2021","1.340","1.250","1.396","1.163","452.49M","7.19%"
"Jun 11, 2021","1.250","1.362","1.382","1.232","266.31M","-8.25%"
"Jun 10, 2021","1.362","1.491","1.497","1.355","294.11M","-8.60%"
"Jun 09, 2021","1.491","1.482","1.530","1.353","477.46M","0.60%"
"Jun 08, 2021","1.482","1.485","1.521","1.280","656.13M","-0.24%"
"Jun 07, 2021","1.485","1.580","1.727","1.463","472.75M","-6.01%"
"Jun 06, 2021","1.580","1.528","1.590","1.512","236.68M","3.45%"
"Jun 05, 2021","1.528","1.632","1.696","1.455","356.14M","-6.40%"
"Jun 04, 2021","1.632","1.823","1.823","1.556","559.86M","-10.47%"
"Jun 03, 2021","1.823","1.799","1.882","1.765","328.26M","1.35%"
"Jun 02, 2021","1.799","1.822","1.888","1.750","382.60M","-1.30%"
"Jun 01, 2021","1.822","1.880","1.982","1.765","512.33M","-3.07%"
"May 31, 2021","1.880","1.862","1.928","1.753","703.67M","0.91%"
"May 30, 2021","1.863","1.692","1.965","1.555","946.59M","10.08%"
"May 29, 2021","1.692","1.821","1.904","1.522","887.88M","-7.08%"
"May 28, 2021","1.821","2.028","2.057","1.668","1.21B","-10.20%"
"May 27, 2021","2.028","2.206","2.263","1.858","1.08B","-8.35%"
"May 26, 2021","2.213","1.942","2.429","1.840","1.52B","13.97%"
"May 25, 2021","1.942","1.722","1.945","1.512","1.45B","12.78%"
"May 24, 2021","1.722","1.077","1.973","1.071","2.29B","59.83%"
"May 23, 2021","1.077","1.191","1.255","0.749","1.40B","-9.56%"
"May 22, 2021","1.191","1.485","1.617","1.128","812.64M","-19.78%"
"May 21, 2021","1.485","1.826","1.950","1.196","964.94M","-18.70%"
"May 20, 2021","1.826","1.623","2.196","1.344","1.17B","12.53%"
"May 19, 2021","1.623","2.450","2.640","1.101","2.03B","-33.76%"
"May 18, 2021","2.450","1.727","2.658","1.711","1.22B","41.86%"
"May 17, 2021","1.727","1.711","1.783","1.482","604.58M","0.97%"
"May 16, 2021","1.711","1.596","1.823","1.469","613.31M","6.29%"
"May 15, 2021","1.609","1.471","1.884","1.470","1.09B","9.40%"
"May 14, 2021","1.471","1.054","1.500","1.044","757.00M","39.57%"
"May 13, 2021","1.054","1.051","1.181","0.957","613.75M","4.87%"
"May 12, 2021","1.005","1.067","1.224","1.004","777.76M","-5.85%"
"May 11, 2021","1.068","0.876","1.089","0.801","525.62M","21.90%"
"May 10, 2021","0.876","0.969","1.002","0.786","463.60M","-9.65%"
"May 09, 2021","0.969","0.849","1.053","0.793","1.08B","14.19%"
"May 08, 2021","0.849","0.752","0.849","0.732","271.72M","12.88%"
"May 07, 2021","0.752","0.763","0.807","0.733","221.28M","-1.51%"
"May 06, 2021","0.763","0.809","0.813","0.726","214.55M","-5.65%"
"May 05, 2021","0.809","0.712","0.835","0.712","339.27M","13.74%"
"May 04, 2021","0.711","0.795","0.798","0.709","329.09M","-10.57%"
"May 03, 2021","0.795","0.823","0.867","0.778","320.94M","-3.34%"
"May 02, 2021","0.823","0.786","0.828","0.741","333.33M","4.68%"
"May 01, 2021","0.786","0.820","0.840","0.770","414.53M","-4.14%"
"Apr 30, 2021","0.820","0.890","0.945","0.783","828.02M","-7.83%"
"Apr 29, 2021","0.890","0.777","0.924","0.744","1.21B","14.56%"
"Apr 28, 2021","0.777","0.840","0.897","0.677","1.88B","-7.50%"
"Apr 27, 2021","0.840","0.535","0.847","0.535","1.20B","57.07%"
"Apr 26, 2021","0.535","0.384","0.574","0.381","1.13B","39.16%"
"Apr 25, 2021","0.384","0.355","0.404","0.345","250.71M","8.34%"
"Apr 24, 2021","0.355","0.382","0.390","0.339","175.05M","-7.07%"
"Apr 23, 2021","0.382","0.350","0.387","0.295","390.28M","9.03%"
"Apr 22, 2021","0.350","0.356","0.421","0.346","566.83M","-1.75%"
"Apr 21, 2021","0.356","0.342","0.382","0.328","208.91M","4.15%"
"Apr 20, 2021","0.342","0.325","0.351","0.297","198.60M","4.83%"
"Apr 19, 2021","0.326","0.364","0.386","0.325","193.01M","-10.37%"
"Apr 18, 2021","0.364","0.402","0.406","0.299","322.36M","-9.50%"
"Apr 17, 2021","0.402","0.436","0.439","0.400","162.99M","-7.67%"
"Apr 16, 2021","0.436","0.441","0.467","0.408","285.04M","-1.22%"
"Apr 15, 2021","0.441","0.414","0.459","0.402","320.02M","6.43%"
"Apr 14, 2021","0.414","0.423","0.449","0.370","352.12M","-1.92%"
"Apr 13, 2021","0.422","0.358","0.424","0.358","462.36M","18.07%"
"Apr 12, 2021","0.358","0.370","0.373","0.350","104.49M","-3.24%"
"Apr 11, 2021","0.370","0.358","0.370","0.351","100.06M","3.33%"
"Apr 10, 2021","0.358","0.367","0.376","0.348","132.46M","-2.51%"
"Apr 09, 2021","0.367","0.356","0.384","0.350","151.29M","3.22%"
"Apr 08, 2021","0.356","0.337","0.360","0.336","139.29M","5.63%"
"Apr 07, 2021","0.337","0.374","0.376","0.311","250.67M","-9.93%"
"Apr 06, 2021","0.374","0.370","0.390","0.361","244.23M","0.96%"
"Apr 05, 2021","0.370","0.361","0.370","0.348","167.64M","2.61%"
"Apr 04, 2021","0.361","0.352","0.372","0.345","128.86M","2.63%"
"Apr 03, 2021","0.352","0.382","0.398","0.350","196.22M","-8.08%"
"Apr 02, 2021","0.383","0.363","0.395","0.358","208.97M","5.30%"
"Apr 01, 2021","0.363","0.360","0.378","0.352","164.90M","0.92%"
"Mar 31, 2021","0.360","0.371","0.382","0.337","226.76M","-2.99%"
"Mar 30, 2021","0.371","0.385","0.389","0.361","197.60M","-3.39%"
"Mar 29, 2021","0.384","0.346","0.422","0.337","419.73M","11.03%"
"Mar 28, 2021","0.346","0.333","0.355","0.329","182.84M","3.97%"
"Mar 27, 2021","0.333","0.337","0.356","0.331","180.28M","-1.12%"
"Mar 26, 2021","0.336","0.301","0.341","0.300","186.84M","11.93%"
"Mar 25, 2021","0.301","0.322","0.338","0.299","194.46M","-6.68%"
"Mar 24, 2021","0.322","0.330","0.377","0.305","294.07M","-2.53%"
"Mar 23, 2021","0.330","0.346","0.365","0.326","168.43M","-4.49%"
"Mar 22, 2021","0.346","0.380","0.384","0.328","170.66M","-8.85%"
"Mar 21, 2021","0.380","0.383","0.400","0.364","172.02M","-0.96%"
"Mar 20, 2021","0.383","0.410","0.419","0.383","164.92M","-6.47%"
"Mar 19, 2021","0.410","0.389","0.423","0.376","196.35M","5.21%"
"Mar 18, 2021","0.389","0.401","0.437","0.385","242.45M","-2.82%"
"Mar 17, 2021","0.401","0.373","0.426","0.372","445.43M","7.57%"
"Mar 16, 2021","0.373","0.392","0.396","0.347","336.10M","-4.87%"
"Mar 15, 2021","0.392","0.380","0.430","0.379","441.46M","2.67%"
"Mar 14, 2021","0.381","0.425","0.437","0.376","407.38M","-10.24%"
"Mar 13, 2021","0.425","0.414","0.468","0.412","567.71M","2.70%"
"Mar 12, 2021","0.414","0.409","0.503","0.400","1.14B","1.18%"
"Mar 11, 2021","0.409","0.287","0.525","0.280","1.43B","42.50%"
"Mar 10, 2021","0.287","0.298","0.340","0.281","891.07M","-3.92%"
"Mar 09, 2021","0.299","0.217","0.307","0.216","926.99M","37.70%"
"Mar 08, 2021","0.217","0.212","0.221","0.205","201.01M","2.22%"
"Mar 07, 2021","0.212","0.213","0.222","0.208","177.53M","0.00%"
"Mar 06, 2021","0.213","0.213","0.229","0.206","246.02M","0.00%"
"Mar 05, 2021","0.213","0.199","0.223","0.184","423.31M","7.03%"
"Mar 04, 2021","0.199","0.223","0.236","0.195","426.60M","-10.97%"
"Mar 03, 2021","0.223","0.233","0.238","0.219","353.62M","-4.12%"
"Mar 02, 2021","0.233","0.248","0.250","0.213","526.66M","-6.26%"
"Mar 01, 2021","0.248","0.230","0.254","0.217","956.33M","7.97%"
"Feb 28, 2021","0.230","0.197","0.232","0.173","1.08B","16.91%"
"Feb 27, 2021","0.197","0.191","0.231","0.189","1.02B","3.12%"
"Feb 26, 2021","0.191","0.176","0.203","0.160","1.17B","8.50%"
"Feb 25, 2021","0.176","0.160","0.221","0.159","1.32B","9.72%"
"Feb 24, 2021","0.160","0.137","0.171","0.128","799.16M","16.90%"
"Feb 23, 2021","0.137","0.152","0.153","0.100","914.07M","-9.89%"
"Feb 22, 2021","0.152","0.162","0.167","0.122","831.39M","-6.42%"
"Feb 21, 2021","0.162","0.145","0.184","0.141","822.53M","12.20%"
"Feb 20, 2021","0.145","0.154","0.200","0.132","1.56B","-5.82%"
"Feb 19, 2021","0.154","0.122","0.165","0.119","776.46M","25.62%"
"Feb 18, 2021","0.122","0.112","0.134","0.112","613.17M","9.02%"
"Feb 17, 2021","0.112","0.109","0.119","0.096","544.80M","3.09%"
"Feb 16, 2021","0.109","0.107","0.115","0.101","496.43M","1.73%"
"Feb 15, 2021","0.107","0.100","0.119","0.082","831.64M","6.52%"
"Feb 14, 2021","0.100","0.112","0.116","0.095","462.89M","-9.91%"
"Feb 13, 2021","0.112","0.121","0.126","0.105","470.23M","-7.65%"
"Feb 12, 2021","0.121","0.123","0.129","0.114","483.97M","-1.69%"
"Feb 11, 2021","0.123","0.116","0.138","0.112","710.14M","5.62%"
"Feb 10, 2021","0.116","0.099","0.145","0.097","1.93B","17.85%"
"Feb 09, 2021","0.099","0.071","0.108","0.069","1.11B","38.87%"
"Feb 08, 2021","0.071","0.067","0.080","0.061","1.01B","5.95%"
"Feb 07, 2021","0.067","0.052","0.068","0.048","785.36M","27.96%"
"Feb 06, 2021","0.052","0.055","0.055","0.047","524.63M","-4.28%"
"Feb 05, 2021","0.055","0.047","0.056","0.046","687.03M","15.63%"
"Feb 04, 2021","0.047","0.044","0.050","0.039","570.72M","8.19%"
"Feb 03, 2021","0.044","0.041","0.044","0.040","321.66M","6.61%"
"Feb 02, 2021","0.041","0.041","0.041","0.039","244.19M","0.00%"
"Feb 01, 2021","0.041","0.038","0.041","0.036","379.81M","6.82%"
"Jan 31, 2021","0.038","0.040","0.040","0.036","355.26M","-4.11%"
"Jan 30, 2021","0.040","0.040","0.047","0.039","666.33M","0.00%"
"Jan 29, 2021","0.040","0.039","0.043","0.037","711.87M","4.02%"
"Jan 28, 2021","0.039","0.042","0.045","0.038","627.88M","-7.84%"
"Jan 27, 2021","0.042","0.043","0.048","0.038","1.32B","-3.02%"
"Jan 26, 2021","0.043","0.033","0.045","0.032","1.47B","31.76%"
"Jan 25, 2021","0.033","0.033","0.037","0.033","364.22M","0.00%"
"Jan 24, 2021","0.033","0.034","0.035","0.032","287.01M","-2.84%"
"Jan 23, 2021","0.034","0.031","0.035","0.031","488.68M","8.93%"
"Jan 22, 2021","0.031","0.029","0.033","0.026","348.12M","9.20%"
"Jan 21, 2021","0.029","0.034","0.035","0.028","459.77M","-16.92%"
"Jan 20, 2021","0.034","0.032","0.035","0.030","425.93M","6.39%"
"Jan 19, 2021","0.032","0.036","0.036","0.032","371.65M","-10.50%"
"Jan 18, 2021","0.036","0.034","0.038","0.034","412.86M","5.86%"
"Jan 17, 2021","0.034","0.033","0.035","0.031","387.18M","4.39%"
"Jan 16, 2021","0.033","0.034","0.036","0.032","440.31M","-3.80%"
"Jan 15, 2021","0.034","0.033","0.036","0.029","543.98M","3.81%"
"Jan 14, 2021","0.033","0.030","0.033","0.029","366.24M","9.49%"
"Jan 13, 2021","0.030","0.026","0.031","0.025","353.64M","15.08%"
"Jan 12, 2021","0.026","0.026","0.028","0.025","343.26M","0.00%"
"Jan 11, 2021","0.026","0.030","0.030","0.023","569.81M","-14.45%"
