"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.19956","0.18161","0.20645","0.17500","-","9.85%"
"Jun 30, 2021","0.18167","0.16547","0.18227","0.15927","-","9.87%"
"Jun 29, 2021","0.16535","0.15500","0.17370","0.15204","-","6.72%"
"Jun 28, 2021","0.15495","0.14559","0.15531","0.14021","-","6.43%"
"Jun 27, 2021","0.14558","0.14052","0.15601","0.13774","-","3.61%"
"Jun 26, 2021","0.14051","0.14340","0.14340","0.12795","-","-1.60%"
"Jun 25, 2021","0.14279","0.13832","0.16918","0.13827","-","3.15%"
"Jun 24, 2021","0.13843","0.12635","0.14059","0.12635","-","9.49%"
"Jun 23, 2021","0.12643","0.11731","0.13258","0.11134","-","7.81%"
"Jun 22, 2021","0.11727","0.13416","0.13898","0.10032","-","-12.76%"
"Jun 21, 2021","0.13443","0.19273","0.19925","0.13351","-","-30.44%"
"Jun 20, 2021","0.19325","0.18737","0.22118","0.18419","-","3.00%"
"Jun 19, 2021","0.18763","0.19953","0.19953","0.18639","-","-5.86%"
"Jun 18, 2021","0.19932","0.19970","0.21150","0.19206","-","-0.28%"
"Jun 17, 2021","0.19989","0.20234","0.20906","0.19619","-","-1.27%"
"Jun 16, 2021","0.20245","0.21331","0.21483","0.20038","-","-5.03%"
"Jun 15, 2021","0.21317","0.21874","0.21895","0.20937","-","-2.84%"
"Jun 14, 2021","0.21941","0.22205","0.22205","0.20971","-","-1.15%"
"Jun 13, 2021","0.22196","0.20096","0.24067","0.19787","-","10.65%"
"Jun 12, 2021","0.20060","0.21770","0.24067","0.19364","-","-7.31%"
"Jun 11, 2021","0.21642","0.24917","0.24917","0.21329","-","-13.02%"
"Jun 10, 2021","0.24881","0.22709","0.27122","0.22695","-","9.76%"
"Jun 09, 2021","0.22668","0.22744","0.22857","0.20828","-","-0.47%"
"Jun 08, 2021","0.22774","0.21969","0.25101","0.21332","-","3.59%"
"Jun 07, 2021","0.21985","0.24195","0.25046","0.21727","-","-9.23%"
"Jun 06, 2021","0.24221","0.23330","0.24345","0.23163","-","3.78%"
"Jun 05, 2021","0.23338","0.23922","0.25545","0.22861","-","-2.37%"
"Jun 04, 2021","0.23904","0.26070","0.26070","0.22818","-","-8.09%"
"Jun 03, 2021","0.26009","0.25347","0.26085","0.24832","-","2.46%"
"Jun 02, 2021","0.25385","0.25055","0.25828","0.23921","-","3.67%"
"Jun 01, 2021","0.24487","0.25009","0.25362","0.23721","-","-2.24%"
"May 31, 2021","0.25047","0.24396","0.25121","0.22443","-","2.49%"
"May 30, 2021","0.24439","0.24559","0.25218","0.23001","-","-0.66%"
"May 29, 2021","0.24602","0.27443","0.27736","0.23555","-","-9.86%"
"May 28, 2021","0.27292","0.32879","0.32879","0.26432","-","-17.30%"
"May 27, 2021","0.33000","0.25884","0.38437","0.25085","-","27.25%"
"May 26, 2021","0.25933","0.23857","0.26072","0.23097","-","8.09%"
"May 25, 2021","0.23992","0.24641","0.24641","0.21360","-","-1.71%"
"May 24, 2021","0.24410","0.21747","0.24418","0.19653","-","11.37%"
