"Date","Price","Open","High","Low","Vol.","Change %"
"May 16, 2021","51.50","36.10","53.64","36.01","-","42.67%"
"May 15, 2021","36.10","38.51","39.10","36.00","-","-6.27%"
"May 14, 2021","38.51","38.36","39.70","37.72","-","0.40%"
"May 13, 2021","38.36","37.65","39.56","36.08","-","0.15%"
"May 12, 2021","38.30","43.74","44.70","38.30","-","-12.42%"
"May 11, 2021","43.74","43.08","43.86","42.00","-","1.53%"
"May 10, 2021","43.08","44.93","45.95","41.57","-","-4.13%"
"May 09, 2021","44.93","45.33","45.65","43.42","-","-0.87%"
"May 08, 2021","45.33","44.24","45.84","43.91","-","2.47%"
"May 07, 2021","44.24","43.54","45.20","42.65","-","1.72%"
"May 06, 2021","43.49","44.31","44.96","42.67","-","-1.86%"
"May 05, 2021","44.31","41.68","44.60","41.08","-","6.15%"
"May 04, 2021","41.75","44.04","44.09","41.52","-","-5.20%"
"May 03, 2021","44.04","43.64","45.44","43.61","-","0.91%"
"May 02, 2021","43.64","44.54","44.62","43.27","-","-2.04%"
"May 01, 2021","44.54","44.47","44.96","43.96","-","0.17%"
"Apr 30, 2021","44.47","41.30","44.54","40.95","-","7.67%"
"Apr 29, 2021","41.30","40.31","42.09","39.75","-","2.52%"
"Apr 28, 2021","40.29","40.44","42.86","39.21","-","-0.38%"
"Apr 27, 2021","40.44","41.04","41.18","37.35","-","-1.48%"
"Apr 26, 2021","41.04","37.80","41.27","37.69","-","8.59%"
"Apr 25, 2021","37.80","37.46","38.23","36.35","-","0.90%"
"Apr 24, 2021","37.46","38.78","40.31","36.62","-","-3.40%"
"Apr 23, 2021","38.78","41.24","41.48","35.26","-","-5.96%"
"Apr 22, 2021","41.24","39.61","43.68","39.15","-","4.11%"
"Apr 21, 2021","39.61","41.49","42.51","37.69","-","-4.53%"
"Apr 20, 2021","41.49","42.23","42.30","38.63","-","-1.87%"
"Apr 19, 2021","42.28","40.01","43.56","38.37","-","5.67%"
"Apr 18, 2021","40.01","43.38","43.63","37.86","-","-7.77%"
"Apr 17, 2021","43.38","39.09","44.02","38.97","-","10.98%"
"Apr 16, 2021","39.09","40.96","41.86","38.25","-","-4.55%"
"Apr 15, 2021","40.96","44.69","44.69","38.52","-","-8.35%"
"Apr 14, 2021","44.69","41.74","55.12","40.03","-","6.92%"
"Apr 13, 2021","41.80","38.16","50.34","37.67","-","9.52%"
"Apr 12, 2021","38.16","38.28","39.85","38.03","-","-0.30%"
"Apr 11, 2021","38.28","39.92","41.08","38.24","-","-4.12%"
"Apr 10, 2021","39.92","41.11","43.30","37.45","-","-2.88%"
"Apr 09, 2021","41.11","41.01","41.64","40.82","-","0.23%"
"Apr 08, 2021","41.01","36.46","41.11","36.32","-","12.49%"
"Apr 07, 2021","36.46","39.97","45.61","36.40","-","-8.78%"
"Apr 06, 2021","39.97","39.91","40.34","37.32","-","0.13%"
"Apr 05, 2021","39.91","40.36","41.04","37.89","-","-1.16%"
"Apr 04, 2021","40.38","40.30","41.45","39.94","-","0.20%"
"Apr 03, 2021","40.30","41.69","42.04","39.58","-","-3.33%"
"Apr 02, 2021","41.69","38.89","42.53","38.76","-","7.20%"
"Apr 01, 2021","38.89","40.79","42.48","38.25","-","-4.53%"
"Mar 31, 2021","40.74","40.77","42.95","38.91","-","-0.02%"
"Mar 30, 2021","40.75","42.84","42.98","39.98","-","-4.95%"
"Mar 29, 2021","42.87","41.23","44.44","39.31","-","4.04%"
"Mar 28, 2021","41.21","40.65","41.30","38.44","-","1.37%"
"Mar 27, 2021","40.65","41.31","42.23","39.33","-","-1.61%"
"Mar 26, 2021","41.31","38.62","42.01","38.56","-","6.99%"
"Mar 25, 2021","38.62","39.99","40.27","36.63","-","-3.60%"
"Mar 24, 2021","40.06","43.59","43.71","39.54","-","-8.10%"
"Mar 23, 2021","43.59","42.00","43.85","40.59","-","3.84%"
"Mar 22, 2021","41.98","44.49","46.75","41.69","-","-5.65%"
"Mar 21, 2021","44.49","45.33","46.32","43.27","-","-1.85%"
"Mar 20, 2021","45.33","47.47","49.93","42.98","-","-4.52%"
"Mar 19, 2021","47.47","45.17","48.18","43.16","-","4.97%"
"Mar 18, 2021","45.22","43.98","46.60","42.66","-","2.88%"
"Mar 17, 2021","43.96","40.53","45.46","39.69","-","8.64%"
"Mar 16, 2021","40.46","36.68","40.97","34.87","-","10.32%"
"Mar 15, 2021","36.68","38.20","39.59","35.58","-","-3.99%"
"Mar 14, 2021","38.20","36.99","39.64","34.49","-","3.29%"
"Mar 13, 2021","36.99","36.29","39.04","35.38","-","1.92%"
"Mar 12, 2021","36.29","40.92","41.13","36.23","-","-11.31%"
"Mar 11, 2021","40.92","41.41","42.02","38.91","-","-1.14%"
"Mar 10, 2021","41.39","43.92","44.01","40.51","-","-5.75%"
"Mar 09, 2021","43.92","42.49","47.50","42.25","-","3.40%"
"Mar 08, 2021","42.47","37.68","43.70","35.11","-","12.71%"
"Mar 07, 2021","37.68","32.27","37.68","32.05","-","16.76%"
"Mar 06, 2021","32.27","33.38","33.56","30.76","-","-3.31%"
"Mar 05, 2021","33.38","31.01","33.43","30.21","-","7.49%"
"Mar 04, 2021","31.05","33.86","34.81","30.46","-","-8.28%"
"Mar 03, 2021","33.86","33.13","35.22","31.94","-","2.35%"
"Mar 02, 2021","33.08","35.25","37.54","32.26","-","-6.16%"
"Mar 01, 2021","35.25","32.83","36.64","32.63","-","7.37%"
"Feb 28, 2021","32.83","34.85","35.07","31.17","-","-5.80%"
"Feb 27, 2021","34.85","32.93","36.08","32.87","-","5.83%"
