"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.054447","0.056435","0.056441","0.052514","93.68M","-3.51%"
"Jun 30, 2021","0.056425","0.057369","0.058430","0.052662","108.25M","-1.65%"
"Jun 29, 2021","0.057369","0.054237","0.059450","0.054237","114.27M","5.77%"
"Jun 28, 2021","0.054237","0.054059","0.055369","0.052311","90.35M","0.37%"
"Jun 27, 2021","0.054039","0.050766","0.056256","0.050231","188.25M","6.82%"
"Jun 26, 2021","0.050590","0.050073","0.051707","0.047393","103.99M","0.79%"
"Jun 25, 2021","0.050191","0.055540","0.056650","0.048949","154.80M","-9.63%"
"Jun 24, 2021","0.055540","0.052443","0.056635","0.050334","119.82M","5.91%"
"Jun 23, 2021","0.052443","0.049060","0.055503","0.047174","157.48M","6.90%"
"Jun 22, 2021","0.049060","0.051359","0.055266","0.040710","330.70M","-4.48%"
"Jun 21, 2021","0.051359","0.066030","0.066498","0.051032","173.92M","-22.22%"
"Jun 20, 2021","0.066030","0.066301","0.066726","0.060412","97.19M","-0.41%"
"Jun 19, 2021","0.066301","0.067018","0.068388","0.065828","62.71M","-1.07%"
"Jun 18, 2021","0.067018","0.071291","0.071963","0.065756","92.90M","-5.90%"
"Jun 17, 2021","0.071221","0.071227","0.074787","0.070271","74.29M","-0.01%"
"Jun 16, 2021","0.071227","0.075732","0.076898","0.070660","118.60M","-5.95%"
"Jun 15, 2021","0.075732","0.076780","0.078509","0.074152","135.44M","-1.36%"
"Jun 14, 2021","0.076780","0.075007","0.078430","0.073711","159.49M","2.36%"
"Jun 13, 2021","0.075007","0.069428","0.076498","0.068810","242.19M","8.14%"
"Jun 12, 2021","0.069358","0.070960","0.075358","0.065321","297.48M","-2.26%"
"Jun 11, 2021","0.070960","0.071448","0.079458","0.069599","263.84M","-0.44%"
"Jun 10, 2021","0.071271","0.076104","0.079791","0.069615","147.86M","-6.35%"
"Jun 09, 2021","0.076104","0.070292","0.077159","0.066151","189.35M","8.27%"
"Jun 08, 2021","0.070292","0.071300","0.072708","0.061480","210.48M","-0.99%"
"Jun 07, 2021","0.070997","0.078920","0.082856","0.070850","116.11M","-10.04%"
"Jun 06, 2021","0.078920","0.076501","0.079877","0.076004","68.04M","3.16%"
"Jun 05, 2021","0.076501","0.080484","0.083598","0.074805","103.42M","-4.95%"
"Jun 04, 2021","0.080484","0.088018","0.088235","0.076350","198.85M","-8.56%"
"Jun 03, 2021","0.088018","0.085872","0.091380","0.084109","161.95M","2.50%"
"Jun 02, 2021","0.085872","0.080709","0.094098","0.079421","332.30M","6.40%"
"Jun 01, 2021","0.080709","0.084146","0.085500","0.079073","109.81M","-4.08%"
"May 31, 2021","0.084146","0.078625","0.084146","0.074361","106.70M","7.02%"
"May 30, 2021","0.078625","0.076143","0.083510","0.070722","111.22M","3.26%"
"May 29, 2021","0.076143","0.081119","0.084350","0.070462","141.97M","-6.13%"
"May 28, 2021","0.081119","0.094256","0.095814","0.077666","209.12M","-13.94%"
"May 27, 2021","0.094256","0.101387","0.103529","0.091504","165.72M","-7.03%"
"May 26, 2021","0.101387","0.086863","0.102512","0.084245","246.53M","16.72%"
"May 25, 2021","0.086863","0.079952","0.087611","0.076081","189.87M","8.64%"
"May 24, 2021","0.079952","0.065911","0.081197","0.064240","186.27M","21.30%"
"May 23, 2021","0.065911","0.078129","0.082540","0.053858","276.54M","-15.64%"
"May 22, 2021","0.078129","0.084676","0.085821","0.072078","177.15M","-7.73%"
"May 21, 2021","0.084676","0.098441","0.103130","0.071322","275.95M","-13.98%"
"May 20, 2021","0.098441","0.086070","0.108192","0.076185","255.28M","14.37%"
"May 19, 2021","0.086070","0.129750","0.131880","0.056615","422.57M","-33.66%"
"May 18, 2021","0.129750","0.125249","0.133895","0.123170","120.68M","3.59%"
"May 17, 2021","0.125249","0.136443","0.137037","0.117645","185.12M","-8.20%"
"May 16, 2021","0.136443","0.135824","0.149788","0.127136","192.08M","0.45%"
"May 15, 2021","0.135834","0.139427","0.157377","0.134439","398.03M","-2.58%"
"May 14, 2021","0.139427","0.136315","0.142760","0.133431","136.17M","2.28%"
"May 13, 2021","0.136315","0.129320","0.143354","0.123942","208.60M","5.41%"
"May 12, 2021","0.129320","0.157654","0.164518","0.129309","181.75M","-17.97%"
"May 11, 2021","0.157654","0.149873","0.159214","0.144700","129.57M","5.19%"
"May 10, 2021","0.149873","0.168394","0.173369","0.136886","218.65M","-11.00%"
"May 09, 2021","0.168394","0.174807","0.175848","0.160554","144.52M","-3.67%"
"May 08, 2021","0.174807","0.174536","0.180987","0.169572","154.95M","0.16%"
"May 07, 2021","0.174536","0.181710","0.183992","0.169121","231.57M","-3.95%"
"May 06, 2021","0.181710","0.174966","0.188194","0.169054","375.62M","3.93%"
"May 05, 2021","0.174847","0.166194","0.178722","0.162353","178.93M","4.13%"
"May 04, 2021","0.167917","0.183184","0.183511","0.166262","207.15M","-8.33%"
"May 03, 2021","0.183184","0.188326","0.196729","0.180840","194.78M","-2.73%"
"May 02, 2021","0.188326","0.184098","0.203928","0.172589","508.36M","2.30%"
"May 01, 2021","0.184098","0.171216","0.198094","0.170429","463.21M","7.52%"
"Apr 30, 2021","0.171216","0.163868","0.175456","0.160106","143.67M","4.48%"
"Apr 29, 2021","0.163868","0.164244","0.170931","0.156982","127.48M","-0.23%"
"Apr 28, 2021","0.164244","0.170219","0.177480","0.157040","170.74M","-3.51%"
"Apr 27, 2021","0.170219","0.156472","0.177426","0.154270","356.83M","8.79%"
"Apr 26, 2021","0.156472","0.129955","0.166526","0.129095","454.30M","20.41%"
"Apr 25, 2021","0.129947","0.130788","0.143376","0.121079","179.44M","-0.64%"
"Apr 24, 2021","0.130788","0.144654","0.146128","0.129880","222.56M","-9.59%"
"Apr 23, 2021","0.144654","0.153010","0.156467","0.110160","495.76M","-5.46%"
"Apr 22, 2021","0.153010","0.172172","0.177909","0.150933","208.26M","-11.13%"
"Apr 21, 2021","0.172172","0.181988","0.190311","0.170728","208.35M","-5.39%"
"Apr 20, 2021","0.181988","0.183238","0.192292","0.162605","245.80M","-0.68%"
"Apr 19, 2021","0.183238","0.196173","0.209799","0.177326","317.61M","-6.59%"
"Apr 18, 2021","0.196173","0.215202","0.245814","0.174538","805.27M","-8.84%"
"Apr 17, 2021","0.215202","0.202601","0.237638","0.200597","551.63M","6.22%"
"Apr 16, 2021","0.202601","0.221807","0.223279","0.192389","415.25M","-8.66%"
"Apr 15, 2021","0.221807","0.235624","0.237901","0.212001","642.46M","-5.86%"
"Apr 14, 2021","0.235624","0.191794","0.263989","0.190014","1.80B","22.85%"
"Apr 13, 2021","0.191794","0.186222","0.194969","0.183321","174.35M","2.99%"
"Apr 12, 2021","0.186222","0.186601","0.190019","0.183552","129.86M","-0.20%"
"Apr 11, 2021","0.186601","0.188432","0.192629","0.181373","190.44M","-0.97%"
"Apr 10, 2021","0.188432","0.187981","0.194532","0.185479","185.17M","0.27%"
"Apr 09, 2021","0.187931","0.185409","0.198240","0.184826","251.32M","1.36%"
"Apr 08, 2021","0.185409","0.178133","0.187537","0.177497","182.81M","4.08%"
"Apr 07, 2021","0.178133","0.186248","0.187469","0.169038","212.34M","-4.36%"
"Apr 06, 2021","0.186248","0.195422","0.196459","0.181002","261.82M","-4.69%"
"Apr 05, 2021","0.195422","0.186518","0.212496","0.180072","437.57M","4.77%"
"Apr 04, 2021","0.186518","0.182123","0.193000","0.180226","165.82M","2.41%"
"Apr 03, 2021","0.182123","0.192523","0.194574","0.180021","197.08M","-5.40%"
"Apr 02, 2021","0.192523","0.192731","0.199394","0.190409","163.80M","-0.21%"
"Apr 01, 2021","0.192919","0.188072","0.204113","0.183426","200.18M","2.58%"
"Mar 31, 2021","0.188072","0.194659","0.195246","0.180252","151.91M","-3.38%"
"Mar 30, 2021","0.194659","0.200067","0.202805","0.191456","156.43M","-2.70%"
"Mar 29, 2021","0.200067","0.199817","0.204719","0.196733","129.10M","0.09%"
"Mar 28, 2021","0.199896","0.202112","0.207989","0.194998","168.22M","-1.10%"
"Mar 27, 2021","0.202112","0.201081","0.224874","0.193311","269.89M","0.51%"
"Mar 26, 2021","0.201081","0.189049","0.202380","0.189049","80.26M","6.36%"
"Mar 25, 2021","0.189049","0.189384","0.201634","0.184672","185.63M","-0.18%"
"Mar 24, 2021","0.189384","0.193777","0.206224","0.183298","162.25M","-2.27%"
"Mar 23, 2021","0.193777","0.199029","0.210031","0.188631","223.66M","-2.64%"
"Mar 22, 2021","0.199029","0.217154","0.224000","0.189077","229.30M","-8.35%"
"Mar 21, 2021","0.217154","0.218290","0.238539","0.211891","400.53M","-0.52%"
"Mar 20, 2021","0.218290","0.211971","0.246148","0.209561","479.19M","2.98%"
"Mar 19, 2021","0.211971","0.209699","0.224495","0.201822","170.87M","1.08%"
"Mar 18, 2021","0.209699","0.220264","0.226548","0.207814","205.53M","-4.80%"
"Mar 17, 2021","0.220264","0.221505","0.237908","0.212265","429.70M","-0.56%"
"Mar 16, 2021","0.221515","0.215687","0.272323","0.203707","1.23B","2.70%"
"Mar 15, 2021","0.215687","0.179759","0.265388","0.179507","960.85M","19.99%"
"Mar 14, 2021","0.179759","0.191111","0.192697","0.177909","130.26M","-5.94%"
"Mar 13, 2021","0.191101","0.184537","0.199498","0.182211","270.87M","3.58%"
"Mar 12, 2021","0.184497","0.181061","0.196165","0.178126","353.69M","1.90%"
"Mar 11, 2021","0.181061","0.181197","0.189337","0.174209","209.96M","-0.08%"
"Mar 10, 2021","0.181197","0.175441","0.199400","0.166897","435.40M","3.28%"
"Mar 09, 2021","0.175441","0.154294","0.203905","0.151490","657.16M","13.71%"
"Mar 08, 2021","0.154294","0.158437","0.159086","0.150050","110.27M","-2.61%"
"Mar 07, 2021","0.158437","0.155430","0.161500","0.152869","103.99M","1.93%"
"Mar 06, 2021","0.155430","0.154566","0.156456","0.147570","89.48M","0.28%"
"Mar 05, 2021","0.154994","0.148624","0.158869","0.139511","158.34M","4.29%"
"Mar 04, 2021","0.148624","0.159453","0.162694","0.143151","144.16M","-6.79%"
"Mar 03, 2021","0.159445","0.160417","0.168889","0.156962","193.82M","-0.39%"
"Mar 02, 2021","0.160069","0.170865","0.180159","0.149793","282.89M","-6.32%"
"Mar 01, 2021","0.170865","0.130557","0.175605","0.130302","834.61M","30.87%"
"Feb 28, 2021","0.130557","0.142131","0.142131","0.116597","370.98M","-8.14%"
"Feb 27, 2021","0.142131","0.154702","0.161605","0.136638","203.59M","-8.13%"
"Feb 26, 2021","0.154702","0.162345","0.171742","0.147855","197.13M","-4.71%"
"Feb 25, 2021","0.162345","0.181281","0.190177","0.160644","210.57M","-10.45%"
"Feb 24, 2021","0.181281","0.179574","0.197995","0.165071","350.46M","0.95%"
"Feb 23, 2021","0.179574","0.200071","0.200071","0.139946","719.67M","-10.24%"
"Feb 22, 2021","0.200071","0.207521","0.228787","0.151789","806.05M","-3.89%"
"Feb 21, 2021","0.208166","0.225572","0.249988","0.187788","1.17B","-8.45%"
"Feb 20, 2021","0.227390","0.145379","0.288875","0.139097","2.82B","56.41%"
"Feb 19, 2021","0.145379","0.100199","0.183941","0.096169","1.21B","45.09%"
"Feb 18, 2021","0.100199","0.073998","0.100971","0.073998","316.95M","35.41%"
"Feb 17, 2021","0.073998","0.078595","0.080597","0.071957","138.74M","-5.85%"
"Feb 16, 2021","0.078595","0.074688","0.082705","0.072167","169.61M","5.23%"
"Feb 15, 2021","0.074688","0.072665","0.082233","0.062569","484.47M","2.78%"
"Feb 14, 2021","0.072665","0.057899","0.087970","0.056692","1.26B","25.50%"
"Feb 13, 2021","0.057899","0.050016","0.059927","0.049901","339.01M","15.76%"
"Feb 12, 2021","0.050016","0.048167","0.052242","0.046664","158.32M","3.65%"
"Feb 11, 2021","0.048255","0.049304","0.050514","0.046171","194.06M","-2.13%"
"Feb 10, 2021","0.049304","0.042072","0.053478","0.042041","489.35M","17.19%"
"Feb 09, 2021","0.042072","0.034828","0.044456","0.034636","402.63M","20.80%"
"Feb 08, 2021","0.034828","0.031861","0.036049","0.031082","355.43M","9.25%"
"Feb 07, 2021","0.031880","0.031140","0.033108","0.028052","286.91M","2.38%"
"Feb 06, 2021","0.031140","0.030509","0.033409","0.027754","274.04M","2.07%"
"Feb 05, 2021","0.030509","0.025973","0.031748","0.025824","410.65M","17.64%"
"Feb 04, 2021","0.025933","0.024784","0.027583","0.024060","351.17M","4.64%"
"Feb 03, 2021","0.024784","0.024779","0.025480","0.024207","201.02M","0.02%"
"Feb 02, 2021","0.024779","0.023902","0.025801","0.023441","284.53M","3.54%"
"Feb 01, 2021","0.023932","0.024492","0.026300","0.022691","492.81M","-2.29%"
"Jan 31, 2021","0.024492","0.023258","0.027351","0.022310","1.11B","5.49%"
"Jan 30, 2021","0.023218","0.026812","0.040345","0.022321","3.36B","-13.40%"
"Jan 29, 2021","0.026812","0.016361","0.029911","0.016342","1.84B","63.87%"
"Jan 28, 2021","0.016361","0.015268","0.016589","0.015172","83.22M","7.23%"
"Jan 27, 2021","0.015258","0.016479","0.016479","0.014586","99.29M","-7.35%"
"Jan 26, 2021","0.016469","0.016612","0.016781","0.015763","98.62M","-0.86%"
"Jan 25, 2021","0.016612","0.017181","0.017565","0.016512","65.38M","-3.31%"
"Jan 24, 2021","0.017181","0.017161","0.017597","0.016641","53.87M","0.12%"
"Jan 23, 2021","0.017161","0.017299","0.017767","0.016690","65.37M","-0.80%"
"Jan 22, 2021","0.017299","0.015859","0.017838","0.014871","140.03M","9.35%"
"Jan 21, 2021","0.015820","0.017813","0.017911","0.015604","109.15M","-11.19%"
"Jan 20, 2021","0.017813","0.017902","0.018330","0.016685","124.17M","-0.72%"
"Jan 19, 2021","0.017941","0.018944","0.019061","0.017780","132.31M","-5.30%"
"Jan 18, 2021","0.018944","0.017371","0.019490","0.017162","234.97M","9.06%"
"Jan 17, 2021","0.017371","0.016141","0.017710","0.015552","124.16M","7.62%"
"Jan 16, 2021","0.016141","0.016438","0.017340","0.015861","115.17M","-1.80%"
"Jan 15, 2021","0.016438","0.016339","0.017357","0.015069","111.93M","0.60%"
"Jan 14, 2021","0.016339","0.016361","0.016817","0.015801","84.38M","-0.13%"
"Jan 13, 2021","0.016361","0.014828","0.016658","0.014580","113.20M","10.34%"
"Jan 12, 2021","0.014828","0.014911","0.015688","0.014121","82.37M","-0.55%"
"Jan 11, 2021","0.014911","0.016820","0.016959","0.013122","212.05M","-11.35%"
"Jan 10, 2021","0.016820","0.017729","0.018774","0.015459","253.30M","-5.13%"
"Jan 09, 2021","0.017729","0.016191","0.018298","0.015743","249.32M","9.23%"
"Jan 08, 2021","0.016231","0.015659","0.018180","0.014492","301.94M","3.65%"
"Jan 07, 2021","0.015659","0.015799","0.016998","0.014822","228.80M","-0.89%"
"Jan 06, 2021","0.015799","0.014860","0.015985","0.014529","175.82M","6.32%"
"Jan 05, 2021","0.014860","0.013620","0.015879","0.012864","257.61M","9.10%"
"Jan 04, 2021","0.013620","0.014060","0.014376","0.012670","107.78M","-3.13%"
"Jan 03, 2021","0.014060","0.013040","0.014574","0.012696","199.11M","7.82%"
"Jan 02, 2021","0.013040","0.012932","0.013529","0.012377","132.58M","0.84%"
"Jan 01, 2021","0.012932","0.012541","0.012990","0.012452","54.56M","3.12%"
"Dec 31, 2020","0.012541","0.013101","0.013183","0.012471","53.65M","-4.28%"
"Dec 30, 2020","0.013101","0.012826","0.013256","0.012638","56.84M","2.14%"
"Dec 29, 2020","0.012826","0.013319","0.013457","0.012501","64.74M","-3.70%"
"Dec 28, 2020","0.013319","0.013190","0.013619","0.013071","59.31M","0.98%"
