"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.354530","0.373630","0.373630","0.346450","8.42M","-4.83%"
"Jun 30, 2021","0.372520","0.378920","0.386730","0.348430","11.05M","-1.69%"
"Jun 29, 2021","0.378920","0.357820","0.394010","0.356930","13.02M","5.90%"
"Jun 28, 2021","0.357820","0.350050","0.366440","0.344290","12.16M","2.57%"
"Jun 27, 2021","0.348870","0.333970","0.350000","0.322040","8.06M","4.45%"
"Jun 26, 2021","0.334020","0.341060","0.345210","0.311660","22.93M","-2.06%"
"Jun 25, 2021","0.341060","0.353770","0.377400","0.330130","26.97M","-3.59%"
"Jun 24, 2021","0.353770","0.344260","0.363760","0.325210","9.64M","2.76%"
"Jun 23, 2021","0.344260","0.317360","0.370730","0.305770","16.08M","8.48%"
"Jun 22, 2021","0.317360","0.334390","0.352620","0.280760","28.14M","-5.09%"
"Jun 21, 2021","0.334390","0.413500","0.415680","0.332200","14.96M","-19.13%"
"Jun 20, 2021","0.413500","0.409610","0.418270","0.381300","8.17M","0.95%"
"Jun 19, 2021","0.409610","0.402520","0.431500","0.401630","10.25M","1.76%"
"Jun 18, 2021","0.402520","0.440910","0.444240","0.382760","14.13M","-8.71%"
"Jun 17, 2021","0.440910","0.427610","0.452310","0.422520","9.61M","3.11%"
"Jun 16, 2021","0.427610","0.473210","0.474310","0.422390","10.48M","-9.64%"
"Jun 15, 2021","0.473210","0.460230","0.488960","0.454160","8.98M","2.82%"
"Jun 14, 2021","0.460230","0.435490","0.489440","0.427820","17.01M","5.68%"
"Jun 13, 2021","0.435490","0.408530","0.438430","0.397070","8.52M","6.85%"
"Jun 12, 2021","0.407570","0.426320","0.427410","0.393710","12.90M","-4.40%"
"Jun 11, 2021","0.426320","0.454070","0.468960","0.417350","9.95M","-6.11%"
"Jun 10, 2021","0.454070","0.492490","0.494230","0.447680","12.52M","-7.80%"
"Jun 09, 2021","0.492490","0.502970","0.511130","0.456430","18.72M","-2.08%"
"Jun 08, 2021","0.502970","0.474680","0.508400","0.419490","17.79M","6.28%"
"Jun 07, 2021","0.473240","0.535450","0.549830","0.468770","10.55M","-11.28%"
"Jun 06, 2021","0.533380","0.518100","0.541120","0.513660","8.06M","2.95%"
"Jun 05, 2021","0.518100","0.549360","0.597670","0.502960","18.01M","-5.69%"
"Jun 04, 2021","0.549360","0.608080","0.609560","0.523100","19.65M","-9.66%"
"Jun 03, 2021","0.608080","0.597620","0.648170","0.575030","35.04M","1.75%"
"Jun 02, 2021","0.597620","0.628630","0.635110","0.583120","29.63M","-4.93%"
"Jun 01, 2021","0.628630","0.561850","0.652250","0.543670","80.40M","11.89%"
"May 31, 2021","0.561850","0.455910","0.561850","0.427730","30.64M","23.24%"
"May 30, 2021","0.455910","0.449110","0.472380","0.418430","24.88M","1.51%"
"May 29, 2021","0.449110","0.515110","0.536630","0.430060","30.94M","-12.81%"
"May 28, 2021","0.515110","0.596650","0.611020","0.498370","25.86M","-13.67%"
"May 27, 2021","0.596650","0.589900","0.683840","0.529120","46.28M","1.14%"
"May 26, 2021","0.589900","0.478770","0.589900","0.468180","19.95M","23.21%"
"May 25, 2021","0.478770","0.477850","0.505240","0.434770","16.40M","0.19%"
"May 24, 2021","0.477850","0.365260","0.484490","0.363880","24.75M","30.82%"
"May 23, 2021","0.365260","0.415750","0.431930","0.287560","38.87M","-12.14%"
"May 22, 2021","0.415750","0.462610","0.469660","0.402320","20.16M","-10.13%"
"May 21, 2021","0.462610","0.552120","0.591770","0.396910","21.61M","-16.21%"
"May 20, 2021","0.552120","0.464330","0.570750","0.410020","31.85M","18.91%"
"May 19, 2021","0.464330","0.750750","0.762900","0.359940","65.57M","-38.15%"
"May 18, 2021","0.750750","0.718130","0.783520","0.713590","13.31M","4.54%"
"May 17, 2021","0.718130","0.775820","0.775820","0.698230","19.16M","-7.44%"
"May 16, 2021","0.775820","0.774530","0.831010","0.722830","17.63M","0.35%"
"May 15, 2021","0.773130","0.853790","0.863010","0.763760","23.50M","-9.45%"
"May 14, 2021","0.853790","0.822240","0.866970","0.801140","20.78M","3.84%"
"May 13, 2021","0.822240","0.795170","0.872670","0.761020","33.64M","3.40%"
"May 12, 2021","0.795170","0.926540","0.964440","0.795170","24.27M","-14.18%"
"May 11, 2021","0.926540","0.861040","0.934900","0.835670","22.37M","7.61%"
"May 10, 2021","0.861040","0.971810","0.997500","0.812700","27.48M","-11.40%"
"May 09, 2021","0.971810","1.009990","1.021310","0.942780","19.93M","-3.78%"
"May 08, 2021","1.009990","1.014540","1.062600","0.988290","33.70M","-0.45%"
"May 07, 2021","1.014540","0.972170","1.089310","0.937180","50.02M","4.36%"
"May 06, 2021","0.972170","0.975300","1.020000","0.939210","30.64M","-0.32%"
"May 05, 2021","0.975300","0.901410","0.978800","0.901410","22.23M","8.20%"
"May 04, 2021","0.901410","0.982510","0.984720","0.898410","28.81M","-8.25%"
"May 03, 2021","0.982510","0.963300","1.034980","0.963300","27.90M","1.99%"
"May 02, 2021","0.963300","0.981380","0.998980","0.924470","19.23M","-1.84%"
"May 01, 2021","0.981380","0.975340","1.023340","0.948410","28.56M","0.62%"
"Apr 30, 2021","0.975340","0.842910","0.977120","0.827990","36.47M","15.71%"
"Apr 29, 2021","0.842910","0.854880","0.890740","0.814460","17.83M","-1.40%"
"Apr 28, 2021","0.854880","0.904350","0.910170","0.816730","18.77M","-5.47%"
"Apr 27, 2021","0.904350","0.854090","0.906590","0.833610","19.75M","5.88%"
"Apr 26, 2021","0.854090","0.743920","0.858490","0.736490","17.21M","14.81%"
"Apr 25, 2021","0.743920","0.754400","0.807830","0.703010","15.07M","-1.39%"
"Apr 24, 2021","0.754400","0.821040","0.822360","0.748810","17.30M","-8.12%"
"Apr 23, 2021","0.821040","0.806270","0.831040","0.692410","34.55M","1.83%"
"Apr 22, 2021","0.806270","0.843410","0.913200","0.778860","27.67M","-4.40%"
"Apr 21, 2021","0.843410","0.881450","0.914680","0.836270","21.56M","-4.32%"
"Apr 20, 2021","0.881450","0.872040","0.900580","0.787530","26.10M","1.31%"
"Apr 19, 2021","0.870020","0.959760","0.981250","0.842420","28.20M","-9.35%"
"Apr 18, 2021","0.959760","1.093000","1.105700","0.672660","67.52M","-12.18%"
"Apr 17, 2021","1.092840","1.154520","1.229390","1.087450","38.48M","-5.34%"
"Apr 16, 2021","1.154520","1.099610","1.216000","1.023080","65.26M","4.99%"
"Apr 15, 2021","1.099610","1.022960","1.139950","1.018000","45.36M","7.45%"
"Apr 14, 2021","1.023390","1.019570","1.062920","0.986770","29.23M","0.37%"
"Apr 13, 2021","1.019570","1.026200","1.044630","0.998710","16.67M","-0.65%"
"Apr 12, 2021","1.026200","1.045350","1.069830","1.004440","20.72M","-1.83%"
"Apr 11, 2021","1.045350","1.067300","1.091470","1.040780","18.93M","-2.06%"
"Apr 10, 2021","1.067300","1.047300","1.118900","1.037530","33.34M","2.00%"
"Apr 09, 2021","1.046400","1.029890","1.081110","1.014960","25.29M","1.60%"
"Apr 08, 2021","1.029890","0.984250","1.047310","0.980900","18.93M","4.64%"
"Apr 07, 2021","0.984250","1.078790","1.091780","0.934990","36.01M","-8.76%"
"Apr 06, 2021","1.078790","1.039040","1.188030","1.025970","60.14M","3.83%"
"Apr 05, 2021","1.039040","1.079500","1.086200","1.007800","27.08M","-3.82%"
"Apr 04, 2021","1.080300","1.009640","1.103320","0.981180","22.75M","7.00%"
"Apr 03, 2021","1.009640","1.103360","1.124820","1.007230","24.38M","-8.49%"
"Apr 02, 2021","1.103360","1.046660","1.134950","1.037110","28.85M","5.42%"
"Apr 01, 2021","1.046660","1.025680","1.085650","1.015910","22.97M","2.05%"
"Mar 31, 2021","1.025680","1.068920","1.079280","0.971950","27.01M","-4.05%"
"Mar 30, 2021","1.068920","1.085730","1.123140","1.056030","21.10M","-1.55%"
"Mar 29, 2021","1.085730","1.013400","1.099990","0.993210","27.50M","7.42%"
"Mar 28, 2021","1.010770","0.969610","1.057010","0.963190","28.04M","4.25%"
"Mar 27, 2021","0.969610","0.956460","1.020300","0.896850","21.76M","1.37%"
"Mar 26, 2021","0.956460","0.848990","0.968760","0.848990","15.27M","12.66%"
"Mar 25, 2021","0.848990","0.877380","0.888510","0.806000","26.23M","-3.24%"
"Mar 24, 2021","0.877380","0.960000","1.019540","0.845000","16.87M","-8.61%"
"Mar 23, 2021","0.960000","0.998130","1.028140","0.955170","11.82M","-3.82%"
"Mar 22, 2021","0.998130","1.067180","1.113570","0.988980","17.61M","-6.47%"
"Mar 21, 2021","1.067180","1.070770","1.088950","1.034670","9.10M","-0.34%"
"Mar 20, 2021","1.070770","1.105510","1.153410","1.070360","11.97M","-3.14%"
"Mar 19, 2021","1.105510","1.096660","1.145000","1.055470","12.23M","0.81%"
"Mar 18, 2021","1.096660","1.102360","1.186000","1.085690","18.57M","-0.52%"
"Mar 17, 2021","1.102360","1.097560","1.111900","1.024940","14.06M","0.51%"
"Mar 16, 2021","1.096810","1.084900","1.126410","1.013690","15.65M","1.10%"
"Mar 15, 2021","1.084900","1.103840","1.148330","1.027210","17.37M","-1.72%"
"Mar 14, 2021","1.103840","1.197680","1.203400","1.103840","13.01M","-8.12%"
"Mar 13, 2021","1.201330","1.155880","1.225310","1.109370","13.33M","3.65%"
"Mar 12, 2021","1.159030","1.250050","1.258120","1.112000","19.79M","-7.28%"
"Mar 11, 2021","1.250050","1.238610","1.318570","1.207250","21.02M","0.92%"
"Mar 10, 2021","1.238610","1.339010","1.363930","1.201790","29.18M","-7.50%"
"Mar 09, 2021","1.339010","1.205260","1.379320","1.181060","38.52M","11.10%"
"Mar 08, 2021","1.205260","1.174130","1.273960","1.132540","37.59M","2.65%"
"Mar 07, 2021","1.174130","1.070280","1.198940","1.054930","21.98M","9.70%"
"Mar 06, 2021","1.070280","1.047000","1.093880","1.018870","9.39M","2.02%"
"Mar 05, 2021","1.049130","1.044050","1.088310","0.974670","16.54M","0.49%"
"Mar 04, 2021","1.044050","1.121770","1.151520","1.017150","18.93M","-6.93%"
"Mar 03, 2021","1.121770","1.102000","1.163130","1.080580","18.31M","1.79%"
"Mar 02, 2021","1.102000","1.155000","1.179000","1.040560","23.66M","-4.59%"
"Mar 01, 2021","1.155000","1.043030","1.193460","1.027720","27.27M","10.74%"
"Feb 28, 2021","1.043030","1.072440","1.077410","0.894470","27.29M","-2.74%"
"Feb 27, 2021","1.072440","1.015810","1.140000","1.015810","26.20M","5.57%"
