"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","3.2658","3.5440","3.5440","3.1887","2.38M","-7.72%"
"Jun 30, 2021","3.5389","3.2501","3.5536","3.1797","2.89M","9.63%"
"Jun 29, 2021","3.2281","3.0609","3.3724","3.0609","3.07M","5.87%"
"Jun 28, 2021","3.0490","2.8679","3.0625","2.8100","2.08M","6.84%"
"Jun 27, 2021","2.8537","2.6878","2.8537","2.6682","1.57M","6.08%"
"Jun 26, 2021","2.6901","2.6789","2.7283","2.5503","1.75M","0.13%"
"Jun 25, 2021","2.6866","2.9882","3.0148","2.6866","2.20M","-9.92%"
"Jun 24, 2021","2.9824","2.8878","3.0184","2.7682","2.14M","3.39%"
"Jun 23, 2021","2.8846","2.7309","3.0146","2.7309","3.26M","5.72%"
"Jun 22, 2021","2.7285","2.9312","3.0464","2.5705","4.75M","-7.26%"
"Jun 21, 2021","2.9421","3.7686","3.7686","2.9295","3.63M","-21.74%"
"Jun 20, 2021","3.7596","3.7213","3.7748","3.5311","1.27M","0.96%"
"Jun 19, 2021","3.7237","3.8239","3.8735","3.7054","1.22M","-2.52%"
"Jun 18, 2021","3.8199","4.0615","4.0615","3.7233","2.19M","-6.12%"
"Jun 17, 2021","4.0689","4.1168","4.2746","4.0248","1.65M","-1.41%"
"Jun 16, 2021","4.1269","4.3522","4.4866","4.1173","3.52M","-4.99%"
"Jun 15, 2021","4.3437","4.2466","4.3592","4.1318","2.97M","2.67%"
"Jun 14, 2021","4.2306","3.9689","4.2416","3.9300","2.38M","6.66%"
"Jun 13, 2021","3.9665","3.6664","3.9914","3.6221","1.91M","8.37%"
"Jun 12, 2021","3.6603","3.8397","3.8397","3.5221","3.10M","-5.14%"
"Jun 11, 2021","3.8588","4.2052","4.2227","3.8588","2.58M","-7.90%"
"Jun 10, 2021","4.1898","4.4962","4.5290","4.1898","2.43M","-6.95%"
"Jun 09, 2021","4.5027","4.2644","4.5027","4.0818","4.26M","5.34%"
"Jun 08, 2021","4.2745","4.4621","4.4621","3.9748","4.91M","-4.11%"
"Jun 07, 2021","4.4579","4.8008","5.2382","4.4579","5.15M","-7.09%"
"Jun 06, 2021","4.7982","4.5946","4.7982","4.5946","1.61M","4.36%"
"Jun 05, 2021","4.5976","4.7316","5.0812","4.5525","2.89M","-2.51%"
"Jun 04, 2021","4.7160","5.2782","5.2782","4.6277","4.29M","-10.87%"
"Jun 03, 2021","5.2911","4.8822","5.2911","4.7939","4.04M","8.09%"
"Jun 02, 2021","4.8950","4.5989","5.0763","4.4693","3.38M","6.66%"
"Jun 01, 2021","4.5895","4.7474","4.7963","4.4659","2.51M","-3.87%"
"May 31, 2021","4.7744","4.2681","4.7744","4.1108","3.20M","10.74%"
"May 30, 2021","4.3114","4.0554","4.4140","3.8722","2.56M","6.09%"
"May 29, 2021","4.0639","4.3331","4.5154","3.8950","3.03M","-6.45%"
"May 28, 2021","4.3443","5.0432","5.0432","4.2065","5.15M","-14.14%"
"May 27, 2021","5.0597","5.4673","5.4673","4.9266","4.67M","-7.61%"
"May 26, 2021","5.4764","4.6271","5.4764","4.6269","8.65M","18.78%"
"May 25, 2021","4.6107","4.7306","4.7355","4.2477","6.46M","-2.43%"
"May 24, 2021","4.7257","3.8474","4.7257","3.7761","8.14M","23.40%"
"May 23, 2021","3.8297","4.8126","4.8284","3.2253","11.00M","-20.27%"
"May 22, 2021","4.8033","5.5200","5.5200","4.7184","5.16M","-13.49%"
"May 21, 2021","5.5521","6.5305","6.9446","5.0941","10.08M","-14.71%"
"May 20, 2021","6.5098","5.5245","6.5804","4.9839","11.37M","19.95%"
"May 19, 2021","5.4273","9.6633","9.6633","5.4273","13.05M","-43.38%"
"May 18, 2021","9.5863","9.2229","10.0087","9.1229","10.37M","3.92%"
"May 17, 2021","9.2243","9.8251","10.8387","9.1831","16.29M","-4.98%"
"May 16, 2021","9.7081","7.9053","10.0082","7.9053","16.32M","23.14%"
"May 15, 2021","7.8840","8.7475","8.8155","7.8783","3.47M","-9.89%"
"May 14, 2021","8.7496","8.2422","9.0533","8.2057","3.08M","5.80%"
"May 13, 2021","8.2703","8.4287","9.0314","7.8841","6.45M","-0.50%"
"May 12, 2021","8.3117","9.7349","10.1036","8.3117","4.21M","-14.72%"
"May 11, 2021","9.7466","9.1232","9.7466","8.8620","2.99M","6.44%"
"May 10, 2021","9.1572","10.2784","10.4760","9.1251","3.35M","-11.10%"
"May 09, 2021","10.3010","10.8160","10.8160","9.9836","2.73M","-4.49%"
"May 08, 2021","10.7847","10.1105","10.9793","10.0270","4.56M","6.29%"
"May 07, 2021","10.1466","10.3380","10.7336","9.6135","4.11M","-1.74%"
"May 06, 2021","10.3259","11.1684","11.1684","10.2757","4.14M","-7.39%"
"May 05, 2021","11.1503","10.5037","11.3030","10.5037","5.39M","6.77%"
"May 04, 2021","10.4434","11.7032","12.0780","10.4434","11.26M","-10.81%"
"May 03, 2021","11.7097","10.7427","12.4528","10.7427","11.09M","9.44%"
"May 02, 2021","10.6992","10.5830","10.9133","9.9434","7.90M","1.53%"
"May 01, 2021","10.5381","9.5530","10.5381","9.2281","8.09M","9.94%"
"Apr 30, 2021","9.5857","9.1782","9.7230","9.1289","6.51M","3.85%"
"Apr 29, 2021","9.2300","9.6198","9.6198","8.7601","8.14M","-4.37%"
"Apr 28, 2021","9.6515","10.3210","10.3210","9.3763","11.82M","-6.90%"
"Apr 27, 2021","10.3667","10.3696","10.9773","9.8839","22.58M","8.60%"
"Apr 26, 2021","9.5459","7.4898","10.0700","7.4898","43.71M","28.11%"
"Apr 25, 2021","7.4511","5.8174","7.4511","5.8174","17.92M","29.22%"
"Apr 24, 2021","5.7660","5.7849","6.0132","5.1400","8.42M","-0.36%"
"Apr 23, 2021","5.7866","6.5034","6.5034","5.2505","10.79M","-11.24%"
"Apr 22, 2021","6.5195","6.0004","7.1056","6.0004","14.01M","9.94%"
"Apr 21, 2021","5.9301","5.9505","6.4098","5.8724","6.99M","-0.21%"
"Apr 20, 2021","5.9424","5.8168","5.9948","5.3929","8.04M","3.17%"
"Apr 19, 2021","5.7596","6.2531","6.3573","5.7470","9.54M","-7.74%"
