"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.013082","0.013297","0.013380","0.012362","623.66M","-1.62%"
"Jun 30, 2021","0.013297","0.012840","0.013297","0.011846","658.23M","3.56%"
"Jun 29, 2021","0.012840","0.012054","0.013071","0.012027","832.79M","6.52%"
"Jun 28, 2021","0.012054","0.011224","0.012391","0.011139","922.73M","7.40%"
"Jun 27, 2021","0.011224","0.010923","0.011283","0.010432","447.19M","2.76%"
"Jun 26, 2021","0.010923","0.010666","0.011172","0.010066","652.96M","2.41%"
"Jun 25, 2021","0.010666","0.011582","0.012159","0.010533","1.62B","-7.73%"
"Jun 24, 2021","0.011559","0.010426","0.011947","0.009894","899.08M","10.87%"
"Jun 23, 2021","0.010426","0.009357","0.010675","0.008957","879.59M","11.43%"
"Jun 22, 2021","0.009357","0.009884","0.010796","0.007686","1.78B","-5.33%"
"Jun 21, 2021","0.009884","0.013245","0.013415","0.009789","1.32B","-25.38%"
"Jun 20, 2021","0.013245","0.013360","0.013580","0.012190","736.36M","-0.86%"
"Jun 19, 2021","0.013360","0.014087","0.014390","0.013316","555.74M","-5.16%"
"Jun 18, 2021","0.014087","0.014963","0.015495","0.013693","854.63M","-5.70%"
"Jun 17, 2021","0.014938","0.015188","0.015561","0.014604","406.34M","-1.65%"
"Jun 16, 2021","0.015188","0.016002","0.016027","0.014940","430.63M","-5.01%"
"Jun 15, 2021","0.015990","0.016129","0.016454","0.015599","529.76M","-0.83%"
"Jun 14, 2021","0.016123","0.015662","0.016320","0.015510","678.38M","2.94%"
"Jun 13, 2021","0.015662","0.014967","0.015878","0.014684","545.95M","4.64%"
"Jun 12, 2021","0.014967","0.015442","0.015442","0.013931","719.97M","-2.96%"
"Jun 11, 2021","0.015423","0.016357","0.016999","0.015183","592.90M","-5.71%"
"Jun 10, 2021","0.016357","0.016774","0.017570","0.015781","996.08M","-2.49%"
"Jun 09, 2021","0.016774","0.016071","0.016880","0.015169","689.27M","4.37%"
"Jun 08, 2021","0.016071","0.016483","0.016801","0.014367","1.07B","-2.07%"
"Jun 07, 2021","0.016410","0.018770","0.019160","0.016300","888.03M","-12.57%"
"Jun 06, 2021","0.018770","0.018183","0.019289","0.017951","834.66M","3.23%"
"Jun 05, 2021","0.018183","0.018519","0.020415","0.017601","1.69B","-1.81%"
"Jun 04, 2021","0.018519","0.018819","0.019629","0.016328","1.39B","-1.59%"
"Jun 03, 2021","0.018819","0.017601","0.018819","0.017321","687.55M","6.91%"
"Jun 02, 2021","0.017603","0.017127","0.017852","0.016799","558.19M","2.78%"
"Jun 01, 2021","0.017127","0.017883","0.018118","0.016641","543.78M","-4.23%"
"May 31, 2021","0.017883","0.017069","0.017923","0.015945","725.79M","4.77%"
"May 30, 2021","0.017069","0.016266","0.017627","0.015430","711.61M","5.16%"
"May 29, 2021","0.016231","0.016685","0.017442","0.015202","845.23M","-2.72%"
"May 28, 2021","0.016685","0.018986","0.019409","0.016006","1.20B","-12.12%"
"May 27, 2021","0.018986","0.020456","0.020456","0.018250","923.91M","-7.18%"
"May 26, 2021","0.020456","0.017629","0.020841","0.017629","2.14B","16.51%"
"May 25, 2021","0.017557","0.017788","0.018461","0.015928","1.47B","-1.30%"
"May 24, 2021","0.017788","0.014969","0.018145","0.014183","1.54B","18.71%"
"May 23, 2021","0.014984","0.018977","0.019006","0.012008","1.83B","-21.04%"
"May 22, 2021","0.018977","0.019053","0.019697","0.016909","1.23B","-0.40%"
"May 21, 2021","0.019053","0.020331","0.022336","0.015270","1.69B","-6.56%"
"May 20, 2021","0.020390","0.017126","0.021207","0.015243","1.50B","19.06%"
"May 19, 2021","0.017126","0.026950","0.027647","0.012422","2.76B","-36.45%"
"May 18, 2021","0.026950","0.026056","0.028491","0.025776","839.41M","3.52%"
"May 17, 2021","0.026034","0.028936","0.028936","0.024500","1.02B","-10.03%"
"May 16, 2021","0.028936","0.029146","0.032055","0.026675","813.26M","-0.72%"
"May 15, 2021","0.029146","0.032289","0.032708","0.028429","712.83M","-9.74%"
"May 14, 2021","0.032289","0.030502","0.033477","0.030342","785.83M","5.83%"
"May 13, 2021","0.030509","0.029294","0.032795","0.027601","1.60B","4.15%"
"May 12, 2021","0.029294","0.037242","0.038553","0.029294","1.05B","-21.34%"
"May 11, 2021","0.037242","0.034515","0.037782","0.033058","1.18B","7.90%"
"May 10, 2021","0.034515","0.039375","0.040069","0.032256","1.50B","-12.34%"
"May 09, 2021","0.039375","0.040295","0.041032","0.037384","1.21B","-2.28%"
"May 08, 2021","0.040295","0.042418","0.042841","0.039573","1.08B","-5.00%"
"May 07, 2021","0.042418","0.041230","0.044672","0.038892","2.01B","2.88%"
"May 06, 2021","0.041230","0.041170","0.044079","0.038852","2.18B","0.15%"
"May 05, 2021","0.041170","0.037561","0.044687","0.035860","3.52B","9.61%"
"May 04, 2021","0.037561","0.040591","0.040666","0.036070","1.80B","-7.46%"
"May 03, 2021","0.040591","0.041412","0.042770","0.040067","1.16B","-1.98%"
"May 02, 2021","0.041412","0.039957","0.042900","0.039278","1.94B","3.64%"
"May 01, 2021","0.039957","0.040792","0.041147","0.038649","1.14B","-2.21%"
"Apr 30, 2021","0.040860","0.037749","0.040934","0.036850","1.19B","8.33%"
"Apr 29, 2021","0.037717","0.039264","0.039400","0.036141","1.21B","-3.94%"
"Apr 28, 2021","0.039264","0.041098","0.043010","0.035958","1.95B","-4.46%"
"Apr 27, 2021","0.041098","0.036779","0.041837","0.035838","2.71B","11.74%"
"Apr 26, 2021","0.036779","0.030534","0.036960","0.030054","2.31B","20.45%"
"Apr 25, 2021","0.030534","0.031266","0.034298","0.027700","1.88B","-2.34%"
"Apr 24, 2021","0.031266","0.034430","0.035235","0.030465","2.21B","-9.19%"
"Apr 23, 2021","0.034430","0.034673","0.035105","0.025499","4.24B","-0.70%"
"Apr 22, 2021","0.034673","0.042329","0.042938","0.033479","3.31B","-18.09%"
"Apr 21, 2021","0.042329","0.045046","0.047825","0.041738","3.09B","-6.03%"
"Apr 20, 2021","0.045046","0.043724","0.050141","0.038028","4.35B","3.02%"
"Apr 19, 2021","0.043724","0.047927","0.049565","0.040145","3.56B","-8.11%"
"Apr 18, 2021","0.047581","0.053037","0.056101","0.038553","6.55B","-10.29%"
"Apr 17, 2021","0.053037","0.042766","0.063536","0.042766","15.82B","24.02%"
"Apr 16, 2021","0.042766","0.033167","0.044856","0.030472","7.89B","28.86%"
"Apr 15, 2021","0.033188","0.033345","0.034307","0.030331","2.25B","-0.47%"
"Apr 14, 2021","0.033345","0.028081","0.036721","0.026900","7.00B","18.74%"
"Apr 13, 2021","0.028081","0.026327","0.028381","0.024920","1.66B","6.70%"
"Apr 12, 2021","0.026317","0.027623","0.027694","0.026085","1.01B","-4.73%"
"Apr 11, 2021","0.027623","0.028001","0.028234","0.026180","1.39B","-1.35%"
"Apr 10, 2021","0.028001","0.029928","0.029969","0.027066","1.25B","-6.44%"
