"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.7722","0.7913","0.7913","0.7366","3.69M","-2.28%"
"Jun 30, 2021","0.7902","0.7534","0.7928","0.7297","4.74M","5.21%"
"Jun 29, 2021","0.7511","0.7089","0.7511","0.7028","3.59M","5.89%"
"Jun 28, 2021","0.7093","0.6890","0.7093","0.6726","5.89M","3.26%"
"Jun 27, 2021","0.6869","0.6476","0.6869","0.6346","7.23M","6.27%"
"Jun 26, 2021","0.6464","0.6449","0.6531","0.6051","6.59M","0.97%"
"Jun 25, 2021","0.6402","0.7515","0.7515","0.6402","9.36M","-11.51%"
"Jun 24, 2021","0.7235","0.6484","0.7235","0.6112","9.19M","11.89%"
"Jun 23, 2021","0.6466","0.6047","0.6516","0.6047","5.60M","7.50%"
"Jun 22, 2021","0.6015","0.5869","0.6431","0.5336","13.24M","2.38%"
"Jun 21, 2021","0.5875","0.7957","0.7957","0.5875","11.25M","-26.17%"
"Jun 20, 2021","0.7958","0.8154","0.8243","0.7619","4.12M","-2.40%"
"Jun 19, 2021","0.8154","0.8288","0.8356","0.8026","2.31M","-1.40%"
"Jun 18, 2021","0.8270","0.8953","0.8953","0.8083","5.42M","-7.92%"
"Jun 17, 2021","0.8981","0.9539","0.9539","0.8838","2.99M","-3.39%"
"Jun 16, 2021","0.9296","0.9559","1.0148","0.8974","9.43M","4.50%"
"Jun 15, 2021","0.8896","0.8966","0.8986","0.8746","3.42M","-0.75%"
"Jun 14, 2021","0.8963","0.8932","0.9015","0.8665","5.19M","-0.06%"
"Jun 13, 2021","0.8968","0.8380","0.8968","0.8268","4.22M","7.03%"
"Jun 12, 2021","0.8379","0.8843","0.8843","0.8182","4.15M","-5.48%"
"Jun 11, 2021","0.8865","0.9154","0.9844","0.8865","5.64M","-2.90%"
"Jun 10, 2021","0.9130","0.9324","0.9355","0.9024","5.24M","-1.80%"
"Jun 09, 2021","0.9297","0.9094","0.9297","0.8641","6.58M","2.18%"
"Jun 08, 2021","0.9099","0.9263","0.9298","0.8557","6.89M","-1.70%"
"Jun 07, 2021","0.9256","1.0000","1.0347","0.9256","5.01M","-7.22%"
"Jun 06, 2021","0.9976","0.9652","1.0183","0.9652","4.60M","2.92%"
"Jun 05, 2021","0.9693","1.0270","1.0422","0.9639","5.16M","-5.47%"
"Jun 04, 2021","1.0254","1.0496","1.0612","0.9840","7.71M","-2.27%"
"Jun 03, 2021","1.0492","1.0049","1.0492","1.0012","4.64M","4.18%"
"Jun 02, 2021","1.0071","0.9738","1.0217","0.9738","5.59M","3.56%"
"Jun 01, 2021","0.9725","0.9951","0.9951","0.9593","5.07M","-2.75%"
"May 31, 2021","1.0000","0.9583","1.0000","0.9353","6.39M","3.76%"
"May 30, 2021","0.9638","0.9655","0.9859","0.9199","11.48M","-0.55%"
"May 29, 2021","0.9691","0.9654","1.0294","0.9215","8.54M","0.57%"
"May 28, 2021","0.9636","1.1121","1.1121","0.9380","7.73M","-13.25%"
"May 27, 2021","1.1108","1.0796","1.1897","1.0796","13.02M","2.85%"
"May 26, 2021","1.0800","1.0141","1.0800","1.0080","5.43M","6.72%"
"May 25, 2021","1.0120","1.0703","1.0703","0.9623","11.16M","-5.46%"
"May 24, 2021","1.0705","1.1773","1.2821","1.0072","23.65M","17.25%"
"May 23, 2021","0.9130","0.9865","0.9865","0.7777","7.03M","-7.47%"
"May 22, 2021","0.9867","1.0255","1.0314","0.9108","6.77M","-1.86%"
"May 21, 2021","1.0054","1.0725","1.2151","0.9489","11.37M","-6.15%"
"May 20, 2021","1.0713","0.9136","1.0713","0.8429","7.39M","16.98%"
"May 19, 2021","0.9158","1.3889","1.3889","0.8427","12.86M","-34.12%"
"May 18, 2021","1.3900","1.3621","1.4475","1.3407","6.56M","2.41%"
"May 17, 2021","1.3573","1.5245","1.5245","1.3158","6.85M","-10.94%"
"May 16, 2021","1.5241","1.5691","1.6476","1.4465","4.58M","-2.92%"
"May 15, 2021","1.5699","1.6771","1.6776","1.5699","4.12M","-6.21%"
"May 14, 2021","1.6739","1.5888","1.6917","1.5888","3.35M","5.20%"
"May 13, 2021","1.5911","1.6440","1.6945","1.5450","6.17M","-2.49%"
"May 12, 2021","1.6317","1.8887","1.9237","1.6317","6.05M","-13.49%"
