"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.79609","0.84309","0.84395","0.75285","3.52M","-5.54%"
"Jun 30, 2021","0.84278","0.88510","0.88679","0.77107","8.64M","-3.95%"
"Jun 29, 2021","0.87740","0.71098","0.93212","0.70078","27.97M","23.61%"
"Jun 28, 2021","0.70984","0.65588","0.70984","0.65084","4.56M","8.32%"
"Jun 27, 2021","0.65531","0.62903","0.65531","0.60711","4.18M","4.20%"
"Jun 26, 2021","0.62889","0.61223","0.64012","0.58173","4.93M","2.66%"
"Jun 25, 2021","0.61257","0.68038","0.69436","0.60352","5.24M","-9.94%"
"Jun 24, 2021","0.68021","0.65980","0.68819","0.61332","5.44M","3.09%"
"Jun 23, 2021","0.65980","0.57578","0.68975","0.55441","9.04M","14.59%"
"Jun 22, 2021","0.57578","0.62317","0.66826","0.50589","9.73M","-7.60%"
"Jun 21, 2021","0.62317","0.82246","0.82994","0.62122","7.23M","-24.20%"
"Jun 20, 2021","0.82216","0.82636","0.86425","0.77569","4.56M","-0.50%"
"Jun 19, 2021","0.82630","0.83186","0.88598","0.80475","4.44M","-0.67%"
"Jun 18, 2021","0.83186","0.89226","0.89603","0.80220","3.59M","-6.77%"
"Jun 17, 2021","0.89226","0.90557","0.93359","0.87448","3.06M","-1.47%"
"Jun 16, 2021","0.90557","0.96921","0.96921","0.89416","3.15M","-6.57%"
"Jun 15, 2021","0.96921","0.96881","1.01491","0.93432","4.33M","0.04%"
"Jun 14, 2021","0.96881","0.94852","0.97678","0.92002","3.26M","2.14%"
"Jun 13, 2021","0.94852","0.89333","0.96139","0.87434","4.11M","6.24%"
"Jun 12, 2021","0.89281","0.93761","0.94688","0.85150","3.90M","-4.78%"
"Jun 11, 2021","0.93761","0.98386","1.06996","0.92725","6.84M","-4.70%"
"Jun 10, 2021","0.98386","1.02080","1.05312","0.95065","5.30M","-3.62%"
"Jun 09, 2021","1.02080","1.00197","1.03737","0.94508","11.63M","1.89%"
"Jun 08, 2021","1.00187","1.02860","1.05414","0.91026","6.63M","-2.60%"
"Jun 07, 2021","1.02860","1.15561","1.16953","1.01855","6.74M","-10.99%"
"Jun 06, 2021","1.15561","1.06267","1.19204","1.06267","13.88M","8.79%"
"Jun 05, 2021","1.06220","1.11119","1.17585","1.01883","6.05M","-4.38%"
"Jun 04, 2021","1.11080","1.21685","1.22055","1.04669","9.08M","-8.68%"
"Jun 03, 2021","1.21633","1.19349","1.29653","1.14616","10.42M","1.91%"
"Jun 02, 2021","1.19349","1.05819","1.25271","1.04992","13.77M","12.79%"
"Jun 01, 2021","1.05817","1.09350","1.09834","1.02787","8.92M","-3.30%"
"May 31, 2021","1.09427","1.01508","1.13779","0.96359","5.01M","7.69%"
"May 30, 2021","1.01611","1.01396","1.06059","0.95205","6.17M","0.27%"
"May 29, 2021","1.01332","1.05792","1.10759","0.93542","5.41M","-4.22%"
"May 28, 2021","1.05792","1.20264","1.20591","0.99779","6.43M","-11.95%"
"May 27, 2021","1.20153","1.28386","1.28386","1.11651","7.70M","-6.46%"
"May 26, 2021","1.28456","1.10177","1.28474","1.07266","10.06M","16.71%"
"May 25, 2021","1.10066","1.09067","1.13797","0.96069","10.08M","0.83%"
"May 24, 2021","1.09158","0.90385","1.10764","0.87281","15.38M","20.77%"
"May 23, 2021","0.90385","1.03298","1.31669","0.76961","54.61M","-12.29%"
"May 22, 2021","1.03054","1.11401","1.14927","0.98703","10.71M","-7.49%"
"May 21, 2021","1.11401","1.19794","1.48042","0.94079","28.96M","-6.78%"
"May 20, 2021","1.19497","0.96991","1.20122","0.86581","22.61M","23.07%"
"May 19, 2021","0.97096","1.54009","1.57014","0.69300","35.48M","-36.95%"
"May 18, 2021","1.54009","1.49931","1.60522","1.48174","8.71M","2.97%"
"May 17, 2021","1.49573","1.58886","1.59035","1.39761","10.31M","-5.86%"
"May 16, 2021","1.58886","1.62635","1.81541","1.48956","10.80M","-2.38%"
"May 15, 2021","1.62757","1.80146","1.82791","1.62156","7.46M","-9.67%"
"May 14, 2021","1.80171","1.69799","1.88094","1.68152","9.02M","6.11%"
"May 13, 2021","1.69799","1.67903","1.83229","1.54599","16.10M","1.59%"
"May 12, 2021","1.67138","1.98849","2.12888","1.63507","14.90M","-15.92%"
"May 11, 2021","1.98787","1.85845","2.07024","1.80250","12.91M","6.96%"
"May 10, 2021","1.85860","2.15859","2.22482","1.78604","16.17M","-13.85%"
"May 09, 2021","2.15738","2.22973","2.31027","2.09582","19.25M","-3.24%"
"May 08, 2021","2.22973","2.23294","2.72090","2.19864","49.67M","0.01%"
"May 07, 2021","2.22959","1.90191","2.54234","1.80412","37.61M","17.23%"
"May 06, 2021","1.90191","1.99193","2.02679","1.82172","11.54M","-4.52%"
"May 05, 2021","1.99193","1.82713","1.99553","1.81387","8.80M","8.98%"
"May 04, 2021","1.82785","2.07660","2.07912","1.82234","12.28M","-11.98%"
"May 03, 2021","2.07655","2.08419","2.17927","2.05015","10.35M","-0.37%"
"May 02, 2021","2.08419","2.18576","2.19342","1.99430","10.51M","-4.65%"
"May 01, 2021","2.18576","2.07064","2.22431","2.00060","12.30M","5.56%"
"Apr 30, 2021","2.07060","1.94261","2.08926","1.89257","9.86M","6.59%"
"Apr 29, 2021","1.94261","2.01611","2.09844","1.85706","10.99M","-3.75%"
"Apr 28, 2021","2.01826","2.08715","2.24774","1.87215","15.48M","-3.30%"
"Apr 27, 2021","2.08715","1.92884","2.13234","1.90712","13.55M","8.26%"
"Apr 26, 2021","1.92795","1.66602","1.93575","1.63253","12.10M","15.72%"
"Apr 25, 2021","1.66602","1.73512","1.81265","1.55040","26.92M","-3.96%"
"Apr 24, 2021","1.73476","2.00057","2.00057","1.66670","21.15M","-13.29%"
"Apr 23, 2021","2.00057","1.59777","2.18770","1.26499","39.32M","25.21%"
"Apr 22, 2021","1.59776","1.83166","1.88985","1.58618","10.83M","-12.77%"
"Apr 21, 2021","1.83166","1.92283","1.99880","1.82919","10.62M","-4.74%"
"Apr 20, 2021","1.92279","1.85362","1.97836","1.62607","23.30M","3.73%"
"Apr 19, 2021","1.85368","2.03445","2.09915","1.81060","9.80M","-8.89%"
"Apr 18, 2021","2.03445","2.35606","2.38345","1.66164","20.08M","-13.77%"
"Apr 17, 2021","2.35923","2.34174","2.59803","2.31933","19.48M","0.75%"
"Apr 16, 2021","2.34174","2.34288","2.39819","2.16785","16.98M","-0.18%"
"Apr 15, 2021","2.34590","2.28381","2.43905","2.23629","9.78M","2.72%"
"Apr 14, 2021","2.28381","2.45544","2.49612","2.14174","14.10M","-6.99%"
