"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.573199","0.613660","0.628102","0.558066","-","-6.63%"
"Jun 30, 2021","0.613875","0.548636","0.657729","0.545487","-","11.97%"
"Jun 29, 2021","0.548242","0.523276","0.606844","0.515255","-","4.67%"
"Jun 28, 2021","0.523785","0.498089","0.537159","0.483121","-","5.41%"
"Jun 27, 2021","0.496880","0.477361","0.496880","0.455882","-","4.60%"
"Jun 26, 2021","0.475024","0.473310","0.485989","0.446326","-","0.20%"
"Jun 25, 2021","0.474067","0.521137","0.531427","0.441765","-","-9.19%"
"Jun 24, 2021","0.522026","0.533984","0.535618","0.500000","-","-2.31%"
"Jun 23, 2021","0.534343","0.479173","0.547043","0.468024","-","11.51%"
"Jun 22, 2021","0.479180","0.509673","0.539714","0.416935","-","-6.57%"
"Jun 21, 2021","0.512886","0.625757","0.628975","0.501884","-","-18.16%"
"Jun 20, 2021","0.626695","0.605872","0.635247","0.550218","-","3.38%"
"Jun 19, 2021","0.606201","0.625984","0.636693","0.603974","-","-3.08%"
"Jun 18, 2021","0.625492","0.661088","0.662919","0.600141","-","-5.36%"
"Jun 17, 2021","0.660898","0.662519","0.695242","0.650207","-","-0.40%"
"Jun 16, 2021","0.663535","0.708350","0.712757","0.653129","-","-6.28%"
"Jun 15, 2021","0.707998","0.706799","0.723277","0.685347","-","0.08%"
"Jun 14, 2021","0.707455","0.681587","0.715678","0.667832","-","3.78%"
"Jun 13, 2021","0.681712","0.631485","0.695669","0.627833","-","7.98%"
"Jun 12, 2021","0.631308","0.678491","0.679641","0.604824","-","-7.52%"
"Jun 11, 2021","0.682649","0.691149","0.713992","0.671233","-","-0.85%"
"Jun 10, 2021","0.688531","0.717920","0.722862","0.675385","-","-4.02%"
"Jun 09, 2021","0.717351","0.669786","0.723626","0.652294","-","6.93%"
"Jun 08, 2021","0.670850","0.707636","0.717362","0.609537","-","-5.30%"
"Jun 07, 2021","0.708431","0.775751","0.802121","0.703754","-","-8.75%"
"Jun 06, 2021","0.776405","0.762438","0.795240","0.755897","-","1.82%"
"Jun 05, 2021","0.762531","0.786399","0.836858","0.733415","-","-2.92%"
"Jun 04, 2021","0.785451","0.839796","0.841578","0.733883","-","-6.32%"
"Jun 03, 2021","0.838425","0.828705","0.859111","0.814164","-","1.04%"
"Jun 02, 2021","0.829763","0.823605","0.857170","0.798741","-","0.96%"
"Jun 01, 2021","0.821847","0.858262","0.881516","0.799713","-","-4.51%"
"May 31, 2021","0.860634","0.777501","0.880339","0.739473","-","10.75%"
"May 30, 2021","0.777066","0.737297","0.796102","0.699029","-","5.21%"
"May 29, 2021","0.738589","0.785128","0.827058","0.693944","-","-5.90%"
"May 28, 2021","0.784873","0.946387","0.954157","0.723055","-","-17.02%"
"May 27, 2021","0.945832","0.953045","1.104457","0.878096","-","-0.86%"
"May 26, 2021","0.954046","0.964272","1.090927","0.921053","-","-0.88%"
"May 25, 2021","0.962543","0.816299","1.019962","0.756381","-","18.16%"
"May 24, 2021","0.814600","0.589614","0.841512","0.521769","-","37.57%"
"May 23, 2021","0.592128","0.739384","0.760114","0.237508","-","-19.62%"
"May 22, 2021","0.736664","0.806771","0.848664","0.696200","-","-8.88%"
"May 21, 2021","0.808439","0.926471","0.973812","0.662458","-","-12.30%"
"May 20, 2021","0.921780","0.822874","1.001684","0.732737","-","12.30%"
"May 19, 2021","0.820783","1.067811","1.084881","0.491634","-","-23.29%"
"May 18, 2021","1.070047","1.047038","1.183076","1.025384","-","2.55%"
"May 17, 2021","1.043422","1.072528","1.148907","0.909904","-","-2.58%"
"May 16, 2021","1.071029","1.097801","1.146390","1.009263","-","-2.38%"
"May 15, 2021","1.097144","1.143535","1.181095","1.082941","-","-4.38%"
