"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","6.86","7.34","7.34","6.80","799.02K","-6.36%"
"Jun 30, 2021","7.33","7.20","7.33","6.75","967.45K","2.72%"
"Jun 29, 2021","7.13","7.05","7.40","7.05","1.35M","1.94%"
"Jun 28, 2021","7.00","6.43","7.08","6.36","1.19M","9.36%"
"Jun 27, 2021","6.40","5.97","6.40","5.88","940.27K","7.58%"
"Jun 26, 2021","5.95","5.81","5.97","5.67","1.16M","1.95%"
"Jun 25, 2021","5.83","6.62","6.66","5.83","2.03M","-11.72%"
"Jun 24, 2021","6.61","6.65","6.89","6.36","1.31M","-0.74%"
"Jun 23, 2021","6.66","6.34","6.98","6.34","1.21M","5.43%"
"Jun 22, 2021","6.31","6.58","6.88","5.89","2.60M","-3.93%"
"Jun 21, 2021","6.57","8.51","8.51","6.57","2.14M","-22.40%"
"Jun 20, 2021","8.47","8.09","8.60","7.90","1.22M","4.72%"
"Jun 19, 2021","8.09","8.30","8.43","8.09","802.07K","-2.40%"
"Jun 18, 2021","8.28","9.01","9.01","8.11","1.09M","-8.00%"
"Jun 17, 2021","9.00","9.05","9.45","8.83","820.57K","-0.29%"
"Jun 16, 2021","9.03","9.70","9.84","9.01","1.13M","-7.15%"
"Jun 15, 2021","9.73","10.15","10.24","9.69","1.72M","-3.49%"
"Jun 14, 2021","10.08","9.15","10.08","8.79","1.93M","10.31%"
"Jun 13, 2021","9.14","8.45","9.14","8.25","1.32M","8.38%"
"Jun 12, 2021","8.43","8.62","8.63","8.06","1.78M","-2.37%"
"Jun 11, 2021","8.63","9.94","9.94","8.63","5.47M","-12.95%"
"Jun 10, 2021","9.92","10.90","10.90","9.92","924.02K","-8.92%"
"Jun 09, 2021","10.89","10.40","10.89","10.02","1.17M","4.41%"
"Jun 08, 2021","10.43","10.82","10.82","9.78","1.49M","-3.22%"
"Jun 07, 2021","10.78","11.90","12.27","10.78","826.99K","-9.58%"
"Jun 06, 2021","11.92","11.64","12.16","11.64","524.55K","2.30%"
"Jun 05, 2021","11.65","12.24","12.89","11.51","761.46K","-4.61%"
"Jun 04, 2021","12.22","13.58","13.58","11.86","1.02M","-9.84%"
"Jun 03, 2021","13.55","12.79","13.92","12.76","1.21M","5.65%"
"Jun 02, 2021","12.82","12.70","13.28","12.35","668.98K","1.04%"
"Jun 01, 2021","12.69","13.28","13.42","12.41","757.00K","-4.66%"
"May 31, 2021","13.31","11.64","13.31","11.36","1.06M","13.08%"
"May 30, 2021","11.77","10.92","12.34","10.44","848.47K","8.01%"
"May 29, 2021","10.90","11.90","12.47","10.57","968.65K","-8.70%"
"May 28, 2021","11.94","13.27","13.27","11.17","1.36M","-10.35%"
"May 27, 2021","13.32","14.52","14.52","13.06","978.98K","-8.12%"
