"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","6.179","6.778","6.778","6.176","6.02M","-8.47%"
"Jun 30, 2021","6.751","6.611","6.811","6.249","7.65M","2.44%"
"Jun 29, 2021","6.590","6.327","7.004","6.314","8.61M","4.40%"
"Jun 28, 2021","6.312","6.105","6.545","6.042","11.21M","3.66%"
"Jun 27, 2021","6.089","5.408","6.089","5.346","7.31M","12.59%"
"Jun 26, 2021","5.408","5.405","5.593","5.147","8.93M","0.04%"
"Jun 25, 2021","5.406","6.377","6.804","5.406","14.16M","-15.16%"
"Jun 24, 2021","6.372","5.594","6.618","5.303","9.93M","13.99%"
"Jun 23, 2021","5.590","5.280","6.418","5.280","15.75M","5.63%"
"Jun 22, 2021","5.292","6.004","6.461","4.886","23.42M","-11.81%"
"Jun 21, 2021","6.001","8.403","8.403","6.001","16.12M","-28.17%"
"Jun 20, 2021","8.354","7.329","8.354","7.172","7.81M","14.19%"
"Jun 19, 2021","7.316","8.138","8.270","7.316","7.36M","-9.83%"
"Jun 18, 2021","8.114","8.736","8.940","7.691","8.73M","-7.09%"
"Jun 17, 2021","8.733","9.322","9.924","8.651","6.74M","-6.29%"
"Jun 16, 2021","9.319","9.832","10.030","9.105","6.78M","-5.35%"
"Jun 15, 2021","9.846","8.888","10.210","8.883","8.25M","10.94%"
"Jun 14, 2021","8.875","8.383","9.099","8.080","6.92M","6.54%"
"Jun 13, 2021","8.330","7.080","8.330","7.008","6.60M","18.26%"
"Jun 12, 2021","7.044","7.265","7.684","6.803","9.28M","-3.03%"
"Jun 11, 2021","7.264","8.473","8.669","7.206","7.02M","-14.07%"
"Jun 10, 2021","8.453","9.733","9.921","8.453","6.28M","-13.12%"
"Jun 09, 2021","9.729","9.048","9.819","8.269","9.53M","7.16%"
"Jun 08, 2021","9.079","9.098","9.290","8.435","12.12M","-0.36%"
"Jun 07, 2021","9.112","10.796","11.220","9.112","5.73M","-15.62%"
"Jun 06, 2021","10.799","10.619","11.063","10.438","3.26M","1.71%"
"Jun 05, 2021","10.617","11.520","12.144","10.539","5.10M","-8.04%"
"Jun 04, 2021","11.545","13.249","13.262","10.941","7.72M","-12.89%"
"Jun 03, 2021","13.254","12.374","13.380","12.242","4.78M","7.32%"
"Jun 02, 2021","12.350","11.591","12.470","11.369","4.42M","7.18%"
"Jun 01, 2021","11.523","12.613","12.762","11.328","6.33M","-8.81%"
"May 31, 2021","12.636","10.920","12.636","10.375","7.15M","14.76%"
"May 30, 2021","11.011","9.988","11.599","9.473","8.09M","10.32%"
"May 29, 2021","9.981","10.791","11.714","9.439","11.19M","-7.84%"
"May 28, 2021","10.830","14.050","14.135","10.537","13.38M","-23.32%"
"May 27, 2021","14.123","12.738","14.230","12.026","8.69M","10.75%"
"May 26, 2021","12.752","12.710","13.765","12.347","9.31M","0.68%"
"May 25, 2021","12.666","10.166","12.666","10.146","15.23M","24.27%"
"May 24, 2021","10.192","7.776","10.192","7.776","16.91M","30.42%"
"May 23, 2021","7.815","9.410","9.547","6.611","23.94M","-16.83%"
"May 22, 2021","9.396","10.374","10.526","8.645","14.53M","-9.58%"
"May 21, 2021","10.391","13.578","14.185","9.533","15.55M","-23.93%"
