"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.064768","0.068185","0.068275","0.063695","4.36B","-5.01%"
"Jun 30, 2021","0.068185","0.067849","0.068739","0.063908","6.52B","0.59%"
"Jun 29, 2021","0.067788","0.065315","0.069804","0.065242","5.33B","3.82%"
"Jun 28, 2021","0.065295","0.064753","0.066463","0.064241","2.92B","0.86%"
"Jun 27, 2021","0.064737","0.062710","0.064897","0.061031","3.10B","3.23%"
"Jun 26, 2021","0.062714","0.061424","0.062938","0.058912","4.54B","2.05%"
"Jun 25, 2021","0.061455","0.066083","0.068512","0.060156","6.82B","-7.00%"
"Jun 24, 2021","0.066080","0.057981","0.067897","0.057827","8.40B","14.01%"
"Jun 23, 2021","0.057958","0.050948","0.057964","0.049438","6.24B","13.79%"
"Jun 22, 2021","0.050937","0.053501","0.056341","0.046406","9.86B","-4.98%"
"Jun 21, 2021","0.053607","0.067676","0.067990","0.053352","6.54B","-20.76%"
"Jun 20, 2021","0.067651","0.068342","0.068644","0.063316","2.92B","-1.07%"
"Jun 19, 2021","0.068386","0.069501","0.070125","0.068291","2.34B","-1.58%"
"Jun 18, 2021","0.069481","0.073858","0.074728","0.068244","4.37B","-5.91%"
"Jun 17, 2021","0.073848","0.068963","0.073928","0.068278","3.21B","7.10%"
"Jun 16, 2021","0.068951","0.071756","0.072716","0.065533","3.68B","-3.91%"
"Jun 15, 2021","0.071756","0.072027","0.073098","0.070883","2.60B","-0.37%"
"Jun 14, 2021","0.072026","0.071452","0.072733","0.070017","3.13B","0.78%"
"Jun 13, 2021","0.071466","0.068003","0.071849","0.066612","2.80B","5.09%"
"Jun 12, 2021","0.068006","0.069172","0.069181","0.065777","3.35B","-1.65%"
"Jun 11, 2021","0.069147","0.072555","0.073307","0.068505","3.61B","-4.69%"
"Jun 10, 2021","0.072549","0.075335","0.077061","0.071472","5.97B","-3.69%"
"Jun 09, 2021","0.075332","0.072470","0.075339","0.070026","4.72B","3.95%"
"Jun 08, 2021","0.072472","0.071710","0.073174","0.067369","6.59B","1.05%"
"Jun 07, 2021","0.071721","0.077433","0.078573","0.071142","3.70B","-7.37%"
"Jun 06, 2021","0.077430","0.075534","0.077455","0.075369","3.14B","2.49%"
"Jun 05, 2021","0.075546","0.077377","0.081510","0.074263","4.36B","-2.37%"
"Jun 04, 2021","0.077377","0.082215","0.082851","0.073837","6.57B","-5.80%"
"Jun 03, 2021","0.082145","0.078038","0.082461","0.077187","5.01B","5.26%"
"Jun 02, 2021","0.078039","0.076095","0.079538","0.074175","5.15B","2.56%"
"Jun 01, 2021","0.076095","0.076813","0.077442","0.073713","7.88B","-0.99%"
"May 31, 2021","0.076858","0.071982","0.076899","0.069800","5.42B","6.74%"
"May 30, 2021","0.072003","0.068712","0.073143","0.066571","5.56B","4.80%"
"May 29, 2021","0.068703","0.072078","0.074402","0.067084","7.42B","-4.67%"
"May 28, 2021","0.072069","0.079467","0.081528","0.070325","7.21B","-9.10%"
"May 27, 2021","0.079285","0.083124","0.083172","0.076364","6.86B","-4.59%"
"May 26, 2021","0.083096","0.077082","0.084323","0.076056","10.37B","7.80%"
"May 25, 2021","0.077086","0.076796","0.080882","0.071364","9.78B","0.39%"
"May 24, 2021","0.076785","0.062881","0.076785","0.061930","11.96B","22.14%"
"May 23, 2021","0.062867","0.075330","0.076990","0.055695","12.14B","-16.50%"
"May 22, 2021","0.075290","0.077870","0.079071","0.070914","7.00B","-3.31%"
"May 21, 2021","0.077870","0.089186","0.093117","0.071317","10.10B","-12.70%"
